i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.01464,0.00976,-0.03416,-0.04148,-0.0488,0.03172,0.05856,0.38064,0.17568,0.05856,-0.01952,-0.0488
0.00976,0.01952,-0.0488,-0.05368,-0.05856,0.03416,0.0488,0.38552,0.17568,0.06344,-0.0244,-0.03416
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,0.0488,0.40504,0.20984,0.08296,-0.00976,-0.01952
0.0244,-0.00488,-0.01464,-0.02684,-0.03904,0.03172,0.0488,0.4148,0.20008,0.08296,-0.00488,-0.01952
0.06832,-0.0366,0.00488,-0.02928,-0.06344,0.06588,0.0488,0.40504,0.20008,0.08784,0,-0.01952
0.08784,-0.05856,0.02928,-0.01464,-0.05856,0.0732,0.04392,0.4148,0.20984,0.09272,0.01464,-0.00976
0.08784,-0.05124,0.01464,-0.02928,-0.0732,0.08052,0.0488,0.41968,0.2196,0.09272,0.00976,0.00488
0.0732,-0.04636,0.01952,-0.01708,-0.05368,0.06344,0.05368,0.4148,0.23912,0.11224,0.01952,0.01952
0.05856,-0.03904,0.01952,-0.00976,-0.03904,0.0488,0.05368,0.40504,0.23912,0.122,0.02928,0.01464
0.06344,-0.04148,0.01952,-0.0122,-0.04392,0.05368,0.0488,0.39528,0.21472,0.122,0.03416,0.0244
0.06832,-0.04392,0.01952,-0.01464,-0.0488,0.05856,0.04392,0.37576,0.21472,0.122,0.05856,0.02928
0.09272,-0.06344,0.03416,-0.0122,-0.05856,0.07564,0.04392,0.366,0.20984,0.14152,0.06832,0.0488
0.0976,-0.07076,0.04392,-0.00488,-0.05368,0.07564,0.03904,0.34648,0.20984,0.14152,0.0732,0.05368
0.09272,-0.0732,0.05368,0.00732,-0.03904,0.06588,0.01952,0.30744,0.17568,0.13176,0.06832,0.0488
0.07808,-0.06344,0.0488,0.00976,-0.02928,0.05368,0.01952,0.27328,0.16104,0.13176,0.06832,0.05368
0.05368,-0.0488,0.04392,0.01708,-0.00976,0.03172,0.01952,0.25376,0.15128,0.10736,0.06832,0.0488
0.0488,-0.0366,0.0244,0,-0.0244,0.0366,0.01952,0.22448,0.14152,0.0976,0.04392,0.04392
0.01952,-0.01464,0.00976,0,-0.00976,0.01464,0.00976,0.19032,0.122,0.05856,0.01464,0.03416
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.00488,0.15128,0.0976,0.0488,0,0.01464
