i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.51728,0.7076,-0.89792,-0.63928,-0.38064,-0.06832,-0.02928,-0.17568,-0.36112,-0.10736,-0.0976,-0.13664
-0.51728,0.7076,-0.89792,-0.63928,-0.38064,-0.06832,-0.02928,-0.17568,-0.36112,-0.10736,-0.0976,-0.13176
-0.51728,0.7076,-0.89792,-0.63928,-0.38064,-0.06832,-0.02928,-0.17568,-0.36112,-0.10736,-0.0976,-0.12688
-0.51728,0.71004,-0.9028,-0.64416,-0.38552,-0.06588,-0.0244,-0.17568,-0.36112,-0.10736,-0.10248,-0.12688
-0.51728,0.71004,-0.9028,-0.64416,-0.38552,-0.06588,-0.01952,-0.17568,-0.36112,-0.10736,-0.10248,-0.12688
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.17568,-0.366,-0.10736,-0.10736,-0.12688
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.17568,-0.366,-0.10736,-0.10736,-0.12688
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.17568,-0.37088,-0.10736,-0.10248,-0.12688
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.18056,-0.37088,-0.10736,-0.10248,-0.12688
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.17568,-0.37088,-0.11224,-0.10248,-0.13176
-0.51728,0.71248,-0.90768,-0.64904,-0.3904,-0.06344,-0.01952,-0.1708,-0.37576,-0.11224,-0.10248,-0.13176
-0.50752,0.7076,-0.90768,-0.65392,-0.40016,-0.05368,-0.01952,-0.1708,-0.37576,-0.11224,-0.10248,-0.13176
-0.50264,0.70516,-0.90768,-0.65636,-0.40504,-0.0488,-0.01464,-0.1708,-0.37576,-0.11224,-0.10248,-0.12688
-0.50264,0.7076,-0.91256,-0.66124,-0.40992,-0.04636,-0.01464,-0.1708,-0.37576,-0.11224,-0.10736,-0.13176
-0.50264,0.70516,-0.90768,-0.65636,-0.40504,-0.0488,-0.01464,-0.1708,-0.37576,-0.10736,-0.10736,-0.13176
