i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03416,0.04392,-0.05368,-0.0366,-0.01952,-0.00732,0.07808,0.13176,0.10248,-0.01464,-0.03904,-0.02928
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,0.08296,0.13664,0.10736,-0.00976,-0.03904,-0.02928
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,0.08784,0.1464,0.10736,-0.00488,-0.03416,-0.0244
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,0.08784,0.15616,0.11712,0,-0.0244,-0.01952
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,0.08784,0.16592,0.12688,0.00976,-0.0244,-0.01952
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,0.08296,0.17568,0.13664,0.01464,-0.01952,-0.01464
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.07808,0.18056,0.14152,0.01952,-0.01464,-0.01464
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0.07808,0.19032,0.15128,0.0244,-0.01464,-0.00976
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0.07808,0.20008,0.15616,0.03416,-0.00976,-0.00488
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,0.07808,0.20496,0.15616,0.0488,-0.00488,-0.00488
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,0.07808,0.21472,0.16104,0.05368,0.00488,-0.00976
0.00488,0,-0.00488,-0.00732,-0.00976,0.00732,0.0732,0.22936,0.1708,0.05856,0.00976,0
0.00488,-0.00244,0,-0.00244,-0.00488,0.00488,0.0732,0.244,0.18544,0.06832,0.01952,0.00976
0.00976,-0.00976,0.00976,0.00488,0,0.00488,0.07808,0.25864,0.1952,0.07808,0.02928,0.01952
0.01952,-0.01708,0.01464,0.00488,-0.00488,0.0122,0.08296,0.27816,0.20984,0.08784,0.03416,0.0244
0.0244,-0.01952,0.01464,0.00244,-0.00976,0.01708,0.07808,0.29768,0.22448,0.0976,0.04392,0.02928
0.02928,-0.02684,0.0244,0.00976,-0.00488,0.01708,0.07808,0.3172,0.23912,0.10736,0.05368,0.03904
