i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,-0.00488,-0.03416,-0.06832,-0.03416,-0.0488,-0.05856
-0.01952,0.03416,-0.0488,-0.03904,-0.02928,0.00488,-0.00976,-0.03904,-0.0732,-0.03904,-0.0488,-0.0488
-0.01464,0.03172,-0.0488,-0.04148,-0.03416,0.00976,-0.00488,-0.03904,-0.06832,-0.04392,-0.06344,-0.04392
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,0,-0.02928,-0.06832,-0.04392,-0.06832,-0.04392
-0.03416,0.05612,-0.07808,-0.061,-0.04392,0.00488,-0.00976,-0.03904,-0.0732,-0.05368,-0.0732,-0.05368
-0.04392,0.07076,-0.0976,-0.07564,-0.05368,0.00488,-0.00976,-0.03904,-0.08296,-0.0488,-0.0732,-0.06344
-0.04392,0.061,-0.07808,-0.05612,-0.03416,-0.00488,0,-0.02928,-0.06344,-0.02928,-0.05368,-0.05368
-0.03416,0.05124,-0.06832,-0.05124,-0.03416,0,0.00976,-0.02928,-0.05368,-0.01952,-0.04392,-0.04392
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,-0.00976,-0.0488,-0.08296,-0.07808,-0.08784,-0.07808
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0,-0.03904,-0.08784,-0.05856,-0.08296,-0.07808
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,0.01464,-0.00976,-0.0488,-0.01952,-0.0488,-0.06832
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.0244,0.01952,-0.01952,-0.00488,-0.03904,-0.05856
-0.0488,0.05368,-0.05856,-0.03416,-0.00976,-0.01952,0.0732,0.06344,0.01464,0.00976,-0.05856,-0.0976
-0.0732,0.0732,-0.0732,-0.0366,0,-0.0366,0.08784,0.07808,0.0488,0.06344,-0.04392,-0.0976
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.0732,0.08296,0.13176,0.16104,0.03416,-0.03416
0.05856,-0.00732,-0.04392,-0.0732,-0.10248,0.08052,0,0.15616,0.35136,0.42456,0.2684,0.10248
0.23424,-0.1098,-0.01464,-0.13176,-0.24888,0.24156,-0.01952,0.30256,0.64904,0.7564,0.55144,0.25864
0.49288,-0.29768,0.10248,-0.14396,-0.3904,0.44164,-0.19032,0.25864,0.8296,1.098,0.9028,0.50264
0.732,-0.41968,0.10736,-0.25864,-0.62464,0.67832,-0.4636,-0.06832,0.732,1.1712,1.09312,0.71248
0.83936,-0.51728,0.1952,-0.22448,-0.64416,0.74176,-0.732,-0.64416,0.2928,0.84912,0.99064,0.7808
0.77592,-0.52216,0.2684,-0.11956,-0.50752,0.64172,-0.81984,-1.02968,-0.18056,0.4148,0.76128,0.74664
0.5124,-0.38552,0.25864,0.00244,-0.25376,0.38308,-0.75152,-1.41032,-0.98088,-0.39528,0.15616,0.5124
0.1708,-0.10492,0.03904,-0.04636,-0.13176,0.15128,-0.62464,-1.62016,-1.67872,-1.21512,-0.54168,0.1464
0.01952,0.03416,-0.08784,-0.0976,-0.10736,0.06344,-0.55632,-1.65432,-1.81536,-1.42984,-0.71736,0.05368
-0.0488,0.12444,-0.20008,-0.17568,-0.15128,0.05124,-0.41968,-1.53232,-1.74704,-1.464,-0.854,-0.08784
-0.15616,0.25132,-0.34648,-0.2684,-0.19032,0.01708,-0.33672,-1.34688,-1.59576,-1.3664,-0.90768,-0.2196
-0.13664,0.23424,-0.33184,-0.26352,-0.1952,0.02928,-0.40016,-1.13704,-1.3908,-1.25416,-0.85888,-0.23424
-0.07808,0.14396,-0.20984,-0.1708,-0.13176,0.02684,-0.3416,-0.82472,-1.01992,-0.93696,-0.66856,-0.13664
-0.06344,0.13664,-0.20984,-0.17812,-0.1464,0.04148,-0.32696,-0.66856,-0.79544,-0.72712,-0.53192,-0.14152
0.00488,0.061,-0.12688,-0.12932,-0.13176,0.06832,-0.21472,-0.40992,-0.52704,-0.48312,-0.366,-0.10248
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,-0.14152,-0.2196,-0.30744,-0.27816,-0.24888,-0.10248
-0.04392,0.04636,-0.0488,-0.02684,-0.00488,-0.01952,-0.0244,-0.07808,-0.13664,-0.14152,-0.17568,-0.09272
-0.07808,0.07808,-0.07808,-0.03904,0,-0.03904,0.01464,-0.03416,-0.06832,-0.0732,-0.13176,-0.07808
