i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.02928,-0.01464,-0.00488,-0.11224,-0.10248,-0.13664
-0.05368,0.0732,-0.09272,-0.06588,-0.03904,-0.00732,0.04392,0,0.00488,-0.09272,-0.0976,-0.122
-0.04392,0.06588,-0.08784,-0.06588,-0.04392,0,0.04392,-0.00976,0.00488,-0.10248,-0.11224,-0.13664
-0.02928,0.06344,-0.0976,-0.08296,-0.06832,0.01952,0.04392,-0.00488,0.00488,-0.10736,-0.10736,-0.13176
-0.0488,0.07564,-0.10248,-0.07808,-0.05368,0.00244,0.05368,0.00976,0.0244,-0.0976,-0.10248,-0.122
-0.05368,0.0732,-0.09272,-0.06588,-0.03904,-0.00732,0.05856,0.0244,0.0244,-0.08784,-0.08784,-0.0976
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.05368,0.01464,0.01952,-0.10248,-0.0976,-0.122
-0.06832,0.06832,-0.06832,-0.03416,0,-0.03416,0.04392,0,0.01952,-0.07808,-0.0976,-0.11224
-0.06344,0.0732,-0.08296,-0.05124,-0.01952,-0.02196,0.04392,-0.00488,0.00976,-0.0976,-0.10736,-0.13176
-0.05856,0.07076,-0.08296,-0.05368,-0.0244,-0.01708,0.04392,-0.00488,0.00488,-0.10736,-0.11712,-0.12688
-0.06832,0.08052,-0.09272,-0.05856,-0.0244,-0.02196,0.0488,0.00488,0.01464,-0.09272,-0.10736,-0.11224
-0.06832,0.08296,-0.0976,-0.06344,-0.02928,-0.01952,0.0488,0.01464,0.02928,-0.06832,-0.0976,-0.10248
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.0488,0.00488,0.01952,-0.07808,-0.09272,-0.10736
-0.04392,0.05856,-0.0732,-0.05124,-0.02928,-0.00732,0.05368,0,0.00976,-0.08296,-0.10248,-0.11224
-0.06344,0.04636,-0.02928,0.00244,0.03416,-0.0488,0.03416,-0.0244,-0.01464,-0.122,-0.11224,-0.13664
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.03904,-0.00976,0,-0.0976,-0.0976,-0.11712
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.02928,-0.00976,-0.00976,-0.10736,-0.10736,-0.12688
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.02928,-0.00976,-0.00976,-0.10736,-0.10736,-0.12688
-0.04392,0.06832,-0.09272,-0.07076,-0.0488,0.00244,0.03904,-0.00976,0,-0.09272,-0.09272,-0.11224
-0.0488,0.07076,-0.09272,-0.06832,-0.04392,-0.00244,0.04392,-0.00976,0.00488,-0.09272,-0.09272,-0.10248
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.0244,-0.01952,-0.00976,-0.0976,-0.0976,-0.11712
-0.06832,0.05612,-0.04392,-0.00976,0.0244,-0.04636,0.01464,-0.03416,-0.0244,-0.11224,-0.10248,-0.13176
-0.0488,0.061,-0.0732,-0.0488,-0.0244,-0.0122,0.01952,-0.02928,-0.01464,-0.11224,-0.11712,-0.13176
-0.0488,0.07076,-0.09272,-0.06832,-0.04392,-0.00244,0.01952,-0.01952,-0.01952,-0.11712,-0.11712,-0.12688
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.0244,-0.02928,-0.01464,-0.10736,-0.122,-0.12688
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.0244,-0.0244,-0.01464,-0.10248,-0.122,-0.12688
-0.0244,0.0366,-0.0488,-0.0366,-0.0244,0,0.03416,-0.00976,0.00488,-0.08296,-0.11224,-0.10736
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,0.03904,0.00488,0.00976,-0.0732,-0.10248,-0.10736
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,0.03904,-0.00488,0.01464,-0.08296,-0.10736,-0.10736
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.03416,0,0.02928,-0.06832,-0.10248,-0.0976
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.0244,-0.00488,0.01952,-0.07808,-0.10248,-0.0976
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0.01464,-0.01952,0.00976,-0.0732,-0.10736,-0.10736
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.0244,-0.00976,0.01952,-0.06344,-0.0976,-0.0976
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.0244,-0.00976,0.01952,-0.06832,-0.09272,-0.08784
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.01464,-0.00976,0.00976,-0.06344,-0.0976,-0.08784
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,0.01464,-0.00976,0.01464,-0.05368,-0.09272,-0.08784
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.00976,-0.02928,0.00976,-0.06344,-0.09272,-0.0976
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,-0.01952,-0.03416,0,-0.0732,-0.08784,-0.09272
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,-0.03416,-0.0488,-0.00976,-0.08296,-0.0976,-0.10248
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,-0.03904,-0.05368,-0.01464,-0.07808,-0.10248,-0.10248
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.0488,-0.05856,-0.04392,-0.09272,-0.09272,-0.0976
0.01464,-0.00244,-0.00976,-0.01708,-0.0244,0.01952,-0.05856,-0.06832,-0.05368,-0.10248,-0.09272,-0.0976
0.01464,0.00244,-0.01952,-0.02684,-0.03416,0.0244,-0.0488,-0.06344,-0.05856,-0.10248,-0.09272,-0.08784
0.01952,-0.00488,-0.00976,-0.01952,-0.02928,0.0244,-0.03416,-0.05368,-0.05856,-0.08784,-0.09272,-0.08784
0,0.01952,-0.03904,-0.03904,-0.03904,0.01952,-0.01952,-0.03416,-0.03904,-0.08784,-0.08296,-0.06832
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,-0.01464,-0.04392,-0.02928,-0.09272,-0.09272,-0.08296
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,-0.00976,-0.03904,-0.0244,-0.0976,-0.0976,-0.09272
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,-0.00488,-0.03904,-0.01952,-0.0976,-0.10248,-0.10248
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,-0.00488,-0.03904,-0.02928,-0.10736,-0.11712,-0.10736
-0.05856,0.04636,-0.03416,-0.00488,0.0244,-0.04148,0.00488,-0.03904,-0.02928,-0.10736,-0.13176,-0.11712
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.01952,-0.02928,-0.01952,-0.10736,-0.13664,-0.122
-0.05368,0.07808,-0.10248,-0.07564,-0.0488,-0.00244,0.00976,-0.04392,-0.03416,-0.12688,-0.15616,-0.14152
-0.06344,0.0976,-0.13176,-0.10004,-0.06832,0.00244,0.00976,-0.04392,-0.05368,-0.14152,-0.16104,-0.1464
-0.07808,0.10736,-0.13664,-0.0976,-0.05856,-0.00976,0.00976,-0.0488,-0.05368,-0.1464,-0.17568,-0.1464
-0.06832,0.08296,-0.0976,-0.06344,-0.02928,-0.01952,-0.00488,-0.05368,-0.05368,-0.14152,-0.18056,-0.15616
-0.0732,0.06832,-0.06344,-0.02684,0.00976,-0.04148,0,-0.0488,-0.04392,-0.13176,-0.17568,-0.15128
-0.06344,0.08052,-0.0976,-0.06588,-0.03416,-0.01464,0.01464,-0.03416,-0.03416,-0.13176,-0.16592,-0.14152
-0.05856,0.09028,-0.122,-0.09272,-0.06344,0.00244,0.01464,-0.02928,-0.0244,-0.122,-0.16104,-0.12688
-0.08296,0.0976,-0.11224,-0.07076,-0.02928,-0.02684,0.01464,-0.0488,-0.03416,-0.122,-0.1708,-0.14152
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,0.04392,0,0.03904,-0.10248,-0.16592,-0.16592
-0.08784,0.08052,-0.0732,-0.02928,0.01464,-0.05124,0.0976,0.08784,0.13664,-0.06832,-0.15616,-0.16104
-0.0732,0.05368,-0.03416,0.00244,0.03904,-0.05612,0.09272,0.05368,0.14152,0.0244,-0.06832,-0.10736
-0.07808,-0.00488,0.08784,0.12688,0.16592,-0.122,-0.00976,-0.14152,0.03416,0.15616,0.0488,-0.00488
0.03904,-0.13908,0.23912,0.2196,0.20008,-0.08052,-0.23424,-0.35624,-0.15616,0.3172,0.22936,0.14152
0.21472,-0.35136,0.488,0.38064,0.27328,-0.02928,-0.61976,-0.64904,-0.5124,0.44408,0.44896,0.35136
0.42944,-0.5124,0.59536,0.38064,0.16592,0.13176,-1.02968,-0.91744,-0.91256,0.55632,0.63928,0.54168
0.60512,-0.67832,0.75152,0.44896,0.1464,0.22936,-1.31272,-0.97112,-1.12728,0.61976,0.7564,0.69784
0.74176,-0.74664,0.75152,0.38064,0.00976,0.366,-1.35664,-0.9272,-1.18584,0.45872,0.67344,0.71248
0.7808,-0.77104,0.76128,0.37088,-0.01952,0.40016,-1.35664,-0.9516,-1.28832,0.244,0.55144,0.67832
0.52704,-0.67832,0.8296,0.56608,0.30256,0.11224,-1.30296,-1.13216,-1.37616,0.122,0.50752,0.69784
0.38064,-0.59536,0.81008,0.61976,0.42944,-0.0244,-1.11752,-1.21024,-1.32248,-0.0488,0.32696,0.55632
0.29768,-0.29768,0.29768,0.14884,0,0.14884,-0.76128,-0.91256,-1.03456,-0.36112,-0.06832,0.21472
0.1952,-0.16592,0.13664,0.03904,-0.05856,0.12688,-0.48312,-0.63928,-0.67344,-0.33672,-0.14152,0.07808
0.0976,-0.04392,-0.00976,-0.05856,-0.10736,0.10248,-0.25864,-0.33672,-0.366,-0.2928,-0.1952,-0.04392
0.06832,-0.03416,0,-0.03416,-0.06832,0.06832,-0.15616,-0.19032,-0.2196,-0.2196,-0.16592,-0.05368
0.0244,0.00488,-0.03416,-0.04636,-0.05856,0.04148,-0.08784,-0.12688,-0.12688,-0.17568,-0.18544,-0.11224
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,-0.01952,-0.07808,-0.0488,-0.15128,-0.1708,-0.11712
-0.02928,0.05612,-0.08296,-0.06832,-0.05368,0.0122,0.00976,-0.0244,-0.00488,-0.14152,-0.16592,-0.12688
-0.02928,0.07076,-0.11224,-0.0976,-0.08296,0.02684,0.04392,0.0244,0.01464,-0.1464,-0.18544,-0.1464
-0.02928,0.0732,-0.11712,-0.10248,-0.08784,0.02928,0.05856,0.01464,0.01464,-0.15128,-0.20008,-0.1708
-0.03416,0.061,-0.08784,-0.07076,-0.05368,0.00976,0.0488,-0.00976,0.00488,-0.16104,-0.20984,-0.17568
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,0.02928,-0.0244,-0.00976,-0.15616,-0.20008,-0.16592
-0.04392,0.07564,-0.10736,-0.0854,-0.06344,0.00976,0.05368,0.01464,0.0244,-0.1464,-0.19032,-0.15616
-0.05856,0.10004,-0.14152,-0.11224,-0.08296,0.0122,0.08296,0.05368,0.04392,-0.1464,-0.20496,-0.16592
-0.04392,0.08296,-0.122,-0.10004,-0.07808,0.01708,0.08296,0.03904,0.03904,-0.15128,-0.20984,-0.1708
-0.03904,0.0732,-0.10736,-0.08784,-0.06832,0.01464,0.06832,0.00976,0.0244,-0.15128,-0.20496,-0.16592
-0.04392,0.06588,-0.08784,-0.06588,-0.04392,0,0.07808,0.02928,0.03904,-0.14152,-0.19032,-0.15616
