i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00488,0.45872,-0.91256,-0.91012,-0.90768,0.4514,0.15616,0.23424,0.27328,1.0492,0.00488,-0.25376
-0.00488,0.45628,-0.90768,-0.90524,-0.9028,0.44896,0.16104,0.23424,0.27816,1.0492,0.0244,-0.24888
-0.00488,0.45384,-0.9028,-0.90036,-0.89792,0.44652,0.16104,0.22448,0.2684,1.0492,0.02928,-0.244
-0.00488,0.4514,-0.89792,-0.89548,-0.89304,0.44408,0.15616,0.20984,0.24888,1.0492,0.03904,-0.23424
-0.00488,0.44652,-0.88816,-0.88572,-0.88328,0.4392,0.1464,0.18056,0.22448,1.0492,0.04392,-0.22448
0.00976,0.43676,-0.88328,-0.88816,-0.89304,0.4514,0.13664,0.15128,0.1952,1.0492,0.05368,-0.20984
0.01464,0.42944,-0.87352,-0.88084,-0.88816,0.4514,0.12688,0.11712,0.15616,1.03944,0.06344,-0.20008
0.01464,0.42456,-0.86376,-0.87108,-0.8784,0.44652,0.11712,0.07808,0.11224,1.0248,0.06832,-0.19032
0.01464,0.42212,-0.85888,-0.8662,-0.87352,0.44408,0.10736,0.02928,0.06832,1.0004,0.06832,-0.18056
0.01464,0.41968,-0.854,-0.86132,-0.86864,0.44164,0.0976,-0.00976,0.01464,0.98088,0.06832,-0.17568
0.01464,0.42456,-0.86376,-0.87108,-0.8784,0.44652,0.08784,-0.03904,-0.02928,0.96136,0.06832,-0.1708
0.01952,0.42212,-0.86376,-0.87352,-0.88328,0.4514,0.0732,-0.06832,-0.06832,0.94184,0.06344,-0.1708
0.01952,0.42212,-0.86376,-0.87352,-0.88328,0.4514,0.06344,-0.0976,-0.0976,0.93208,0.05856,-0.16104
0.01952,0.42456,-0.86864,-0.8784,-0.88816,0.45384,0.05368,-0.122,-0.13176,0.91256,0.06344,-0.15616
0.01952,0.427,-0.87352,-0.88328,-0.89304,0.45628,0.05368,-0.14152,-0.16592,0.9028,0.06344,-0.15616
0.01464,0.43188,-0.8784,-0.88572,-0.89304,0.45384,0.04392,-0.15616,-0.1952,0.88816,0.05856,-0.15616
0.01464,0.43432,-0.88328,-0.8906,-0.89792,0.45628,0.03904,-0.1708,-0.21472,0.86864,0.05368,-0.15616
0.01464,0.43676,-0.88816,-0.89548,-0.9028,0.45872,0.03416,-0.19032,-0.2196,0.85888,0.0488,-0.15616
0.01464,0.44164,-0.89792,-0.90524,-0.91256,0.4636,0.03416,-0.20008,-0.23424,0.84912,0.03416,-0.16104
0.00976,0.44652,-0.9028,-0.90768,-0.91256,0.46116,0.02928,-0.20984,-0.24888,0.84424,0.03416,-0.16104
0.00976,0.44652,-0.9028,-0.90768,-0.91256,0.46116,0.0244,-0.2196,-0.25864,0.83936,0.02928,-0.16104
0.00976,0.44896,-0.90768,-0.91256,-0.91744,0.4636,0.0244,-0.2196,-0.2684,0.8296,0.03416,-0.16104
0.00976,0.4514,-0.91256,-0.91744,-0.92232,0.46604,0.0244,-0.22448,-0.27816,0.8296,0.02928,-0.16104
0.00488,0.45384,-0.91256,-0.915,-0.91744,0.46116,0.0244,-0.22448,-0.28792,0.8296,0.02928,-0.15616
0.00488,0.45384,-0.91256,-0.915,-0.91744,0.46116,0.02928,-0.22448,-0.29768,0.8296,0.01952,-0.15616
0.00488,0.45628,-0.91744,-0.91988,-0.92232,0.4636,0.0244,-0.22936,-0.30256,0.82472,0.01952,-0.16104
0.00488,0.45628,-0.91744,-0.91988,-0.92232,0.4636,0.0244,-0.22936,-0.31232,0.82472,0.01464,-0.16104
0,0.46116,-0.92232,-0.92232,-0.92232,0.46116,0.0244,-0.23424,-0.32208,0.82472,0.01464,-0.16104
-0.00488,0.4636,-0.92232,-0.91988,-0.91744,0.45628,0.0244,-0.22936,-0.32208,0.8296,0.00976,-0.16592
-0.00488,0.4636,-0.92232,-0.91988,-0.91744,0.45628,0.01952,-0.2196,-0.31232,0.8296,0,-0.16592
-0.00488,0.4636,-0.92232,-0.91988,-0.91744,0.45628,0.01952,-0.21472,-0.31232,0.8296,-0.00488,-0.16592
-0.00976,0.46848,-0.9272,-0.92232,-0.91744,0.45384,0.01464,-0.20984,-0.3172,0.8296,-0.00976,-0.1708
-0.00976,0.46848,-0.9272,-0.92232,-0.91744,0.45384,0.01464,-0.20008,-0.31232,0.8296,-0.01952,-0.17568
-0.00488,0.46848,-0.93208,-0.92964,-0.9272,0.46116,0.01464,-0.1952,-0.29768,0.8296,-0.01952,-0.17568
0,0.46848,-0.93696,-0.93696,-0.93696,0.46848,0.01464,-0.1952,-0.2928,0.83448,-0.01952,-0.17568
0,0.46848,-0.93696,-0.93696,-0.93696,0.46848,0.00976,-0.19032,-0.27816,0.83448,-0.01952,-0.17568
0,0.47092,-0.94184,-0.94184,-0.94184,0.47092,0.00976,-0.19032,-0.27328,0.83448,-0.0244,-0.17568
0,0.47092,-0.94184,-0.94184,-0.94184,0.47092,0.00488,-0.18544,-0.2684,0.83448,-0.01952,-0.17568
0.00488,0.46848,-0.94184,-0.94428,-0.94672,0.4758,0,-0.17568,-0.26352,0.83448,-0.01464,-0.18056
0.00488,0.46604,-0.93696,-0.9394,-0.94184,0.47336,0,-0.17568,-0.25864,0.8296,-0.00976,-0.17568
0.00976,0.4636,-0.93696,-0.94184,-0.94672,0.47824,0,-0.17568,-0.25376,0.8296,-0.00976,-0.17568
0.00976,0.4636,-0.93696,-0.94184,-0.94672,0.47824,0.00488,-0.16592,-0.25376,0.83448,-0.00976,-0.17568
0.00976,0.4636,-0.93696,-0.94184,-0.94672,0.47824,0.00976,-0.15616,-0.25376,0.83936,-0.00976,-0.17568
0.00976,0.46116,-0.93208,-0.93696,-0.94184,0.4758,0.01464,-0.15128,-0.25376,0.84424,0,-0.16592
0.00976,0.45384,-0.91744,-0.92232,-0.9272,0.46848,0.01952,-0.14152,-0.24888,0.84912,0.00976,-0.15616
0.00976,0.44896,-0.90768,-0.91256,-0.91744,0.4636,0.0244,-0.13664,-0.24888,0.85888,0.01952,-0.15128
0.01464,0.4392,-0.89304,-0.90036,-0.90768,0.46116,0.0244,-0.13176,-0.23912,0.87352,0.03416,-0.1464
0.01464,0.43432,-0.88328,-0.8906,-0.89792,0.45628,0.0244,-0.12688,-0.23424,0.8784,0.03904,-0.14152
0.0244,0.42456,-0.87352,-0.88572,-0.89792,0.46116,0.01952,-0.122,-0.23912,0.88328,0.04392,-0.13664
0.0244,0.42212,-0.86864,-0.88084,-0.89304,0.45872,0.01952,-0.11712,-0.23912,0.88328,0.05368,-0.12688
0.03416,0.41236,-0.85888,-0.87596,-0.89304,0.4636,0.00976,-0.10736,-0.23424,0.88816,0.06344,-0.122
0.03416,0.40748,-0.84912,-0.8662,-0.88328,0.45872,0.00976,-0.10248,-0.22936,0.89304,0.06832,-0.11224
0.03416,0.39284,-0.81984,-0.83692,-0.854,0.44408,0.00976,-0.10248,-0.21472,0.90768,0.08784,-0.10736
0.03416,0.38308,-0.80032,-0.8174,-0.83448,0.43432,0,-0.10736,-0.20496,0.91744,0.0976,-0.09272
0.03416,0.3782,-0.79056,-0.80764,-0.82472,0.42944,-0.00976,-0.11712,-0.20496,0.9272,0.10736,-0.07808
0.03416,0.37576,-0.78568,-0.80276,-0.81984,0.427,-0.0244,-0.14152,-0.20984,0.93208,0.10736,-0.07808
0.02928,0.3782,-0.78568,-0.80032,-0.81496,0.42212,-0.03416,-0.16104,-0.22448,0.93208,0.11224,-0.0732
0.01952,0.38308,-0.78568,-0.79544,-0.8052,0.41236,-0.04392,-0.17568,-0.23912,0.91744,0.11224,-0.0732
0.01464,0.38796,-0.79056,-0.79788,-0.8052,0.40992,-0.05368,-0.18544,-0.26352,0.9028,0.0976,-0.0732
0.00976,0.3904,-0.79056,-0.79544,-0.80032,0.40504,-0.06832,-0.21472,-0.27816,0.88816,0.0976,-0.0732
0.00976,0.3904,-0.79056,-0.79544,-0.80032,0.40504,-0.07808,-0.22936,-0.2928,0.88328,0.08784,-0.07808
0.00488,0.39284,-0.79056,-0.793,-0.79544,0.40016,-0.07808,-0.22448,-0.28792,0.8784,0.08784,-0.07808
0.00488,0.3904,-0.78568,-0.78812,-0.79056,0.39772,-0.0732,-0.20984,-0.27816,0.89304,0.09272,-0.07808
0,0.39528,-0.79056,-0.79056,-0.79056,0.39528,-0.06832,-0.20496,-0.27816,0.89304,0.09272,-0.07808
-0.00488,0.4148,-0.82472,-0.82228,-0.81984,0.40748,-0.05856,-0.1952,-0.27816,0.89304,0.08296,-0.08784
-0.01952,0.44408,-0.86864,-0.85888,-0.84912,0.4148,-0.03904,-0.19032,-0.28792,0.86864,0.05368,-0.10248
-0.03416,0.46848,-0.9028,-0.88572,-0.86864,0.41724,-0.0244,-0.1952,-0.28792,0.86376,0.04392,-0.11712
-0.04392,0.48068,-0.91744,-0.89548,-0.87352,0.4148,-0.01464,-0.1952,-0.28792,0.85888,0.02928,-0.13176
-0.05368,0.49288,-0.93208,-0.90524,-0.8784,0.41236,-0.00488,-0.19032,-0.2928,0.854,0.0244,-0.14152
-0.05368,0.50508,-0.95648,-0.92964,-0.9028,0.42456,0,-0.19032,-0.30744,0.84424,0.00976,-0.16104
-0.05368,0.51728,-0.98088,-0.95404,-0.9272,0.43676,0.00976,-0.19032,-0.3172,0.83448,-0.00976,-0.1708
