i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.02928,-0.07808,0.12688,0.11224,0.0976,-0.03416,-0.01952,0.08296,0.07808,-0.00976,-0.01952,-0.06832
0.02928,-0.07808,0.12688,0.11224,0.0976,-0.03416,-0.01952,0.07808,0.07808,-0.00976,-0.01952,-0.06832
0.02928,-0.07564,0.122,0.10736,0.09272,-0.03172,-0.01952,0.0732,0.0732,-0.00976,-0.01952,-0.06832
0.02928,-0.07564,0.122,0.10736,0.09272,-0.03172,-0.0244,0.06344,0.0732,-0.00976,-0.01952,-0.06832
0.02928,-0.07564,0.122,0.10736,0.09272,-0.03172,-0.0244,0.05368,0.06832,-0.00976,-0.01952,-0.06832
0.02928,-0.0732,0.11712,0.10248,0.08784,-0.02928,-0.0244,0.05368,0.06832,-0.01464,-0.01952,-0.06832
0.02928,-0.0732,0.11712,0.10248,0.08784,-0.02928,-0.0244,0.0488,0.06832,-0.01464,-0.0244,-0.0732
0.02928,-0.0732,0.11712,0.10248,0.08784,-0.02928,-0.0244,0.0488,0.0732,-0.00976,-0.0244,-0.0732
0.02928,-0.0732,0.11712,0.10248,0.08784,-0.02928,-0.02928,0.03904,0.0732,-0.00976,-0.0244,-0.0732
0.0244,-0.06832,0.11224,0.10004,0.08784,-0.03172,-0.02928,0.03904,0.0732,-0.00976,-0.02928,-0.0732
0.0244,-0.06344,0.10248,0.09028,0.07808,-0.02684,-0.02928,0.03416,0.06832,-0.01952,-0.03416,-0.07808
0.01952,-0.05856,0.0976,0.08784,0.07808,-0.02928,-0.02928,0.02928,0.06344,-0.0244,-0.03904,-0.08296
0.01464,-0.05612,0.0976,0.09028,0.08296,-0.03416,-0.03416,0.0244,0.05856,-0.02928,-0.04392,-0.08784
0.01464,-0.05612,0.0976,0.09028,0.08296,-0.03416,-0.03904,0.00488,0.05368,-0.02928,-0.03904,-0.09272
0.01952,-0.05856,0.0976,0.08784,0.07808,-0.02928,-0.0488,-0.00976,0.0488,-0.02928,-0.03904,-0.0976
0.01952,-0.05856,0.0976,0.08784,0.07808,-0.02928,-0.0488,-0.00976,0.0488,-0.02928,-0.03904,-0.0976
0.01952,-0.05856,0.0976,0.08784,0.07808,-0.02928,-0.0488,-0.00976,0.0488,-0.02928,-0.03904,-0.0976
0.01952,-0.05856,0.0976,0.08784,0.07808,-0.02928,-0.0488,-0.0244,0.0488,-0.03416,-0.04392,-0.0976
0.01952,-0.05612,0.09272,0.08296,0.0732,-0.02684,-0.05368,-0.03416,0.0488,-0.03904,-0.04392,-0.0976
0.01952,-0.05612,0.09272,0.08296,0.0732,-0.02684,-0.05856,-0.04392,0.0488,-0.0488,-0.0488,-0.10248
0.01464,-0.05124,0.08784,0.08052,0.0732,-0.02928,-0.06344,-0.0488,0.04392,-0.0488,-0.05368,-0.10248
0.01464,-0.05124,0.08784,0.08052,0.0732,-0.02928,-0.05856,-0.05368,0.04392,-0.04392,-0.05368,-0.10736
0.01952,-0.05124,0.08296,0.0732,0.06344,-0.02196,-0.05856,-0.05856,0.04392,-0.04392,-0.05856,-0.10736
0.01952,-0.0488,0.07808,0.06832,0.05856,-0.01952,-0.05856,-0.06344,0.04392,-0.04392,-0.05856,-0.10736
0.01464,-0.04392,0.0732,0.06588,0.05856,-0.02196,-0.06344,-0.06832,0.04392,-0.04392,-0.05856,-0.11224
0.01464,-0.0488,0.08296,0.07564,0.06832,-0.02684,-0.06832,-0.0732,0.04392,-0.04392,-0.05856,-0.11224
0.01952,-0.05612,0.09272,0.08296,0.0732,-0.02684,-0.06344,-0.0732,0.0488,-0.04392,-0.05368,-0.10248
0.0244,-0.06344,0.10248,0.09028,0.07808,-0.02684,-0.05856,-0.0732,0.05368,-0.03904,-0.0488,-0.10248
0.0244,-0.06344,0.10248,0.09028,0.07808,-0.02684,-0.0488,-0.0732,0.06344,-0.03416,-0.0488,-0.10248
0.0244,-0.06832,0.11224,0.10004,0.08784,-0.03172,-0.03904,-0.06832,0.06832,-0.02928,-0.04392,-0.0976
0.01952,-0.06588,0.11224,0.10248,0.09272,-0.0366,-0.02928,-0.06344,0.0732,-0.0244,-0.04392,-0.09272
0.01952,-0.07076,0.122,0.11224,0.10248,-0.04148,-0.0244,-0.05368,0.08296,-0.01952,-0.03904,-0.09272
0.03416,-0.08784,0.14152,0.12444,0.10736,-0.0366,-0.00976,-0.0488,0.0976,-0.00976,-0.02928,-0.08296
0.03904,-0.0976,0.15616,0.13664,0.11712,-0.03904,-0.00976,-0.0488,0.10736,0,-0.01952,-0.0732
0.05368,-0.10736,0.16104,0.1342,0.10736,-0.02684,-0.00976,-0.05368,0.11712,0.00488,-0.01464,-0.06832
0.05368,-0.11468,0.17568,0.14884,0.122,-0.03416,-0.03416,-0.07808,0.11712,0.00488,-0.01464,-0.06832
0.05368,-0.11712,0.18056,0.15372,0.12688,-0.0366,-0.06832,-0.11224,0.11712,0.00488,-0.00976,-0.06344
0.05856,-0.11956,0.18056,0.15128,0.122,-0.03172,-0.0976,-0.13664,0.10248,0.00976,-0.00976,-0.06344
0.06344,-0.12444,0.18544,0.15372,0.122,-0.02928,-0.11712,-0.16104,0.09272,0.00976,-0.00976,-0.06344
0.06832,-0.12688,0.18544,0.15128,0.11712,-0.0244,-0.12688,-0.16592,0.09272,0.00976,-0.00976,-0.06344
0.08296,-0.13908,0.1952,0.15372,0.11224,-0.01464,-0.14152,-0.17568,0.09272,0.00976,-0.00976,-0.05856
0.08784,-0.14396,0.20008,0.15616,0.11224,-0.0122,-0.1464,-0.18056,0.09272,0.00976,-0.00488,-0.06344
0.09272,-0.13908,0.18544,0.13908,0.09272,0,-0.16104,-0.1952,0.08784,0.00488,-0.00488,-0.06832
0.122,-0.14396,0.16592,0.10492,0.04392,0.03904,-0.18056,-0.23424,0.05856,-0.00976,-0.01952,-0.07808
0.122,-0.1342,0.1464,0.0854,0.0244,0.0488,-0.18544,-0.26352,0.03416,-0.02928,-0.03904,-0.08296
0.122,-0.122,0.122,0.061,0,0.061,-0.18544,-0.27328,0.0244,-0.0488,-0.05368,-0.10248
0.10248,-0.10248,0.10248,0.05124,0,0.05124,-0.18056,-0.27816,0.02928,-0.05368,-0.06344,-0.11224
0.06344,-0.07808,0.09272,0.061,0.02928,0.01708,-0.16104,-0.25864,0.03416,-0.05368,-0.06344,-0.11224
0.03416,-0.05612,0.07808,0.061,0.04392,-0.00488,-0.15128,-0.25376,0.03416,-0.05368,-0.06344,-0.11224
0.0244,-0.04392,0.06344,0.05124,0.03904,-0.00732,-0.14152,-0.25864,0.02928,-0.06344,-0.07808,-0.122
0.01952,-0.03172,0.04392,0.03416,0.0244,-0.00244,-0.14152,-0.26352,0.0244,-0.0732,-0.09272,-0.13664
0.00976,-0.02196,0.03416,0.02928,0.0244,-0.00732,-0.14152,-0.2684,0.01952,-0.0732,-0.09272,-0.14152
0.00976,-0.01708,0.0244,0.01952,0.01464,-0.00244,-0.1464,-0.2684,0.01464,-0.08296,-0.10248,-0.1464
0.00976,-0.0122,0.01464,0.00976,0.00488,0.00244,-0.14152,-0.27328,0.01464,-0.07808,-0.10736,-0.15128
0.00976,-0.00732,0.00488,0,-0.00488,0.00732,-0.14152,-0.28304,0.01952,-0.08296,-0.11224,-0.15616
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,-0.13664,-0.28304,0.01952,-0.08296,-0.10736,-0.15616
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.13664,-0.27816,0.01952,-0.08296,-0.10736,-0.15616
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,-0.1464,-0.27816,0.0244,-0.08296,-0.10736,-0.15616
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.15616,-0.27328,0.02928,-0.08296,-0.10736,-0.15616
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.1464,-0.27816,0.02928,-0.08296,-0.10736,-0.15616
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,-0.1464,-0.27816,0.02928,-0.08784,-0.11224,-0.15616
-0.01952,0.04148,-0.06344,-0.05368,-0.04392,0.0122,-0.11712,-0.23424,0.0488,-0.08296,-0.12688,-0.17568
-0.0244,0.06344,-0.10248,-0.09028,-0.07808,0.02684,-0.04392,-0.13176,0.09272,-0.07808,-0.1464,-0.20984
-0.03416,0.06832,-0.10248,-0.0854,-0.06832,0.01708,0.00976,-0.0488,0.1464,-0.03416,-0.122,-0.20008
0.01952,0.00488,-0.02928,-0.03904,-0.0488,0.03416,0,-0.04392,0.22448,0.0976,0.01952,-0.05856
0.15616,-0.15128,0.1464,0.06832,-0.00976,0.08296,-0.08784,-0.09272,0.3172,0.33184,0.25376,0.17568
