i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.04392,0.08052,-0.11712,-0.09516,-0.0732,0.01464,0.06344,0.06832,0,-0.06832,-0.08784,-0.0732
-0.0488,0.08296,-0.11712,-0.09272,-0.06832,0.00976,0.0732,0.08296,0.00488,-0.0488,-0.07808,-0.06344
-0.0488,0.08784,-0.12688,-0.10248,-0.07808,0.01464,0.0732,0.08296,0.01952,-0.0488,-0.0732,-0.06344
-0.03904,0.0854,-0.13176,-0.11224,-0.09272,0.02684,0.0732,0.07808,0.02928,-0.04392,-0.0732,-0.06344
-0.04392,0.08784,-0.13176,-0.1098,-0.08784,0.02196,0.06832,0.07808,0.02928,-0.03904,-0.06832,-0.06344
-0.02928,0.07808,-0.12688,-0.11224,-0.0976,0.03416,0.06832,0.0732,0.01952,-0.04392,-0.06832,-0.0732
-0.02928,0.0732,-0.11712,-0.10248,-0.08784,0.02928,0.06832,0.0732,0.0244,-0.04392,-0.06832,-0.0732
-0.0244,0.06588,-0.10736,-0.09516,-0.08296,0.02928,0.06832,0.0732,0.0244,-0.03904,-0.0732,-0.06832
-0.0244,0.06588,-0.10736,-0.09516,-0.08296,0.02928,0.06832,0.0732,0.02928,-0.03904,-0.0732,-0.06832
-0.02928,0.06832,-0.10736,-0.09272,-0.07808,0.0244,0.06832,0.0732,0.02928,-0.04392,-0.06344,-0.06832
-0.02928,0.06588,-0.10248,-0.08784,-0.0732,0.02196,0.06832,0.07808,0.02928,-0.04392,-0.05856,-0.06832
-0.02928,0.06832,-0.10736,-0.09272,-0.07808,0.0244,0.05856,0.08784,0.03416,-0.02928,-0.05856,-0.05856
-0.0244,0.06588,-0.10736,-0.09516,-0.08296,0.02928,0.05856,0.08784,0.03904,-0.02928,-0.05856,-0.05856
-0.03416,0.0732,-0.11224,-0.09516,-0.07808,0.02196,0.05856,0.09272,0.03904,-0.0244,-0.05368,-0.0488
-0.02928,0.06832,-0.10736,-0.09272,-0.07808,0.0244,0.05856,0.0976,0.04392,-0.01952,-0.05368,-0.0488
-0.02928,0.06344,-0.0976,-0.08296,-0.06832,0.01952,0.05856,0.09272,0.04392,-0.01952,-0.05368,-0.05368
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.05368,0.09272,0.0488,-0.00976,-0.0488,-0.05368
-0.0244,0.06344,-0.10248,-0.09028,-0.07808,0.02684,0.05368,0.10248,0.0488,-0.00976,-0.0488,-0.0488
-0.01464,0.05856,-0.10248,-0.09516,-0.08784,0.0366,0.05368,0.10736,0.06344,0.00488,-0.04392,-0.0488
0,0.0488,-0.0976,-0.0976,-0.0976,0.0488,0.05368,0.10736,0.05368,0.00488,-0.03904,-0.04392
0,0.0488,-0.0976,-0.0976,-0.0976,0.0488,0.05368,0.11224,0.05856,0.00976,-0.03416,-0.04392
0,0.04392,-0.08784,-0.08784,-0.08784,0.04392,0.0488,0.122,0.05856,0.01464,-0.03904,-0.03904
0.00488,0.0366,-0.07808,-0.08052,-0.08296,0.04392,0.0488,0.12688,0.06832,0.0244,-0.03904,-0.03904
0.01464,0.03172,-0.07808,-0.0854,-0.09272,0.05368,0.0488,0.12688,0.08296,0.02928,-0.02928,-0.03904
0.01952,0.02928,-0.07808,-0.08784,-0.0976,0.05856,0.0488,0.13664,0.08296,0.03904,-0.0244,-0.03416
0.01952,0.02684,-0.0732,-0.08296,-0.09272,0.05612,0.0488,0.1464,0.08296,0.0488,-0.00976,-0.0244
0.0244,0.0244,-0.0732,-0.0854,-0.0976,0.061,0.0488,0.15616,0.08784,0.05856,0.00488,-0.01952
0.02928,0.01708,-0.06344,-0.07808,-0.09272,0.061,0.03904,0.15128,0.08296,0.05856,-0.00488,-0.0244
0.03416,0.00244,-0.03904,-0.05612,-0.0732,0.05368,0.0244,0.16104,0.09272,0.06344,0.00488,-0.01952
0.03904,0,-0.03904,-0.05856,-0.07808,0.05856,0.02928,0.18056,0.10736,0.07808,0.01464,-0.00488
0.04392,-0.00488,-0.03416,-0.05612,-0.07808,0.061,0.02928,0.1952,0.11712,0.0976,0.0244,0.00488
0.03904,0.00244,-0.04392,-0.06344,-0.08296,0.061,0.02928,0.20984,0.11224,0.10248,0.03416,0.01464
0.0488,-0.00732,-0.03416,-0.05856,-0.08296,0.06588,0.02928,0.22448,0.122,0.122,0.0488,0.01952
0.05856,-0.01708,-0.0244,-0.05368,-0.08296,0.07076,0.0244,0.244,0.12688,0.12688,0.0488,0.01952
0.06832,-0.03416,0,-0.03416,-0.06832,0.06832,0.0244,0.25864,0.14152,0.15128,0.06344,0.02928
0.07808,-0.04148,0.00488,-0.03416,-0.0732,0.07564,0.01464,0.2684,0.14152,0.16104,0.07808,0.0488
0.08784,-0.05124,0.01464,-0.02928,-0.0732,0.08052,0.01464,0.28792,0.16104,0.18544,0.10248,0.05856
0.09272,-0.05856,0.0244,-0.02196,-0.06832,0.08052,0.01464,0.29768,0.16592,0.20984,0.122,0.06832
0.10248,-0.0732,0.04392,-0.00732,-0.05856,0.08052,0,0.31232,0.18056,0.23912,0.15128,0.07808
0.12688,-0.09272,0.05856,-0.00488,-0.06832,0.0976,-0.01464,0.34648,0.20008,0.2684,0.17568,0.10248
0.13664,-0.1098,0.08296,0.01464,-0.05368,0.09516,-0.01952,0.35136,0.20984,0.29768,0.20008,0.122
0.16104,-0.13176,0.10248,0.02196,-0.05856,0.1098,-0.02928,0.37576,0.2196,0.3172,0.23912,0.15128
0.17568,-0.14884,0.122,0.03416,-0.05368,0.11468,-0.03904,0.3904,0.23424,0.34648,0.26352,0.1708
0.18544,-0.16592,0.1464,0.05368,-0.03904,0.11224,-0.05368,0.3904,0.23424,0.366,0.28304,0.19032
0.20008,-0.18056,0.16104,0.061,-0.03904,0.11956,-0.06344,0.40016,0.244,0.40016,0.30744,0.20984
0.22448,-0.20496,0.18544,0.0732,-0.03904,0.13176,-0.0732,0.40992,0.24888,0.42456,0.33672,0.22936
0.23912,-0.22692,0.21472,0.09516,-0.0244,0.13176,-0.07808,0.40992,0.25376,0.44896,0.35624,0.24888
0.24888,-0.24156,0.23424,0.1098,-0.01464,0.13176,-0.08784,0.41968,0.26352,0.47824,0.3904,0.27816
0.25864,-0.24644,0.23424,0.10492,-0.0244,0.14152,-0.0976,0.40504,0.26352,0.488,0.40992,0.28792
0.26352,-0.24888,0.23424,0.10248,-0.02928,0.1464,-0.10248,0.3904,0.25864,0.5124,0.42944,0.30256
0.27328,-0.25864,0.244,0.10736,-0.02928,0.15128,-0.11224,0.37088,0.24888,0.5124,0.43432,0.30256
0.27328,-0.26596,0.25864,0.122,-0.01464,0.14396,-0.11712,0.35136,0.24888,0.50752,0.4392,0.30256
0.25864,-0.25864,0.25864,0.12932,0,0.12932,-0.11712,0.32696,0.23912,0.49288,0.42944,0.30256
0.25864,-0.2562,0.25376,0.12444,-0.00488,0.13176,-0.11712,0.29768,0.22448,0.47336,0.40504,0.29768
0.23424,-0.23912,0.244,0.12688,0.00976,0.11224,-0.11712,0.2684,0.21472,0.4392,0.366,0.27328
0.20008,-0.21716,0.23424,0.1342,0.03416,0.08296,-0.10736,0.23424,0.20984,0.40016,0.33184,0.244
0.1708,-0.19032,0.20984,0.12444,0.03904,0.06588,-0.0976,0.20496,0.18544,0.35624,0.29768,0.2196
0.15128,-0.16592,0.18056,0.10492,0.02928,0.061,-0.07808,0.16592,0.15616,0.30744,0.25864,0.18056
0.12688,-0.13664,0.1464,0.08296,0.01952,0.05368,-0.06344,0.14152,0.14152,0.26352,0.21472,0.15128
0.0976,-0.10004,0.10248,0.05368,0.00488,0.04636,-0.05368,0.11712,0.12688,0.22448,0.18056,0.122
0.07808,-0.06832,0.05856,0.01952,-0.01952,0.0488,-0.03904,0.10736,0.10248,0.18056,0.14152,0.10248
0.06344,-0.04636,0.02928,-0.00244,-0.03416,0.0488,-0.03904,0.08296,0.08784,0.13176,0.10736,0.07808
0.05368,-0.03172,0.00976,-0.01708,-0.04392,0.0488,-0.0244,0.06832,0.06832,0.10248,0.06344,0.05368
0.03416,-0.0122,-0.00976,-0.02684,-0.04392,0.03904,-0.01952,0.05368,0.05368,0.06344,0.02928,0.03416
0.01952,0.00732,-0.03416,-0.04392,-0.05368,0.0366,-0.00976,0.03904,0.03416,0.03416,0.01464,0.01952
0,0.02684,-0.05368,-0.05368,-0.05368,0.02684,0,0.02928,0.01952,0.0244,-0.00488,-0.00488
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,0.00488,0.02928,0.01464,0.00976,-0.01952,-0.01464
-0.01952,0.04148,-0.06344,-0.05368,-0.04392,0.0122,-0.00488,0.01464,0,-0.00976,-0.02928,-0.02928
-0.0244,0.0488,-0.0732,-0.061,-0.0488,0.0122,0,0.00976,-0.00488,-0.0244,-0.03904,-0.03416
-0.02928,0.05612,-0.08296,-0.06832,-0.05368,0.0122,0.01464,0.00976,-0.0244,-0.03416,-0.04392,-0.03904
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0.01464,0.00488,-0.02928,-0.03904,-0.05368,-0.04392
-0.03416,0.06588,-0.0976,-0.08052,-0.06344,0.01464,0.01464,0,-0.03904,-0.05856,-0.06344,-0.04392
-0.03416,0.06588,-0.0976,-0.08052,-0.06344,0.01464,0.01464,0,-0.03904,-0.05856,-0.06832,-0.0488
-0.03416,0.06588,-0.0976,-0.08052,-0.06344,0.01464,0.00976,-0.00976,-0.0488,-0.06344,-0.0732,-0.0488
-0.03416,0.06588,-0.0976,-0.08052,-0.06344,0.01464,0.00976,-0.01464,-0.0488,-0.06344,-0.0732,-0.05368
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.00976,-0.01464,-0.0488,-0.05856,-0.0732,-0.05368
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.00976,-0.01464,-0.05368,-0.05856,-0.07808,-0.05368
-0.03904,0.061,-0.08296,-0.06344,-0.04392,0.00244,0.00976,-0.01952,-0.05368,-0.0732,-0.07808,-0.05368
-0.03416,0.05856,-0.08296,-0.06588,-0.0488,0.00732,0.00488,-0.01952,-0.05856,-0.0732,-0.07808,-0.05856
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0.01464,-0.01952,-0.0488,-0.0732,-0.06832,-0.05856
-0.03904,0.06832,-0.0976,-0.07808,-0.05856,0.00976,0.01464,-0.01952,-0.0488,-0.07808,-0.0732,-0.05856
-0.04392,0.0732,-0.10248,-0.08052,-0.05856,0.00732,0.01952,-0.01952,-0.05856,-0.07808,-0.08296,-0.05856
-0.04392,0.0732,-0.10248,-0.08052,-0.05856,0.00732,0.01952,-0.01464,-0.05856,-0.07808,-0.08296,-0.05856
