i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01464,-0.06344,0.14152,0.14884,0.15616,-0.0854,0.32696,0.69296,0.69296,0.63928,0.50752,0.22448
0.0976,-0.17568,0.25376,0.20496,0.15616,-0.02928,0.2684,0.68808,0.78568,0.79056,0.69296,0.366
0.33184,-0.3416,0.35136,0.18544,0.01952,0.15616,0.11224,0.54656,0.78568,0.91256,0.89792,0.51728
0.66368,-0.55144,0.4392,0.10736,-0.22448,0.44408,-0.18056,0.19032,0.55144,0.86864,0.98088,0.59048
1.02968,-0.74664,0.4636,-0.05124,-0.56608,0.79788,-0.55144,-0.24888,0.20496,0.69784,0.96136,0.60512
1.22488,-0.86132,0.49776,-0.11468,-0.72712,0.976,-0.84912,-0.7076,-0.18056,0.3904,0.74664,0.59048
1.1956,-0.66856,0.14152,-0.45628,-1.05408,1.12484,-0.8296,-0.85888,-0.67344,-0.25864,0.05856,0.12688
1.0492,-0.50264,-0.04392,-0.56852,-1.09312,1.07116,-0.7808,-1.05896,-1.00528,-0.71248,-0.42944,-0.18544
0.66368,-0.20252,-0.25864,-0.59048,-0.92232,0.793,-0.732,-1.30784,-1.39568,-1.22488,-0.9516,-0.47336
0.244,0.122,-0.488,-0.61,-0.732,0.488,-0.61976,-1.42008,-1.57136,-1.49816,-1.27856,-0.65392
0.02928,0.31964,-0.66856,-0.6832,-0.69784,0.36356,-0.55144,-1.33712,-1.55672,-1.54208,-1.33224,-0.72224
-0.01464,0.29524,-0.57584,-0.56852,-0.5612,0.27328,-0.57584,-1.27368,-1.38104,-1.36152,-1.18096,-0.6344
-0.0732,0.3172,-0.5612,-0.5246,-0.488,0.2074,-0.52216,-1.11264,-1.18096,-1.1712,-1.03456,-0.57584
-0.18544,0.3294,-0.47336,-0.38064,-0.28792,0.05124,-0.38552,-0.83936,-0.87352,-0.86376,-0.79056,-0.43432
-0.22448,0.2684,-0.31232,-0.20008,-0.08784,-0.06832,-0.20008,-0.50752,-0.55632,-0.55144,-0.49288,-0.27328
-0.1952,0.16592,-0.13664,-0.03904,0.05856,-0.12688,-0.09272,-0.2684,-0.30256,-0.3172,-0.2928,-0.1708
-0.03904,0.05856,-0.07808,-0.05856,-0.03904,0,-0.05856,-0.14152,-0.15616,-0.18056,-0.18544,-0.1464
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,-0.02928,-0.03416,-0.05368,-0.06832,-0.09272,-0.08296
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,-0.01464,-0.00976,-0.03416,-0.03904,-0.05368,-0.0488
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,0.0244,0.00976,-0.0244,-0.0244,-0.0244,-0.04392
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.03904,0.0244,-0.00488,-0.01952,-0.02928,-0.04392
-0.06832,0.04392,-0.01952,0.01464,0.0488,-0.05856,0.03416,0.03416,0.00488,-0.00976,-0.0244,-0.02928
-0.05856,0.0366,-0.01464,0.01464,0.04392,-0.05124,0.0244,0.03904,0.00976,0.00488,-0.01464,-0.0244
-0.05856,0.03904,-0.01952,0.00976,0.03904,-0.0488,0.03904,0.05856,0.02928,0.0244,0,0.00488
-0.05856,0.03904,-0.01952,0.00976,0.03904,-0.0488,0.04392,0.05856,0.02928,0.02928,0.00488,0.01464
-0.07808,0.05856,-0.03904,0,0.03904,-0.05856,0.05856,0.0732,0.04392,0.03416,0.00488,0.01952
-0.08784,0.05856,-0.02928,0.01464,0.05856,-0.0732,0.05368,0.0732,0.04392,0.03904,0.01464,0.0244
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.04392,0.06832,0.03904,0.03904,0.00488,0.03416
-0.05368,0.03904,-0.0244,0.00244,0.02928,-0.04148,0.04392,0.06832,0.03904,0.02928,0.00976,0.0488
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0.05368,0.07808,0.0488,0.02928,0.01952,0.06344
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0.0488,0.07808,0.0488,0.03904,0.01952,0.06344
-0.06344,0.0366,-0.00976,0.02196,0.05368,-0.05856,0.05368,0.0976,0.05856,0.05368,0.03904,0.05856
-0.08296,0.04392,-0.00488,0.0366,0.07808,-0.08052,0.05368,0.0976,0.06832,0.06344,0.03904,0.05856
-0.06832,0.03904,-0.00976,0.0244,0.05856,-0.06344,0.03904,0.08296,0.05856,0.05368,0.03416,0.03416
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.01952,0.0732,0.03904,0.03904,0.01464,0.01464
0.00488,0.00732,-0.01952,-0.02196,-0.0244,0.01464,0.00488,0.0732,0.03904,0.03416,0.0244,0.00488
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.01464,0.0732,0.03904,0.03904,0.02928,0.00488
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.02928,0.08296,0.05368,0.0488,0.02928,0.00976
-0.01464,0.00488,0.00488,0.0122,0.01952,-0.01708,0.02928,0.08296,0.0488,0.0488,0.02928,0.01464
-0.01952,0.00244,0.01464,0.0244,0.03416,-0.02684,0.03904,0.09272,0.05856,0.05368,0.03416,0.01464
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,0.03904,0.0976,0.06344,0.06344,0.04392,0.0244
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.03416,0.10736,0.05856,0.07808,0.05856,0.01952
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,0.02928,0.10736,0.06344,0.07808,0.06344,0.0244
0.00976,-0.00244,-0.00488,-0.00976,-0.01464,0.0122,0.0244,0.0976,0.06344,0.06832,0.05856,0.0244
0.0244,-0.00976,-0.00488,-0.01708,-0.02928,0.02684,0.0244,0.0976,0.06344,0.06832,0.05856,0.02928
0.03416,-0.01952,0.00488,-0.0122,-0.02928,0.03172,0.01464,0.09272,0.05856,0.07808,0.06344,0.0244
0.01952,-0.01708,0.01464,0.00488,-0.00488,0.0122,0.01464,0.0976,0.05856,0.08784,0.0732,0.02928
0.0244,-0.01952,0.01464,0.00244,-0.00976,0.01708,0.00488,0.0976,0.06344,0.09272,0.07808,0.01952
0.02928,-0.02196,0.01464,0,-0.01464,0.02196,0.00976,0.10248,0.05856,0.08784,0.0732,0.01952
0.03416,-0.02928,0.0244,0.00732,-0.00976,0.02196,0.01464,0.11224,0.06344,0.09272,0.07808,0.0244
0.03904,-0.03416,0.02928,0.00976,-0.00976,0.0244,0.00488,0.11712,0.07808,0.09272,0.07808,0.0244
0.05856,-0.05124,0.04392,0.01464,-0.01464,0.0366,-0.00488,0.10736,0.07808,0.08784,0.08784,0.01952
0.08784,-0.06832,0.0488,0.00488,-0.03904,0.06344,-0.00976,0.122,0.0732,0.0976,0.08296,0.01952
0.09272,-0.07076,0.0488,0.00244,-0.04392,0.06832,-0.00976,0.12688,0.06344,0.10248,0.10248,0.0244
0.09272,-0.06588,0.03904,-0.00732,-0.05368,0.0732,-0.01464,0.12688,0.06344,0.11224,0.10736,0.03904
0.10248,-0.06832,0.03416,-0.01708,-0.06832,0.0854,-0.01952,0.12688,0.0732,0.11224,0.122,0.05368
0.10736,-0.0732,0.03904,-0.01464,-0.06832,0.08784,-0.0244,0.13176,0.07808,0.11712,0.12688,0.05856
0.122,-0.08296,0.04392,-0.01708,-0.07808,0.10004,-0.01464,0.13664,0.07808,0.11712,0.12688,0.05856
0.122,-0.08296,0.04392,-0.01708,-0.07808,0.10004,-0.01464,0.1464,0.08296,0.12688,0.12688,0.06344
0.10736,-0.08296,0.05856,0.00488,-0.0488,0.07808,-0.00976,0.14152,0.07808,0.122,0.11224,0.0732
0.11224,-0.0854,0.05856,0.00244,-0.05368,0.08296,-0.01952,0.14152,0.07808,0.12688,0.11712,0.07808
0.13664,-0.09272,0.0488,-0.01952,-0.08784,0.11224,-0.01952,0.1464,0.07808,0.11712,0.12688,0.08784
0.15128,-0.09028,0.02928,-0.04636,-0.122,0.13664,-0.01952,0.1464,0.07808,0.11712,0.13176,0.08784
0.16592,-0.10004,0.03416,-0.0488,-0.13176,0.14884,-0.0244,0.1464,0.07808,0.12688,0.13176,0.08784
0.16592,-0.10248,0.03904,-0.04392,-0.12688,0.1464,-0.02928,0.1464,0.0732,0.12688,0.13664,0.09272
0.16104,-0.10736,0.05368,-0.02684,-0.10736,0.1342,-0.02928,0.1464,0.06832,0.11712,0.12688,0.09272
0.15128,-0.11224,0.0732,-0.00244,-0.07808,0.11468,-0.02928,0.14152,0.06832,0.11224,0.122,0.0976
0.14152,-0.10492,0.06832,-0.00244,-0.0732,0.10736,-0.0244,0.14152,0.07808,0.12688,0.12688,0.10736
0.11712,-0.08296,0.0488,-0.00976,-0.06832,0.09272,-0.01464,0.14152,0.08296,0.13176,0.13176,0.11224
0.10248,-0.07076,0.03904,-0.0122,-0.06344,0.08296,-0.01464,0.13664,0.08296,0.12688,0.13176,0.10736
0.09272,-0.07564,0.05856,0.0122,-0.03416,0.06344,-0.01464,0.122,0.07808,0.122,0.122,0.10736
0.08784,-0.0732,0.05856,0.01464,-0.02928,0.05856,-0.01952,0.10736,0.06832,0.10736,0.11224,0.10736
0.08784,-0.06832,0.0488,0.00488,-0.03904,0.06344,-0.01464,0.08784,0.05856,0.08784,0.08784,0.0976
0.0732,-0.061,0.0488,0.0122,-0.0244,0.0488,-0.00488,0.07808,0.06344,0.08296,0.07808,0.08784
0.03416,-0.03904,0.04392,0.02684,0.00976,0.0122,0.00488,0.0732,0.06344,0.07808,0.0732,0.0732
0.01952,-0.02928,0.03904,0.02928,0.01952,0,0.01464,0.0732,0.0732,0.08296,0.0732,0.05368
-0.00488,-0.0122,0.02928,0.03172,0.03416,-0.01952,0.01952,0.0732,0.06344,0.0732,0.06344,0.03416
-0.0488,0.01464,0.01952,0.04392,0.06832,-0.05856,0.0244,0.08296,0.0732,0.0732,0.05856,0.02928
-0.08296,0.0366,0.00976,0.05124,0.09272,-0.08784,0.0488,0.08296,0.08296,0.0732,0.06344,0.03416
-0.08784,0.05124,-0.01464,0.02928,0.0732,-0.08052,0.03904,0.06344,0.0732,0.06344,0.04392,0.03416
-0.06344,0.03416,-0.00488,0.02684,0.05856,-0.061,0.04392,0.05856,0.0488,0.03904,0.0244,0.01952
-0.05368,0.02196,0.00976,0.0366,0.06344,-0.05856,0.03416,0.0488,0.03904,0.00976,0,0
-0.0244,0,0.0244,0.0366,0.0488,-0.0366,0.0244,0.02928,0.02928,0.00976,-0.00976,-0.00976
-0.02928,0.00488,0.01952,0.03416,0.0488,-0.03904,0.03416,0.02928,0.03416,0.01952,-0.00976,-0.00488
-0.03416,0.01708,0,0.01708,0.03416,-0.03416,0.03416,0.02928,0.03416,0.01952,0,-0.01464
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.03904,0.03904,0.03416,0.01952,-0.00976,-0.03416
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0.03904,0.04392,0.03416,0.0244,-0.00976,-0.03416
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,0.0488,0.03904,0.03904,0.02928,-0.00488,-0.01952
-0.0976,0.05124,-0.00488,0.04392,0.09272,-0.09516,0.05368,0.03904,0.03904,0.02928,0,-0.01464
-0.10248,0.04392,0.01464,0.06588,0.11712,-0.1098,0.04392,0.03904,0.04392,0.02928,0.00976,-0.00488
-0.07808,0.0366,0.00488,0.04392,0.08296,-0.08052,0.04392,0.03416,0.03904,0.01952,0,-0.00976
-0.07808,0.04636,-0.01464,0.0244,0.06344,-0.07076,0.0488,0.03416,0.02928,0.01464,-0.00488,-0.01952
-0.08296,0.05368,-0.0244,0.01708,0.05856,-0.07076,0.0488,0.03416,0.02928,0.01464,-0.00976,-0.0244
-0.08296,0.05124,-0.01952,0.02196,0.06344,-0.0732,0.0488,0.02928,0.0244,0.00488,-0.00976,-0.01464
-0.0732,0.04148,-0.00976,0.02684,0.06344,-0.06832,0.0488,0.0244,0.00976,0,-0.01952,-0.01952
