i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.20008,-0.1708,0.14152,0.04148,-0.05856,0.12932,-0.11224,0.47824,0.33184,0.36112,0.40992,0.22936
0.20496,-0.17568,0.1464,0.04392,-0.05856,0.13176,-0.122,0.45872,0.32696,0.35136,0.40504,0.22448
0.20496,-0.17568,0.1464,0.04392,-0.05856,0.13176,-0.12688,0.42944,0.30744,0.33184,0.39528,0.22448
0.21472,-0.18544,0.15616,0.0488,-0.05856,0.13664,-0.13664,0.40992,0.29768,0.33184,0.3904,0.20984
0.20496,-0.183,0.16104,0.05856,-0.04392,0.12444,-0.13664,0.38064,0.2928,0.30744,0.366,0.20008
0.18056,-0.16104,0.14152,0.05124,-0.03904,0.1098,-0.122,0.366,0.26352,0.2928,0.366,0.1952
0.16592,-0.15128,0.13664,0.05368,-0.02928,0.0976,-0.11712,0.33672,0.23912,0.2684,0.33672,0.18544
0.15128,-0.13664,0.122,0.04636,-0.02928,0.09028,-0.10248,0.29768,0.2196,0.244,0.30744,0.16592
0.13176,-0.11712,0.10248,0.0366,-0.02928,0.08052,-0.08784,0.27816,0.20496,0.22448,0.28304,0.15128
0.11712,-0.10492,0.09272,0.03416,-0.0244,0.07076,-0.08296,0.25864,0.18544,0.19032,0.2684,0.13176
0.0976,-0.09272,0.08784,0.03904,-0.00976,0.05368,-0.0732,0.22936,0.16592,0.17568,0.23912,0.11224
0.08296,-0.08052,0.07808,0.0366,-0.00488,0.04392,-0.06344,0.20008,0.15128,0.1464,0.20496,0.08296
0.06832,-0.06832,0.06832,0.03416,0,0.03416,-0.05368,0.1708,0.13664,0.13176,0.18544,0.06344
0.05856,-0.05368,0.0488,0.01952,-0.00976,0.03416,-0.02928,0.16104,0.11224,0.11224,0.17568,0.0488
0.04392,-0.0366,0.02928,0.00732,-0.01464,0.02928,-0.01464,0.13664,0.09272,0.09272,0.15616,0.03416
0.03904,-0.03172,0.0244,0.00488,-0.01464,0.02684,-0.00488,0.11712,0.07808,0.0732,0.122,0.0244
0.02928,-0.02196,0.01464,0,-0.01464,0.02196,0.00488,0.09272,0.05368,0.05368,0.10248,0.00488
0.00976,-0.0122,0.01464,0.00976,0.00488,0.00244,0.00488,0.07808,0.04392,0.03416,0.08296,-0.00976
0.00488,-0.00488,0.00488,0.00244,0,0.00244,0.01464,0.06344,0.03416,0.01952,0.06832,-0.0244
0,0.00244,-0.00488,-0.00488,-0.00488,0.00244,0.01464,0.03904,0.01952,0.00976,0.05368,-0.04392
0,0.00732,-0.01464,-0.01464,-0.01464,0.00732,0.0244,0.02928,0.01464,0,0.0488,-0.06344
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0.0244,0.0244,-0.00488,-0.01464,0.03416,-0.0732
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.02928,0.01464,-0.00976,-0.0244,0.0244,-0.09272
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.02928,0.00488,-0.01464,-0.03416,0.0244,-0.08784
-0.01952,0.02928,-0.03904,-0.02928,-0.01952,0,0.02928,-0.00488,-0.01952,-0.04392,0.00976,-0.08784
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,0.03416,-0.01952,-0.02928,-0.05368,0,-0.0976
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0.04392,-0.01952,-0.02928,-0.05856,-0.00488,-0.10736
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,0.04392,-0.0244,-0.03416,-0.05856,0,-0.0976
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,0.04392,-0.0244,-0.03416,-0.05856,0,-0.0976
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.03416,-0.0244,-0.03904,-0.06344,0,-0.09272
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.03416,-0.02928,-0.03904,-0.06344,-0.00488,-0.09272
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,0.04392,-0.02928,-0.03904,-0.06344,0,-0.08296
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,0.0488,-0.02928,-0.03416,-0.05856,0,-0.08296
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.0488,-0.01952,-0.02928,-0.05856,0.00976,-0.08296
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.0488,-0.01952,-0.02928,-0.06344,0.00976,-0.08296
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,0.0488,-0.02928,-0.03904,-0.05368,0.00976,-0.0976
