i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.09272,-0.09272,0.09272,0.04636,0,0.04636,0.00976,0.13664,0.35624,0.27328,0.12688,0.03416
0.10736,-0.10004,0.09272,0.03904,-0.01464,0.061,-0.0244,0.13176,0.366,0.28304,0.1464,0.04392
0.09272,-0.09272,0.09272,0.04636,0,0.04636,-0.01952,0.13176,0.38064,0.28792,0.15616,0.04392
0.07808,-0.07808,0.07808,0.03904,0,0.03904,-0.00488,0.10736,0.38064,0.30256,0.16592,0.06344
0.06832,-0.06344,0.05856,0.0244,-0.00976,0.03904,0.00976,0.0976,0.37088,0.30256,0.1708,0.0732
0.0976,-0.09516,0.09272,0.04392,-0.00488,0.05124,-0.00488,0.09272,0.36112,0.29768,0.17568,0.0732
0.11224,-0.122,0.13176,0.07564,0.01952,0.04636,-0.0244,0.07808,0.35136,0.28792,0.17568,0.07808
0.11224,-0.122,0.13176,0.07564,0.01952,0.04636,-0.05856,0.05856,0.3416,0.28792,0.1708,0.07808
0.09272,-0.10492,0.11712,0.07076,0.0244,0.03416,-0.11224,0.04392,0.32208,0.2684,0.15616,0.07808
0.06344,-0.07076,0.07808,0.04636,0.01464,0.0244,-0.10736,0.0488,0.29768,0.24888,0.15616,0.07808
0.03416,-0.04636,0.05856,0.04148,0.0244,0.00488,-0.06344,0.05856,0.25864,0.22936,0.15128,0.07808
0.06344,-0.08052,0.0976,0.06588,0.03416,0.01464,-0.02928,0.05856,0.23424,0.22448,0.13176,0.08784
0.10248,-0.11956,0.13664,0.0854,0.03416,0.03416,0,0.05856,0.20984,0.20496,0.10736,0.08784
0.06832,-0.0854,0.10248,0.06832,0.03416,0.01708,-0.0244,0.00976,0.16592,0.15616,0.08296,0.06344
0.0244,-0.03904,0.05368,0.04148,0.02928,-0.00244,-0.05856,-0.05856,0.10736,0.10736,0.0488,0.03416
0.0244,-0.04392,0.06344,0.05124,0.03904,-0.00732,-0.03416,-0.0488,0.07808,0.08296,0.01952,0.0244
0,-0.0244,0.0488,0.0488,0.0488,-0.0244,-0.00488,-0.03904,0.03904,0.0488,-0.00488,0.01464
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,0.00488,-0.03904,0.02928,0.03904,-0.00976,0.00976
-0.01464,-0.01464,0.04392,0.05124,0.05856,-0.0366,0.00976,-0.04392,0.01952,0.02928,-0.01464,-0.00488
-0.00488,-0.0244,0.05368,0.05612,0.05856,-0.03172,0.00976,-0.02928,0,0.01952,-0.01952,-0.00488
0.00488,-0.03416,0.06344,0.061,0.05856,-0.02684,0.00976,-0.01464,-0.03416,0,-0.02928,0
0,-0.0244,0.0488,0.0488,0.0488,-0.0244,0.00976,0,-0.04392,-0.00976,-0.0488,-0.00976
-0.00488,-0.01952,0.04392,0.04636,0.0488,-0.02684,0.01464,0.01464,-0.04392,-0.00976,-0.0488,-0.00976
-0.00976,-0.01708,0.04392,0.0488,0.05368,-0.03172,0.01464,-0.00488,-0.03904,-0.00976,-0.05368,-0.01464
-0.01464,-0.01464,0.04392,0.05124,0.05856,-0.0366,0.00976,-0.0244,-0.04392,-0.01952,-0.05856,-0.0244
-0.0244,0,0.0244,0.0366,0.0488,-0.0366,0.00488,-0.03416,-0.06832,-0.02928,-0.08296,-0.03416
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,-0.00976,-0.04392,-0.08296,-0.03904,-0.08784,-0.03416
-0.05368,0.02928,-0.00488,0.02196,0.0488,-0.05124,0.01952,-0.03416,-0.08296,-0.03904,-0.09272,-0.04392
-0.06832,0.04392,-0.01952,0.01464,0.0488,-0.05856,0.06344,-0.0488,-0.08784,-0.0488,-0.09272,-0.0488
-0.04392,0.02196,0,0.02196,0.04392,-0.04392,0.03416,-0.0488,-0.08784,-0.05368,-0.09272,-0.04392
-0.01952,0.00244,0.01464,0.0244,0.03416,-0.02684,0.01464,-0.0488,-0.08784,-0.05368,-0.09272,-0.03416
-0.03416,0.01708,0,0.01708,0.03416,-0.03416,-0.00976,-0.06344,-0.08296,-0.04392,-0.09272,-0.02928
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,-0.05856,-0.0732,-0.08296,-0.04392,-0.09272,-0.02928
-0.0488,0.02684,-0.00488,0.01952,0.04392,-0.04636,-0.00976,-0.04392,-0.07808,-0.05368,-0.09272,-0.03904
-0.0488,0.02684,-0.00488,0.01952,0.04392,-0.04636,0.0488,-0.01952,-0.06832,-0.05368,-0.0976,-0.04392
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,0.01464,-0.01952,-0.06832,-0.05368,-0.10736,-0.05368
-0.01952,0.00244,0.01464,0.0244,0.03416,-0.02684,-0.01952,-0.03416,-0.06832,-0.05856,-0.11224,-0.05856
-0.00976,-0.00244,0.01464,0.01952,0.0244,-0.01708,-0.01952,-0.03904,-0.06832,-0.05856,-0.10736,-0.0488
-0.00976,-0.00244,0.01464,0.01952,0.0244,-0.01708,-0.01952,-0.02928,-0.06344,-0.05368,-0.10248,-0.03904
-0.0244,0.00732,0.00976,0.02196,0.03416,-0.02928,0.00488,-0.02928,-0.06832,-0.05368,-0.10248,-0.03904
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,0.05856,-0.03416,-0.0732,-0.05368,-0.09272,-0.03416
-0.02928,0.00732,0.01464,0.02928,0.04392,-0.0366,0.07808,-0.04392,-0.06344,-0.05368,-0.09272,-0.03416
-0.02928,0.00732,0.01464,0.02928,0.04392,-0.0366,0.06832,-0.0488,-0.06344,-0.0488,-0.09272,-0.04392
-0.00976,-0.00732,0.0244,0.02928,0.03416,-0.02196,0.01952,-0.03904,-0.06344,-0.0488,-0.09272,-0.04392
0.01464,-0.02928,0.04392,0.0366,0.02928,-0.00732,-0.02928,-0.01464,-0.05856,-0.03416,-0.07808,-0.02928
0.0244,-0.03416,0.04392,0.03172,0.01952,0.00244,-0.05368,-0.01464,-0.05856,-0.03416,-0.06832,-0.02928
0.0244,-0.03416,0.04392,0.03172,0.01952,0.00244,-0.05368,-0.01952,-0.05856,-0.03416,-0.06344,-0.02928
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,-0.00976,-0.00976,-0.05856,-0.03416,-0.06344,-0.02928
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.01464,-0.01952,-0.05856,-0.03904,-0.06832,-0.02928
-0.06344,0.03904,-0.01464,0.01708,0.0488,-0.05612,0.01464,-0.04392,-0.06344,-0.0488,-0.07808,-0.03416
-0.06344,0.03416,-0.00488,0.02684,0.05856,-0.061,0.01464,-0.06344,-0.06344,-0.05368,-0.08784,-0.03904
-0.03904,0.01708,0.00488,0.0244,0.04392,-0.04148,0.00488,-0.05368,-0.06344,-0.04392,-0.06832,-0.0244
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,-0.00488,-0.03904,-0.06344,-0.04392,-0.06832,-0.01952
-0.0244,-0.00244,0.02928,0.04148,0.05368,-0.03904,0.00488,-0.01952,-0.05368,-0.02928,-0.06832,-0.01952
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,0,-0.00976,-0.03904,-0.01464,-0.0732,-0.02928
-0.0244,0.00732,0.00976,0.02196,0.03416,-0.02928,-0.00976,-0.05856,-0.06344,-0.04392,-0.08784,-0.03416
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01464,-0.10248,-0.08784,-0.06832,-0.0976,-0.03416
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,-0.04392,-0.05368,-0.08784,-0.05856,-0.07808,-0.03416
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.06344,-0.01464,-0.09272,-0.0488,-0.06832,-0.03416
-0.01464,0.00732,0,0.00732,0.01464,-0.01464,-0.02928,-0.02928,-0.08784,-0.0488,-0.06832,-0.03416
-0.01464,0.00488,0.00488,0.0122,0.01952,-0.01708,-0.00976,-0.04392,-0.07808,-0.04392,-0.06344,-0.02928
0.00976,-0.01952,0.02928,0.0244,0.01952,-0.00488,-0.00976,-0.05856,-0.0732,-0.03416,-0.0488,-0.01464
0.02928,-0.04148,0.05368,0.03904,0.0244,0.00244,-0.01952,-0.0732,-0.07808,-0.03416,-0.04392,-0.00488
