i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.19032,-0.13908,0.08784,-0.00732,-0.10248,0.1464,-0.854,-1.1956,-1.62016,-1.05408,-0.33184,0.12688
0.12688,-0.04148,-0.04392,-0.10736,-0.1708,0.14884,-0.64416,-0.87352,-1.24928,-0.83448,-0.32696,0.0244
0.0732,0.02928,-0.13176,-0.16836,-0.20496,0.13908,-0.42944,-0.58072,-0.89304,-0.61488,-0.2684,-0.01952
0.0244,0.0488,-0.122,-0.1342,-0.1464,0.0854,-0.244,-0.37088,-0.54656,-0.38552,-0.18056,-0.01952
0.02928,0.0244,-0.07808,-0.09272,-0.10736,0.06832,-0.14152,-0.20008,-0.28792,-0.1708,-0.0488,0.01464
-0.00488,0.04148,-0.07808,-0.07564,-0.0732,0.03416,-0.05368,-0.08784,-0.13664,-0.06344,-0.01464,-0.00488
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,-0.0244,-0.05368,-0.09272,-0.05368,-0.0244,-0.0244
0.00488,0.03904,-0.08296,-0.0854,-0.08784,0.04636,0.0244,0,-0.05368,-0.04392,-0.01464,-0.02928
-0.00976,0.05612,-0.10248,-0.0976,-0.09272,0.04148,0.03904,0.00976,-0.02928,-0.02928,-0.01464,-0.02928
-0.00976,0.05612,-0.10248,-0.0976,-0.09272,0.04148,0.04392,0.01952,-0.01464,-0.02928,-0.02928,-0.03904
-0.0244,0.06832,-0.11224,-0.10004,-0.08784,0.03172,0.04392,0.00976,-0.01952,-0.04392,-0.04392,-0.05368
-0.02928,0.07564,-0.122,-0.10736,-0.09272,0.03172,0.06344,0.02928,0,-0.03416,-0.02928,-0.0488
-0.03904,0.07808,-0.11712,-0.0976,-0.07808,0.01952,0.07808,0.05368,0.03416,-0.01464,-0.03416,-0.0488
-0.03904,0.07808,-0.11712,-0.0976,-0.07808,0.01952,0.08784,0.05368,0.03416,-0.01464,-0.03904,-0.05368
-0.0488,0.09028,-0.13176,-0.10736,-0.08296,0.01708,0.08784,0.04392,0.02928,-0.00488,-0.02928,-0.05368
-0.04392,0.08784,-0.13176,-0.1098,-0.08784,0.02196,0.08296,0.0488,0.02928,0,-0.02928,-0.05368
-0.03416,0.07808,-0.122,-0.10492,-0.08784,0.02684,0.06832,0.05368,0.03416,-0.00488,-0.02928,-0.05368
-0.03904,0.07564,-0.11224,-0.09272,-0.0732,0.01708,0.05856,0.05856,0.03904,-0.00976,-0.03904,-0.05368
-0.03416,0.08052,-0.12688,-0.1098,-0.09272,0.02928,0.06832,0.0732,0.0488,0.00976,-0.03904,-0.03904
-0.03904,0.0854,-0.13176,-0.11224,-0.09272,0.02684,0.07808,0.06832,0.06344,0.01952,-0.02928,-0.03904
-0.04392,0.08784,-0.13176,-0.1098,-0.08784,0.02196,0.0976,0.06832,0.0732,0.02928,-0.01952,-0.04392
-0.03416,0.06832,-0.10248,-0.0854,-0.06832,0.01708,0.09272,0.06832,0.06832,0.01952,-0.01952,-0.04392
-0.02928,0.061,-0.09272,-0.07808,-0.06344,0.01708,0.10248,0.08296,0.07808,0.0244,-0.01464,-0.04392
-0.01952,0.06588,-0.11224,-0.10248,-0.09272,0.0366,0.10248,0.09272,0.08784,0.03416,-0.00976,-0.03904
-0.01952,0.06344,-0.10736,-0.0976,-0.08784,0.03416,0.0976,0.09272,0.10736,0.0488,-0.00488,-0.03416
-0.01952,0.05368,-0.08784,-0.07808,-0.06832,0.0244,0.0976,0.09272,0.11224,0.0488,-0.00488,-0.03416
-0.01952,0.05124,-0.08296,-0.0732,-0.06344,0.02196,0.08784,0.09272,0.11712,0.05856,0,-0.02928
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.08784,0.10248,0.11712,0.06832,0.00488,-0.0244
-0.00976,0.04636,-0.08296,-0.07808,-0.0732,0.03172,0.0976,0.10248,0.13664,0.0732,0.00488,-0.02928
-0.00488,0.04636,-0.08784,-0.0854,-0.08296,0.03904,0.0976,0.11224,0.1464,0.07808,0.00488,-0.02928
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.09272,0.12688,0.1464,0.07808,0.00976,-0.01952
-0.01952,0.05368,-0.08784,-0.07808,-0.06832,0.0244,0.09272,0.13664,0.15616,0.08296,0.00976,-0.01952
