i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.61488,-0.8418,1.06872,0.76128,0.45384,0.08052,-0.8784,-1.23464,-0.18056,0.46848,0.94184,1.1712
0.14152,-0.60024,1.05896,0.9882,0.91744,-0.38796,-0.58072,-1.16632,0.0244,0.55144,0.90768,1.08336
-0.08784,-0.37332,0.83448,0.8784,0.92232,-0.50508,-0.3172,-1.03456,0.00976,0.36112,0.61488,0.80032
-0.28792,-0.16836,0.62464,0.7686,0.91256,-0.60024,-0.05856,-0.91256,-0.12688,0.0732,0.24888,0.45872
-0.39528,0.0122,0.37088,0.56852,0.76616,-0.58072,0.12688,-0.71736,-0.20496,-0.13176,-0.03904,0.09272
-0.3904,0.11224,0.16592,0.36112,0.55632,-0.47336,0.17568,-0.59048,-0.25376,-0.19032,-0.1464,-0.0488
-0.35624,0.12688,0.10248,0.2806,0.45872,-0.40748,0.17568,-0.488,-0.21472,-0.16104,-0.14152,-0.06832
-0.25376,0.09028,0.0732,0.20008,0.32696,-0.29036,0.14152,-0.27816,-0.16592,-0.14152,-0.13664,-0.08784
-0.18544,0.07076,0.04392,0.13664,0.22936,-0.2074,0.09272,-0.16104,-0.1464,-0.11712,-0.122,-0.09272
-0.13176,0.05612,0.01952,0.0854,0.15128,-0.14152,0.06832,-0.0976,-0.0976,-0.06832,-0.08296,-0.0976
-0.10248,0.0488,0.00488,0.05612,0.10736,-0.10492,0.0732,-0.04392,-0.05368,-0.01952,-0.06344,-0.06832
-0.08296,0.04148,0,0.04148,0.08296,-0.08296,0.06344,0.00488,-0.02928,-0.01464,-0.05368,-0.05856
-0.05368,0.03172,-0.00976,0.01708,0.04392,-0.0488,0.06344,0.03416,-0.02928,-0.03416,-0.06344,-0.0732
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.06344,0.03904,-0.03904,-0.02928,-0.06832,-0.08296
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.06344,0.03416,-0.03416,-0.0244,-0.06832,-0.07808
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.06344,0.05368,-0.0244,-0.0244,-0.06832,-0.07808
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0.06344,0.06344,-0.01952,-0.0244,-0.06832,-0.07808
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0.06344,0.05368,-0.0244,-0.0244,-0.05856,-0.07808
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0.05856,0.05368,-0.0244,-0.0244,-0.05856,-0.07808
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0.05856,0.05368,-0.01952,-0.01952,-0.05856,-0.07808
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,0.05368,0.05368,-0.01952,-0.01952,-0.05368,-0.07808
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.05368,0.05368,-0.01952,-0.01952,-0.05368,-0.08296
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.05856,0.05856,-0.01952,-0.01952,-0.05368,-0.07808
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,0.05368,0.05856,-0.01952,-0.01464,-0.0488,-0.07808
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.05368,0.05856,-0.01464,-0.01464,-0.0488,-0.07808
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.05368,0.05856,-0.01464,-0.01952,-0.0488,-0.07808
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.05368,0.05856,-0.01464,-0.01952,-0.0488,-0.0732
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.05368,0.06344,-0.01464,-0.00976,-0.04392,-0.06344
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.05368,0.05856,-0.00976,-0.00976,-0.04392,-0.06344
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,0.05368,0.05856,-0.00976,-0.00976,-0.04392,-0.0732
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.05368,0.06344,-0.00976,-0.00976,-0.04392,-0.06832
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.06344,0.06344,-0.00488,-0.00976,-0.04392,-0.06832
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.06344,0.06344,-0.00488,-0.00488,-0.04392,-0.06832
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.06832,0.06344,-0.00976,-0.00488,-0.04392,-0.06832
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.06832,0.06344,-0.00488,-0.00488,-0.03904,-0.06832
