i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.1464,0.13664,-0.12688,-0.05368,0.01952,-0.08296,-0.18056,-0.6344,-0.488,-0.29768,-0.13664,-0.0732
-0.17568,0.18788,-0.20008,-0.11224,-0.0244,-0.07564,-0.14152,-0.52704,-0.4392,-0.28304,-0.1464,-0.11712
-0.18544,0.20008,-0.21472,-0.122,-0.02928,-0.07808,-0.05368,-0.35624,-0.33672,-0.23912,-0.1464,-0.13176
-0.14152,0.16836,-0.1952,-0.12444,-0.05368,-0.04392,-0.05368,-0.26352,-0.25376,-0.18056,-0.10736,-0.11224
-0.08784,0.1098,-0.13176,-0.08784,-0.04392,-0.02196,-0.05368,-0.21472,-0.1952,-0.122,-0.05856,-0.07808
-0.08784,0.10248,-0.11712,-0.0732,-0.02928,-0.02928,-0.03904,-0.15616,-0.15128,-0.09272,-0.03904,-0.05856
-0.09272,0.11224,-0.13176,-0.0854,-0.03904,-0.02684,-0.02928,-0.13664,-0.1464,-0.09272,-0.0488,-0.06344
-0.10248,0.11468,-0.12688,-0.07564,-0.0244,-0.03904,-0.02928,-0.13664,-0.14152,-0.09272,-0.0488,-0.0732
-0.09272,0.10736,-0.122,-0.07564,-0.02928,-0.03172,-0.0244,-0.13664,-0.13664,-0.09272,-0.0488,-0.0732
-0.08784,0.10492,-0.122,-0.07808,-0.03416,-0.02684,-0.0244,-0.12688,-0.12688,-0.08784,-0.04392,-0.07808
-0.08784,0.10492,-0.122,-0.07808,-0.03416,-0.02684,-0.0244,-0.11712,-0.122,-0.08784,-0.04392,-0.07808
-0.08784,0.10492,-0.122,-0.07808,-0.03416,-0.02684,-0.0244,-0.10736,-0.11712,-0.08784,-0.04392,-0.07808
-0.08784,0.10492,-0.122,-0.07808,-0.03416,-0.02684,-0.01952,-0.10248,-0.11224,-0.07808,-0.03904,-0.0732
-0.07808,0.09516,-0.11224,-0.0732,-0.03416,-0.02196,-0.01464,-0.10736,-0.11224,-0.07808,-0.03904,-0.0732
-0.0732,0.09028,-0.10736,-0.07076,-0.03416,-0.01952,-0.01464,-0.10736,-0.10736,-0.07808,-0.03416,-0.0732
-0.06832,0.08784,-0.10736,-0.0732,-0.03904,-0.01464,-0.01464,-0.10248,-0.10736,-0.07808,-0.03416,-0.0732
-0.06832,0.08784,-0.10736,-0.0732,-0.03904,-0.01464,-0.01464,-0.0976,-0.10736,-0.0732,-0.03416,-0.06832
-0.06832,0.08296,-0.0976,-0.06344,-0.02928,-0.01952,-0.01464,-0.0976,-0.10248,-0.06832,-0.03416,-0.06344
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,-0.01464,-0.09272,-0.0976,-0.06344,-0.02928,-0.06344
-0.05856,0.0732,-0.08784,-0.05856,-0.02928,-0.01464,-0.00976,-0.08296,-0.0976,-0.06344,-0.0244,-0.05856
-0.05856,0.07076,-0.08296,-0.05368,-0.0244,-0.01708,-0.00976,-0.08296,-0.09272,-0.05856,-0.0244,-0.05368
-0.05856,0.0732,-0.08784,-0.05856,-0.02928,-0.01464,-0.00976,-0.06832,-0.08296,-0.0488,-0.01952,-0.05368
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,-0.00488,-0.06832,-0.08296,-0.04392,-0.01464,-0.0488
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,0,-0.05856,-0.07808,-0.03904,-0.00976,-0.0488
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,0,-0.05368,-0.0732,-0.03416,-0.00976,-0.0488
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.00488,-0.04392,-0.06832,-0.03416,-0.00488,-0.04392
-0.0488,0.061,-0.0732,-0.0488,-0.0244,-0.0122,0.00488,-0.03416,-0.05856,-0.02928,0,-0.03904
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.00488,-0.02928,-0.05856,-0.0244,0,-0.03416
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.00976,-0.0244,-0.0488,-0.01952,0.00488,-0.0244
-0.03904,0.04636,-0.05368,-0.03416,-0.01464,-0.0122,0.00976,-0.01464,-0.04392,-0.01464,0.00488,-0.0244
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.00976,-0.00976,-0.03416,-0.00976,0.00976,-0.01952
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,0.01464,0,-0.0244,0,0.01464,-0.01464
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,0.01464,0.01464,-0.01952,0.00488,0.01952,-0.00976
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.01464,0.01952,-0.00488,0.00976,0.0244,-0.00488
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.00976,0.03416,0.00488,0.01952,0.02928,-0.00488
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.01464,0.05368,0.01464,0.0244,0.03416,-0.00488
