i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.122,0.1342,-0.1464,-0.0854,-0.0244,-0.0488,0,-0.11712,-0.11712,-0.16104,-0.19032,-0.13176
-0.12688,0.13908,-0.15128,-0.08784,-0.0244,-0.05124,0.00488,-0.122,-0.11712,-0.16592,-0.19032,-0.13176
-0.12688,0.13908,-0.15128,-0.08784,-0.0244,-0.05124,0.00488,-0.12688,-0.11712,-0.16592,-0.18544,-0.13176
-0.11224,0.12688,-0.14152,-0.0854,-0.02928,-0.04148,-0.00488,-0.13176,-0.11712,-0.16104,-0.1708,-0.122
-0.11224,0.12444,-0.13664,-0.08052,-0.0244,-0.04392,0.00488,-0.122,-0.11712,-0.16592,-0.1708,-0.122
-0.16104,0.16592,-0.1708,-0.09028,-0.00976,-0.07564,0.05856,-0.0976,-0.12688,-0.20984,-0.22448,-0.17568
-0.22448,0.20496,-0.18544,-0.0732,0.03904,-0.13176,0.13664,-0.05368,-0.13664,-0.25376,-0.28304,-0.22448
-0.28792,0.2318,-0.17568,-0.03172,0.11224,-0.20008,0.23424,0.01464,-0.12688,-0.2928,-0.32696,-0.2684
-0.28304,0.20984,-0.13664,0.00488,0.1464,-0.21472,0.29768,0.15128,-0.05856,-0.25864,-0.2928,-0.23912
-0.12688,0.13908,-0.15128,-0.08784,-0.0244,-0.05124,0.37576,0.44408,0.01952,-0.18056,-0.21472,-0.18056
0.17568,-0.07808,-0.01952,-0.10736,-0.1952,0.18544,0.3416,0.6344,0.2684,0.15128,0.07808,0.0488
0.6344,-0.4392,0.244,-0.0732,-0.3904,0.5124,0.11712,0.64416,0.59536,0.64416,0.54656,0.42456
1.01504,-0.79544,0.57584,0.06832,-0.4392,0.72712,-0.09272,0.5856,0.93208,1.15656,1.01992,0.8052
1.37616,-1.21756,1.05896,0.37088,-0.3172,0.84668,-0.38552,0.5124,1.41032,1.89344,1.65432,1.30784
1.52744,-1.47864,1.42984,0.66612,-0.0976,0.81252,-0.67832,0.22936,1.64456,2.30336,2.03984,1.64944
1.40544,-1.3542,1.30296,0.60024,-0.10248,0.75396,-0.7808,-0.10736,1.464,2.03496,1.83488,1.54696
1.21024,-1.10532,1.0004,0.39528,-0.20984,0.71004,-0.9516,-0.40016,0.86376,1.36152,1.29808,1.20048
0.52216,-0.55144,0.58072,0.31964,0.05856,0.2318,-0.976,-0.81496,-0.20496,0.24888,0.4392,0.56608
-0.00488,-0.15616,0.3172,0.31964,0.32208,-0.16348,-0.84912,-1.01504,-0.67832,-0.33672,-0.07808,0.13664
-0.11224,-0.01708,0.1464,0.20252,0.25864,-0.18544,-0.61488,-0.78568,-0.64416,-0.41968,-0.2196,-0.0244
-0.122,0.03904,0.04392,0.10492,0.16592,-0.14396,-0.39528,-0.488,-0.49288,-0.36112,-0.23912,-0.08784
-0.10248,0.061,-0.01952,0.03172,0.08296,-0.09272,-0.20496,-0.26352,-0.33184,-0.28304,-0.20496,-0.0976
-0.08296,0.061,-0.03904,0.00244,0.04392,-0.06344,-0.10736,-0.15616,-0.20008,-0.19032,-0.15616,-0.08784
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,-0.09272,-0.13176,-0.14152,-0.13176,-0.11712,-0.0732
-0.06344,0.05124,-0.03904,-0.00732,0.0244,-0.04392,-0.0488,-0.08784,-0.11224,-0.11712,-0.11712,-0.0732
-0.06344,0.061,-0.05856,-0.02684,0.00488,-0.03416,-0.00488,-0.05856,-0.0976,-0.122,-0.12688,-0.08784
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,0.01464,-0.03416,-0.08784,-0.122,-0.12688,-0.09272
-0.05856,0.07564,-0.09272,-0.06344,-0.03416,-0.0122,0.01464,-0.0244,-0.08784,-0.122,-0.13664,-0.0976
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.01464,-0.0244,-0.08784,-0.12688,-0.1464,-0.0976
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.0244,-0.0244,-0.08296,-0.12688,-0.1464,-0.10248
-0.05856,0.07808,-0.0976,-0.06832,-0.03904,-0.00976,0.02928,-0.00976,-0.07808,-0.12688,-0.1464,-0.10736
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.0244,0,-0.0732,-0.11224,-0.14152,-0.10736
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.0244,0.00488,-0.0732,-0.11224,-0.14152,-0.10248
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.0244,0.00488,-0.06832,-0.11224,-0.14152,-0.10248
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.0244,0.00976,-0.06832,-0.11224,-0.14152,-0.10248
-0.03904,0.06832,-0.0976,-0.07808,-0.05856,0.00976,0.02928,0.02928,-0.05856,-0.0976,-0.13176,-0.0976
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0.03904,0.03904,-0.05368,-0.09272,-0.12688,-0.0976
-0.03416,0.061,-0.08784,-0.07076,-0.05368,0.00976,0.03904,0.03904,-0.0488,-0.09272,-0.122,-0.09272
-0.02928,0.05612,-0.08296,-0.06832,-0.05368,0.0122,0.03904,0.0488,-0.04392,-0.08784,-0.11712,-0.08784
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,0.04392,0.05856,-0.03416,-0.08296,-0.11712,-0.08784
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.04392,0.06832,-0.02928,-0.08296,-0.11224,-0.08296
-0.0244,0.05124,-0.07808,-0.06588,-0.05368,0.01464,0.04392,0.0732,-0.0244,-0.07808,-0.10248,-0.07808
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.04392,0.08296,-0.01464,-0.0732,-0.0976,-0.07808
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,0.0488,0.09272,-0.00488,-0.06344,-0.08784,-0.0732
-0.00976,0.03904,-0.06832,-0.06344,-0.05856,0.0244,0.05368,0.10248,0.00488,-0.05368,-0.08296,-0.06832
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.05368,0.11224,0.00976,-0.04392,-0.07808,-0.06344
0.00488,0.0244,-0.05368,-0.05612,-0.05856,0.03172,0.05368,0.12688,0.02928,-0.03416,-0.07808,-0.05368
0.01464,0.01464,-0.04392,-0.05124,-0.05856,0.0366,0.05368,0.1464,0.04392,-0.01952,-0.06832,-0.04392
0.01952,0.00732,-0.03416,-0.04392,-0.05368,0.0366,0.05856,0.1708,0.05368,0,-0.05368,-0.03416
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,0.05856,0.18056,0.06832,0.00488,-0.03904,-0.0244
0.03904,-0.0122,-0.01464,-0.03416,-0.05368,0.04636,0.05856,0.1952,0.08784,0.0244,-0.02928,-0.01952
0.0488,-0.0244,0,-0.0244,-0.0488,0.0488,0.06832,0.22448,0.11224,0.04392,-0.01464,-0.00488
0.05856,-0.03416,0.00976,-0.01952,-0.0488,0.05368,0.07808,0.24888,0.13176,0.05856,-0.00976,0.00976
0.0732,-0.05368,0.03416,-0.00244,-0.03904,0.05612,0.07808,0.27816,0.15616,0.08296,0.01952,0.0244
0.08784,-0.06588,0.04392,0,-0.04392,0.06588,0.08296,0.30744,0.18056,0.10736,0.03904,0.03904
0.10736,-0.0854,0.06344,0.00976,-0.04392,0.07564,0.08784,0.3416,0.20984,0.13664,0.05856,0.05368
0.13664,-0.11468,0.09272,0.0244,-0.04392,0.09028,0.09272,0.37576,0.23912,0.17568,0.08296,0.08296
0.14152,-0.11956,0.0976,0.02684,-0.04392,0.09272,0.0976,0.40016,0.26352,0.1952,0.10736,0.09272
0.16104,-0.13908,0.11712,0.0366,-0.04392,0.10248,0.10248,0.41968,0.28304,0.22448,0.12688,0.11712
0.17568,-0.15372,0.13176,0.04392,-0.04392,0.1098,0.10248,0.44408,0.31232,0.25376,0.14152,0.122
0.18544,-0.16348,0.14152,0.0488,-0.04392,0.11468,0.10736,0.4636,0.33184,0.27816,0.15128,0.12688
0.20496,-0.18544,0.16592,0.06344,-0.03904,0.122,0.11224,0.488,0.36112,0.30256,0.17568,0.15128
0.20496,-0.19032,0.17568,0.0732,-0.02928,0.11712,0.11712,0.50752,0.37576,0.3172,0.20008,0.1708
0.20496,-0.19276,0.18056,0.07808,-0.0244,0.11468,0.11224,0.5124,0.3904,0.32696,0.20984,0.18056
0.20984,-0.20008,0.19032,0.0854,-0.01952,0.11468,0.11224,0.51728,0.39528,0.33672,0.2196,0.19032
0.20984,-0.20496,0.20008,0.09516,-0.00976,0.1098,0.11712,0.5124,0.40016,0.34648,0.23424,0.1952
0.20496,-0.20252,0.20008,0.0976,-0.00488,0.10492,0.11712,0.50264,0.40504,0.35624,0.24888,0.20008
0.20984,-0.2074,0.20496,0.10004,-0.00488,0.10736,0.11224,0.488,0.40016,0.34648,0.23912,0.20496
0.20496,-0.2074,0.20984,0.10736,0.00488,0.10004,0.11224,0.45872,0.3904,0.33672,0.22448,0.1952
0.18544,-0.18544,0.18544,0.09272,0,0.09272,0.10248,0.41968,0.36112,0.3172,0.21472,0.18544
0.17568,-0.17812,0.18056,0.09272,0.00488,0.0854,0.0976,0.38064,0.33184,0.28792,0.1952,0.1708
0.16592,-0.16592,0.16592,0.08296,0,0.08296,0.09272,0.33672,0.30256,0.25864,0.16592,0.1464
0.1464,-0.14396,0.14152,0.06832,-0.00488,0.07564,0.08296,0.28792,0.26352,0.22448,0.13176,0.11712
0.122,-0.11956,0.11712,0.05612,-0.00488,0.06344,0.07808,0.244,0.2196,0.18544,0.08784,0.08784
0.07808,-0.08052,0.08296,0.04392,0.00488,0.0366,0.0732,0.19032,0.18056,0.1464,0.05856,0.06832
0.05368,-0.05368,0.05368,0.02684,0,0.02684,0.05856,0.14152,0.13664,0.10248,0.0244,0.03904
0.03416,-0.0366,0.03904,0.02196,0.00488,0.01464,0.0488,0.0976,0.10248,0.06344,-0.00976,0.01952
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,0.03416,0.06344,0.05368,0.01952,-0.03904,-0.00976
