i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0244,-0.01464,0.05368,0.06588,0.07808,-0.05124,-0.0244,-0.09272,-0.08296,-0.15128,-0.07808,-0.07808
-0.01952,-0.01952,0.05856,0.06832,0.07808,-0.0488,-0.02928,-0.0976,-0.09272,-0.16104,-0.08784,-0.07808
-0.01464,-0.02196,0.05856,0.06588,0.0732,-0.04392,-0.03416,-0.10736,-0.10736,-0.1708,-0.10248,-0.07808
-0.01952,-0.02196,0.06344,0.0732,0.08296,-0.05124,-0.03416,-0.10736,-0.10736,-0.18056,-0.10248,-0.07808
-0.01952,-0.02196,0.06344,0.0732,0.08296,-0.05124,-0.02928,-0.10736,-0.10736,-0.18544,-0.10248,-0.07808
-0.01952,-0.0244,0.06832,0.07808,0.08784,-0.05368,-0.02928,-0.10736,-0.11224,-0.20008,-0.10736,-0.08296
-0.01952,-0.02684,0.0732,0.08296,0.09272,-0.05612,-0.02928,-0.11224,-0.11712,-0.20008,-0.10736,-0.08296
-0.02928,-0.01952,0.06832,0.08296,0.0976,-0.06344,-0.02928,-0.11224,-0.11712,-0.20496,-0.10736,-0.08784
-0.01952,-0.0244,0.06832,0.07808,0.08784,-0.05368,-0.02928,-0.11712,-0.122,-0.20984,-0.11224,-0.09272
-0.01952,-0.01952,0.05856,0.06832,0.07808,-0.0488,-0.03416,-0.11712,-0.122,-0.20984,-0.11224,-0.0976
-0.01952,-0.01464,0.0488,0.05856,0.06832,-0.04392,-0.03416,-0.11712,-0.12688,-0.21472,-0.11712,-0.0976
-0.01952,-0.01464,0.0488,0.05856,0.06832,-0.04392,-0.02928,-0.11712,-0.13176,-0.2196,-0.11712,-0.09272
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,-0.02928,-0.11224,-0.13176,-0.22448,-0.122,-0.09272
-0.0244,-0.01464,0.05368,0.06588,0.07808,-0.05124,-0.01952,-0.10736,-0.13176,-0.22936,-0.12688,-0.09272
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,-0.01952,-0.10248,-0.13176,-0.23424,-0.14152,-0.09272
-0.00488,-0.03172,0.06832,0.07076,0.0732,-0.03904,-0.00976,-0.09272,-0.122,-0.23424,-0.13176,-0.10248
0.01464,-0.05124,0.08784,0.08052,0.0732,-0.02928,0,-0.08296,-0.11224,-0.23912,-0.12688,-0.10248
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,-0.00976,-0.09272,-0.122,-0.24888,-0.14152,-0.0976
-0.05856,0.0244,0.00976,0.03904,0.06832,-0.06344,-0.01464,-0.0976,-0.12688,-0.25864,-0.15128,-0.0976
-0.06344,0.02196,0.01952,0.05124,0.08296,-0.0732,-0.01464,-0.0976,-0.12688,-0.25864,-0.15616,-0.10736
-0.06344,0.01708,0.02928,0.061,0.09272,-0.07808,-0.01464,-0.08784,-0.12688,-0.25864,-0.15616,-0.11712
-0.06344,0.01708,0.02928,0.061,0.09272,-0.07808,-0.00976,-0.08784,-0.12688,-0.25864,-0.16104,-0.11712
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0,-0.08296,-0.122,-0.25376,-0.16592,-0.11712
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0,-0.08296,-0.122,-0.25376,-0.16592,-0.122
-0.05856,0.01464,0.02928,0.05856,0.08784,-0.0732,0,-0.08296,-0.122,-0.25376,-0.17568,-0.122
-0.0488,0.00732,0.03416,0.05856,0.08296,-0.06588,0,-0.0732,-0.11712,-0.24888,-0.17568,-0.122
-0.03904,-0.00244,0.04392,0.06344,0.08296,-0.061,0.00488,-0.06344,-0.10736,-0.244,-0.17568,-0.12688
-0.05856,0.00488,0.0488,0.07808,0.10736,-0.08296,0.00976,-0.06344,-0.10248,-0.244,-0.17568,-0.12688
-0.07808,0.01464,0.0488,0.08784,0.12688,-0.10248,0.00976,-0.05856,-0.0976,-0.244,-0.17568,-0.13176
-0.06832,0.0122,0.04392,0.07808,0.11224,-0.09028,0.00976,-0.06344,-0.10248,-0.23912,-0.17568,-0.13176
-0.05856,0.00732,0.04392,0.0732,0.10248,-0.08052,0.00976,-0.06344,-0.10248,-0.23424,-0.1708,-0.13664
-0.03904,-0.00244,0.04392,0.06344,0.08296,-0.061,0.00976,-0.06832,-0.10736,-0.23424,-0.1708,-0.13664
-0.01464,-0.01708,0.0488,0.05612,0.06344,-0.03904,0.01464,-0.06832,-0.11224,-0.23424,-0.16592,-0.13664
-0.01464,-0.0244,0.06344,0.07076,0.07808,-0.04636,0.01464,-0.06832,-0.10736,-0.22936,-0.15616,-0.13176
-0.01464,-0.03172,0.07808,0.0854,0.09272,-0.05368,0.01464,-0.06832,-0.10248,-0.22936,-0.1464,-0.12688
-0.01952,-0.0244,0.06832,0.07808,0.08784,-0.05368,0.00976,-0.06344,-0.10248,-0.21472,-0.15128,-0.11712
-0.02928,-0.01464,0.05856,0.0732,0.08784,-0.05856,0.00488,-0.06344,-0.0976,-0.21472,-0.15128,-0.12688
-0.03416,-0.0122,0.05856,0.07564,0.09272,-0.06344,0.00488,-0.06344,-0.0976,-0.21472,-0.15616,-0.13664
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,0.00488,-0.06344,-0.0976,-0.20984,-0.15616,-0.13664
-0.0488,-0.00244,0.05368,0.07808,0.10248,-0.07564,0.00488,-0.06344,-0.0976,-0.20984,-0.15128,-0.13176
-0.05856,0.01708,0.0244,0.05368,0.08296,-0.07076,-0.00488,-0.06344,-0.0976,-0.20984,-0.15128,-0.13176
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,-0.00488,-0.06344,-0.0976,-0.20984,-0.15128,-0.12688
-0.05368,0.00244,0.0488,0.07564,0.10248,-0.07808,-0.00488,-0.06832,-0.0976,-0.20496,-0.1464,-0.122
-0.0488,-0.00732,0.06344,0.08784,0.11224,-0.08052,-0.00488,-0.0732,-0.0976,-0.20008,-0.1464,-0.122
-0.04392,-0.01464,0.0732,0.09516,0.11712,-0.08052,-0.00976,-0.0732,-0.0976,-0.1952,-0.14152,-0.122
-0.04392,-0.00976,0.06344,0.0854,0.10736,-0.07564,-0.00488,-0.06832,-0.0976,-0.1952,-0.14152,-0.122
-0.04392,-0.00732,0.05856,0.08052,0.10248,-0.0732,0,-0.06832,-0.10248,-0.1952,-0.13664,-0.122
-0.05368,0.00488,0.04392,0.07076,0.0976,-0.07564,0,-0.07808,-0.10736,-0.1952,-0.13664,-0.122
-0.06832,0.01952,0.02928,0.06344,0.0976,-0.08296,-0.00488,-0.07808,-0.10736,-0.1952,-0.13664,-0.122
-0.04392,0,0.04392,0.06588,0.08784,-0.06588,-0.00976,-0.08296,-0.10736,-0.19032,-0.13176,-0.122
-0.01464,-0.0244,0.06344,0.07076,0.07808,-0.04636,-0.00976,-0.08296,-0.10736,-0.18544,-0.12688,-0.122
-0.02928,-0.0122,0.05368,0.06832,0.08296,-0.05612,-0.01464,-0.07808,-0.10736,-0.18544,-0.11712,-0.11712
-0.04392,0,0.04392,0.06588,0.08784,-0.06588,-0.01952,-0.08296,-0.11224,-0.18544,-0.11712,-0.11712
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.01952,-0.08784,-0.11224,-0.19032,-0.122,-0.11224
-0.03904,0.00244,0.03416,0.05368,0.0732,-0.05612,-0.01952,-0.09272,-0.11712,-0.1952,-0.12688,-0.10736
-0.03904,-0.00488,0.0488,0.06832,0.08784,-0.06344,-0.01952,-0.08784,-0.11224,-0.1952,-0.12688,-0.10248
-0.03904,-0.01464,0.06832,0.08784,0.10736,-0.0732,-0.01952,-0.08784,-0.10736,-0.1952,-0.12688,-0.0976
-0.0244,-0.02684,0.07808,0.09028,0.10248,-0.06344,-0.01464,-0.08784,-0.10736,-0.1952,-0.12688,-0.0976
-0.00976,-0.03904,0.08784,0.09272,0.0976,-0.05368,-0.00976,-0.08784,-0.10736,-0.1952,-0.12688,-0.0976
-0.01952,-0.03904,0.0976,0.10736,0.11712,-0.06832,0,-0.08296,-0.10248,-0.19032,-0.11712,-0.0976
-0.0244,-0.04392,0.11224,0.12444,0.13664,-0.08052,0.01464,-0.0732,-0.09272,-0.18056,-0.11224,-0.09272
-0.02928,-0.05124,0.13176,0.1464,0.16104,-0.09516,0.03416,-0.06832,-0.08784,-0.1708,-0.10736,-0.08784
-0.02928,-0.05368,0.13664,0.15128,0.16592,-0.0976,0.0488,-0.05856,-0.08296,-0.1708,-0.10248,-0.08784
-0.03904,-0.04636,0.13176,0.15128,0.1708,-0.10492,0.05856,-0.05856,-0.08296,-0.1708,-0.10248,-0.08784
-0.0488,-0.03904,0.12688,0.15128,0.17568,-0.11224,0.0488,-0.07808,-0.0976,-0.18056,-0.10248,-0.08784
-0.0488,-0.03904,0.12688,0.15128,0.17568,-0.11224,0.00976,-0.10248,-0.11712,-0.1952,-0.11224,-0.08784
-0.04392,-0.05612,0.15616,0.17812,0.20008,-0.122,-0.03416,-0.13176,-0.13176,-0.19032,-0.11224,-0.08296
-0.03904,-0.07076,0.18056,0.20008,0.2196,-0.12932,-0.05856,-0.1464,-0.13664,-0.19032,-0.10248,-0.0732
-0.0244,-0.09272,0.20984,0.22204,0.23424,-0.12932,-0.07808,-0.15128,-0.13664,-0.18056,-0.09272,-0.06832
-0.01952,-0.10492,0.22936,0.23912,0.24888,-0.1342,-0.08296,-0.15128,-0.13664,-0.16592,-0.08296,-0.05368
-0.00976,-0.12444,0.25864,0.26352,0.2684,-0.13908,-0.10248,-0.16592,-0.13664,-0.16592,-0.0732,-0.0488
-0.00488,-0.13908,0.28304,0.28548,0.28792,-0.1464,-0.11224,-0.17568,-0.13664,-0.16592,-0.0732,-0.03904
0,-0.14152,0.28304,0.28304,0.28304,-0.14152,-0.13176,-0.19032,-0.15128,-0.17568,-0.0732,-0.02928
0.03416,-0.1586,0.28304,0.26596,0.24888,-0.10736,-0.15128,-0.20008,-0.16592,-0.19032,-0.0732,-0.02928
0.06832,-0.17324,0.27816,0.244,0.20984,-0.07076,-0.16104,-0.20008,-0.16592,-0.1952,-0.0732,-0.01952
0.06344,-0.16592,0.2684,0.23668,0.20496,-0.07076,-0.16592,-0.20008,-0.16592,-0.1952,-0.06832,-0.01952
0.05368,-0.15616,0.25864,0.2318,0.20496,-0.07564,-0.16592,-0.1952,-0.16592,-0.1952,-0.06832,-0.01952
0.06832,-0.15616,0.244,0.20984,0.17568,-0.05368,-0.1464,-0.18544,-0.15128,-0.18544,-0.06344,-0.01464
0.0732,-0.15128,0.22936,0.19276,0.15616,-0.04148,-0.122,-0.16104,-0.13176,-0.1708,-0.05368,-0.01464
0.05856,-0.12932,0.20008,0.1708,0.14152,-0.04148,-0.11712,-0.1464,-0.122,-0.16592,-0.0488,-0.00976
0.0488,-0.10248,0.15616,0.13176,0.10736,-0.02928,-0.10248,-0.12688,-0.11224,-0.16592,-0.0488,-0.00976
0.03416,-0.0732,0.11224,0.09516,0.07808,-0.02196,-0.09272,-0.122,-0.11224,-0.1708,-0.06832,-0.02928
0.00488,-0.03904,0.0732,0.07076,0.06832,-0.03172,-0.09272,-0.13176,-0.13176,-0.1952,-0.08784,-0.0488
-0.00976,-0.0244,0.05856,0.06344,0.06832,-0.03904,-0.0732,-0.122,-0.13664,-0.20008,-0.10248,-0.0732
-0.01952,-0.0122,0.04392,0.05368,0.06344,-0.04148,-0.05856,-0.11712,-0.14152,-0.20496,-0.11224,-0.08296
-0.0244,-0.0122,0.0488,0.061,0.0732,-0.0488,-0.05856,-0.11712,-0.14152,-0.20984,-0.122,-0.09272
-0.02928,-0.00976,0.0488,0.06344,0.07808,-0.05368,-0.05856,-0.122,-0.14152,-0.2196,-0.12688,-0.0976
-0.0244,-0.00732,0.03904,0.05124,0.06344,-0.04392,-0.05856,-0.122,-0.1464,-0.2196,-0.13176,-0.0976
-0.01952,-0.00976,0.03904,0.0488,0.05856,-0.03904,-0.05856,-0.11712,-0.1464,-0.2196,-0.13176,-0.10248
-0.01952,-0.0122,0.04392,0.05368,0.06344,-0.04148,-0.0488,-0.10736,-0.14152,-0.2196,-0.13664,-0.10736
-0.01952,-0.0122,0.04392,0.05368,0.06344,-0.04148,-0.03416,-0.10248,-0.13176,-0.2196,-0.13664,-0.10736
-0.0244,-0.00732,0.03904,0.05124,0.06344,-0.04392,-0.03416,-0.10248,-0.13176,-0.2196,-0.12688,-0.10736
-0.0244,-0.00488,0.03416,0.04636,0.05856,-0.04148,-0.03416,-0.10248,-0.13176,-0.2196,-0.122,-0.10248
-0.0244,-0.00488,0.03416,0.04636,0.05856,-0.04148,-0.02928,-0.10248,-0.13664,-0.21472,-0.122,-0.0976
-0.0244,-0.00488,0.03416,0.04636,0.05856,-0.04148,-0.0244,-0.10248,-0.13664,-0.21472,-0.122,-0.09272
-0.03416,0.00732,0.01952,0.0366,0.05368,-0.04392,-0.0244,-0.10248,-0.13664,-0.21472,-0.12688,-0.0976
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,-0.0244,-0.10248,-0.14152,-0.21472,-0.12688,-0.10248
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,-0.02928,-0.10248,-0.14152,-0.21472,-0.12688,-0.10248
-0.04392,0.0122,0.01952,0.04148,0.06344,-0.05368,-0.01464,-0.10736,-0.14152,-0.21472,-0.13664,-0.10736
-0.06832,0.01708,0.03416,0.06832,0.10248,-0.0854,0.03416,-0.07808,-0.13176,-0.24888,-0.18056,-0.13664
-0.10248,0.02928,0.04392,0.09516,0.1464,-0.12444,0.13664,0.01952,-0.08784,-0.29768,-0.2684,-0.1952
-0.122,0.04636,0.02928,0.09028,0.15128,-0.13664,0.20984,0.11712,-0.01952,-0.30744,-0.34648,-0.22936
-0.122,0.04392,0.03416,0.09516,0.15616,-0.13908,0.2196,0.13664,0.00488,-0.2928,-0.3416,-0.22936
-0.06832,-0.03416,0.13664,0.1708,0.20496,-0.13664,0.122,0.07808,0.00488,-0.1952,-0.23424,-0.14152
0.0244,-0.16348,0.30256,0.29036,0.27816,-0.12688,-0.04392,-0.01952,-0.00488,-0.01952,0.00488,0.01952
0.16592,-0.32696,0.488,0.40504,0.32208,-0.07808,-0.26352,-0.13664,0.02928,0.2684,0.39528,0.26352
0.33184,-0.5002,0.66856,0.50264,0.33672,-0.00244,-0.51728,-0.27816,0.06344,0.66856,0.86864,0.54656
0.54168,-0.70516,0.86864,0.5978,0.32696,0.10736,-1.0004,-0.76128,-0.23424,1.03456,1.40544,0.84424
0.74664,-0.91744,1.08824,0.71492,0.3416,0.20252,-1.52256,-1.42984,-0.76128,1.4152,2.03008,1.17608
0.976,-1.13948,1.30296,0.81496,0.32696,0.32452,-1.94224,-1.86904,-0.9272,2.11792,2.75232,1.5372
1.16632,-1.17852,1.19072,0.60756,0.0244,0.57096,-2.0984,-1.92272,-0.84424,2.84504,3.38184,1.79096
1.3176,-0.96136,0.60512,-0.05368,-0.71248,1.01504,-1.99592,-1.47864,-0.36112,3.60632,3.8308,1.86904
1.40056,-0.61488,-0.1708,-0.87108,-1.57136,1.48596,-1.66896,-0.7808,0.28792,4.07968,3.87472,1.73728
1.32248,-0.3538,-0.61488,-1.27612,-1.93736,1.62992,-1.40056,-0.59536,0.05856,3.08416,3.172,1.45424
0.94672,-0.1098,-0.72712,-1.20048,-1.67384,1.31028,-1.16144,-0.85888,-0.92232,0.68808,1.67384,1.0004
0.49776,0.07076,-0.63928,-0.88816,-1.13704,0.8174,-0.88328,-0.83448,-1.22976,-0.83936,0.23912,0.47824
0.28792,0.11712,-0.52216,-0.66612,-0.81008,0.549,-0.6344,-0.61488,-0.99552,-1.03944,-0.28304,0.18544
0.18544,0.07564,-0.33672,-0.42944,-0.52216,0.3538,-0.2928,-0.2196,-0.52704,-0.56608,-0.18544,0.06832
0.06832,0.04636,-0.16104,-0.1952,-0.22936,0.14884,0.00976,0.13176,-0.1464,-0.20496,-0.13664,-0.05368
-0.01464,0.05856,-0.10248,-0.09516,-0.08784,0.0366,0.15128,0.22936,0.04392,-0.04392,-0.10248,-0.10248
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.16104,0.16592,0.0732,-0.0244,-0.07808,-0.10736
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,0.13176,0.09272,0.02928,-0.0488,-0.08784,-0.10736
-0.06344,0.04636,-0.02928,0.00244,0.03416,-0.0488,0.12688,0.07808,0.01464,-0.05856,-0.11224,-0.122
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0.12688,0.07808,0.01464,-0.0976,-0.1464,-0.13176
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.14152,0.08296,0.02928,-0.10736,-0.1464,-0.13664
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.14152,0.07808,0.0244,-0.11224,-0.15128,-0.13664
-0.06832,0.04636,-0.0244,0.00976,0.04392,-0.05612,0.13176,0.06344,0.01464,-0.122,-0.15616,-0.1464
-0.08296,0.05368,-0.0244,0.01708,0.05856,-0.07076,0.13176,0.06344,0.01464,-0.122,-0.17568,-0.15128
-0.0976,0.061,-0.0244,0.0244,0.0732,-0.0854,0.13176,0.06344,0.0244,-0.12688,-0.17568,-0.15128
-0.07808,0.0488,-0.01952,0.01952,0.05856,-0.06832,0.13664,0.06832,0.02928,-0.122,-0.16592,-0.15128
