i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.38552,-0.2318,0.07808,-0.11468,-0.30744,0.34648,-0.25376,0.06832,0.23912,0.30256,0.33672,0.2684
0.6832,-0.38064,0.07808,-0.26352,-0.60512,0.64416,-0.51728,-0.04392,0.122,0.25376,0.38064,0.34648
0.91744,-0.54412,0.1708,-0.28792,-0.74664,0.83204,-0.77104,-0.3172,-0.03904,0.21472,0.46848,0.4636
1.06384,-0.70028,0.33672,-0.1952,-0.72712,0.89548,-1.0004,-0.80032,-0.30744,0.10736,0.49288,0.5856
1.11752,-0.732,0.34648,-0.21228,-0.77104,0.94428,-1.10288,-1.0736,-0.62952,-0.1464,0.32696,0.51728
0.96136,-0.54656,0.13176,-0.34892,-0.8296,0.89548,-1.06872,-1.23952,-0.99064,-0.55144,-0.03904,0.26352
0.68808,-0.305,-0.07808,-0.42212,-0.76616,0.72712,-0.976,-1.47376,-1.32736,-0.89304,-0.32208,0.05368
0.29768,-0.0488,-0.20008,-0.34892,-0.49776,0.39772,-0.84912,-1.66408,-1.50792,-1.06384,-0.50752,-0.09272
0.16104,0.00976,-0.18056,-0.26108,-0.3416,0.25132,-0.72224,-1.464,-1.32736,-0.9516,-0.46848,-0.08784
0.06344,0.08784,-0.23912,-0.27084,-0.30256,0.183,-0.60024,-1.19072,-1.17608,-0.88816,-0.47824,-0.14152
0.00976,0.0976,-0.20496,-0.20984,-0.21472,0.11224,-0.4392,-0.84424,-0.9028,-0.74176,-0.42456,-0.15128
-0.01952,0.10004,-0.18056,-0.1708,-0.16104,0.07076,-0.3416,-0.64904,-0.70272,-0.59536,-0.35136,-0.12688
-0.0488,0.1098,-0.1708,-0.1464,-0.122,0.0366,-0.244,-0.49776,-0.54656,-0.45872,-0.28304,-0.10736
-0.06344,0.10492,-0.1464,-0.11468,-0.08296,0.00976,-0.15616,-0.35136,-0.42456,-0.36112,-0.22936,-0.10248
-0.08296,0.11224,-0.14152,-0.10004,-0.05856,-0.0122,-0.06832,-0.1952,-0.27328,-0.26352,-0.17568,-0.09272
-0.11224,0.13908,-0.16592,-0.1098,-0.05368,-0.02928,0.02928,-0.06344,-0.15128,-0.1708,-0.122,-0.05856
-0.10248,0.11956,-0.13664,-0.0854,-0.03416,-0.03416,0.04392,-0.02928,-0.10248,-0.10736,-0.08784,-0.0488
-0.08784,0.10248,-0.11712,-0.0732,-0.02928,-0.02928,0.05368,-0.02928,-0.0732,-0.08784,-0.05856,-0.03416
-0.08296,0.09272,-0.10248,-0.061,-0.01952,-0.03172,0.06344,0.01952,-0.03904,-0.08296,-0.0488,-0.03416
-0.0976,0.10004,-0.10248,-0.05368,-0.00488,-0.04636,0.08784,0.06344,-0.00976,-0.06344,-0.04392,-0.03416
-0.09272,0.09516,-0.0976,-0.05124,-0.00488,-0.04392,0.0976,0.06344,0.00488,-0.03904,-0.02928,-0.01952
-0.09272,0.09516,-0.0976,-0.05124,-0.00488,-0.04392,0.09272,0.06832,0.0244,-0.01952,-0.01952,-0.01952
-0.09272,0.09028,-0.08784,-0.04148,0.00488,-0.0488,0.09272,0.06832,0.01952,-0.0244,-0.02928,-0.02928
-0.09272,0.09028,-0.08784,-0.04148,0.00488,-0.0488,0.0976,0.09272,0.03416,-0.01952,-0.0244,-0.0244
-0.09272,0.0854,-0.07808,-0.03172,0.01464,-0.05368,0.09272,0.09272,0.0488,-0.00488,-0.01464,-0.02928
-0.08784,0.08296,-0.07808,-0.03416,0.00976,-0.0488,0.09272,0.0976,0.0488,-0.00488,-0.00976,-0.02928
-0.08784,0.08052,-0.0732,-0.02928,0.01464,-0.05124,0.10248,0.11712,0.05368,-0.00488,-0.00976,-0.01952
-0.08296,0.07808,-0.0732,-0.03172,0.00976,-0.04636,0.10248,0.13664,0.06344,0,0.00488,-0.01952
-0.08296,0.07808,-0.0732,-0.03172,0.00976,-0.04636,0.10736,0.13664,0.0732,0.00976,0.01464,-0.01464
-0.08296,0.07808,-0.0732,-0.03172,0.00976,-0.04636,0.11224,0.1464,0.0732,0.01464,0.01952,-0.01464
-0.0732,0.07076,-0.06832,-0.03172,0.00488,-0.03904,0.10248,0.15128,0.0732,0.00976,0.0244,-0.00976
-0.06832,0.06832,-0.06832,-0.03416,0,-0.03416,0.10248,0.16592,0.08296,0.01464,0.0244,-0.00488
-0.0732,0.07076,-0.06832,-0.03172,0.00488,-0.03904,0.11712,0.18544,0.09272,0.01952,0.02928,-0.00488
-0.0732,0.06832,-0.06344,-0.02684,0.00976,-0.04148,0.11712,0.19032,0.0976,0.02928,0.02928,-0.00488
-0.06832,0.07076,-0.0732,-0.03904,-0.00488,-0.03172,0.122,0.19032,0.10248,0.0244,0.01464,-0.00488
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.122,0.20008,0.10736,0.02928,0.01464,0
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.122,0.20984,0.11712,0.03416,0.00488,-0.00976
-0.0488,0.05368,-0.05856,-0.03416,-0.00976,-0.01952,0.122,0.22448,0.12688,0.04392,0.01464,-0.00976
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.12688,0.244,0.13664,0.0488,0.00976,-0.00976
-0.03904,0.04392,-0.0488,-0.02928,-0.00976,-0.01464,0.13176,0.25864,0.15128,0.05856,0.01464,-0.00488
-0.04392,0.04636,-0.0488,-0.02684,-0.00488,-0.01952,0.12688,0.28304,0.17568,0.07808,0.01464,0.00976
-0.03416,0.04148,-0.0488,-0.03172,-0.01464,-0.00976,0.12688,0.30256,0.1952,0.08784,0.01952,0.00976
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.14152,0.3172,0.20984,0.0976,0.03416,0.02928
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0.15128,0.34648,0.22936,0.10736,0.04392,0.03416
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.1464,0.37576,0.24888,0.11712,0.04392,0.0244
0.00976,0,-0.00976,-0.01464,-0.01952,0.01464,0.14152,0.40504,0.26352,0.14152,0.05368,0.03904
0.00976,0,-0.00976,-0.01464,-0.01952,0.01464,0.15128,0.4392,0.29768,0.15616,0.06344,0.03904
0.01952,-0.00976,0,-0.00976,-0.01952,0.01952,0.16104,0.47336,0.32208,0.17568,0.06832,0.0488
0.0244,-0.00976,-0.00488,-0.01708,-0.02928,0.02684,0.16592,0.50752,0.3416,0.19032,0.08296,0.05856
0.03416,-0.01708,0,-0.01708,-0.03416,0.03416,0.1708,0.53192,0.36112,0.20496,0.09272,0.06832
0.04392,-0.0366,0.02928,0.00732,-0.01464,0.02928,0.1708,0.54656,0.38064,0.21472,0.09272,0.06832
0.05368,-0.05612,0.05856,0.03172,0.00488,0.0244,0.1708,0.56608,0.40016,0.23912,0.10736,0.06832
0.05856,-0.05612,0.05368,0.0244,-0.00488,0.03172,0.17568,0.5856,0.40992,0.244,0.10736,0.07808
0.06344,-0.06344,0.06344,0.03172,0,0.03172,0.18056,0.5856,0.40992,0.25376,0.11224,0.08784
0.05856,-0.06344,0.06832,0.03904,0.00976,0.0244,0.18544,0.60024,0.42944,0.2684,0.12688,0.09272
0.05856,-0.061,0.06344,0.03416,0.00488,0.02684,0.19032,0.60512,0.43432,0.26352,0.14152,0.0976
0.06344,-0.06588,0.06832,0.0366,0.00488,0.02928,0.19032,0.61488,0.43432,0.27328,0.15128,0.10248
0.06344,-0.06588,0.06832,0.0366,0.00488,0.02928,0.19032,0.59536,0.43432,0.27328,0.15616,0.10736
0.05856,-0.07076,0.08296,0.05368,0.0244,0.01708,0.18544,0.5856,0.42456,0.26352,0.16104,0.11224
0.05856,-0.07076,0.08296,0.05368,0.0244,0.01708,0.17568,0.55632,0.41968,0.25864,0.16592,0.11224
0.05856,-0.07076,0.08296,0.05368,0.0244,0.01708,0.1708,0.52704,0.40504,0.25864,0.16592,0.11224
0.05368,-0.06832,0.08296,0.05612,0.02928,0.0122,0.16104,0.488,0.37576,0.244,0.15616,0.10736
0.0488,-0.06344,0.07808,0.05368,0.02928,0.00976,0.15128,0.44408,0.35624,0.23424,0.16104,0.11712
0.04392,-0.05612,0.06832,0.04636,0.0244,0.00976,0.14152,0.40504,0.32208,0.21472,0.15128,0.11224
0.03416,-0.0488,0.06344,0.04636,0.02928,0.00244,0.13664,0.35624,0.28304,0.18544,0.14152,0.09272
0.02928,-0.04148,0.05368,0.03904,0.0244,0.00244,0.122,0.30744,0.25376,0.16104,0.12688,0.08296
0.01952,-0.03416,0.0488,0.03904,0.02928,-0.00488,0.122,0.2684,0.20984,0.12688,0.11712,0.08296
0.00976,-0.02196,0.03416,0.02928,0.0244,-0.00732,0.11224,0.23424,0.18544,0.0976,0.10248,0.0732
0.00488,-0.01708,0.02928,0.02684,0.0244,-0.00976,0.09272,0.1952,0.16592,0.09272,0.0976,0.06832
-0.00976,-0.00244,0.01464,0.01952,0.0244,-0.01708,0.08784,0.16592,0.13664,0.0732,0.08296,0.05368
-0.01464,-0.00488,0.0244,0.03172,0.03904,-0.02684,0.07808,0.13664,0.10736,0.05368,0.05856,0.03416
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.07808,0.122,0.09272,0.04392,0.05368,0.0244
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.07808,0.0976,0.0732,0.01464,0.0244,0.01952
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0.07808,0.08296,0.06344,0.01464,0.00488,0.00976
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.07808,0.0732,0.05368,0,0,0.01464
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,0.07808,0.05856,0.03904,-0.00488,0,0.01464
-0.06344,0.0488,-0.03416,-0.00244,0.02928,-0.04636,0.06344,0.03904,0.02928,-0.01464,-0.01952,0.00976
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,0.05856,0.0244,0.01952,-0.01464,-0.01952,0.00976
-0.06344,0.0488,-0.03416,-0.00244,0.02928,-0.04636,0.05368,0.01952,0.01464,-0.01952,-0.01952,-0.00488
-0.06832,0.05368,-0.03904,-0.00488,0.02928,-0.0488,0.05368,0.01464,0.01464,-0.01952,-0.01952,-0.00488
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05856,0.00488,0.00976,-0.0244,-0.01952,0
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05368,0.00488,0.00976,-0.0244,-0.01952,0
-0.05856,0.05856,-0.05856,-0.02928,0,-0.02928,0.05368,0,0.01464,-0.01952,-0.01952,0.00488
-0.05856,0.05856,-0.05856,-0.02928,0,-0.02928,0.05368,-0.00488,0.01464,-0.01952,-0.01952,0.00488
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05368,-0.00488,0.01464,-0.01952,-0.01464,-0.00488
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,0.05368,0,0.00976,-0.0244,-0.0244,-0.00488
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05856,0,0,-0.02928,-0.03416,-0.01464
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.05856,0,-0.00488,-0.02928,-0.03416,-0.01464
-0.06832,0.06588,-0.06344,-0.02928,0.00488,-0.0366,0.06832,0.00488,0.00976,-0.01952,-0.02928,-0.00488
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,0.06832,0.00488,0.00976,-0.01952,-0.01952,0.00488
