i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01464,0,0.01464,0.02196,0.02928,-0.02196,-0.0244,-0.03416,0.00976,0.00976,0,0.00488
-0.0244,0.00732,0.00976,0.02196,0.03416,-0.02928,-0.03904,-0.0488,-0.00488,-0.00488,0,0.00488
-0.0244,0.00732,0.00976,0.02196,0.03416,-0.02928,-0.04392,-0.05856,-0.01464,-0.00488,-0.00488,0.00488
-0.0244,0.00244,0.01952,0.03172,0.04392,-0.03416,-0.0488,-0.06832,-0.0244,-0.00976,-0.00488,0.00488
-0.0244,0.00488,0.01464,0.02684,0.03904,-0.03172,-0.0488,-0.06344,-0.0244,-0.00976,-0.00488,0.00488
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,-0.03416,-0.0488,-0.01464,0.00488,0.00488,0.01464
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.03416,-0.0488,-0.01464,0.00488,0.00976,0.01464
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,-0.03904,-0.05856,-0.01952,-0.00488,0.00976,0.01464
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,-0.02928,-0.05368,-0.01952,-0.01464,0.00976,0.01464
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,-0.02928,-0.05368,-0.02928,-0.01952,-0.00976,0.00488
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,-0.02928,-0.05368,-0.03416,-0.02928,-0.01952,0
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,-0.01952,-0.04392,-0.03416,-0.0244,-0.0244,-0.00976
-0.01464,0.04148,-0.06832,-0.061,-0.05368,0.01952,-0.01464,-0.03904,-0.03904,-0.0244,-0.01952,-0.01464
-0.0244,0.05368,-0.08296,-0.07076,-0.05856,0.01708,-0.00976,-0.03904,-0.03416,-0.03416,-0.0244,-0.01464
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,-0.00488,-0.03416,-0.03416,-0.03416,-0.0244,-0.01952
-0.01952,0.05612,-0.09272,-0.08296,-0.0732,0.02684,0.00488,-0.03416,-0.03904,-0.03416,-0.0244,-0.01952
-0.01952,0.061,-0.10248,-0.09272,-0.08296,0.03172,0.00976,-0.03416,-0.03904,-0.03416,-0.03416,-0.01952
-0.03416,0.07076,-0.10736,-0.09028,-0.0732,0.01952,0,-0.03416,-0.0488,-0.04392,-0.03416,-0.01464
-0.03416,0.07564,-0.11712,-0.10004,-0.08296,0.0244,0,-0.03904,-0.0488,-0.04392,-0.03904,-0.01952
-0.04392,0.08296,-0.122,-0.10004,-0.07808,0.01708,-0.00976,-0.0488,-0.05856,-0.05368,-0.03904,-0.01952
-0.03904,0.08052,-0.122,-0.10248,-0.08296,0.02196,-0.00976,-0.0488,-0.05856,-0.05368,-0.03904,-0.01952
-0.03904,0.07564,-0.11224,-0.09272,-0.0732,0.01708,-0.01952,-0.05368,-0.05856,-0.05368,-0.0488,-0.02928
-0.03904,0.07564,-0.11224,-0.09272,-0.0732,0.01708,-0.01952,-0.05368,-0.05856,-0.05368,-0.0488,-0.02928
-0.03904,0.08052,-0.122,-0.10248,-0.08296,0.02196,-0.01464,-0.04392,-0.0488,-0.05368,-0.03904,-0.02928
-0.04392,0.08296,-0.122,-0.10004,-0.07808,0.01708,-0.00488,-0.04392,-0.0488,-0.05368,-0.03904,-0.02928
-0.04392,0.08296,-0.122,-0.10004,-0.07808,0.01708,0,-0.03904,-0.05368,-0.05368,-0.03904,-0.02928
-0.04392,0.08296,-0.122,-0.10004,-0.07808,0.01708,0,-0.03904,-0.05368,-0.0488,-0.03904,-0.0244
-0.03904,0.07564,-0.11224,-0.09272,-0.0732,0.01708,0,-0.03904,-0.05368,-0.0488,-0.03904,-0.0244
-0.02928,0.07076,-0.11224,-0.0976,-0.08296,0.02684,0,-0.03904,-0.05368,-0.0488,-0.03904,-0.02928
-0.03416,0.0732,-0.11224,-0.09516,-0.07808,0.02196,0,-0.03904,-0.05368,-0.05368,-0.02928,-0.02928
-0.03416,0.0732,-0.11224,-0.09516,-0.07808,0.02196,0,-0.03416,-0.0488,-0.05368,-0.02928,-0.02928
-0.02928,0.07564,-0.122,-0.10736,-0.09272,0.03172,0.00488,-0.01952,-0.04392,-0.0488,-0.03904,-0.01952
-0.01952,0.0732,-0.12688,-0.11712,-0.10736,0.04392,0.01952,0.00976,-0.00976,-0.03416,-0.03416,-0.01952
0,0.07076,-0.14152,-0.14152,-0.14152,0.07076,0.03416,0.05368,0.0488,-0.00976,-0.02928,-0.01952
0.00976,0.05124,-0.11224,-0.11712,-0.122,0.06588,0.06344,0.11224,0.14152,0.03904,-0.00488,-0.0244
0.01952,0.02196,-0.06344,-0.0732,-0.08296,0.05124,0.08296,0.1952,0.27816,0.13664,0.04392,0.01464
0.03904,-0.04392,0.0488,0.02928,0.00976,0.01464,0.07808,0.244,0.41968,0.26352,0.13664,0.0732
0.08296,-0.1464,0.20984,0.16836,0.12688,-0.02196,0.00488,0.19032,0.48312,0.42944,0.28304,0.18544
0.16104,-0.28304,0.40504,0.32452,0.244,-0.04148,-0.15616,0.01952,0.42456,0.6344,0.49288,0.366
0.23424,-0.42212,0.61,0.49288,0.37576,-0.07076,-0.37576,-0.22448,0.27816,0.82472,0.72224,0.55144
0.28792,-0.5246,0.76128,0.61732,0.47336,-0.09272,-0.57096,-0.45872,0.0976,1.0004,0.91256,0.72224
0.31232,-0.5734,0.83448,0.67832,0.52216,-0.10492,-0.69784,-0.62952,-0.05368,1.07848,1.01016,0.8052
0.27328,-0.5246,0.77592,0.63928,0.50264,-0.11468,-0.71248,-0.6832,-0.16104,1.04432,0.97112,0.78568
0.2196,-0.42944,0.63928,0.52948,0.41968,-0.10004,-0.64416,-0.64904,-0.22448,0.89304,0.81984,0.67344
0.15616,-0.30256,0.44896,0.37088,0.2928,-0.06832,-0.5368,-0.56608,-0.25376,0.66368,0.5856,0.50264
0.10248,-0.16836,0.23424,0.183,0.13176,-0.01464,-0.40504,-0.46848,-0.27816,0.39528,0.35624,0.32696
0.0488,-0.061,0.0732,0.0488,0.0244,0.0122,-0.2928,-0.35624,-0.2928,0.16104,0.16104,0.17568
0.01464,0.01464,-0.04392,-0.05124,-0.05856,0.0366,-0.18056,-0.25864,-0.27328,0.01952,0.04392,0.07808
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,-0.0976,-0.1708,-0.22448,-0.05856,-0.01464,0.0244
-0.0244,0.06832,-0.11224,-0.10004,-0.08784,0.03172,-0.03904,-0.09272,-0.15128,-0.06344,-0.02928,0.00976
