i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.04392,0.08052,-0.11712,-0.09516,-0.0732,0.01464,-0.03416,-0.06344,-0.1464,-0.13664,-0.13176,-0.02928
-0.03904,0.07808,-0.11712,-0.0976,-0.07808,0.01952,0.00488,-0.0244,-0.10736,-0.12688,-0.1464,-0.02928
-0.05368,0.0854,-0.11712,-0.09028,-0.06344,0.00488,0.0244,-0.00976,-0.08296,-0.122,-0.15616,-0.02928
-0.05368,0.08784,-0.122,-0.09516,-0.06832,0.00732,0.02928,0.00976,-0.06832,-0.11712,-0.1464,-0.02928
-0.05368,0.09028,-0.12688,-0.10004,-0.0732,0.00976,0.03904,0.01952,-0.06344,-0.11712,-0.14152,-0.0244
-0.0488,0.09272,-0.13664,-0.11224,-0.08784,0.01952,0.0488,0.03416,-0.05368,-0.11712,-0.14152,-0.02928
-0.0488,0.09516,-0.14152,-0.11712,-0.09272,0.02196,0.05368,0.03416,-0.04392,-0.122,-0.15616,-0.03416
-0.04392,0.09272,-0.14152,-0.11956,-0.0976,0.02684,0.05368,0.03904,-0.03904,-0.12688,-0.18056,-0.03416
-0.04392,0.09272,-0.14152,-0.11956,-0.0976,0.02684,0.05856,0.0488,-0.03416,-0.13176,-0.20008,-0.0244
-0.05368,0.09516,-0.13664,-0.1098,-0.08296,0.01464,0.06344,0.04392,-0.03416,-0.12688,-0.21472,-0.01952
-0.04392,0.08784,-0.13176,-0.1098,-0.08784,0.02196,0.06344,0.04392,-0.02928,-0.122,-0.21472,-0.00976
-0.02928,0.08052,-0.13176,-0.11712,-0.10248,0.0366,0.06344,0.0488,-0.01952,-0.11712,-0.1952,-0.00976
-0.01952,0.07564,-0.13176,-0.122,-0.11224,0.04636,0.06344,0.05856,-0.01952,-0.11712,-0.17568,-0.00976
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.06344,0.06832,-0.00976,-0.11224,-0.16104,0.00488
-0.0488,0.09028,-0.13176,-0.10736,-0.08296,0.01708,0.06832,0.07808,-0.00976,-0.10736,-0.1464,0.00488
-0.02928,0.07808,-0.12688,-0.11224,-0.0976,0.03416,0.07808,0.07808,0.00488,-0.08296,-0.0976,0.00976
-0.01464,0.06588,-0.11712,-0.1098,-0.10248,0.04392,0.08784,0.08784,0.01952,-0.05368,-0.05856,0.01464
-0.0244,0.0732,-0.122,-0.1098,-0.0976,0.0366,0.08296,0.08784,0.0244,-0.03904,-0.03904,0.00976
-0.03904,0.08296,-0.12688,-0.10736,-0.08784,0.0244,0.07808,0.08296,0.02928,-0.03904,-0.03416,0.00976
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.07808,0.08784,0.03416,-0.04392,-0.03904,0.00488
-0.0244,0.07808,-0.13176,-0.11956,-0.10736,0.04148,0.07808,0.0976,0.03904,-0.03904,-0.04392,0.00488
-0.01464,0.06832,-0.122,-0.11468,-0.10736,0.04636,0.08784,0.11712,0.0488,-0.02928,-0.03416,0.00976
-0.01464,0.06832,-0.122,-0.11468,-0.10736,0.04636,0.08784,0.12688,0.05856,-0.02928,-0.03416,0.00976
-0.01464,0.06588,-0.11712,-0.1098,-0.10248,0.04392,0.09272,0.13176,0.06344,-0.01464,-0.03416,0.01952
-0.00976,0.061,-0.11224,-0.10736,-0.10248,0.04636,0.09272,0.14152,0.06832,-0.01464,-0.03904,0.0244
-0.01464,0.06588,-0.11712,-0.1098,-0.10248,0.04392,0.0976,0.16104,0.08296,-0.00488,-0.03904,0.03416
-0.01464,0.06832,-0.122,-0.11468,-0.10736,0.04636,0.0976,0.1708,0.0976,0.00488,-0.0244,0.04392
-0.01952,0.06588,-0.11224,-0.10248,-0.09272,0.0366,0.0976,0.18056,0.10736,0.01464,-0.0244,0.03904
-0.0244,0.06588,-0.10736,-0.09516,-0.08296,0.02928,0.10736,0.20008,0.11712,0.02928,-0.00976,0.0488
0,0.0488,-0.0976,-0.0976,-0.0976,0.0488,0.11224,0.22936,0.14152,0.04392,0.00976,0.05368
0.01952,0.03416,-0.08784,-0.0976,-0.10736,0.06344,0.11712,0.24888,0.16104,0.06832,0.01952,0.05368
0.0244,0.02928,-0.08296,-0.09516,-0.10736,0.06588,0.122,0.2684,0.17568,0.09272,0.04392,0.05368
0.03416,0.0244,-0.08296,-0.10004,-0.11712,0.07564,0.12688,0.28792,0.19032,0.11712,0.0488,0.05368
0.0488,0.01464,-0.07808,-0.10248,-0.12688,0.08784,0.12688,0.32696,0.20984,0.13176,0.0732,0.05856
0.06344,0,-0.06344,-0.09516,-0.12688,0.09516,0.12688,0.38552,0.22936,0.16592,0.09272,0.06832
0.06832,-0.00976,-0.0488,-0.08296,-0.11712,0.09272,0.13176,0.38552,0.25864,0.20008,0.11712,0.06832
0.08296,-0.02196,-0.03904,-0.08052,-0.122,0.10248,0.13176,0.39528,0.27816,0.23424,0.1464,0.08784
0.0976,-0.03172,-0.03416,-0.08296,-0.13176,0.11468,0.12688,0.44408,0.29768,0.2684,0.1708,0.10248
0.10248,-0.0366,-0.02928,-0.08052,-0.13176,0.11712,0.11712,0.47336,0.31232,0.29768,0.18056,0.11224
0.10248,-0.03904,-0.0244,-0.07564,-0.12688,0.11468,0.11712,0.488,0.32696,0.32696,0.20008,0.13176
0.10248,-0.0366,-0.02928,-0.08052,-0.13176,0.11712,0.10736,0.49288,0.32208,0.33672,0.20984,0.14152
0.11224,-0.04636,-0.01952,-0.07564,-0.13176,0.122,0.10736,0.50264,0.33184,0.35624,0.22936,0.15616
0.12688,-0.06344,0,-0.06344,-0.12688,0.12688,0.0976,0.5124,0.33672,0.36112,0.244,0.16592
0.14152,-0.07808,0.01464,-0.05612,-0.12688,0.1342,0.08784,0.49288,0.32696,0.36112,0.24888,0.17568
0.1464,-0.0854,0.0244,-0.0488,-0.122,0.1342,0.08296,0.47336,0.30744,0.35136,0.244,0.18056
0.13664,-0.0732,0.00976,-0.05856,-0.12688,0.13176,0.0732,0.46848,0.2928,0.35624,0.24888,0.19032
0.13176,-0.06588,0,-0.06588,-0.13176,0.13176,0.05856,0.4392,0.27328,0.34648,0.23912,0.19032
0.122,-0.06588,0.00976,-0.05124,-0.11224,0.11712,0.0488,0.40016,0.25864,0.30256,0.2196,0.18544
0.11224,-0.06588,0.01952,-0.0366,-0.09272,0.10248,0.03904,0.36112,0.23424,0.27328,0.1952,0.18056
0.08784,-0.0488,0.00976,-0.03416,-0.07808,0.08296,0.02928,0.30256,0.20496,0.22448,0.16592,0.16592
0.08784,-0.04392,0,-0.04392,-0.08784,0.08784,0.01952,0.23912,0.16592,0.17568,0.13176,0.15616
0.05368,-0.01952,-0.01464,-0.04148,-0.06832,0.061,0.01464,0.19032,0.14152,0.14152,0.11712,0.1464
0.02928,-0.00244,-0.0244,-0.03904,-0.05368,0.04148,0.00488,0.15616,0.122,0.10248,0.09272,0.122
0.00976,0.01708,-0.04392,-0.0488,-0.05368,0.03172,0.00488,0.122,0.08784,0.06344,0.05856,0.10736
0.00488,0.0244,-0.05368,-0.05612,-0.05856,0.03172,0.00488,0.08784,0.0732,0.02928,0.04392,0.10248
-0.00976,0.0366,-0.06344,-0.05856,-0.05368,0.02196,0.00488,0.05856,0.05368,0.00976,0.02928,0.08784
-0.0244,0.04392,-0.06344,-0.05124,-0.03904,0.00732,0.00488,0.0244,0.04392,-0.00488,0.0244,0.08296
-0.01952,0.04636,-0.0732,-0.06344,-0.05368,0.01708,0,0.01464,0.02928,-0.03416,0,0.0488
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,0,0.00488,0.01952,-0.05856,-0.01464,0.0244
-0.0244,0.0488,-0.0732,-0.061,-0.0488,0.0122,0,-0.00488,0.00488,-0.06832,-0.01952,0.0244
-0.0244,0.0488,-0.0732,-0.061,-0.0488,0.0122,0,-0.00976,-0.00488,-0.0732,-0.01952,0.01952
-0.03416,0.05856,-0.08296,-0.06588,-0.0488,0.00732,0.00488,-0.01464,-0.00488,-0.08296,-0.02928,0.01952
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0,-0.0244,-0.00976,-0.09272,-0.03416,0.01464
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0,-0.02928,-0.00976,-0.08784,-0.03904,0.01464
-0.04392,0.06832,-0.09272,-0.07076,-0.0488,0.00244,0.00488,-0.02928,-0.01464,-0.08784,-0.04392,0.00976
-0.04392,0.06832,-0.09272,-0.07076,-0.0488,0.00244,0.00488,-0.02928,-0.01952,-0.08784,-0.04392,0.00976
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0.00488,-0.01952,-0.01952,-0.08296,-0.04392,0.00976
-0.03904,0.06344,-0.08784,-0.06832,-0.0488,0.00488,0.00976,-0.03416,-0.01952,-0.08784,-0.0488,0.00976
-0.03904,0.06344,-0.08784,-0.06832,-0.0488,0.00488,0.00976,-0.03416,-0.01952,-0.0976,-0.0488,0.00488
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0,-0.03904,-0.0244,-0.0976,-0.05856,-0.00488
-0.03904,0.06588,-0.09272,-0.0732,-0.05368,0.00732,0,-0.03904,-0.0244,-0.10248,-0.06832,-0.00488
-0.0488,0.06832,-0.08784,-0.06344,-0.03904,-0.00488,0.00488,-0.03904,-0.02928,-0.10248,-0.09272,0
-0.06344,0.07564,-0.08784,-0.05612,-0.0244,-0.01952,0.00488,-0.03904,-0.03904,-0.10248,-0.10736,0
-0.05856,0.07564,-0.09272,-0.06344,-0.03416,-0.0122,0.00488,-0.03416,-0.02928,-0.10248,-0.10736,0
-0.0488,0.07076,-0.09272,-0.06832,-0.04392,-0.00244,0.00976,-0.02928,-0.01952,-0.10248,-0.10736,0.00488
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.00976,-0.03904,-0.01952,-0.10248,-0.0976,0.00488
-0.0732,0.0854,-0.0976,-0.061,-0.0244,-0.0244,0.00976,-0.03904,-0.01952,-0.10248,-0.08784,0
-0.06344,0.08052,-0.0976,-0.06588,-0.03416,-0.01464,0.00976,-0.03904,-0.01464,-0.10248,-0.09272,-0.00488
-0.06344,0.08052,-0.0976,-0.06588,-0.03416,-0.01464,0.01464,-0.02928,-0.01464,-0.10248,-0.09272,0.01464
-0.05856,0.07808,-0.0976,-0.06832,-0.03904,-0.00976,0.00976,-0.02928,-0.00976,-0.10248,-0.08784,-0.00488
-0.05368,0.0732,-0.09272,-0.06588,-0.03904,-0.00732,0.00488,-0.02928,-0.00976,-0.10248,-0.08296,-0.00488
-0.05368,0.0732,-0.09272,-0.06588,-0.03904,-0.00732,0.00488,-0.02928,-0.00976,-0.10248,-0.07808,-0.00488
-0.05856,0.0732,-0.08784,-0.05856,-0.02928,-0.01464,0.00976,-0.02928,0,-0.10248,-0.0732,0
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.01464,-0.01952,-0.00976,-0.0976,-0.08296,-0.00976
-0.06832,0.0854,-0.10248,-0.06832,-0.03416,-0.01708,0.01952,-0.00976,-0.00976,-0.09272,-0.08296,-0.01952
