i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.08784,0.05124,-0.01464,0.02928,0.0732,-0.08052,0.12688,0.00976,0.05856,0.02928,0.01464,-0.08296
-0.05856,0.0366,-0.01464,0.01464,0.04392,-0.05124,0.12688,0.01952,0.05856,0.03416,0.01464,-0.08296
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.13176,0.03416,0.06832,0.03416,0.01952,-0.08784
-0.06832,0.04148,-0.01464,0.01952,0.05368,-0.061,0.13664,0.04392,0.08296,0.0488,0.02928,-0.08296
-0.0976,0.05368,-0.00976,0.03904,0.08784,-0.09272,0.14152,0.05368,0.09272,0.05856,0.03904,-0.08296
-0.0732,0.03904,-0.00488,0.03172,0.06832,-0.07076,0.14152,0.06832,0.0976,0.05856,0.03904,-0.08296
-0.05856,0.03172,-0.00488,0.0244,0.05368,-0.05612,0.1464,0.07808,0.10736,0.06344,0.03904,-0.07808
-0.05856,0.03172,-0.00488,0.0244,0.05368,-0.05612,0.15616,0.10248,0.11712,0.0732,0.0488,-0.0732
-0.0488,0.0244,0,0.0244,0.0488,-0.0488,0.16104,0.122,0.13664,0.08784,0.05368,-0.06832
-0.03416,0.00732,0.01952,0.0366,0.05368,-0.04392,0.16592,0.14152,0.1464,0.10248,0.05856,-0.06344
-0.00488,-0.0122,0.02928,0.03172,0.03416,-0.01952,0.17568,0.1708,0.1708,0.11712,0.07808,-0.0488
-0.00976,-0.0122,0.03416,0.03904,0.04392,-0.02684,0.18544,0.20008,0.19032,0.13176,0.0976,-0.04392
-0.01464,-0.0122,0.03904,0.04636,0.05368,-0.03416,0.19032,0.22936,0.20984,0.15616,0.10736,-0.03904
0.00488,-0.02196,0.03904,0.0366,0.03416,-0.01464,0.1952,0.25864,0.23424,0.17568,0.12688,-0.03416
0.01952,-0.02928,0.03904,0.02928,0.01952,0,0.20008,0.28792,0.25864,0.1952,0.14152,-0.0244
0.05368,-0.05368,0.05368,0.02684,0,0.02684,0.20496,0.31232,0.28304,0.22936,0.1708,-0.00976
0.09272,-0.07808,0.06344,0.01708,-0.02928,0.061,0.20984,0.33672,0.29768,0.244,0.18056,-0.00488
0.10248,-0.08784,0.0732,0.02196,-0.02928,0.06588,0.20984,0.35136,0.31232,0.26352,0.1952,0.00976
0.0976,-0.09028,0.08296,0.03416,-0.01464,0.05612,0.20984,0.37088,0.3416,0.27816,0.20984,0.0244
0.11224,-0.10492,0.0976,0.04148,-0.01464,0.06344,0.20984,0.38064,0.36112,0.2928,0.23424,0.04392
