i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.0488,0.00488,-0.05856,-0.08296,-0.10736,0.07808,0.12688,0.20984,0.42944,0.2928,0.16592,0.04392
0.0488,-0.00732,-0.03416,-0.05856,-0.08296,0.06588,0.11712,0.20496,0.4636,0.32696,0.19032,0.04392
0.05368,-0.01952,-0.01464,-0.04148,-0.06832,0.061,0.11712,0.21472,0.48312,0.36112,0.20984,0.03416
0.05856,-0.02684,-0.00488,-0.03416,-0.06344,0.061,0.12688,0.22936,0.5124,0.366,0.20496,0.02928
0.05856,-0.03172,0.00488,-0.0244,-0.05368,0.05612,0.12688,0.22936,0.5368,0.3904,0.2196,0.03416
0.06344,-0.03416,0.00488,-0.02684,-0.05856,0.061,0.13176,0.22936,0.55144,0.4148,0.22936,0.03904
0.06344,-0.03904,0.01464,-0.01708,-0.0488,0.05612,0.12688,0.23424,0.57096,0.43432,0.244,0.03904
0.06344,-0.0366,0.00976,-0.02196,-0.05368,0.05856,0.11712,0.23912,0.5856,0.45384,0.25376,0.04392
0.06832,-0.04392,0.01952,-0.01464,-0.0488,0.05856,0.11712,0.23912,0.60024,0.47336,0.2684,0.04392
0.06832,-0.05368,0.03904,0.00488,-0.02928,0.0488,0.12688,0.23912,0.61488,0.49288,0.27816,0.03904
0.0732,-0.05856,0.04392,0.00732,-0.02928,0.05124,0.12688,0.22936,0.62464,0.50264,0.28792,0.04392
0.06344,-0.05856,0.05368,0.02196,-0.00976,0.0366,0.122,0.22936,0.62464,0.51728,0.30744,0.0488
0.06344,-0.06588,0.06832,0.0366,0.00488,0.02928,0.122,0.23424,0.62952,0.52704,0.32208,0.05368
0.05856,-0.05856,0.05856,0.02928,0,0.02928,0.11224,0.2196,0.62464,0.5124,0.30744,0.04392
0.05856,-0.05368,0.0488,0.01952,-0.00976,0.03416,0.10248,0.21472,0.61488,0.50264,0.28792,0.03904
0.06344,-0.05856,0.05368,0.02196,-0.00976,0.0366,0.11224,0.22448,0.61488,0.5124,0.30256,0.04392
0.06832,-0.06588,0.06344,0.02928,-0.00488,0.0366,0.11224,0.22936,0.60512,0.50752,0.31232,0.04392
0.0732,-0.06588,0.05856,0.02196,-0.01464,0.04392,0.09272,0.20008,0.58072,0.488,0.29768,0.0244
0.0732,-0.06344,0.05368,0.01708,-0.01952,0.04636,0.09272,0.18056,0.5612,0.46848,0.2928,0.01464
0.06344,-0.05856,0.05368,0.02196,-0.00976,0.0366,0.09272,0.16592,0.5368,0.4636,0.29768,0.0244
0.06344,-0.05612,0.0488,0.01708,-0.01464,0.03904,0.08296,0.16592,0.50264,0.44408,0.2928,0.02928
0.06344,-0.05612,0.0488,0.01708,-0.01464,0.03904,0.0732,0.14152,0.44408,0.40504,0.27328,0.01464
0.06344,-0.05612,0.0488,0.01708,-0.01464,0.03904,0.06832,0.122,0.40504,0.36112,0.244,0
0.05368,-0.0488,0.04392,0.01708,-0.00976,0.03172,0.06832,0.10248,0.35624,0.33672,0.23424,-0.01464
0.05856,-0.04636,0.03416,0.00488,-0.0244,0.04148,0.05368,0.08296,0.31232,0.2928,0.21472,-0.03904
0.05368,-0.04392,0.03416,0.00732,-0.01952,0.0366,0.05368,0.07808,0.28304,0.2684,0.19032,-0.06344
0.04392,-0.02928,0.01464,-0.00732,-0.02928,0.0366,0.05368,0.06344,0.24888,0.23424,0.17568,-0.07808
0.03416,-0.02196,0.00976,-0.00732,-0.0244,0.02928,0.04392,0.04392,0.20496,0.20008,0.15128,-0.09272
0.02928,-0.01464,0,-0.01464,-0.02928,0.02928,0.03904,0.03904,0.1708,0.17568,0.14152,-0.10248
0.02928,-0.0122,-0.00488,-0.01952,-0.03416,0.03172,0.04392,0.01952,0.1464,0.14152,0.11712,-0.13176
0.02928,-0.00732,-0.01464,-0.02928,-0.04392,0.0366,0.03904,0.01464,0.122,0.10248,0.08784,-0.15616
0.02928,0.00976,-0.0488,-0.06344,-0.07808,0.05368,0.0488,0.01464,0.10736,0.09272,0.06344,-0.16104
0.01952,0.01952,-0.05856,-0.06832,-0.07808,0.0488,0.0488,0.02928,0.08784,0.08296,0.06832,-0.1708
0.00976,0.02684,-0.06344,-0.06832,-0.0732,0.04148,0.03904,0.01952,0.0732,0.0732,0.07808,-0.1708
0.01464,0.02928,-0.0732,-0.08052,-0.08784,0.05124,0.04392,0.00488,0.05856,0.06344,0.06344,-0.17568
0.00488,0.04148,-0.08784,-0.09028,-0.09272,0.0488,0.04392,0.00976,0.03904,0.04392,0.03904,-0.20008
-0.00488,0.04636,-0.08784,-0.0854,-0.08296,0.03904,0.04392,0.00976,0.02928,0.03416,0.01464,-0.22448
0.00976,0.03904,-0.08784,-0.09272,-0.0976,0.05368,0.05368,0.00488,0.0244,0.01952,0.01952,-0.22448
0.00976,0.04392,-0.0976,-0.10248,-0.10736,0.05856,0.05368,0.00488,0.01464,0.00976,0.01952,-0.23912
0.00488,0.05124,-0.10736,-0.1098,-0.11224,0.05856,0.06344,0.00488,0.01952,0.00488,0,-0.25376
0.00488,0.05612,-0.11712,-0.11956,-0.122,0.06344,0.06344,0.00976,0.01952,-0.00488,0,-0.24888
0.00488,0.0488,-0.10248,-0.10492,-0.10736,0.05612,0.05856,0.00976,0.01952,0.00976,0,-0.25864
0.00488,0.05124,-0.10736,-0.1098,-0.11224,0.05856,0.05856,0.01952,0.01464,0,-0.00488,-0.25864
0.00488,0.0488,-0.10248,-0.10492,-0.10736,0.05612,0.05856,0.01464,0.02928,0,-0.01464,-0.27816
0,0.04392,-0.08784,-0.08784,-0.08784,0.04392,0.05856,0.00976,0.02928,0,-0.01464,-0.27816
0,0.05124,-0.10248,-0.10248,-0.10248,0.05124,0.06832,0.01464,0.01952,-0.00976,-0.01464,-0.28792
-0.00488,0.05368,-0.10248,-0.10004,-0.0976,0.04636,0.0732,0.01464,0.01464,-0.00976,-0.01952,-0.30256
0.00976,0.03904,-0.08784,-0.09272,-0.0976,0.05368,0.06832,0.00488,0.01464,0,-0.01464,-0.30744
0.00976,0.03904,-0.08784,-0.09272,-0.0976,0.05368,0.06344,-0.00488,0.01952,0,-0.01464,-0.29768
0,0.04392,-0.08784,-0.08784,-0.08784,0.04392,0.06344,0.01952,0.03416,0.00488,0,-0.2928
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,0.06344,0.02928,0.03904,0.00976,0,-0.2928
0,0.03904,-0.07808,-0.07808,-0.07808,0.03904,0.05368,0.01464,0.03904,0,-0.01464,-0.29768
0.00976,0.03172,-0.0732,-0.07808,-0.08296,0.04636,0.05368,0.00976,0.02928,0,-0.03416,-0.30744
0,0.03904,-0.07808,-0.07808,-0.07808,0.03904,0.06344,0.01464,0.04392,0.00488,-0.0244,-0.29768
0,0.04148,-0.08296,-0.08296,-0.08296,0.04148,0.0732,0.01952,0.05368,0.01464,-0.00976,-0.28304
0.00488,0.04392,-0.09272,-0.09516,-0.0976,0.05124,0.06344,0,0.0488,0.01464,0.00488,-0.28792
0.00488,0.04392,-0.09272,-0.09516,-0.0976,0.05124,0.05856,-0.00976,0.04392,0.01952,0.00488,-0.28304
0.01952,0.02928,-0.07808,-0.08784,-0.0976,0.05856,0.05368,-0.00976,0.03904,0.00976,-0.00976,-0.30256
0.02928,0.01952,-0.06832,-0.08296,-0.0976,0.06344,0.05368,-0.00488,0.03416,0,0,-0.30744
0.00976,0.02928,-0.06832,-0.0732,-0.07808,0.04392,0.06832,0.00488,0.0488,0.01464,-0.00976,-0.31232
0.00488,0.02928,-0.06344,-0.06588,-0.06832,0.0366,0.06832,0.00976,0.0488,0.01464,-0.01952,-0.32696
0.01464,0.02684,-0.06832,-0.07564,-0.08296,0.0488,0.06344,-0.00976,0.03416,0.01464,-0.00976,-0.32208
0.01464,0.03416,-0.08296,-0.09028,-0.0976,0.05612,0.06344,-0.01464,0.03904,0.01464,-0.00488,-0.31232
0,0.0366,-0.0732,-0.0732,-0.0732,0.0366,0.06832,0.00488,0.0488,0.02928,0.00976,-0.30744
0,0.03172,-0.06344,-0.06344,-0.06344,0.03172,0.06832,0.00976,0.0488,0.0244,0,-0.30256
0.01464,0.0244,-0.06344,-0.07076,-0.07808,0.04636,0.05856,-0.01464,0.03416,0.01464,-0.00976,-0.31232
0.0244,0.01952,-0.06344,-0.07564,-0.08784,0.05612,0.0488,-0.02928,0.0244,0.00976,-0.00976,-0.32696
0.01464,0.02196,-0.05856,-0.06588,-0.0732,0.04392,0.0488,-0.0244,0.02928,-0.00488,-0.01464,-0.32208
0.01464,0.02196,-0.05856,-0.06588,-0.0732,0.04392,0.0488,-0.0244,0.01952,-0.01464,-0.01952,-0.33184
0.00976,0.02684,-0.06344,-0.06832,-0.0732,0.04148,0.0488,-0.0244,0.01464,-0.00488,-0.01464,-0.33672
0.00976,0.02684,-0.06344,-0.06832,-0.0732,0.04148,0.0488,-0.0244,0.01464,-0.00488,-0.01464,-0.3172
0.01464,0.0244,-0.06344,-0.07076,-0.07808,0.04636,0.05368,-0.02928,0,-0.00488,-0.0244,-0.3172
0.01952,0.02196,-0.06344,-0.0732,-0.08296,0.05124,0.05368,-0.03416,-0.00488,-0.00488,-0.02928,-0.33184
