i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0244,-0.07808,0.18056,0.19276,0.20496,-0.11468,-0.00488,0.03904,0.74664,-0.00976,0.04392,-0.0488
-0.01464,-0.08784,0.19032,0.19764,0.20496,-0.1098,0,0.04392,0.7564,-0.00488,0.04392,-0.03904
-0.01464,-0.08784,0.19032,0.19764,0.20496,-0.1098,0.00488,0.05368,0.76128,-0.00488,0.0488,-0.03416
-0.01952,-0.08784,0.1952,0.20496,0.21472,-0.11712,0.00488,0.06344,0.76616,0,0.05368,-0.02928
-0.0244,-0.07564,0.17568,0.18788,0.20008,-0.11224,0.00976,0.06832,0.7808,0,0.05368,-0.0244
-0.0244,-0.0732,0.1708,0.183,0.1952,-0.1098,0.01464,0.07808,0.7808,0.00976,0.05368,-0.02928
-0.00976,-0.0854,0.18056,0.18544,0.19032,-0.10004,0.01952,0.08784,0.80032,0.01952,0.0732,-0.0244
-0.01464,-0.0854,0.18544,0.19276,0.20008,-0.10736,0.0244,0.10248,0.8052,0.01952,0.0732,-0.01464
-0.01464,-0.07564,0.16592,0.17324,0.18056,-0.0976,0.02928,0.11224,0.81496,0.02928,0.07808,-0.00976
-0.00976,-0.07808,0.16592,0.1708,0.17568,-0.09272,0.03904,0.12688,0.82472,0.03904,0.08784,-0.00488
-0.00488,-0.08052,0.16592,0.16836,0.1708,-0.08784,0.04392,0.14152,0.83448,0.0488,0.10248,0.00488
0.00488,-0.08784,0.1708,0.16836,0.16592,-0.08052,0.05368,0.15616,0.84424,0.06344,0.10736,0.00976
0.01464,-0.09516,0.17568,0.16836,0.16104,-0.0732,0.06344,0.16592,0.854,0.0732,0.11224,0.01952
0.01952,-0.10004,0.18056,0.1708,0.16104,-0.07076,0.06344,0.18544,0.85888,0.09272,0.13664,0.0244
0.03416,-0.11224,0.19032,0.17324,0.15616,-0.061,0.06344,0.20008,0.86376,0.10736,0.1464,0.02928
0.04392,-0.12932,0.21472,0.19276,0.1708,-0.06344,0.0732,0.21472,0.86864,0.11224,0.15616,0.03416
0.06344,-0.14396,0.22448,0.19276,0.16104,-0.0488,0.07808,0.22448,0.86864,0.12688,0.16592,0.0488
0.06344,-0.14152,0.2196,0.18788,0.15616,-0.04636,0.0732,0.22936,0.85888,0.122,0.16592,0.0488
0.06832,-0.14884,0.22936,0.1952,0.16104,-0.04636,0.06832,0.22936,0.854,0.122,0.16592,0.0488
0.05856,-0.14396,0.22936,0.20008,0.1708,-0.05612,0.06832,0.22936,0.84912,0.122,0.16592,0.0488
0.05368,-0.1464,0.23912,0.21228,0.18544,-0.06588,0.06344,0.22936,0.84424,0.13176,0.17568,0.05368
0.05856,-0.15372,0.24888,0.2196,0.19032,-0.06588,0.06344,0.22448,0.84424,0.13664,0.18056,0.06344
0.05856,-0.15372,0.24888,0.2196,0.19032,-0.06588,0.05856,0.2196,0.83936,0.14152,0.18544,0.06832
0.06344,-0.16104,0.25864,0.22692,0.1952,-0.06588,0.05856,0.2196,0.83448,0.14152,0.18544,0.06832
0.05368,-0.15616,0.25864,0.2318,0.20496,-0.07564,0.05368,0.20984,0.8296,0.14152,0.18544,0.0732
0.05856,-0.16348,0.2684,0.23912,0.20984,-0.07564,0.05368,0.20496,0.83448,0.14152,0.19032,0.0732
0.0488,-0.1586,0.2684,0.244,0.2196,-0.0854,0.05368,0.20496,0.83448,0.14152,0.19032,0.0732
0.04392,-0.1586,0.27328,0.25132,0.22936,-0.09272,0.05368,0.1952,0.83448,0.14152,0.19032,0.0732
0.04392,-0.1586,0.27328,0.25132,0.22936,-0.09272,0.05368,0.18056,0.83448,0.14152,0.19032,0.0732
0.01952,-0.14152,0.26352,0.25376,0.244,-0.11224,0.03904,0.16104,0.8296,0.13176,0.18056,0.06832
-0.00488,-0.12688,0.25864,0.26108,0.26352,-0.1342,0.02928,0.13664,0.82472,0.12688,0.17568,0.06344
-0.00488,-0.122,0.24888,0.25132,0.25376,-0.12932,0.0244,0.122,0.82472,0.11712,0.15616,0.05856
-0.01952,-0.10736,0.23424,0.244,0.25376,-0.13664,0.01952,0.11224,0.81984,0.11224,0.15616,0.05368
-0.01464,-0.10736,0.22936,0.23668,0.244,-0.12932,0.01952,0.0976,0.81496,0.0976,0.13664,0.03904
-0.01952,-0.10492,0.22936,0.23912,0.24888,-0.1342,0.01464,0.08296,0.81496,0.09272,0.13664,0.03904
-0.02928,-0.0732,0.17568,0.19032,0.20496,-0.11712,0.00976,0.05856,0.80032,0.08296,0.12688,0.02928
-0.04392,-0.06588,0.17568,0.19764,0.2196,-0.13176,0,0.04392,0.79056,0.0732,0.11224,0.0244
-0.04392,-0.06588,0.17568,0.19764,0.2196,-0.13176,-0.00488,0.02928,0.7808,0.06344,0.10736,0.01464
-0.0488,-0.05612,0.16104,0.18544,0.20984,-0.12932,-0.01464,0.01464,0.77104,0.05368,0.0976,0.01464
-0.03416,-0.061,0.15616,0.17324,0.19032,-0.11224,-0.01952,0.00976,0.76616,0.04392,0.09272,0.00976
-0.01952,-0.07564,0.1708,0.18056,0.19032,-0.10492,-0.0244,0.00488,0.76128,0.04392,0.08784,0.00976
-0.03416,-0.06832,0.1708,0.18788,0.20496,-0.11956,-0.0244,-0.00488,0.74664,0.03904,0.08784,0.00976
-0.0488,-0.061,0.1708,0.1952,0.2196,-0.1342,-0.0244,-0.00488,0.74176,0.03416,0.08784,0.00976
-0.0488,-0.05612,0.16104,0.18544,0.20984,-0.12932,-0.0244,-0.00976,0.73688,0.03416,0.08296,0.00488
-0.0488,-0.05368,0.15616,0.18056,0.20496,-0.12688,-0.0244,-0.01464,0.732,0.02928,0.08296,0.00488
-0.0488,-0.05856,0.16592,0.19032,0.21472,-0.13176,-0.0244,-0.01464,0.72712,0.0244,0.07808,0.00488
-0.04392,-0.05856,0.16104,0.183,0.20496,-0.12444,-0.0244,-0.01952,0.72224,0.01952,0.07808,0
-0.0488,-0.05612,0.16104,0.18544,0.20984,-0.12932,-0.0244,-0.01952,0.71736,0.01952,0.07808,0
-0.0488,-0.05612,0.16104,0.18544,0.20984,-0.12932,-0.0244,-0.01952,0.71736,0.01952,0.07808,0
-0.0488,-0.061,0.1708,0.1952,0.2196,-0.1342,-0.03904,-0.0244,0.7076,0.01464,0.0732,-0.00488
-0.04392,-0.05612,0.15616,0.17812,0.20008,-0.122,-0.0488,-0.0244,0.70272,0.01464,0.06832,-0.00976
-0.04392,-0.05856,0.16104,0.183,0.20496,-0.12444,-0.03904,-0.0244,0.69296,0.01952,0.06832,-0.00976
-0.03904,-0.05612,0.15128,0.1708,0.19032,-0.11468,-0.03904,-0.0244,0.68808,0.01464,0.0732,-0.00488
