i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01952,-0.00976,0.03904,0.0488,0.05856,-0.03904,0.10736,-19.79328,0.03904,0.08784,0.08784,-0.05856
-0.0244,-0.00244,0.02928,0.04148,0.05368,-0.03904,0.0976,-19.62248,0.02928,0.08784,0.0976,-0.06832
-0.03416,0.00244,0.02928,0.04636,0.06344,-0.0488,0.0976,-19.45656,0.02928,0.08784,0.0976,-0.06832
-0.0488,0.0122,0.0244,0.0488,0.0732,-0.061,0.08784,-19.28576,0.02928,0.08784,0.0976,-0.05856
-0.0488,0.01708,0.01464,0.03904,0.06344,-0.05612,0.08784,-19.11008,0.02928,0.08784,0.0976,-0.05856
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,0.07808,-18.93928,0.01952,0.08784,0.08784,-0.06832
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,0.07808,-18.77336,0.01952,0.08784,0.08784,-0.06832
-0.01952,0.00244,0.01464,0.0244,0.03416,-0.02684,0.07808,-18.60744,0.01952,0.07808,0.07808,-0.06832
0,-0.0122,0.0244,0.0244,0.0244,-0.0122,0.07808,-18.44152,0.01952,0.07808,0.07808,-0.06832
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,0.08296,-18.2756,0.01952,0.07808,0.07808,-0.05856
0.01952,-0.03172,0.04392,0.03416,0.0244,-0.00244,0.09272,-18.10968,0.01952,0.07808,0.07808,-0.05856
0.00488,-0.02196,0.03904,0.0366,0.03416,-0.01464,0.09272,-17.92424,0.00976,0.06832,0.06832,-0.06832
-0.0244,0.00244,0.01952,0.03172,0.04392,-0.03416,0.08296,-17.7388,0.00976,0.06832,0.06832,-0.06832
-0.05368,0.02928,-0.00488,0.02196,0.0488,-0.05124,0.0732,-17.5436,0.01952,0.05856,0.06832,-0.0732
-0.06344,0.03904,-0.01464,0.01708,0.0488,-0.05612,0.06344,-17.35816,0.01952,0.05856,0.06832,-0.08296
-0.05856,0.03172,-0.00488,0.0244,0.05368,-0.05612,0.06344,-17.1776,0.01952,0.06832,0.06832,-0.07808
-0.05856,0.02684,0.00488,0.03416,0.06344,-0.061,0.0732,-17.00192,0.01952,0.06832,0.06832,-0.07808
-0.05856,0.02684,0.00488,0.03416,0.06344,-0.061,0.06832,-16.82136,0.01952,0.05856,0.05856,-0.08784
-0.05856,0.03172,-0.00488,0.0244,0.05368,-0.05612,0.06832,-16.63592,0.01952,0.05856,0.05856,-0.08784
-0.06832,0.04148,-0.01464,0.01952,0.05368,-0.061,0.05856,-16.4456,0.00976,0.05368,0.0488,-0.0976
-0.06832,0.04636,-0.0244,0.00976,0.04392,-0.05612,0.03904,-16.2504,0.00976,0.04392,0.0488,-0.0976
-0.06344,0.04392,-0.0244,0.00732,0.03904,-0.05124,0.04392,-16.0552,0.00976,0.0488,0.0488,-0.0976
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0.05368,-15.87952,0.00976,0.0488,0.0488,-0.0976
-0.05856,0.02684,0.00488,0.03416,0.06344,-0.061,0.0732,-15.69896,0.01464,0.05368,0.05856,-0.09272
-0.05856,0.02196,0.01464,0.04392,0.0732,-0.06588,0.10248,-15.51352,0.0244,0.06344,0.05856,-0.08296
-0.05368,0.01464,0.0244,0.05124,0.07808,-0.06588,0.11712,-15.32808,0.02928,0.06832,0.06832,-0.07808
-0.04392,0.00488,0.03416,0.05612,0.07808,-0.061,0.11712,-15.16216,0.02928,0.06832,0.06832,-0.07808
-0.03904,0.00488,0.02928,0.0488,0.06832,-0.05368,0.11224,-14.9816,0.02928,0.06832,0.05856,-0.08784
-0.03904,0.00488,0.02928,0.0488,0.06832,-0.05368,0.10248,-14.7864,0.02928,0.06832,0.05856,-0.08784
-0.04392,0.00976,0.0244,0.04636,0.06832,-0.05612,0.08784,-14.58144,0.01952,0.05856,0.0488,-0.0976
-0.05368,0.01952,0.01464,0.04148,0.06832,-0.061,0.08784,-14.38624,0.01952,0.05856,0.0488,-0.0976
-0.05368,0.01952,0.01464,0.04148,0.06832,-0.061,0.08784,-14.19592,0.01952,0.05856,0.05856,-0.09272
-0.04392,0.00976,0.0244,0.04636,0.06832,-0.05612,0.08784,-14.01048,0.01952,0.05856,0.05856,-0.08296
-0.05368,0.01708,0.01952,0.04636,0.0732,-0.06344,0.0976,-13.82504,0.01952,0.05856,0.05856,-0.0732
-0.06344,0.02196,0.01952,0.05124,0.08296,-0.0732,0.0976,-13.6396,0.01952,0.05856,0.05856,-0.06344
-0.0732,0.02928,0.01464,0.05124,0.08784,-0.08052,0.09272,-13.44928,0.00976,0.05368,0.0488,-0.06832
-0.08296,0.03904,0.00488,0.04636,0.08784,-0.0854,0.08296,-13.25408,0.00976,0.04392,0.0488,-0.06832
-0.08296,0.04148,0,0.04148,0.08296,-0.08296,0.0732,-13.054,0,0.02928,0.03904,-0.06832
-0.0732,0.0366,0,0.0366,0.0732,-0.0732,0.06344,-12.86856,0,0.02928,0.03904,-0.06832
-0.06344,0.03172,0,0.03172,0.06344,-0.06344,0.05368,-12.67336,-0.00976,0.01952,0.02928,-0.07808
-0.05368,0.02684,0,0.02684,0.05368,-0.05368,0.04392,-12.48792,-0.00976,0.01952,0.02928,-0.07808
-0.05368,0.03172,-0.00976,0.01708,0.04392,-0.0488,0.0488,-12.29272,-0.00976,0.02928,0.02928,-0.06832
-0.06344,0.0366,-0.00976,0.02196,0.05368,-0.05856,0.0488,-12.10728,-0.00976,0.02928,0.02928,-0.06832
-0.05856,0.02684,0.00488,0.03416,0.06344,-0.061,0.05368,-11.92184,0,0.03904,0.03904,-0.05856
-0.05856,0.02196,0.01464,0.04392,0.0732,-0.06588,0.06344,-11.7364,0,0.03904,0.03904,-0.05856
-0.05856,0.0244,0.00976,0.03904,0.06832,-0.06344,0.0732,-11.54608,-0.00976,0.03904,0.03904,-0.05856
-0.05856,0.0244,0.00976,0.03904,0.06832,-0.06344,0.08296,-11.35088,-0.00976,0.03904,0.03904,-0.05856
-0.0732,0.03416,0.00488,0.04148,0.07808,-0.07564,0.08296,-11.15568,-0.0244,0.03416,0.03416,-0.06832
-0.08296,0.04392,-0.00488,0.0366,0.07808,-0.08052,0.0732,-10.96048,-0.03416,0.0244,0.0244,-0.06832
-0.09272,0.05368,-0.01464,0.03172,0.07808,-0.0854,0.06344,-10.75552,-0.03904,0.01952,0.01952,-0.06832
