i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.02928,-0.04636,0.06344,0.0488,0.03416,-0.00244,-0.02928,0.00976,-0.0244,-0.03416,-0.00488,-0.00488
0.03904,-0.04392,0.0488,0.02928,0.00976,0.01464,-0.03416,0.00976,-0.0244,-0.03416,-0.00488,-0.00488
0.0488,-0.04392,0.03904,0.01464,-0.00976,0.02928,-0.0488,0,-0.03904,-0.0488,-0.01464,-0.00488
0.0488,-0.0366,0.0244,0,-0.0244,0.0366,-0.05856,-0.00976,-0.05856,-0.05368,-0.01952,-0.00488
0.03416,-0.01952,0.00488,-0.0122,-0.02928,0.03172,-0.05856,-0.0244,-0.07808,-0.07808,-0.02928,-0.01464
0.01952,-0.00732,-0.00488,-0.01464,-0.0244,0.02196,-0.0488,-0.0244,-0.07808,-0.07808,-0.0488,-0.0244
0.00488,0.00488,-0.01464,-0.01708,-0.01952,0.0122,-0.03416,-0.01952,-0.0732,-0.07808,-0.05368,-0.02928
-0.00488,0.0122,-0.01952,-0.01708,-0.01464,0.00488,-0.01464,0,-0.06832,-0.08296,-0.05856,-0.03904
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,-0.0244,-0.00976,-0.08784,-0.10248,-0.06832,-0.05368
0.00488,0.01952,-0.04392,-0.04636,-0.0488,0.02684,-0.03416,-0.01464,-0.09272,-0.11224,-0.07808,-0.05856
0.01464,0.01708,-0.0488,-0.05612,-0.06344,0.03904,-0.04392,-0.0244,-0.0976,-0.11712,-0.07808,-0.06832
0.00488,0.0244,-0.05368,-0.05612,-0.05856,0.03172,-0.04392,-0.0244,-0.0976,-0.11712,-0.07808,-0.0732
-0.00976,0.03172,-0.05368,-0.0488,-0.04392,0.01708,-0.04392,-0.01952,-0.0976,-0.11712,-0.07808,-0.0732
-0.00976,0.03172,-0.05368,-0.0488,-0.04392,0.01708,-0.04392,-0.01952,-0.0976,-0.11712,-0.08296,-0.06344
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,-0.04392,-0.0244,-0.09272,-0.11712,-0.08784,-0.05856
-0.00488,0.02928,-0.05368,-0.05124,-0.0488,0.02196,-0.04392,-0.0244,-0.08296,-0.11224,-0.08784,-0.05856
-0.00488,0.03172,-0.05856,-0.05612,-0.05368,0.0244,-0.04392,-0.01952,-0.07808,-0.10736,-0.08784,-0.05856
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,-0.04392,-0.02928,-0.08296,-0.11224,-0.08296,-0.06344
-0.03416,0.01464,0.00488,0.02196,0.03904,-0.0366,-0.01952,-0.03416,-0.0976,-0.13176,-0.07808,-0.06832
-0.06344,0.00732,0.0488,0.08052,0.11224,-0.08784,0.09272,0.0488,-0.0976,-0.1708,-0.0976,-0.06832
-0.06344,0,0.06344,0.09516,0.12688,-0.09516,0.23424,0.13664,-0.08784,-0.17568,-0.11224,-0.06832
-0.09272,0.02684,0.03904,0.0854,0.13176,-0.11224,0.3416,0.15616,-0.06344,-0.18544,-0.12688,-0.08296
-0.05368,0.0122,0.02928,0.05612,0.08296,-0.06832,0.33184,0.17568,0.0976,-0.04392,-0.04392,-0.04392
0.03416,-0.0244,0.01464,-0.00244,-0.01952,0.02684,0.23424,0.14152,0.122,0.14152,0.10736,0.04392
0.16592,-0.12444,0.08296,0,-0.08296,0.12444,-0.08784,0.0488,0.23424,0.42944,0.33672,0.20008
0.37088,-0.50996,0.64904,0.4636,0.27816,0.04636,-0.8784,-0.29768,0.64416,1.22,0.98088,0.69784
0.61488,-0.89304,1.1712,0.86376,0.55632,0.02928,-1.65432,-0.57096,1.23464,2.20576,1.69824,1.22
0.854,-1.14436,1.43472,1.00772,0.58072,0.13664,-2.09352,-0.55144,2.08864,3.29888,2.30336,1.60064
0.88816,-1.07604,1.26392,0.81984,0.37576,0.2562,-2.13744,-0.50264,2.36192,3.33792,2.21552,1.54208
0.67344,-0.7442,0.81496,0.47824,0.14152,0.26596,-1.80072,-0.55144,1.72752,2.45464,1.58112,1.11752
0.43432,-0.42212,0.40992,0.19276,-0.0244,0.22936,-1.38104,-0.65392,0.732,1.37616,0.93696,0.7076
0.22448,-0.16592,0.10736,-0.00488,-0.11712,0.1708,-0.90768,-0.65392,-0.13176,0.3416,0.40016,0.34648
0.0732,-0.04392,0.01464,-0.02196,-0.05856,0.06588,-0.50752,-0.49776,-0.35624,-0.15128,0.10248,0.13176
0.03904,-0.01952,0,-0.01952,-0.03904,0.03904,-0.2928,-0.27816,-0.1708,-0.09272,0.03416,0.04392
0.01952,-0.00488,-0.00976,-0.01952,-0.02928,0.0244,-0.1708,-0.122,-0.07808,-0.0732,-0.00488,0
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,-0.08784,-0.06832,-0.06344,-0.08296,-0.03904,-0.03416
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,-0.02928,-0.05856,-0.0732,-0.11224,-0.06832,-0.05368
-0.01952,0.05124,-0.08296,-0.0732,-0.06344,0.02196,-0.01464,-0.03904,-0.10248,-0.1464,-0.08296,-0.06832
-0.0244,0.05856,-0.09272,-0.08052,-0.06832,0.02196,-0.00976,-0.0244,-0.12688,-0.18056,-0.10736,-0.08296
