i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00976,0.03172,-0.05368,-0.0488,-0.04392,0.01708,0.04392,0.03416,-0.02928,-0.02928,-0.03904,-0.04392
-0.00488,0.02684,-0.0488,-0.04636,-0.04392,0.01952,0.04392,0.03416,-0.02928,-0.01952,-0.03904,-0.04392
-0.00488,0.0244,-0.04392,-0.04148,-0.03904,0.01708,0.04392,0.04392,-0.0244,-0.01952,-0.03416,-0.03904
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.0488,0.0488,-0.0244,-0.01464,-0.03416,-0.03904
0,0.02196,-0.04392,-0.04392,-0.04392,0.02196,0.0488,0.05368,-0.01464,-0.00976,-0.0244,-0.03416
0.00488,0.01952,-0.04392,-0.04636,-0.0488,0.02684,0.0488,0.05368,-0.01464,-0.00488,-0.0244,-0.03904
0.00488,0.01464,-0.03416,-0.0366,-0.03904,0.02196,0.05368,0.05368,-0.01464,-0.00488,-0.01952,-0.03904
0.00488,0.0122,-0.02928,-0.03172,-0.03416,0.01952,0.05368,0.06344,-0.01464,-0.00488,-0.01952,-0.03904
0.01464,0.00488,-0.0244,-0.03172,-0.03904,0.02684,0.05368,0.06832,-0.00488,0,-0.01464,-0.03416
0.01464,0.00244,-0.01952,-0.02684,-0.03416,0.0244,0.05368,0.07808,-0.00488,0,-0.01464,-0.03416
0.01464,0,-0.01464,-0.02196,-0.02928,0.02196,0.05856,0.09272,0.00488,0.00976,-0.00488,-0.02928
0.0244,-0.00976,-0.00488,-0.01708,-0.02928,0.02684,0.06344,0.0976,0.00488,0.01464,-0.00488,-0.02928
0.02928,-0.01952,0.00976,-0.00488,-0.01952,0.0244,0.0732,0.10736,0.00976,0.01952,0,-0.01952
0.03416,-0.02684,0.01952,0.00244,-0.01464,0.0244,0.0732,0.11712,0.01464,0.0244,0.00488,-0.01952
0.03904,-0.0366,0.03416,0.01464,-0.00488,0.02196,0.07808,0.122,0.01952,0.02928,0.00976,-0.01464
0.04392,-0.04392,0.04392,0.02196,0,0.02196,0.07808,0.13664,0.02928,0.03416,0.01952,-0.00976
0.05368,-0.05368,0.05368,0.02684,0,0.02684,0.07808,0.1464,0.03416,0.04392,0.0244,0
0.06832,-0.06832,0.06832,0.03416,0,0.03416,0.08296,0.15616,0.03904,0.04392,0.03416,0.00488
0.07808,-0.07808,0.07808,0.03904,0,0.03904,0.08784,0.17568,0.05368,0.05368,0.04392,0.00976
0.08784,-0.09028,0.09272,0.0488,0.00488,0.04148,0.08784,0.19032,0.06344,0.06344,0.05368,0.01464
0.10248,-0.10736,0.11224,0.061,0.00976,0.04636,0.0976,0.21472,0.0732,0.08296,0.0732,0.02928
0.11224,-0.122,0.13176,0.07564,0.01952,0.04636,0.0976,0.22936,0.08784,0.0976,0.07808,0.03904
0.12688,-0.13908,0.15128,0.08784,0.0244,0.05124,0.0976,0.25864,0.10248,0.11224,0.0976,0.05368
0.14152,-0.16104,0.18056,0.1098,0.03904,0.05124,0.10248,0.27816,0.11224,0.13176,0.11224,0.06344
0.15128,-0.17812,0.20496,0.12932,0.05368,0.0488,0.10736,0.2928,0.13176,0.15616,0.13176,0.07808
0.1708,-0.20008,0.22936,0.14396,0.05856,0.05612,0.11224,0.31232,0.1464,0.16592,0.1464,0.08784
0.18544,-0.21716,0.24888,0.15616,0.06344,0.061,0.11712,0.33184,0.16104,0.18544,0.16104,0.10736
0.20008,-0.23424,0.2684,0.16836,0.06832,0.06588,0.122,0.3416,0.17568,0.20008,0.18056,0.11712
0.20496,-0.24644,0.28792,0.18544,0.08296,0.061,0.122,0.35624,0.19032,0.2196,0.1952,0.13664
0.21472,-0.26352,0.31232,0.20496,0.0976,0.05856,0.122,0.366,0.1952,0.22936,0.20984,0.14152
0.2196,-0.27084,0.32208,0.21228,0.10248,0.05856,0.122,0.37576,0.20496,0.244,0.2196,0.15128
0.22936,-0.28548,0.3416,0.22692,0.11224,0.05856,0.122,0.38552,0.20984,0.24888,0.22936,0.16592
0.23424,-0.29768,0.36112,0.244,0.12688,0.05368,0.122,0.38552,0.21472,0.25376,0.23912,0.1708
0.244,-0.305,0.366,0.244,0.122,0.061,0.11224,0.38552,0.2196,0.26352,0.24888,0.17568
0.24888,-0.30988,0.37088,0.24644,0.122,0.06344,0.10736,0.38552,0.2196,0.26352,0.24888,0.18056
0.24888,-0.30988,0.37088,0.24644,0.122,0.06344,0.10248,0.366,0.2196,0.2684,0.24888,0.18056
0.244,-0.305,0.366,0.244,0.122,0.061,0.0976,0.3416,0.2196,0.2684,0.24888,0.18056
0.22448,-0.28548,0.34648,0.23424,0.122,0.05124,0.09272,0.30744,0.20008,0.24888,0.23424,0.1708
0.20008,-0.25864,0.3172,0.21716,0.11712,0.04148,0.08784,0.2684,0.19032,0.22936,0.20984,0.15616
0.17568,-0.22692,0.27816,0.19032,0.10248,0.0366,0.0732,0.23912,0.16104,0.20008,0.18544,0.13664
0.15616,-0.20008,0.244,0.16592,0.08784,0.03416,0.06344,0.20008,0.14152,0.17568,0.15616,0.11712
0.13664,-0.17324,0.20984,0.14152,0.0732,0.03172,0.05856,0.16104,0.11712,0.15128,0.13176,0.0976
0.11224,-0.13908,0.16592,0.1098,0.05368,0.02928,0.04392,0.12688,0.09272,0.11712,0.11224,0.0732
0.08784,-0.10736,0.12688,0.08296,0.03904,0.0244,0.03904,0.10248,0.06832,0.08784,0.08296,0.05368
0.06344,-0.07808,0.09272,0.061,0.02928,0.01708,0.02928,0.0732,0.05368,0.06344,0.05368,0.03416
0.0488,-0.05856,0.06832,0.04392,0.01952,0.01464,0.01952,0.04392,0.0244,0.04392,0.03416,0.01464
0.0244,-0.03416,0.04392,0.03172,0.01952,0.00244,0.01464,0.02928,0.01464,0.03416,0.01952,0.00488
0.01464,-0.01952,0.0244,0.01708,0.00976,0.00244,0.00976,0.01464,-0.00488,0.00976,0.00488,-0.00976
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,0.00488,0,-0.01464,0,-0.00488,-0.01464
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,0,-0.00976,-0.02928,-0.01464,-0.01952,-0.0244
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.00488,-0.0244,-0.03416,-0.01952,-0.0244,-0.03416
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,-0.00488,-0.0244,-0.04392,-0.02928,-0.03904,-0.03416
-0.01952,0.02928,-0.03904,-0.02928,-0.01952,0,-0.00488,-0.02928,-0.04392,-0.03904,-0.03904,-0.03904
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,-0.00976,-0.03416,-0.05368,-0.03904,-0.04392,-0.04392
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,-0.00976,-0.03904,-0.05368,-0.04392,-0.0488,-0.04392
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,-0.01464,-0.04392,-0.06344,-0.04392,-0.0488,-0.0488
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,-0.01952,-0.04392,-0.06832,-0.04392,-0.0488,-0.0488
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,-0.01952,-0.04392,-0.06832,-0.0488,-0.0488,-0.0488
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,-0.01952,-0.04392,-0.06832,-0.0488,-0.0488,-0.0488
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,-0.01952,-0.04392,-0.06832,-0.0488,-0.0488,-0.0488
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,-0.01952,-0.04392,-0.06344,-0.0488,-0.0488,-0.0488
-0.03904,0.0488,-0.05856,-0.03904,-0.01952,-0.00976,-0.01952,-0.04392,-0.06344,-0.05368,-0.05368,-0.0488
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,-0.01952,-0.04392,-0.06344,-0.05368,-0.05368,-0.0488
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,-0.01952,-0.04392,-0.06344,-0.05368,-0.05368,-0.05368
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,-0.01952,-0.04392,-0.06344,-0.05368,-0.05368,-0.05368
-0.03904,0.0488,-0.05856,-0.03904,-0.01952,-0.00976,-0.01952,-0.04392,-0.06344,-0.0488,-0.05368,-0.05368
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,-0.01464,-0.04392,-0.06344,-0.0488,-0.05368,-0.05368
-0.03416,0.04148,-0.0488,-0.03172,-0.01464,-0.00976,-0.00976,-0.04392,-0.06344,-0.0488,-0.05368,-0.05368
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,-0.00976,-0.04392,-0.06344,-0.0488,-0.0488,-0.0488
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,-0.00976,-0.04392,-0.06344,-0.0488,-0.0488,-0.0488
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,-0.00976,-0.04392,-0.05368,-0.04392,-0.0488,-0.0488
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,-0.00976,-0.04392,-0.0488,-0.04392,-0.0488,-0.0488
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,-0.00488,-0.03904,-0.04392,-0.04392,-0.04392,-0.04392
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,-0.00488,-0.03904,-0.04392,-0.03904,-0.04392,-0.03904
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,-0.00488,-0.03416,-0.03904,-0.03904,-0.04392,-0.03416
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,-0.00488,-0.03416,-0.04392,-0.03416,-0.04392,-0.03416
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,-0.00488,-0.03416,-0.04392,-0.03416,-0.03904,-0.02928
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,-0.00488,-0.03416,-0.04392,-0.03416,-0.03904,-0.02928
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,-0.00488,-0.03416,-0.04392,-0.03416,-0.03416,-0.0244
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.00488,-0.03416,-0.04392,-0.02928,-0.03416,-0.0244
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,-0.00488,-0.03416,-0.03904,-0.02928,-0.02928,-0.01952
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.00976,-0.03416,-0.03416,-0.0244,-0.02928,-0.01952
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.00976,-0.03904,-0.02928,-0.0244,-0.0244,-0.01952
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.00976,-0.03904,-0.02928,-0.0244,-0.0244,-0.01464
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.00976,-0.03904,-0.02928,-0.0244,-0.0244,-0.01464
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.00976,-0.03904,-0.02928,-0.01952,-0.01952,-0.00976
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,-0.00976,-0.03904,-0.02928,-0.01952,-0.01952,-0.00976
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,-0.00976,-0.03904,-0.03416,-0.01952,-0.01952,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00976,-0.03904,-0.03904,-0.01952,-0.01952,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01464,-0.03904,-0.03904,-0.01952,-0.01952,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01464,-0.03904,-0.03904,-0.01952,-0.01952,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01952,-0.03904,-0.03904,-0.01952,-0.01952,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01952,-0.04392,-0.03904,-0.01952,-0.01952,-0.01464
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,-0.01952,-0.04392,-0.03904,-0.01952,-0.01952,-0.01464
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,-0.01952,-0.04392,-0.04392,-0.01952,-0.01952,-0.00976
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,-0.01952,-0.04392,-0.04392,-0.01952,-0.01952,-0.00976
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,-0.01952,-0.04392,-0.03904,-0.01952,-0.01952,-0.00976
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.0244,-0.04392,-0.03904,-0.01952,-0.01952,-0.01464
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,-0.0244,-0.0488,-0.03904,-0.01952,-0.0244,-0.01464
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,-0.01952,-0.0488,-0.03904,-0.0244,-0.0244,-0.01464
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,-0.01952,-0.0488,-0.03904,-0.0244,-0.0244,-0.01464
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.00976,-0.04392,-0.03904,-0.0244,-0.0244,-0.01464
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0,-0.03904,-0.02928,-0.01464,-0.01464,-0.00488
-0.00488,-0.00976,0.0244,0.02684,0.02928,-0.01708,0.00976,-0.02928,-0.01464,0,-0.00976,0
0.00488,-0.02684,0.0488,0.04636,0.04392,-0.01952,0.01464,-0.01952,-0.00488,0.00488,0.00976,0.00976
0.00976,-0.04148,0.0732,0.06832,0.06344,-0.02684,0.01464,-0.00976,0.01464,0.01952,0.01464,0.01952
0.01952,-0.05124,0.08296,0.0732,0.06344,-0.02196,0.01464,-0.00976,0.0244,0.02928,0.0244,0.02928
0.0244,-0.061,0.0976,0.0854,0.0732,-0.0244,-0.00976,-0.01464,0.0244,0.03416,0.02928,0.02928
