i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.04392,-0.122,0.20008,0.17812,0.15616,-0.05612,-0.13176,-0.10736,0.00976,0.02928,0.04392,0.05856
0.05856,-0.13176,0.20496,0.17568,0.1464,-0.04392,-0.13664,-0.10248,0.00976,0.03416,0.0488,0.06832
0.05856,-0.13176,0.20496,0.17568,0.1464,-0.04392,-0.13664,-0.10736,0.00976,0.03904,0.0488,0.06832
0.05856,-0.13664,0.21472,0.18544,0.15616,-0.0488,-0.13664,-0.10736,0.00976,0.0488,0.05856,0.07808
0.06344,-0.12932,0.1952,0.16348,0.13176,-0.03416,-0.12688,-0.10248,0,0.02928,0.05368,0.0732
0.06344,-0.11224,0.16104,0.12932,0.0976,-0.01708,-0.11712,-0.10248,-0.01952,0.01952,0.03904,0.06344
0.06344,-0.08052,0.0976,0.06588,0.03416,0.01464,-0.11712,-0.08784,-0.02928,0,0.0244,0.06344
0.06344,-0.06832,0.0732,0.04148,0.00976,0.02684,-0.10736,-0.08784,-0.04392,-0.01952,0.01464,0.04392
0.05856,-0.06588,0.0732,0.04392,0.01464,0.02196,-0.0976,-0.07808,-0.03904,-0.01464,0.01464,0.03904
0.0488,-0.05856,0.06832,0.04392,0.01952,0.01464,-0.07808,-0.07808,-0.03416,-0.00976,0.01464,0.03416
0.01464,-0.0366,0.05856,0.05124,0.04392,-0.01464,-0.06344,-0.08784,-0.05856,-0.0244,-0.00488,0.01464
0,-0.01708,0.03416,0.03416,0.03416,-0.01708,-0.04392,-0.08784,-0.0732,-0.03904,-0.0244,-0.00488
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.0244,-0.08784,-0.06832,-0.05368,-0.02928,-0.0244
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,-0.0244,-0.08296,-0.08296,-0.06344,-0.03904,-0.02928
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,-0.01464,-0.0732,-0.07808,-0.05856,-0.0488,-0.02928
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.00976,-0.06832,-0.07808,-0.05856,-0.0488,-0.03416
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,-0.01952,-0.07808,-0.08296,-0.06832,-0.06344,-0.04392
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,-0.01464,-0.07808,-0.09272,-0.0732,-0.06344,-0.0488
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,-0.01464,-0.07808,-0.09272,-0.0732,-0.06344,-0.0488
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,-0.00976,-0.0732,-0.09272,-0.0732,-0.06344,-0.0488
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,-0.00976,-0.0732,-0.0976,-0.0732,-0.06344,-0.05856
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,-0.00488,-0.06832,-0.09272,-0.0732,-0.06344,-0.05856
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.00488,-0.05856,-0.09272,-0.0732,-0.06832,-0.05856
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.00976,-0.05856,-0.0976,-0.0732,-0.06832,-0.05856
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,-0.00488,-0.06344,-0.10736,-0.08296,-0.06832,-0.05856
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0,-0.06344,-0.10736,-0.08296,-0.06832,-0.05856
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0.0244,-0.05368,-0.08784,-0.0732,-0.06832,-0.06344
-0.06832,0.05856,-0.0488,-0.01464,0.01952,-0.04392,0.03904,-0.04392,-0.08296,-0.0732,-0.07808,-0.0732
-0.07808,0.07808,-0.07808,-0.03904,0,-0.03904,0.08296,0.01464,-0.0488,-0.06344,-0.08296,-0.08296
-0.0976,0.09516,-0.09272,-0.04392,0.00488,-0.05124,0.1708,0.18544,0.05856,-0.0244,-0.06832,-0.10736
-0.0488,0.06832,-0.08784,-0.06344,-0.03904,-0.00488,0.17568,0.244,0.16104,0.10248,0.02928,-0.04392
0.08296,-0.0244,-0.03416,-0.07564,-0.11712,0.10004,0.0976,0.28304,0.38064,0.3416,0.2684,0.14152
0.30256,-0.20252,0.10248,-0.0488,-0.20008,0.25132,-0.06344,0.28304,0.66856,0.71248,0.67344,0.4636
0.60512,-0.49532,0.38552,0.08296,-0.2196,0.41236,-0.35624,0.10248,0.9028,1.11264,1.16144,0.89304
0.93208,-0.81252,0.69296,0.22692,-0.23912,0.5856,-0.81008,-0.25864,0.97112,1.45912,1.66408,1.36152
1.17608,-1.08824,1.0004,0.41236,-0.17568,0.67588,-1.13216,-0.49776,1.06872,1.74216,2.05448,1.74704
1.24928,-1.25172,1.25416,0.62952,0.00488,0.6222,-1.3908,-0.81496,0.96136,1.77144,2.196,1.98128
1.19072,-1.15168,1.11264,0.51728,-0.07808,0.6344,-1.3664,-1.06872,0.6832,1.42984,1.84952,1.72752
0.8052,-0.78812,0.77104,0.36844,-0.03416,0.41968,-1.07848,-1.34688,0.18544,0.76128,1.09312,1.11752
0.11712,-0.28304,0.44896,0.3904,0.33184,-0.10736,-0.70272,-1.6348,-0.5856,-0.20496,0.05856,0.30256
-0.2684,-0.03416,0.33672,0.47092,0.60512,-0.43676,-0.51728,-1.6104,-1.1468,-0.81496,-0.55632,-0.20496
-0.30744,0.01708,0.27328,0.427,0.58072,-0.44408,-0.42944,-1.342,-1.07848,-0.8052,-0.55632,-0.28792
