i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,-0.11224,-0.29768,-0.23424,-0.06832,-0.24888,-0.03904
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,-0.10248,-0.25376,-0.18056,-0.00976,-0.19032,0
-0.03416,0.02196,-0.00976,0.00732,0.0244,-0.02928,-0.10736,-0.244,-0.19032,-0.02928,-0.16592,0.01464
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.0976,-0.244,-0.16104,-0.00976,-0.16592,0.01952
-0.01464,0.00732,0,0.00732,0.01464,-0.01464,-0.0976,-0.22448,-0.13664,0.01464,-0.16592,0.0244
-0.01464,-0.00488,0.0244,0.03172,0.03904,-0.02684,-0.09272,-0.21472,-0.122,0.02928,-0.15128,0.0244
-0.01464,-0.0122,0.03904,0.04636,0.05368,-0.03416,-0.08296,-0.21472,-0.122,0.02928,-0.1464,0.0244
-0.01464,-0.0122,0.03904,0.04636,0.05368,-0.03416,-0.0732,-0.21472,-0.122,0.02928,-0.14152,0.0244
-0.01464,-0.0122,0.03904,0.04636,0.05368,-0.03416,-0.06344,-0.20984,-0.11712,0.03416,-0.13664,0.0244
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,-0.06344,-0.20496,-0.10736,0.04392,-0.13176,0.02928
0,-0.02684,0.05368,0.05368,0.05368,-0.02684,-0.05856,-0.20008,-0.10736,0.0488,-0.12688,0.02928
0,-0.03172,0.06344,0.06344,0.06344,-0.03172,-0.05368,-0.18544,-0.10248,0.05368,-0.11712,0.03904
0,-0.03172,0.06344,0.06344,0.06344,-0.03172,-0.05368,-0.18544,-0.10248,0.05368,-0.11712,0.03904
0.00488,-0.0366,0.06832,0.06588,0.06344,-0.02928,-0.05368,-0.18544,-0.10248,0.05856,-0.11712,0.03904
0.00488,-0.03416,0.06344,0.061,0.05856,-0.02684,-0.05856,-0.18544,-0.0976,0.05856,-0.122,0.03904
0.00488,-0.03416,0.06344,0.061,0.05856,-0.02684,-0.05856,-0.18056,-0.10248,0.06832,-0.11712,0.03904
0.00976,-0.03904,0.06832,0.06344,0.05856,-0.0244,-0.06344,-0.18056,-0.10736,0.06832,-0.11712,0.03416
0.01464,-0.04148,0.06832,0.061,0.05368,-0.01952,-0.06344,-0.17568,-0.0976,0.06832,-0.11224,0.04392
0.01464,-0.04148,0.06832,0.061,0.05368,-0.01952,-0.06344,-0.17568,-0.09272,0.06832,-0.11712,0.0488
0.00976,-0.04148,0.0732,0.06832,0.06344,-0.02684,-0.06344,-0.17568,-0.08296,0.0732,-0.122,0.0488
0.00976,-0.04148,0.0732,0.06832,0.06344,-0.02684,-0.06832,-0.18056,-0.08296,0.08296,-0.13176,0.0488
