i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.05856,0.07808,-0.0976,-0.06832,-0.03904,-0.00976,0.01952,-0.0244,-0.15616,-0.12688,-0.07808,-0.08784
-0.01952,0.0732,-0.12688,-0.11712,-0.10736,0.04392,0.01464,0.01464,-0.16592,-0.15616,-0.122,-0.11712
-0.08784,0.10492,-0.122,-0.07808,-0.03416,-0.02684,0.06832,0.0976,-0.05368,-0.08296,-0.07808,-0.08784
0.04392,-0.00488,-0.03416,-0.05612,-0.07808,0.061,0.04392,0.0976,0.09272,0.05856,0.04392,0
0.08784,-0.10248,0.11712,0.0732,0.02928,0.02928,-0.15128,-0.09272,0.24888,0.35136,0.28792,0.1952
0.1708,-0.27328,0.37576,0.29036,0.20496,-0.01708,-0.44408,-0.43432,0.4392,0.74664,0.6344,0.47336
0.30256,-0.51728,0.732,0.58072,0.42944,-0.06344,-0.76128,-0.7564,0.79056,1.2932,1.11752,0.86376
0.3904,-0.73688,1.08336,0.88816,0.69296,-0.15128,-1.02968,-1.01992,1.05408,1.77632,1.55672,1.22
0.52216,-0.90768,1.2932,1.03212,0.77104,-0.12444,-1.1468,-1.10288,1.19072,2.074,1.84464,1.4396
0.57096,-0.95892,1.34688,1.0614,0.77592,-0.10248,-1.15168,-1.05408,1.21024,2.196,1.9764,1.5372
0.47336,-0.8174,1.16144,0.92476,0.68808,-0.10736,-0.93208,-0.89792,0.98088,1.86416,1.68848,1.29808
0.08784,-0.42944,0.77104,0.72712,0.6832,-0.29768,-0.50264,-0.6832,0.17568,0.78568,0.89792,0.732
-0.13176,-0.11468,0.36112,0.427,0.49288,-0.31232,-0.25864,-0.61488,-0.5368,-0.0976,0.20496,0.22936
-0.1708,0.07564,0.01952,0.10492,0.19032,-0.18056,-0.01952,-0.35624,-0.54168,-0.30744,-0.08296,-0.02928
-0.18056,0.0976,-0.01464,0.07564,0.16592,-0.17324,0,-0.2684,-0.4148,-0.2684,-0.14152,-0.10248
-0.08784,0.06588,-0.04392,0,0.04392,-0.06588,-0.01952,-0.21472,-0.30744,-0.20496,-0.11712,-0.10248
-0.0732,0.05612,-0.03904,-0.00244,0.03416,-0.05368,-0.00488,-0.08296,-0.20496,-0.1464,-0.08296,-0.0976
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.00976,-0.00976,-0.12688,-0.08784,-0.0488,-0.06344
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.0244,-0.01952,-0.11712,-0.08296,-0.03904,-0.04392
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.03416,-0.01952,-0.12688,-0.11224,-0.06344,-0.06344
-0.05856,0.0854,-0.11224,-0.08296,-0.05368,-0.00244,0.0488,0.00488,-0.13664,-0.13664,-0.09272,-0.08296
-0.0732,0.10004,-0.12688,-0.09028,-0.05368,-0.00976,0.03904,0.00488,-0.15128,-0.1464,-0.11224,-0.10248
-0.08784,0.0976,-0.10736,-0.06344,-0.01952,-0.03416,0.04392,-0.00976,-0.1464,-0.12688,-0.10736,-0.08296
-0.06344,0.07564,-0.08784,-0.05612,-0.0244,-0.01952,0.03904,-0.00976,-0.1464,-0.12688,-0.0976,-0.08296
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.05368,0.01952,-0.13176,-0.13176,-0.09272,-0.09272
-0.06832,0.0854,-0.10248,-0.06832,-0.03416,-0.01708,0.05368,0.03416,-0.12688,-0.13176,-0.08784,-0.09272
-0.06344,0.0854,-0.10736,-0.07564,-0.04392,-0.00976,0.03416,0.01464,-0.13664,-0.14152,-0.09272,-0.10736
-0.05368,0.0854,-0.11712,-0.09028,-0.06344,0.00488,0.0244,-0.00488,-0.13664,-0.14152,-0.10248,-0.10736
-0.06832,0.09272,-0.11712,-0.08296,-0.0488,-0.00976,0.03904,0.0244,-0.12688,-0.13176,-0.09272,-0.0976
-0.06344,0.0854,-0.10736,-0.07564,-0.04392,-0.00976,0.03904,0.0244,-0.11712,-0.12688,-0.0976,-0.10248
-0.06832,0.05856,-0.0488,-0.01464,0.01952,-0.04392,0.04392,0.02928,-0.0976,-0.11224,-0.07808,-0.08784
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.04392,0.02928,-0.0976,-0.10248,-0.06832,-0.07808
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.04392,0.04392,-0.10248,-0.0976,-0.06344,-0.08784
-0.05368,0.07564,-0.0976,-0.07076,-0.04392,-0.00488,0.04392,0.0488,-0.10248,-0.10736,-0.07808,-0.09272
-0.04392,0.07076,-0.0976,-0.07564,-0.05368,0.00488,0.03904,0.03904,-0.11712,-0.12688,-0.08784,-0.10248
-0.04392,0.07808,-0.11224,-0.09028,-0.06832,0.0122,0.02928,0.00976,-0.12688,-0.13664,-0.10248,-0.10736
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,0.03416,0.01464,-0.12688,-0.12688,-0.0976,-0.0976
-0.01464,0.05124,-0.08784,-0.08052,-0.0732,0.02928,0.03904,0.03416,-0.11224,-0.122,-0.10736,-0.0976
-0.05368,0.07076,-0.08784,-0.061,-0.03416,-0.00976,0.03904,0.03904,-0.10248,-0.122,-0.08784,-0.0976
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.03904,0.03904,-0.10248,-0.11712,-0.08296,-0.09272
-0.05368,0.07076,-0.08784,-0.061,-0.03416,-0.00976,0.05856,0.05368,-0.08784,-0.10248,-0.06832,-0.08296
-0.09272,0.10492,-0.11712,-0.07076,-0.0244,-0.03416,0.05856,0.06832,-0.08784,-0.0976,-0.0732,-0.08296
-0.06832,0.08052,-0.09272,-0.05856,-0.0244,-0.02196,0.05856,0.05856,-0.08784,-0.0976,-0.07808,-0.09272
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,0.05368,0.04392,-0.0976,-0.10736,-0.09272,-0.09272
-0.04392,0.06588,-0.08784,-0.06588,-0.04392,0,0.0488,0.06344,-0.08296,-0.0976,-0.07808,-0.08784
-0.03416,0.06344,-0.09272,-0.07564,-0.05856,0.0122,0.05368,0.07808,-0.06344,-0.09272,-0.07808,-0.08784
-0.04392,0.06588,-0.08784,-0.06588,-0.04392,0,0.07808,0.10248,-0.03416,-0.06832,-0.05856,-0.05856
-0.05368,0.07076,-0.08784,-0.061,-0.03416,-0.00976,0.08296,0.11224,-0.02928,-0.06832,-0.05368,-0.05856
-0.0488,0.0732,-0.0976,-0.0732,-0.0488,0,0.08296,0.11712,-0.02928,-0.0732,-0.05856,-0.06832
-0.06344,0.08296,-0.10248,-0.07076,-0.03904,-0.0122,0.0732,0.122,-0.01952,-0.06832,-0.06344,-0.0732
-0.0732,0.08052,-0.08784,-0.05124,-0.01464,-0.02928,0.0732,0.12688,-0.00488,-0.04392,-0.0488,-0.05856
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,0.07808,0.14152,0.0244,-0.0244,-0.03416,-0.0488
