i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.22448,-0.1342,0.04392,-0.06832,-0.18056,0.20252,-0.08784,0.05856,0.04392,0.08784,0.122,0.11224
0.244,-0.14884,0.05368,-0.06832,-0.19032,0.21716,-0.0976,0.05856,0.0488,0.0976,0.13664,0.12688
0.25864,-0.15616,0.05368,-0.07564,-0.20496,0.2318,-0.10736,0.05368,0.05368,0.10736,0.15128,0.13176
0.27328,-0.16836,0.06344,-0.0732,-0.20984,0.24156,-0.11712,0.05368,0.05856,0.11224,0.15616,0.1464
0.2928,-0.18544,0.07808,-0.06832,-0.21472,0.25376,-0.12688,0.06832,0.0732,0.12688,0.17568,0.16592
0.30744,-0.19276,0.07808,-0.07564,-0.22936,0.2684,-0.13176,0.0732,0.0732,0.13664,0.1952,0.17568
0.30744,-0.19276,0.07808,-0.07564,-0.22936,0.2684,-0.13664,0.0732,0.08784,0.1464,0.1952,0.18056
0.31232,-0.19764,0.08296,-0.0732,-0.22936,0.27084,-0.13664,0.0732,0.09272,0.15128,0.1952,0.18056
0.32208,-0.20496,0.08784,-0.0732,-0.23424,0.27816,-0.13664,0.0732,0.09272,0.15128,0.1952,0.17568
0.2928,-0.18788,0.08296,-0.06344,-0.20984,0.25132,-0.12688,0.07808,0.08296,0.15128,0.1952,0.16592
0.2684,-0.17324,0.07808,-0.05612,-0.19032,0.22936,-0.12688,0.08296,0.08296,0.1464,0.18544,0.16104
0.244,-0.1586,0.0732,-0.0488,-0.1708,0.2074,-0.11712,0.08296,0.08296,0.13664,0.16592,0.1464
0.20496,-0.12932,0.05368,-0.0488,-0.15128,0.17812,-0.09272,0.09272,0.08296,0.12688,0.15128,0.13176
0.16104,-0.0976,0.03416,-0.04636,-0.12688,0.14396,-0.06344,0.08784,0.07808,0.11224,0.13664,0.10736
0.14152,-0.09272,0.04392,-0.02684,-0.0976,0.11956,-0.05856,0.08784,0.07808,0.11224,0.11712,0.10248
0.10736,-0.07076,0.03416,-0.01952,-0.0732,0.09028,-0.0488,0.08784,0.0732,0.09272,0.09272,0.08296
0.09272,-0.061,0.02928,-0.01708,-0.06344,0.07808,-0.0244,0.0732,0.05368,0.08296,0.08784,0.0732
0.06832,-0.03904,0.00976,-0.0244,-0.05856,0.06344,-0.01464,0.0732,0.04392,0.06344,0.06832,0.05368
0.03416,-0.01708,0,-0.01708,-0.03416,0.03416,0,0.06344,0.03904,0.05368,0.05368,0.02928
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.00976,0.05856,0.03416,0.04392,0.03904,0.0244
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.01952,0.05856,0.01464,0.02928,0.02928,0.00976
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.0244,0.05368,0.00976,0.01952,0.01464,0
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.02928,0.03416,0,0.00976,0.00488,-0.00976
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,0.02928,0.02928,-0.00488,0,0,-0.01464
-0.0488,0.05612,-0.06344,-0.03904,-0.01464,-0.01708,0.0244,0.0244,-0.01464,-0.00488,-0.01952,-0.0244
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.02928,0.01952,-0.01464,-0.00976,-0.02928,-0.03416
