i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.06832,0.0366,-0.00488,0.02928,0.06344,-0.06588,-0.09272,-0.33672,-0.03904,-0.04392,0,-0.02928
-0.06832,0.0366,-0.00488,0.02928,0.06344,-0.06588,-0.09272,-0.33184,-0.03904,-0.04392,0,-0.02928
-0.06832,0.0366,-0.00488,0.02928,0.06344,-0.06588,-0.08784,-0.32696,-0.03416,-0.03904,0,-0.0244
-0.0732,0.03904,-0.00488,0.03172,0.06832,-0.07076,-0.08784,-0.32696,-0.03416,-0.03904,0,-0.0244
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,-0.08784,-0.32208,-0.03416,-0.03904,-0.00488,-0.0244
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,-0.08784,-0.32208,-0.03904,-0.03904,-0.00488,-0.0244
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,-0.08784,-0.32208,-0.04392,-0.03904,0,-0.0244
-0.0732,0.0366,0,0.0366,0.0732,-0.0732,-0.08784,-0.3172,-0.03904,-0.03904,0,-0.0244
-0.0732,0.03416,0.00488,0.04148,0.07808,-0.07564,-0.08784,-0.31232,-0.03904,-0.04392,0,-0.0244
-0.0732,0.03416,0.00488,0.04148,0.07808,-0.07564,-0.08296,-0.31232,-0.03904,-0.04392,-0.00488,-0.0244
-0.0732,0.0366,0,0.0366,0.0732,-0.0732,-0.08296,-0.3172,-0.03904,-0.04392,-0.00976,-0.0244
-0.06832,0.03416,0,0.03416,0.06832,-0.06832,-0.08296,-0.3172,-0.04392,-0.04392,-0.00976,-0.0244
-0.06344,0.03172,0,0.03172,0.06344,-0.06344,-0.08296,-0.3172,-0.04392,-0.04392,-0.00976,-0.0244
-0.06344,0.03172,0,0.03172,0.06344,-0.06344,-0.08296,-0.31232,-0.04392,-0.0488,-0.00488,-0.0244
-0.06344,0.02928,0.00488,0.0366,0.06832,-0.06588,-0.08296,-0.31232,-0.04392,-0.0488,0,-0.0244
-0.06832,0.03416,0,0.03416,0.06832,-0.06832,-0.07808,-0.31232,-0.04392,-0.0488,-0.00488,-0.0244
-0.06832,0.03416,0,0.03416,0.06832,-0.06832,-0.07808,-0.31232,-0.04392,-0.0488,-0.00488,-0.0244
-0.0732,0.0366,0,0.0366,0.0732,-0.0732,-0.08296,-0.32208,-0.0488,-0.0488,-0.00488,-0.0244
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,-0.08296,-0.32208,-0.0488,-0.05368,-0.00488,-0.0244
-0.07808,0.04148,-0.00488,0.03416,0.0732,-0.07564,-0.07808,-0.32208,-0.0488,-0.0488,-0.00488,-0.0244
-0.07808,0.04392,-0.00976,0.02928,0.06832,-0.0732,-0.07808,-0.32208,-0.05368,-0.0488,-0.00488,-0.0244
-0.07808,0.04392,-0.00976,0.02928,0.06832,-0.0732,-0.07808,-0.33184,-0.05856,-0.0488,-0.00976,-0.01952
-0.07808,0.04392,-0.00976,0.02928,0.06832,-0.0732,-0.07808,-0.33184,-0.06832,-0.0488,-0.00976,-0.01464
-0.07808,0.04636,-0.01464,0.0244,0.06344,-0.07076,-0.08296,-0.33184,-0.06832,-0.0488,-0.01464,-0.01952
-0.07808,0.0488,-0.01952,0.01952,0.05856,-0.06832,-0.08784,-0.33184,-0.06832,-0.05368,-0.01952,-0.01952
-0.07808,0.0488,-0.01952,0.01952,0.05856,-0.06832,-0.08296,-0.33184,-0.07808,-0.05368,-0.0244,-0.01952
-0.08296,0.05124,-0.01952,0.02196,0.06344,-0.0732,-0.08296,-0.33672,-0.08296,-0.05368,-0.0244,-0.0244
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.33184,-0.08296,-0.05368,-0.0244,-0.01952
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.32696,-0.08296,-0.05368,-0.0244,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.33184,-0.08784,-0.05368,-0.0244,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.33672,-0.09272,-0.05368,-0.0244,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.33672,-0.09272,-0.05856,-0.0244,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.33672,-0.09272,-0.05856,-0.02928,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.07808,-0.33184,-0.09272,-0.05856,-0.0244,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.07808,-0.32696,-0.09272,-0.05856,-0.01952,-0.01464
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.07808,-0.32208,-0.08784,-0.05368,-0.0244,-0.00976
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.07808,-0.32208,-0.08784,-0.05368,-0.0244,-0.00488
-0.08784,0.05124,-0.01464,0.02928,0.0732,-0.08052,-0.0732,-0.32208,-0.08784,-0.05368,-0.02928,-0.00488
-0.09272,0.05612,-0.01952,0.02684,0.0732,-0.08296,-0.0732,-0.32208,-0.08784,-0.05368,-0.02928,-0.00488
-0.09272,0.05612,-0.01952,0.02684,0.0732,-0.08296,-0.0732,-0.3172,-0.08784,-0.05368,-0.02928,-0.00488
-0.09272,0.05612,-0.01952,0.02684,0.0732,-0.08296,-0.0732,-0.3172,-0.08784,-0.05368,-0.02928,-0.00488
-0.08784,0.05368,-0.01952,0.0244,0.06832,-0.07808,-0.07808,-0.3172,-0.08784,-0.05368,-0.02928,-0.00488
-0.08296,0.0488,-0.01464,0.02684,0.06832,-0.07564,-0.08296,-0.3172,-0.08784,-0.05368,-0.02928,-0.00488
-0.08296,0.04636,-0.00976,0.03172,0.0732,-0.07808,-0.07808,-0.31232,-0.08784,-0.05368,-0.02928,0
-0.08296,0.04392,-0.00488,0.0366,0.07808,-0.08052,-0.07808,-0.30744,-0.08784,-0.05368,-0.0244,0.00488
