i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.11712,-0.06588,0.01464,-0.04392,-0.10248,0.1098,-0.03416,0.13176,0.23424,0.06832,0.01952,0.04392
0.13176,-0.07564,0.01952,-0.04636,-0.11224,0.122,-0.03904,0.14152,0.244,0.0732,0.0244,0.0488
0.14152,-0.0854,0.02928,-0.04148,-0.11224,0.12688,-0.03904,0.15128,0.25864,0.08296,0.02928,0.05856
0.15128,-0.09028,0.02928,-0.04636,-0.122,0.13664,-0.0488,0.17568,0.27816,0.08784,0.03904,0.06344
0.16104,-0.10004,0.03904,-0.04148,-0.122,0.14152,-0.05368,0.1952,0.2928,0.10248,0.04392,0.06832
0.17568,-0.11224,0.0488,-0.03904,-0.12688,0.15128,-0.05368,0.20984,0.31232,0.11224,0.05856,0.0732
0.1952,-0.12444,0.05368,-0.04392,-0.14152,0.16836,-0.05856,0.23424,0.33672,0.122,0.06832,0.08296
0.20984,-0.13908,0.06832,-0.0366,-0.14152,0.17568,-0.05856,0.25376,0.36112,0.13664,0.07808,0.08784
0.23424,-0.15616,0.07808,-0.03904,-0.15616,0.1952,-0.06344,0.27328,0.38552,0.1464,0.08784,0.10248
0.25376,-0.17812,0.10248,-0.0244,-0.15128,0.20252,-0.06344,0.29768,0.40992,0.16592,0.0976,0.11224
0.27328,-0.1952,0.11712,-0.01952,-0.15616,0.21472,-0.06832,0.32208,0.42944,0.17568,0.11712,0.11712
0.2928,-0.21472,0.13664,-0.00976,-0.15616,0.22448,-0.0732,0.35136,0.45384,0.1952,0.13176,0.12688
0.31232,-0.2318,0.15128,-0.00488,-0.16104,0.23668,-0.07808,0.37576,0.47824,0.20984,0.1464,0.13664
0.32696,-0.24888,0.1708,0.00732,-0.15616,0.24156,-0.08296,0.39528,0.50752,0.22936,0.16104,0.1464
0.3416,-0.26352,0.18544,0.01464,-0.15616,0.24888,-0.08296,0.4148,0.53192,0.244,0.17568,0.16104
0.35624,-0.27816,0.20008,0.02196,-0.15616,0.2562,-0.08784,0.43432,0.55632,0.25864,0.19032,0.1708
0.37088,-0.29036,0.20984,0.0244,-0.16104,0.26596,-0.09272,0.44408,0.57584,0.27328,0.20008,0.18056
0.3904,-0.305,0.2196,0.0244,-0.1708,0.2806,-0.09272,0.45872,0.59048,0.28792,0.20984,0.19032
0.40504,-0.31964,0.23424,0.03172,-0.1708,0.28792,-0.0976,0.46848,0.60024,0.29768,0.2196,0.20008
0.40504,-0.32208,0.23912,0.0366,-0.16592,0.28548,-0.0976,0.46848,0.60512,0.30744,0.22936,0.20008
0.40504,-0.32696,0.24888,0.04636,-0.15616,0.2806,-0.0976,0.46848,0.60512,0.30744,0.23424,0.20008
0.40016,-0.32452,0.24888,0.0488,-0.15128,0.27572,-0.0976,0.45384,0.60024,0.30256,0.22936,0.20008
0.39528,-0.31964,0.244,0.04636,-0.15128,0.27328,-0.0976,0.4148,0.5856,0.29768,0.2196,0.20008
0.36112,-0.2928,0.22448,0.04392,-0.13664,0.24888,-0.0976,0.37576,0.54656,0.27328,0.20496,0.18544
0.32696,-0.25864,0.19032,0.02684,-0.13664,0.2318,-0.08784,0.33184,0.49776,0.23912,0.17568,0.16592
0.2928,-0.22692,0.16104,0.01464,-0.13176,0.21228,-0.07808,0.28792,0.4636,0.20984,0.1464,0.14152
0.26352,-0.1952,0.12688,-0.00488,-0.13664,0.20008,-0.06344,0.244,0.41968,0.18544,0.122,0.122
0.23424,-0.1708,0.10736,-0.00976,-0.12688,0.18056,-0.05368,0.20008,0.38064,0.15128,0.09272,0.10248
0.18544,-0.12932,0.0732,-0.01952,-0.11224,0.14884,-0.04392,0.15616,0.33672,0.122,0.06344,0.08296
0.16104,-0.10004,0.03904,-0.04148,-0.122,0.14152,-0.03416,0.14152,0.29768,0.09272,0.02928,0.05368
0.13664,-0.0732,0.00976,-0.05856,-0.12688,0.13176,-0.0244,0.11224,0.28304,0.06344,0.00976,0.03904
0.11712,-0.05368,-0.00976,-0.06832,-0.12688,0.122,-0.0244,0.0732,0.24888,0.0488,-0.00488,0.01952
0.09272,-0.02928,-0.03416,-0.08052,-0.12688,0.1098,-0.01952,0.0488,0.2196,0.0244,-0.0244,0.00976
0.08784,-0.01464,-0.05856,-0.10248,-0.1464,0.11712,-0.01464,0.03416,0.20008,0.00488,-0.0488,-0.00488
0.08296,-0.00976,-0.06344,-0.10492,-0.1464,0.11468,-0.01464,0.01464,0.19032,-0.00488,-0.05368,-0.01952
0.06832,0.00488,-0.07808,-0.11224,-0.1464,0.10736,-0.00976,-0.00488,0.1708,-0.01464,-0.06344,-0.0244
0.06344,0.0122,-0.08784,-0.11956,-0.15128,0.10736,-0.00976,-0.01464,0.15128,-0.02928,-0.07808,-0.0244
0.05368,0.0244,-0.10248,-0.12932,-0.15616,0.10492,-0.00976,-0.0244,0.14152,-0.03904,-0.08296,-0.03416
0.04392,0.03416,-0.11224,-0.1342,-0.15616,0.10004,-0.00976,-0.02928,0.13664,-0.0488,-0.09272,-0.04392
0.03904,0.03904,-0.11712,-0.13664,-0.15616,0.0976,-0.01464,-0.03904,0.13176,-0.05368,-0.09272,-0.04392
0.03416,0.04392,-0.122,-0.13908,-0.15616,0.09516,-0.01952,-0.0488,0.13176,-0.05856,-0.0976,-0.0488
0.02928,0.0488,-0.12688,-0.14152,-0.15616,0.09272,-0.01952,-0.0488,0.122,-0.06344,-0.10248,-0.05368
0.02928,0.05124,-0.13176,-0.1464,-0.16104,0.09516,-0.01952,-0.05368,0.122,-0.06832,-0.10736,-0.05368
0.02928,0.0488,-0.12688,-0.14152,-0.15616,0.09272,-0.01952,-0.05368,0.11712,-0.06832,-0.10736,-0.05368
0.02928,0.0488,-0.12688,-0.14152,-0.15616,0.09272,-0.01464,-0.05368,0.11712,-0.06832,-0.10248,-0.05368
0.02928,0.05124,-0.13176,-0.1464,-0.16104,0.09516,-0.01464,-0.05856,0.11224,-0.06832,-0.10248,-0.05368
0.0244,0.05368,-0.13176,-0.14396,-0.15616,0.09028,-0.01952,-0.05856,0.11224,-0.0732,-0.10736,-0.05856
