i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,0.0732,0.04392,0.0488,-0.00976,-0.00488,-0.01952
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,0.08296,0.04392,0.0488,-0.00976,0,-0.01952
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,0.0488,0.00976,0.03416,-0.00976,0,-0.01952
-0.0244,0.00244,0.01952,0.03172,0.04392,-0.03416,0.00976,-0.01952,0.01464,-0.01952,-0.00976,-0.0244
-0.0244,0.00488,0.01464,0.02684,0.03904,-0.03172,-0.00976,-0.01952,0.00488,-0.01952,-0.01464,-0.0244
0.00488,-0.01952,0.03416,0.03172,0.02928,-0.0122,-0.01952,-0.02928,0,-0.00976,-0.00488,-0.00976
0.01952,-0.03172,0.04392,0.03416,0.0244,-0.00244,-0.0244,-0.03416,-0.00488,-0.00488,0.00488,0
0.03416,-0.04148,0.0488,0.03172,0.01464,0.00976,-0.03904,-0.04392,-0.00976,-0.00488,0.00976,0.00488
0.04392,-0.04636,0.0488,0.02684,0.00488,0.01952,-0.03904,-0.04392,-0.01464,-0.00976,0.01464,0.00488
0.04392,-0.03904,0.03416,0.0122,-0.00976,0.02684,-0.0488,-0.04392,-0.0244,-0.0244,0.00488,0
0.04392,-0.03172,0.01952,-0.00244,-0.0244,0.03416,-0.0488,-0.04392,-0.03416,-0.03904,-0.00976,-0.00976
0.04392,-0.0244,0.00488,-0.01708,-0.03904,0.04148,-0.0488,-0.03904,-0.03416,-0.04392,-0.01952,-0.01952
0.04392,-0.0244,0.00488,-0.01708,-0.03904,0.04148,-0.0488,-0.03416,-0.02928,-0.04392,-0.01952,-0.01952
0.06832,-0.0366,0.00488,-0.02928,-0.06344,0.06588,-0.0488,-0.03416,-0.03416,-0.04392,-0.01952,-0.01464
0.08296,-0.04392,0.00488,-0.0366,-0.07808,0.08052,-0.05368,-0.03904,-0.0488,-0.0488,-0.0244,-0.01464
0.0732,-0.03904,0.00488,-0.03172,-0.06832,0.07076,-0.0488,-0.05368,-0.05856,-0.0488,-0.0244,-0.01464
0.05856,-0.03172,0.00488,-0.0244,-0.05368,0.05612,-0.04392,-0.05856,-0.0488,-0.0488,-0.01952,-0.00488
0.04392,-0.0244,0.00488,-0.01708,-0.03904,0.04148,-0.03904,-0.0488,-0.04392,-0.04392,-0.01464,-0.00488
0.03904,-0.01708,-0.00488,-0.0244,-0.04392,0.04148,-0.02928,-0.04392,-0.04392,-0.04392,-0.00976,-0.00976
0.0244,-0.00732,-0.00976,-0.02196,-0.03416,0.02928,-0.01952,-0.03416,-0.0488,-0.05368,-0.0244,-0.01952
0,0.00488,-0.00976,-0.00976,-0.00976,0.00488,-0.00488,-0.02928,-0.05368,-0.06344,-0.03416,-0.02928
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.00488,-0.02928,-0.05368,-0.06832,-0.03904,-0.03904
-0.06832,0.061,-0.05368,-0.01952,0.01464,-0.04148,0.00976,-0.01952,-0.05368,-0.06832,-0.0488,-0.04392
-0.06344,0.06344,-0.06344,-0.03172,0,-0.03172,0.00976,-0.0244,-0.05856,-0.0732,-0.05856,-0.05368
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.01464,-0.02928,-0.05856,-0.07808,-0.06832,-0.06344
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.01464,-0.0244,-0.05856,-0.07808,-0.06832,-0.06344
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.01464,-0.0244,-0.05368,-0.08296,-0.06832,-0.06344
-0.0732,0.0732,-0.0732,-0.0366,0,-0.0366,0.01464,-0.01952,-0.0488,-0.08296,-0.06344,-0.06344
-0.09272,0.08296,-0.0732,-0.02684,0.01952,-0.05612,0.01464,-0.00976,-0.03416,-0.07808,-0.05368,-0.05856
-0.09272,0.08052,-0.06832,-0.02196,0.0244,-0.05856,0.01952,-0.00976,-0.02928,-0.06832,-0.05368,-0.0488
-0.08296,0.07076,-0.05856,-0.01708,0.0244,-0.05368,0.01464,-0.00976,-0.01464,-0.0488,-0.0488,-0.04392
-0.08296,0.05612,-0.02928,0.0122,0.05368,-0.06832,0.01464,-0.00488,0,-0.0244,-0.0244,-0.03416
-0.07808,0.02928,0.01952,0.05856,0.0976,-0.08784,0.0244,0.01952,0.0732,0.0488,0.0244,-0.00488
-0.0488,0,0.0488,0.0732,0.0976,-0.0732,0.0976,0.13664,0.3416,0.22936,0.122,0.03904
0.03416,-0.06344,0.09272,0.07564,0.05856,-0.0122,0.06832,0.16104,0.50752,0.44408,0.28792,0.13176
0.12688,-0.15616,0.18544,0.122,0.05856,0.03416,-0.13176,-0.06832,0.33672,0.60512,0.48312,0.27816
0.18056,-0.27328,0.366,0.27572,0.18544,-0.00244,-0.34648,-0.3904,0.04392,0.76616,0.71248,0.47336
0.28304,-0.4514,0.61976,0.47824,0.33672,-0.02684,-0.67832,-0.81496,-0.30744,1.0004,1.0248,0.75152
0.44896,-0.65636,0.86376,0.63928,0.4148,0.01708,-0.96624,-1.11264,-0.58072,1.2444,1.37616,1.0492
0.64416,-0.84912,1.05408,0.732,0.40992,0.11712,-1.22,-1.32248,-0.81984,1.46888,1.76168,1.37128
0.83448,-1.00772,1.18096,0.76372,0.34648,0.244,-1.40056,-1.47864,-1.0248,1.60064,2.05936,1.62504
1.01016,-1.13704,1.26392,0.75884,0.25376,0.3782,-1.57136,-1.57624,-1.21512,1.62504,2.27408,1.83976
1.03944,-1.08824,1.13704,0.61732,0.0976,0.47092,-1.49816,-1.47376,-1.23952,1.27856,1.99592,1.68848
0.86864,-0.793,0.71736,0.28304,-0.15128,0.50996,-1.22976,-1.22488,-1.20536,0.58072,1.23952,1.15168
0.60512,-0.5124,0.41968,0.11712,-0.18544,0.39528,-1.0248,-1.08336,-1.23464,0.01464,0.59048,0.7076
0.38064,-0.26108,0.14152,-0.0488,-0.23912,0.30988,-0.84424,-0.94672,-1.25416,-0.45872,0.07808,0.3416
0.30256,-0.19032,0.07808,-0.0732,-0.22448,0.26352,-0.74176,-0.854,-1.13704,-0.53192,-0.02928,0.23912
0.1708,-0.12444,0.07808,-0.00732,-0.09272,0.13176,-0.56608,-0.66856,-0.86376,-0.45384,-0.05368,0.16104
0.0976,-0.09272,0.08784,0.03904,-0.00976,0.05368,-0.44896,-0.53192,-0.6588,-0.37088,-0.07808,0.11224
0.04392,-0.04148,0.03904,0.01708,-0.00488,0.0244,-0.32696,-0.4148,-0.52704,-0.32208,-0.10248,0.05368
-0.00976,-0.00976,0.02928,0.03416,0.03904,-0.0244,-0.22936,-0.3172,-0.40992,-0.27816,-0.11712,0.01464
