i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00488,0.04148,-0.07808,-0.07564,-0.0732,0.03416,-0.01464,-0.01952,-0.02928,-0.01952,-0.00488,-0.00976
-0.00488,0.04392,-0.08296,-0.08052,-0.07808,0.0366,-0.01464,-0.01464,-0.02928,-0.01464,-0.00488,-0.01464
-0.00976,0.0488,-0.08784,-0.08296,-0.07808,0.03416,-0.00976,-0.00976,-0.0244,-0.00976,-0.00976,-0.0244
-0.00976,0.05124,-0.09272,-0.08784,-0.08296,0.0366,-0.00976,-0.00976,-0.0244,-0.00976,-0.01952,-0.0244
-0.00976,0.05368,-0.0976,-0.09272,-0.08784,0.03904,-0.00488,-0.00488,-0.01952,-0.00976,-0.01952,-0.0244
-0.00976,0.05124,-0.09272,-0.08784,-0.08296,0.0366,-0.00488,-0.00976,-0.01952,-0.00976,-0.01952,-0.02928
-0.00976,0.04636,-0.08296,-0.07808,-0.0732,0.03172,0,-0.00976,-0.01952,-0.00976,-0.01952,-0.03416
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,0,-0.00976,-0.0244,-0.00976,-0.01952,-0.03416
-0.01464,0.03904,-0.06344,-0.05612,-0.0488,0.01708,0,-0.00976,-0.02928,-0.00976,-0.01952,-0.03416
-0.01464,0.0366,-0.05856,-0.05124,-0.04392,0.01464,0,-0.00976,-0.02928,-0.00976,-0.01952,-0.03416
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0.00488,-0.00488,-0.0244,-0.00488,-0.01952,-0.03416
-0.01952,0.04148,-0.06344,-0.05368,-0.04392,0.0122,0.00488,-0.00488,-0.0244,-0.00488,-0.01464,-0.02928
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.00976,0,-0.01464,0,-0.00488,-0.01952
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.00976,0,-0.00976,0,0,-0.01952
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.00976,0.00976,-0.00488,0.00488,0,-0.01952
-0.01952,0.05368,-0.08784,-0.07808,-0.06832,0.0244,0.01952,0.01952,0.00488,0.00488,-0.00488,-0.01952
-0.01464,0.04636,-0.07808,-0.07076,-0.06344,0.0244,0.01952,0.03904,0.03416,0.01952,-0.00976,-0.01952
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.0244,0.03904,0.09272,0.0732,0.0244,0.00488
0.01952,-0.0976,0.17568,0.16592,0.15616,-0.06832,-0.02928,0.03904,0.22448,0.244,0.1464,0.09272
0.10248,-0.31232,0.52216,0.47092,0.41968,-0.1586,-0.20984,-0.122,0.38064,0.5612,0.38064,0.2684
0.2196,-0.61732,1.01504,0.90524,0.79544,-0.28792,-0.60512,-0.5368,0.52216,0.97112,0.71736,0.52216
0.36112,-0.94916,1.5372,1.35664,1.17608,-0.40748,-1.0248,-0.95648,0.61976,1.38104,1.05408,0.76616
0.47824,-1.20536,1.93248,1.69336,1.45424,-0.488,-1.42496,-1.2688,0.63928,1.6836,1.32248,0.98088
0.55632,-1.3786,2.20088,1.92272,1.64456,-0.54412,-1.69824,-1.42008,0.60512,1.84952,1.47376,1.13704
0.5612,-1.3054,2.0496,1.769,1.4884,-0.4636,-1.77144,-1.44936,0.42944,1.62016,1.34688,1.09312
0.46848,-0.87596,1.28344,1.0492,0.81496,-0.17324,-1.464,-1.21512,0.20984,1.01504,0.86864,0.7564
0.30744,-0.51484,0.72224,0.56852,0.4148,-0.05368,-1.09312,-1.00528,-0.11712,0.42944,0.46848,0.49288
