i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01952,0.1342,-0.24888,-0.23912,-0.22936,0.10492,-0.06832,-0.11224,-0.06832,-0.04392,-0.0976,0.00488
-0.01952,0.1342,-0.24888,-0.23912,-0.22936,0.10492,-0.06832,-0.10736,-0.0732,-0.04392,-0.0976,0
-0.01952,0.1342,-0.24888,-0.23912,-0.22936,0.10492,-0.06832,-0.10736,-0.0732,-0.0488,-0.09272,0
-0.01952,0.13176,-0.244,-0.23424,-0.22448,0.10248,-0.06832,-0.10736,-0.07808,-0.05368,-0.09272,-0.00488
-0.0244,0.13176,-0.23912,-0.22692,-0.21472,0.09516,-0.06832,-0.10736,-0.07808,-0.05856,-0.09272,-0.01464
-0.0244,0.12688,-0.22936,-0.21716,-0.20496,0.09028,-0.06832,-0.11224,-0.08784,-0.06832,-0.0976,-0.01952
-0.0244,0.122,-0.2196,-0.2074,-0.1952,0.0854,-0.0732,-0.122,-0.09272,-0.0732,-0.10248,-0.0244
-0.02928,0.12444,-0.2196,-0.20496,-0.19032,0.08052,-0.0732,-0.122,-0.09272,-0.0732,-0.10248,-0.0244
-0.03416,0.12688,-0.2196,-0.20252,-0.18544,0.07564,-0.0732,-0.122,-0.09272,-0.07808,-0.10248,-0.0244
-0.03416,0.122,-0.20984,-0.19276,-0.17568,0.07076,-0.0732,-0.122,-0.0976,-0.08296,-0.10248,-0.02928
-0.03416,0.11712,-0.20008,-0.183,-0.16592,0.06588,-0.0732,-0.122,-0.0976,-0.08784,-0.10736,-0.03416
-0.03904,0.11712,-0.1952,-0.17568,-0.15616,0.05856,-0.0732,-0.122,-0.10736,-0.0976,-0.11712,-0.03904
-0.0488,0.11956,-0.19032,-0.16592,-0.14152,0.04636,-0.0732,-0.122,-0.11224,-0.10248,-0.12688,-0.03904
-0.05368,0.122,-0.19032,-0.16348,-0.13664,0.04148,-0.0732,-0.122,-0.11224,-0.10248,-0.12688,-0.03904
-0.05368,0.122,-0.19032,-0.16348,-0.13664,0.04148,-0.0732,-0.122,-0.11224,-0.10248,-0.12688,-0.04392
-0.05368,0.122,-0.19032,-0.16348,-0.13664,0.04148,-0.06832,-0.122,-0.11224,-0.10248,-0.12688,-0.04392
-0.05856,0.12444,-0.19032,-0.16104,-0.13176,0.0366,-0.06344,-0.12688,-0.10736,-0.10736,-0.122,-0.04392
-0.05856,0.13176,-0.20496,-0.17568,-0.1464,0.04392,-0.05856,-0.12688,-0.10736,-0.10248,-0.122,-0.0488
-0.05856,0.13664,-0.21472,-0.18544,-0.15616,0.0488,-0.05368,-0.12688,-0.10736,-0.0976,-0.12688,-0.0488
-0.05368,0.1342,-0.21472,-0.18788,-0.16104,0.05368,-0.0488,-0.11712,-0.10248,-0.0976,-0.12688,-0.0488
-0.05368,0.13664,-0.2196,-0.19276,-0.16592,0.05612,-0.03904,-0.11224,-0.0976,-0.0976,-0.122,-0.04392
