i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.09272,0.09028,-0.08784,-0.04148,0.00488,-0.0488,0.0244,-0.09272,-0.15616,-0.15616,-0.11224,-0.06344
-0.09272,0.09028,-0.08784,-0.04148,0.00488,-0.0488,0.0244,-0.09272,-0.16104,-0.16104,-0.11224,-0.06344
-0.10248,0.09516,-0.08784,-0.0366,0.01464,-0.05856,0.0244,-0.0976,-0.16592,-0.16592,-0.11224,-0.06344
-0.10248,0.09272,-0.08296,-0.03172,0.01952,-0.061,0.0244,-0.0976,-0.16592,-0.1708,-0.11224,-0.06344
-0.10248,0.09272,-0.08296,-0.03172,0.01952,-0.061,0.0244,-0.0976,-0.16592,-0.17568,-0.11224,-0.06344
-0.10248,0.09272,-0.08296,-0.03172,0.01952,-0.061,0.01952,-0.10736,-0.17568,-0.17568,-0.11224,-0.06344
-0.10248,0.09272,-0.08296,-0.03172,0.01952,-0.061,0.01464,-0.11224,-0.17568,-0.17568,-0.11224,-0.06344
-0.10248,0.09516,-0.08784,-0.0366,0.01464,-0.05856,0.01464,-0.11712,-0.16592,-0.17568,-0.11224,-0.06344
-0.10248,0.0976,-0.09272,-0.04148,0.00976,-0.05612,0.01952,-0.11712,-0.18056,-0.18056,-0.122,-0.06344
-0.10248,0.0976,-0.09272,-0.04148,0.00976,-0.05612,0.0244,-0.11712,-0.18056,-0.18056,-0.122,-0.06832
-0.10736,0.0976,-0.08784,-0.03416,0.01952,-0.06344,0.0244,-0.11712,-0.18056,-0.18544,-0.122,-0.06832
-0.10736,0.0976,-0.08784,-0.03416,0.01952,-0.06344,0.0244,-0.122,-0.18056,-0.18544,-0.122,-0.06832
-0.10248,0.09516,-0.08784,-0.0366,0.01464,-0.05856,0.01952,-0.122,-0.18544,-0.18544,-0.122,-0.06832
-0.0976,0.09516,-0.09272,-0.04392,0.00488,-0.05124,0.01952,-0.122,-0.18544,-0.19032,-0.122,-0.06832
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.01952,-0.122,-0.18544,-0.19032,-0.122,-0.06832
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.01464,-0.11712,-0.18544,-0.18544,-0.12688,-0.06832
-0.10248,0.0976,-0.09272,-0.04148,0.00976,-0.05612,0.00976,-0.11224,-0.18544,-0.18544,-0.13176,-0.06832
-0.10248,0.09516,-0.08784,-0.0366,0.01464,-0.05856,0.00976,-0.11224,-0.18544,-0.18544,-0.13176,-0.06832
-0.11224,0.10004,-0.08784,-0.03172,0.0244,-0.06832,0.00976,-0.11224,-0.18544,-0.19032,-0.13176,-0.06832
-0.11224,0.10248,-0.09272,-0.0366,0.01952,-0.06588,0.00976,-0.122,-0.19032,-0.19032,-0.13176,-0.06832
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.00488,-0.12688,-0.19032,-0.19032,-0.13176,-0.06832
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.00488,-0.12688,-0.19032,-0.18544,-0.13176,-0.06832
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.00976,-0.122,-0.19032,-0.18056,-0.13176,-0.06832
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.01464,-0.122,-0.18544,-0.18056,-0.12688,-0.06832
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.01952,-0.13176,-0.18544,-0.18544,-0.12688,-0.0732
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.01952,-0.13176,-0.18544,-0.19032,-0.12688,-0.0732
-0.11224,0.10492,-0.0976,-0.04148,0.01464,-0.06344,0.01464,-0.12688,-0.18544,-0.19032,-0.12688,-0.0732
-0.11224,0.10492,-0.0976,-0.04148,0.01464,-0.06344,0.01464,-0.122,-0.18544,-0.19032,-0.13176,-0.07808
-0.10736,0.10492,-0.10248,-0.0488,0.00488,-0.05612,0.0244,-0.122,-0.18544,-0.1952,-0.13176,-0.07808
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0.01464,-0.122,-0.19032,-0.1952,-0.13176,-0.07808
-0.11224,0.10004,-0.08784,-0.03172,0.0244,-0.06832,0.01464,-0.122,-0.1952,-0.1952,-0.13176,-0.07808
-0.11224,0.10004,-0.08784,-0.03172,0.0244,-0.06832,0.01952,-0.12688,-0.1952,-0.1952,-0.13664,-0.08296
-0.11224,0.10248,-0.09272,-0.0366,0.01952,-0.06588,0.01952,-0.13176,-0.1952,-0.1952,-0.14152,-0.08296
-0.10736,0.10004,-0.09272,-0.03904,0.01464,-0.061,0.01952,-0.13176,-0.1952,-0.1952,-0.14152,-0.08296
-0.10248,0.0976,-0.09272,-0.04148,0.00976,-0.05612,0.01952,-0.13176,-0.1952,-0.20008,-0.14152,-0.08296
-0.10248,0.10004,-0.0976,-0.04636,0.00488,-0.05368,0.01952,-0.13664,-0.19032,-0.20008,-0.14152,-0.07808
-0.10248,0.0976,-0.09272,-0.04148,0.00976,-0.05612,0.01952,-0.13176,-0.18544,-0.1952,-0.13664,-0.0732
-0.0976,0.09516,-0.09272,-0.04392,0.00488,-0.05124,0.01464,-0.13176,-0.19032,-0.1952,-0.13176,-0.0732
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.00976,-0.13664,-0.1952,-0.1952,-0.12688,-0.07808
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.00976,-0.13664,-0.1952,-0.1952,-0.12688,-0.07808
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.00976,-0.13664,-0.1952,-0.1952,-0.12688,-0.07808
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.01464,-0.13664,-0.1952,-0.1952,-0.13176,-0.07808
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.01952,-0.13664,-0.1952,-0.1952,-0.13664,-0.07808
-0.10248,0.10004,-0.0976,-0.04636,0.00488,-0.05368,0.01952,-0.13664,-0.1952,-0.1952,-0.13664,-0.07808
