i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0,0.13908,-0.27816,-0.27816,-0.27816,0.13908,-0.6344,-0.89792,-0.33672,-0.3172,-0.25864,-0.18544
0.08296,0.0854,-0.25376,-0.29524,-0.33672,0.20984,-0.488,-0.67344,-0.32696,-0.29768,-0.22448,-0.15128
0.15128,0.00976,-0.1708,-0.24644,-0.32208,0.23668,-0.27328,-0.37088,-0.20984,-0.19032,-0.12688,-0.0976
0.17568,-0.04148,-0.09272,-0.18056,-0.2684,0.22204,-0.13176,-0.16104,-0.08784,-0.08296,-0.06344,-0.05368
0.17568,-0.05368,-0.06832,-0.15616,-0.244,0.20984,-0.0976,-0.0976,-0.0488,-0.04392,-0.03416,-0.0244
0.1708,-0.05856,-0.05368,-0.13908,-0.22448,0.19764,-0.04392,-0.04392,-0.02928,-0.03416,-0.0244,-0.01464
0.1708,-0.05368,-0.06344,-0.14884,-0.23424,0.20252,0.01464,0,-0.0244,-0.02928,-0.0244,-0.02928
0.19032,-0.06344,-0.06344,-0.1586,-0.25376,0.22204,0.01464,0.0244,-0.01464,-0.0244,-0.01952,-0.02928
0.1952,-0.06588,-0.06344,-0.16104,-0.25864,0.22692,0,0.01464,-0.01464,-0.01952,-0.01952,-0.02928
0.20496,-0.07076,-0.06344,-0.16592,-0.2684,0.23668,0,0.00976,-0.01464,-0.0244,-0.0244,-0.02928
0.20984,-0.0732,-0.06344,-0.16836,-0.27328,0.24156,0.00976,0.01952,-0.00976,-0.0244,-0.02928,-0.02928
0.19032,-0.06344,-0.06344,-0.1586,-0.25376,0.22204,0.01952,0.02928,-0.00976,-0.0244,-0.02928,-0.02928
0.19032,-0.06588,-0.05856,-0.15372,-0.24888,0.2196,0.0244,0.03416,-0.00976,-0.0244,-0.02928,-0.02928
0.20496,-0.0732,-0.05856,-0.16104,-0.26352,0.23424,0.0244,0.03904,-0.00976,-0.01952,-0.02928,-0.02928
0.20496,-0.07564,-0.05368,-0.15616,-0.25864,0.2318,0.02928,0.04392,-0.00976,-0.01952,-0.02928,-0.02928
0.22448,-0.08296,-0.05856,-0.1708,-0.28304,0.25376,0.02928,0.0488,-0.00976,-0.0244,-0.03416,-0.02928
0.25376,-0.0976,-0.05856,-0.18544,-0.31232,0.28304,0.02928,0.0488,-0.01464,-0.0244,-0.03416,-0.02928
0.23912,-0.09028,-0.05856,-0.17812,-0.29768,0.2684,0.02928,0.05856,-0.00976,-0.0244,-0.03416,-0.0244
0.22448,-0.08296,-0.05856,-0.1708,-0.28304,0.25376,0.02928,0.0732,-0.00976,-0.0244,-0.03416,-0.0244
0.244,-0.09028,-0.06344,-0.18544,-0.30744,0.27572,0.03416,0.06344,-0.00976,-0.01952,-0.03416,-0.0244
0.244,-0.08784,-0.06832,-0.19032,-0.31232,0.27816,0.03416,0.05856,-0.00976,-0.01952,-0.03416,-0.0244
0.244,-0.08784,-0.06832,-0.19032,-0.31232,0.27816,0.03416,0.0732,-0.00976,-0.0244,-0.03416,-0.02928
0.23912,-0.0854,-0.06832,-0.18788,-0.30744,0.27328,0.03416,0.07808,-0.00488,-0.0244,-0.02928,-0.03416
0.23424,-0.0854,-0.06344,-0.18056,-0.29768,0.26596,0.03416,0.08296,-0.00488,-0.0244,-0.02928,-0.03416
0.25376,-0.0976,-0.05856,-0.18544,-0.31232,0.28304,0.03416,0.08296,0,-0.0244,-0.02928,-0.02928
0.2684,-0.10492,-0.05856,-0.19276,-0.32696,0.29768,0.03416,0.08296,0,-0.0244,-0.02928,-0.02928
0.28304,-0.11224,-0.05856,-0.20008,-0.3416,0.31232,0.03416,0.08296,0,-0.0244,-0.02928,-0.03416
0.27328,-0.1098,-0.05368,-0.19032,-0.32696,0.30012,0.03416,0.09272,0,-0.01952,-0.02928,-0.03416
0.27328,-0.11224,-0.0488,-0.18544,-0.32208,0.29768,0.03904,0.0976,0.00488,-0.00976,-0.0244,-0.02928
0.26352,-0.10736,-0.0488,-0.18056,-0.31232,0.28792,0.04392,0.10736,0.00976,0.00488,-0.01464,-0.01952
0.25376,-0.10492,-0.04392,-0.1708,-0.29768,0.27572,0.0488,0.10736,0.01952,0.01952,0,-0.00976
0.26352,-0.1098,-0.04392,-0.17568,-0.30744,0.28548,0.0488,0.10248,0.01952,0.01952,0,-0.00976
0.24888,-0.10736,-0.03416,-0.1586,-0.28304,0.26596,0.0488,0.11224,0.01952,0.0244,0,-0.00488
0.26352,-0.11712,-0.02928,-0.16104,-0.2928,0.27816,0.0488,0.10736,0.01952,0.02928,0.00488,0
0.28304,-0.12932,-0.0244,-0.16592,-0.30744,0.29524,0.05368,0.0976,0.01952,0.02928,0.00488,0.00488
0.28304,-0.13176,-0.01952,-0.16104,-0.30256,0.2928,0.05368,0.10736,0.02928,0.03416,0.01464,0.00488
0.29768,-0.14152,-0.01464,-0.16348,-0.31232,0.305,0.0488,0.11224,0.02928,0.03416,0.01464,0
0.32696,-0.16104,-0.00488,-0.16836,-0.33184,0.3294,0.04392,0.12688,0.0244,0.02928,0.00976,-0.00488
0.3416,-0.17324,0.00488,-0.16592,-0.33672,0.33916,0.03904,0.14152,0.01952,0.02928,0.00976,-0.00488
0.34648,-0.18056,0.01464,-0.1586,-0.33184,0.33916,0.03904,0.15128,0.02928,0.02928,0.00976,0
0.366,-0.1952,0.0244,-0.1586,-0.3416,0.3538,0.03904,0.16592,0.02928,0.03416,0.01464,0.00488
0.366,-0.19764,0.02928,-0.15372,-0.33672,0.35136,0.03904,0.18544,0.02928,0.03904,0.01952,0.00976
0.35624,-0.19764,0.03904,-0.13908,-0.3172,0.33672,0.03904,0.20008,0.02928,0.04392,0.02928,0.01464
0.38552,-0.21228,0.03904,-0.15372,-0.34648,0.366,0.04392,0.20496,0.03416,0.04392,0.02928,0.01952
0.35624,-0.20008,0.04392,-0.1342,-0.31232,0.33428,0.0488,0.20984,0.04392,0.04392,0.03416,0.01952
0.35624,-0.20252,0.0488,-0.12932,-0.30744,0.33184,0.0488,0.20984,0.04392,0.05856,0.04392,0.02928
0.36112,-0.21228,0.06344,-0.11712,-0.29768,0.3294,0.0488,0.20984,0.05856,0.06344,0.05368,0.03904
0.37088,-0.2196,0.06832,-0.11712,-0.30256,0.33672,0.0488,0.20496,0.05856,0.06344,0.05368,0.04392
0.3904,-0.23424,0.07808,-0.11712,-0.31232,0.35136,0.0488,0.20008,0.05856,0.06344,0.05368,0.04392
0.40504,-0.24644,0.08784,-0.11468,-0.3172,0.36112,0.04392,0.1952,0.05856,0.06344,0.05368,0.04392
0.40992,-0.25132,0.09272,-0.11224,-0.3172,0.36356,0.04392,0.19032,0.05856,0.0732,0.06344,0.05368
0.42456,-0.26108,0.0976,-0.11468,-0.32696,0.37576,0.03416,0.20496,0.05856,0.06832,0.05856,0.05368
0.44408,-0.27084,0.0976,-0.12444,-0.34648,0.39528,0.02928,0.2196,0.05368,0.06832,0.05368,0.05368
0.46848,-0.28548,0.10248,-0.13176,-0.366,0.41724,0.0244,0.2196,0.05368,0.06832,0.05368,0.05856
0.46848,-0.28792,0.10736,-0.12688,-0.36112,0.4148,0.00976,0.21472,0.05368,0.0732,0.05856,0.05856
0.4392,-0.27572,0.11224,-0.10736,-0.32696,0.38308,0.01464,0.20496,0.05368,0.07808,0.06832,0.06832
0.4148,-0.26352,0.11224,-0.09516,-0.30256,0.35868,0.0244,0.1952,0.05368,0.08296,0.07808,0.07808
0.41968,-0.26596,0.11224,-0.0976,-0.30744,0.36356,0.01464,0.19032,0.05368,0.08296,0.07808,0.08296
0.44896,-0.28304,0.11712,-0.10736,-0.33184,0.3904,-0.00488,0.17568,0.05368,0.08296,0.07808,0.08296
0.45384,-0.28548,0.11712,-0.1098,-0.33672,0.39528,-0.01464,0.16592,0.04392,0.07808,0.0732,0.07808
0.45384,-0.28548,0.11712,-0.1098,-0.33672,0.39528,-0.01952,0.15616,0.03904,0.0732,0.06832,0.07808
0.42944,-0.2684,0.10736,-0.10736,-0.32208,0.37576,-0.0244,0.15128,0.03904,0.06832,0.06832,0.07808
0.42944,-0.26596,0.10248,-0.11224,-0.32696,0.3782,-0.0244,0.13664,0.03904,0.06832,0.06832,0.0732
0.40992,-0.25132,0.09272,-0.11224,-0.3172,0.36356,-0.0244,0.11224,0.03416,0.05856,0.05856,0.06832
0.40992,-0.24644,0.08296,-0.122,-0.32696,0.36844,-0.02928,0.09272,0.02928,0.05368,0.05368,0.06832
0.38064,-0.22448,0.06832,-0.122,-0.31232,0.34648,-0.02928,0.07808,0.01952,0.03904,0.05856,0.06344
0.35136,-0.20252,0.05368,-0.122,-0.29768,0.32452,-0.02928,0.05856,0.01952,0.03904,0.05368,0.06344
0.3416,-0.19032,0.03904,-0.13176,-0.30256,0.32208,-0.03904,0.04392,0.01464,0.03416,0.04392,0.05368
0.31232,-0.1708,0.02928,-0.12688,-0.28304,0.29768,-0.04392,0.02928,0.00976,0.0244,0.03904,0.04392
0.34648,-0.17812,0.00976,-0.16348,-0.33672,0.3416,-0.0488,0.00976,0,0.00976,0.01952,0.02928
0.37576,-0.18788,0,-0.18788,-0.37576,0.37576,-0.05368,-0.00976,-0.01464,0.00976,0.00488,0.01464
0.32696,-0.15372,-0.01952,-0.183,-0.34648,0.33672,-0.05368,-0.01952,-0.01464,0.00488,0,0.00976
0.29768,-0.13664,-0.0244,-0.17324,-0.32208,0.30988,-0.05368,-0.03416,-0.0244,-0.00488,-0.00488,0.00488
0.29768,-0.1342,-0.02928,-0.17812,-0.32696,0.31232,-0.0488,-0.03904,-0.0244,-0.00976,-0.00488,0
0.29768,-0.13664,-0.0244,-0.17324,-0.32208,0.30988,-0.04392,-0.05368,-0.02928,-0.00976,0,-0.00488
0.3416,-0.15372,-0.03416,-0.20496,-0.37576,0.35868,-0.04392,-0.05368,-0.03416,-0.01464,-0.00488,-0.01464
0.33184,-0.14884,-0.03416,-0.20008,-0.366,0.34892,-0.05368,-0.0488,-0.03904,-0.01952,-0.01464,-0.0244
