i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.05856,0.0122,0.03416,0.06344,0.09272,-0.07564,-0.03904,-0.08784,-0.14152,-0.13664,-0.08296,-0.07808
-0.05856,0.01464,0.02928,0.05856,0.08784,-0.0732,-0.02928,-0.08296,-0.13664,-0.13664,-0.08296,-0.08784
-0.06344,0.02196,0.01952,0.05124,0.08296,-0.0732,-0.0244,-0.07808,-0.13664,-0.13664,-0.09272,-0.10248
-0.07808,0.0366,0.00488,0.04392,0.08296,-0.08052,-0.0244,-0.07808,-0.1464,-0.15616,-0.0976,-0.11224
-0.08296,0.04392,-0.00488,0.0366,0.07808,-0.08052,-0.0244,-0.08784,-0.15128,-0.16592,-0.11224,-0.11712
-0.0976,0.05612,-0.01464,0.03416,0.08296,-0.09028,-0.0244,-0.08784,-0.16104,-0.16592,-0.12688,-0.11712
-0.0976,0.05612,-0.01464,0.03416,0.08296,-0.09028,-0.0244,-0.08784,-0.16104,-0.16592,-0.122,-0.122
-0.08784,0.0488,-0.00976,0.03416,0.07808,-0.08296,-0.01464,-0.09272,-0.16104,-0.16592,-0.122,-0.122
-0.08784,0.04636,-0.00488,0.03904,0.08296,-0.0854,-0.01464,-0.08784,-0.15616,-0.16592,-0.122,-0.122
-0.08784,0.04636,-0.00488,0.03904,0.08296,-0.0854,-0.0244,-0.08784,-0.15616,-0.16104,-0.122,-0.11224
-0.08784,0.04636,-0.00488,0.03904,0.08296,-0.0854,-0.01952,-0.08296,-0.15128,-0.16104,-0.122,-0.11224
-0.08296,0.04392,-0.00488,0.0366,0.07808,-0.08052,-0.01952,-0.08296,-0.15128,-0.15616,-0.11224,-0.11224
-0.09272,0.0488,-0.00488,0.04148,0.08784,-0.09028,-0.01464,-0.07808,-0.1464,-0.16592,-0.11224,-0.11224
-0.10248,0.05368,-0.00488,0.04636,0.0976,-0.10004,-0.00488,-0.0732,-0.14152,-0.15616,-0.11712,-0.12688
-0.122,0.06344,-0.00488,0.05612,0.11712,-0.11956,0.02928,-0.02928,-0.11224,-0.16104,-0.122,-0.14152
-0.13176,0.06832,-0.00488,0.061,0.12688,-0.12932,0.05368,0.01952,-0.06344,-0.13176,-0.122,-0.1464
-0.15616,0.07808,0,0.07808,0.15616,-0.15616,0.06344,0.05368,-0.00488,-0.10248,-0.10736,-0.13664
-0.10736,0.05368,0,0.05368,0.10736,-0.10736,0.01952,0.01952,-0.00976,-0.01464,-0.00488,-0.06832
0.00488,0,-0.00488,-0.00732,-0.00976,0.00732,-0.03416,0.08784,0.0488,0.1708,0.16104,0.0488
0.19032,-0.11712,0.04392,-0.05124,-0.1464,0.16836,-0.15128,0.0488,0.13664,0.40016,0.43432,0.27328
0.4148,-0.2562,0.0976,-0.1098,-0.3172,0.366,-0.31232,-0.10736,0.15128,0.6588,0.74664,0.55632
0.6832,-0.43432,0.18544,-0.15616,-0.49776,0.59048,-0.49288,-0.28304,0.10248,0.9028,1.08336,0.85888
0.91744,-0.61244,0.30744,-0.15128,-0.61,0.76372,-0.72712,-0.64416,-0.13664,1.0004,1.32736,1.1224
1.098,-0.75884,0.41968,-0.12932,-0.67832,0.88816,-0.91256,-0.94184,-0.39528,0.98576,1.42496,1.27856
1.1468,-0.7564,0.366,-0.2074,-0.7808,0.9638,-0.98088,-1.01992,-0.6344,0.74664,1.22,1.1712
0.99552,-0.54656,0.0976,-0.40016,-0.89792,0.94672,-0.86864,-1.04432,-0.94184,0.1464,0.55144,0.67344
0.61976,-0.3416,0.06344,-0.24644,-0.55632,0.58804,-0.732,-1.28344,-1.1956,-0.33184,0.06832,0.29768
0.28304,-0.11712,-0.0488,-0.19032,-0.33184,0.30744,-0.56608,-1.35664,-1.37128,-0.7808,-0.3416,-0.02928
-0.00488,0.06588,-0.12688,-0.12444,-0.122,0.05856,-0.41968,-1.20536,-1.3664,-1.02968,-0.61976,-0.28792
-0.09272,0.09272,-0.09272,-0.04636,0,-0.04636,-0.25864,-0.89792,-1.13216,-0.9028,-0.55144,-0.28792
-0.16104,0.09516,-0.02928,0.05124,0.13176,-0.1464,-0.15128,-0.59536,-0.8296,-0.68808,-0.44896,-0.27816
-0.16592,0.08052,0.00488,0.08784,0.1708,-0.16836,-0.05856,-0.32696,-0.52704,-0.45872,-0.32208,-0.2196
-0.13176,0.06832,-0.00488,0.061,0.12688,-0.12932,-0.04392,-0.19032,-0.38552,-0.36112,-0.26352,-0.20008
-0.08784,0.04392,0,0.04392,0.08784,-0.08784,-0.03904,-0.12688,-0.32208,-0.30744,-0.21472,-0.1708
-0.06832,0.03904,-0.00976,0.0244,0.05856,-0.06344,-0.00976,-0.07808,-0.244,-0.24888,-0.18544,-0.15616
-0.07808,0.04392,-0.00976,0.02928,0.06832,-0.0732,0.00488,-0.04392,-0.16592,-0.19032,-0.16104,-0.1464
-0.09272,0.04636,0,0.04636,0.09272,-0.09272,0.01464,-0.00976,-0.11712,-0.15616,-0.13176,-0.122
-0.10736,0.05368,0,0.05368,0.10736,-0.10736,0.0244,0.00976,-0.10736,-0.1464,-0.122,-0.11712
-0.0976,0.04636,0.00488,0.05368,0.10248,-0.10004,0.03416,0.01464,-0.11224,-0.15616,-0.122,-0.12688
-0.0976,0.04636,0.00488,0.05368,0.10248,-0.10004,0.03416,0.01464,-0.10248,-0.1464,-0.122,-0.12688
