i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.00976,-0.01952,0.02928,0.0244,0.01952,-0.00488,0.04392,0.08296,0.03904,-0.01952,-0.00976,-0.03416
0.00976,-0.01708,0.0244,0.01952,0.01464,-0.00244,0.04392,0.07808,0.05368,-0.01464,-0.00488,-0.0244
0.02928,-0.02928,0.02928,0.01464,0,0.01464,0.04392,0.08784,0.05856,-0.00976,0,-0.01952
0.02928,-0.03416,0.03904,0.0244,0.00976,0.00976,0.04392,0.10248,0.05856,0,-0.00976,-0.0244
0.01952,-0.02928,0.03904,0.02928,0.01952,0,0.05368,0.11224,0.06832,0.00488,-0.00488,-0.0244
0.03416,-0.03172,0.02928,0.0122,-0.00488,0.01952,0.05368,0.11224,0.06832,0.01464,0.00488,-0.01464
0.0488,-0.04148,0.03416,0.00976,-0.01464,0.03172,0.05368,0.11712,0.0732,0.01464,0.00488,-0.01464
0.02928,-0.0366,0.04392,0.02928,0.01464,0.00732,0.06344,0.12688,0.0976,0.02928,0.01464,-0.01464
0.00488,-0.02684,0.0488,0.04636,0.04392,-0.01952,0.0732,0.13664,0.10736,0.03904,0.01952,0
-0.00488,-0.01952,0.04392,0.04636,0.0488,-0.02684,0.07808,0.1464,0.12688,0.05856,0.02928,0.00976
-0.00488,-0.02196,0.0488,0.05124,0.05368,-0.02928,0.07808,0.15616,0.13664,0.05856,0.03904,0.01952
0.02928,-0.04636,0.06344,0.0488,0.03416,-0.00244,0.06832,0.15616,0.13176,0.05368,0.0244,0.00488
0.06832,-0.06832,0.06832,0.03416,0,0.03416,0.05368,0.14152,0.122,0.05368,0.01952,-0.00488
0.09272,-0.08296,0.0732,0.02684,-0.01952,0.05612,0.05368,0.15616,0.11712,0.05856,0.01952,-0.00976
0.09272,-0.0854,0.07808,0.03172,-0.01464,0.05368,0.05856,0.16104,0.13176,0.0732,0.02928,0.00488
0.08296,-0.08296,0.08296,0.04148,0,0.04148,0.05856,0.18056,0.1464,0.08784,0.02928,0.00976
0.07808,-0.08296,0.08784,0.0488,0.00976,0.03416,0.06832,0.19032,0.16104,0.0976,0.04392,0.01952
0.07808,-0.09028,0.10248,0.06344,0.0244,0.02684,0.06832,0.20008,0.18544,0.10736,0.03904,0.02928
0.06832,-0.0854,0.10248,0.06832,0.03416,0.01708,0.06832,0.2196,0.20496,0.12688,0.05368,0.03416
0.0732,-0.0854,0.0976,0.061,0.0244,0.0244,0.09272,0.244,0.2196,0.1464,0.0732,0.05368
0.05856,-0.08784,0.11712,0.08784,0.05856,0,0.0976,0.25864,0.23424,0.15616,0.08296,0.06344
0.06344,-0.0976,0.13176,0.10004,0.06832,-0.00244,0.08784,0.26352,0.244,0.17568,0.08296,0.05856
0.10248,-0.12688,0.15128,0.10004,0.0488,0.02684,0.0976,0.2684,0.25864,0.1708,0.0732,0.05368
0.12688,-0.14152,0.15616,0.09272,0.02928,0.0488,0.10736,0.29768,0.28792,0.1952,0.09272,0.06344
0.11224,-0.13908,0.16592,0.1098,0.05368,0.02928,0.10736,0.30744,0.30256,0.20496,0.10736,0.07808
0.10248,-0.13908,0.17568,0.12444,0.0732,0.01464,0.11224,0.33184,0.32208,0.21472,0.11224,0.08296
0.11712,-0.15372,0.19032,0.13176,0.0732,0.02196,0.11712,0.34648,0.34648,0.23912,0.12688,0.0976
0.11224,-0.16104,0.20984,0.15372,0.0976,0.00732,0.11712,0.37088,0.366,0.2684,0.15616,0.11224
0.122,-0.17324,0.22448,0.16348,0.10248,0.00976,0.12688,0.3904,0.3904,0.28792,0.16104,0.122
0.11712,-0.17568,0.23424,0.17568,0.11712,0,0.13176,0.40504,0.40992,0.30744,0.16592,0.13176
