i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.05368,-0.07564,0.0976,0.07076,0.04392,0.00488,0.0976,0.22448,0.0976,0.05368,-0.00976,-0.00976
0.05368,-0.07808,0.10248,0.07564,0.0488,0.00244,0.0976,0.24888,0.122,0.06832,0,0
0.06344,-0.08784,0.11224,0.08052,0.0488,0.00732,0.0976,0.2684,0.13664,0.07808,0.00976,0.00488
0.06832,-0.09028,0.11224,0.07808,0.04392,0.0122,0.0976,0.28792,0.15616,0.08784,0.01952,0.00976
0.06832,-0.09516,0.122,0.08784,0.05368,0.00732,0.0976,0.30744,0.17568,0.11224,0.03416,0.01952
0.0732,-0.10004,0.12688,0.09028,0.05368,0.00976,0.10248,0.32696,0.20008,0.12688,0.0488,0.02928
0.07808,-0.10492,0.13176,0.09272,0.05368,0.0122,0.10248,0.34648,0.22448,0.14152,0.05368,0.03904
0.08296,-0.1098,0.13664,0.09516,0.05368,0.01464,0.0976,0.366,0.23424,0.15616,0.06832,0.04392
0.0976,-0.122,0.1464,0.0976,0.0488,0.0244,0.0976,0.3904,0.25376,0.17568,0.08296,0.06344
0.10248,-0.12688,0.15128,0.10004,0.0488,0.02684,0.10248,0.4148,0.27816,0.18056,0.0976,0.06832
0.10248,-0.12932,0.15616,0.10492,0.05368,0.0244,0.10736,0.42944,0.2928,0.1952,0.10248,0.06832
0.10736,-0.13664,0.16592,0.11224,0.05856,0.0244,0.10736,0.44896,0.30256,0.20008,0.10736,0.0732
0.10736,-0.14152,0.17568,0.122,0.06832,0.01952,0.10736,0.46848,0.32696,0.21472,0.11712,0.08296
0.11224,-0.14884,0.18544,0.12932,0.0732,0.01952,0.10736,0.48312,0.34648,0.244,0.13664,0.09272
0.12688,-0.16104,0.1952,0.13176,0.06832,0.02928,0.10736,0.49776,0.36112,0.26352,0.1464,0.10736
0.13664,-0.16836,0.20008,0.13176,0.06344,0.0366,0.10736,0.50752,0.37576,0.26352,0.16104,0.11712
0.13664,-0.1708,0.20496,0.13664,0.06832,0.03416,0.10248,0.51728,0.3904,0.27328,0.1708,0.12688
0.14152,-0.17568,0.20984,0.13908,0.06832,0.0366,0.10248,0.5124,0.40504,0.2928,0.19032,0.13664
0.14152,-0.17812,0.21472,0.14396,0.0732,0.03416,0.0976,0.50752,0.4148,0.30744,0.20496,0.1464
0.15616,-0.18544,0.21472,0.13664,0.05856,0.0488,0.08784,0.50752,0.4148,0.3172,0.21472,0.15128
0.16104,-0.19032,0.2196,0.13908,0.05856,0.05124,0.08296,0.49776,0.4148,0.3172,0.21472,0.15616
0.16104,-0.18788,0.21472,0.1342,0.05368,0.05368,0.08296,0.48312,0.41968,0.32208,0.2196,0.16104
0.16104,-0.18544,0.20984,0.12932,0.0488,0.05612,0.07808,0.45872,0.40504,0.31232,0.2196,0.16592
0.15616,-0.17812,0.20008,0.122,0.04392,0.05612,0.07808,0.43432,0.38064,0.29768,0.20496,0.15616
0.15128,-0.1708,0.19032,0.11468,0.03904,0.05612,0.0732,0.40504,0.35136,0.28304,0.19032,0.1464
0.14152,-0.16592,0.19032,0.11956,0.0488,0.04636,0.06832,0.36112,0.33184,0.27328,0.17568,0.13664
0.13664,-0.16104,0.18544,0.11712,0.0488,0.04392,0.06344,0.3172,0.2928,0.244,0.16104,0.122
0.13176,-0.15616,0.18056,0.11468,0.0488,0.04148,0.05856,0.27816,0.25864,0.21472,0.13664,0.10736
0.12688,-0.15372,0.18056,0.11712,0.05368,0.0366,0.05856,0.23912,0.22448,0.18544,0.11224,0.09272
0.11712,-0.14152,0.16592,0.10736,0.0488,0.03416,0.05856,0.20008,0.18056,0.16104,0.0976,0.08296
0.10736,-0.12932,0.15128,0.0976,0.04392,0.03172,0.05856,0.16104,0.1464,0.13664,0.0732,0.06832
0.0976,-0.11712,0.13664,0.08784,0.03904,0.02928,0.06344,0.13176,0.11712,0.11224,0.0488,0.05368
0.08784,-0.10004,0.11224,0.06832,0.0244,0.03172,0.06832,0.10248,0.08784,0.08296,0.02928,0.03904
0.07808,-0.09272,0.10736,0.06832,0.02928,0.0244,0.06832,0.0732,0.05856,0.05856,0.00976,0.01952
0.0732,-0.0854,0.0976,0.061,0.0244,0.0244,0.06832,0.05856,0.03416,0.03904,0,0.00976
0.06344,-0.07564,0.08784,0.05612,0.0244,0.01952,0.06344,0.03904,0.01952,0.01952,-0.01952,0
0.05856,-0.07076,0.08296,0.05368,0.0244,0.01708,0.06344,0.01952,0,0.00976,-0.03416,-0.00976
0.05368,-0.06344,0.0732,0.04636,0.01952,0.01708,0.06344,0.01464,-0.00976,-0.00488,-0.0488,-0.01464
0.05368,-0.06344,0.0732,0.04636,0.01952,0.01708,0.06344,0.00976,-0.01464,-0.01464,-0.05368,-0.01952
0.05368,-0.06344,0.0732,0.04636,0.01952,0.01708,0.06344,0,-0.0244,-0.01464,-0.05368,-0.01464
0.05368,-0.061,0.06832,0.04148,0.01464,0.01952,0.06344,-0.00976,-0.03416,-0.01464,-0.05368,-0.01464
0.05368,-0.05856,0.06344,0.0366,0.00976,0.02196,0.05856,-0.01464,-0.03904,-0.01952,-0.0488,-0.01952
0.0488,-0.05612,0.06344,0.03904,0.01464,0.01708,0.05856,-0.01952,-0.04392,-0.02928,-0.05368,-0.01952
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.05856,-0.01952,-0.0488,-0.03416,-0.06344,-0.02928
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.06344,-0.01952,-0.05368,-0.03904,-0.06344,-0.03416
0.05368,-0.05612,0.05856,0.03172,0.00488,0.0244,0.06344,-0.0244,-0.05856,-0.03904,-0.06344,-0.03416
0.05856,-0.05856,0.05856,0.02928,0,0.02928,0.05856,-0.0244,-0.05856,-0.03904,-0.06344,-0.03416
0.05856,-0.05856,0.05856,0.02928,0,0.02928,0.05856,-0.0244,-0.05856,-0.03416,-0.06832,-0.03904
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.06344,-0.0244,-0.05856,-0.03416,-0.0732,-0.03904
0.0488,-0.05368,0.05856,0.03416,0.00976,0.01952,0.06832,-0.0244,-0.05856,-0.03904,-0.0732,-0.03904
0.05368,-0.05612,0.05856,0.03172,0.00488,0.0244,0.0732,-0.02928,-0.05368,-0.03904,-0.0732,-0.03904
