i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,0.06832,0.08784,0.00488,0.02928,0.0244,0.03416
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0.0732,0.08784,0.00488,0.0244,0.00976,0.01952
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.0732,0.08784,0.00976,0.02928,0.01952,0.01952
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0.06344,0.0976,0.00976,0.03416,0.01952,0.01464
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0.06832,0.0976,0.01464,0.03904,0.0244,0.0244
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.0732,0.08784,0.00976,0.03904,0.02928,0.01952
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,0.0732,0.08296,0.00976,0.03904,0.02928,0.01952
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.0732,0.08296,0.00976,0.03904,0.0244,0.02928
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,0.0732,0.08784,0.00976,0.03904,0.0244,0.03416
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,0.0732,0.09272,0.01464,0.0488,0.01952,0.03416
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,0.07808,0.09272,0.01464,0.0488,0.01952,0.02928
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.07808,0.08296,0.01464,0.0488,0.02928,0.02928
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.07808,0.07808,0.01464,0.0488,0.02928,0.02928
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,0.07808,0.0976,0.01464,0.05368,0.03416,0.03416
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.07808,0.11224,0.01464,0.05368,0.03416,0.03416
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.07808,0.09272,0.01464,0.04392,0.0244,0.03416
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,0.0732,0.07808,0.01464,0.04392,0.0244,0.02928
-0.01464,0.00488,0.00488,0.0122,0.01952,-0.01708,0.07808,0.09272,0.01464,0.04392,0.0244,0.02928
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,0.07808,0.0976,0.01464,0.03904,0.0244,0.02928
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.07808,0.122,0.01464,0.04392,0.0244,0.02928
-0.01952,-0.00244,0.0244,0.03416,0.04392,-0.03172,0.09272,0.11224,0.03904,0.05856,0.03904,0.0244
-0.04392,-0.00244,0.0488,0.07076,0.09272,-0.06832,0.12688,0.12688,0.07808,0.0976,0.05856,0.0488
-0.0732,0,0.0732,0.1098,0.1464,-0.1098,0.13176,0.11224,0.0976,0.11712,0.08296,0.0488
-0.06832,-0.01464,0.0976,0.13176,0.16592,-0.11712,0.13664,0.11712,0.122,0.16104,0.14152,0.122
-0.0732,-0.04392,0.16104,0.19764,0.23424,-0.15372,0.13664,0.15128,0.16104,0.25864,0.25376,0.22936
-0.0488,-0.07076,0.19032,0.21472,0.23912,-0.14396,0.16104,0.23424,0.2196,0.33672,0.35624,0.3172
-0.00488,-0.11224,0.22936,0.2318,0.23424,-0.11956,0.1708,0.3416,0.25864,0.40992,0.44408,0.40504
0.13664,-0.19276,0.24888,0.18056,0.11224,0.0122,0.13176,0.42456,0.25864,0.47336,0.52216,0.51728
0.2928,-0.26108,0.22936,0.08296,-0.06344,0.17812,0.06832,0.47336,0.2196,0.50264,0.59536,0.60512
0.4636,-0.29524,0.12688,-0.10492,-0.33672,0.40016,0.02928,0.52704,0.16104,0.37088,0.4392,0.50264
0.57096,-0.24156,-0.08784,-0.37332,-0.6588,0.61488,0.00976,0.54168,0.06832,0.12688,0.11712,0.22936
0.70272,-0.26596,-0.1708,-0.52216,-0.87352,0.78812,-0.09272,0.43432,-0.08296,-0.08296,-0.10248,0.06344
0.93208,-0.32696,-0.27816,-0.7442,-1.21024,1.07116,-0.23424,0.32696,-0.2928,-0.32208,-0.31232,-0.06832
1.01504,-0.30256,-0.40992,-0.91744,-1.42496,1.22,-0.29768,0.18544,-0.4148,-0.51728,-0.53192,-0.26352
1.00528,-0.26352,-0.47824,-0.98088,-1.48352,1.2444,-0.28304,0.12688,-0.41968,-0.61488,-0.6588,-0.41968
0.86376,-0.15372,-0.55632,-0.9882,-1.42008,1.14192,-0.16104,0.1708,-0.32208,-0.63928,-0.76616,-0.57584
0.71736,-0.01708,-0.6832,-1.04188,-1.40056,1.05896,-0.04392,0.18056,-0.23912,-0.6588,-0.83448,-0.68808
0.66856,0.03416,-0.73688,-1.07116,-1.40544,1.037,0.06344,0.25376,-0.15616,-0.62464,-0.83936,-0.73688
0.59048,0.0854,-0.76128,-1.05652,-1.35176,0.97112,0.12688,0.32208,-0.08296,-0.60512,-0.81984,-0.732
0.5124,0.10736,-0.72712,-0.98332,-1.23952,0.87596,0.1952,0.42456,-0.00488,-0.52216,-0.74664,-0.69784
0.37576,0.13176,-0.63928,-0.82716,-1.01504,0.6954,0.33184,0.54656,0.17568,-0.38064,-0.62464,-0.60512
0.23424,0.14152,-0.51728,-0.6344,-0.75152,0.49288,0.488,0.66368,0.38064,-0.22448,-0.47824,-0.48312
0.0732,0.16836,-0.40992,-0.44652,-0.48312,0.27816,0.62952,0.82472,0.55144,-0.0976,-0.33184,-0.35136
0,0.17812,-0.35624,-0.35624,-0.35624,0.17812,0.73688,0.96136,0.65392,0,-0.24888,-0.27816
-0.08296,0.21228,-0.3416,-0.30012,-0.25864,0.08784,0.8296,1.02968,0.73688,0.06344,-0.17568,-0.23912
-0.16104,0.22448,-0.28792,-0.2074,-0.12688,-0.01708,0.96624,1.08336,0.86864,0.13176,-0.11224,-0.17568
-0.18544,0.21472,-0.244,-0.15128,-0.05856,-0.06344,0.96624,1.0736,0.8784,0.18056,-0.0488,-0.10736
-0.15616,0.18544,-0.21472,-0.13664,-0.05856,-0.0488,0.86864,1.02968,0.72224,0.14152,-0.03904,-0.08784
-0.06832,0.11468,-0.16104,-0.12688,-0.09272,0.0122,0.58072,0.78568,0.42456,0.0732,-0.05368,-0.07808
-0.0244,0.07808,-0.13176,-0.11956,-0.10736,0.04148,0.4392,0.64904,0.30256,0.03904,-0.05368,-0.06832
-0.01464,0.05124,-0.08784,-0.08052,-0.0732,0.02928,0.3172,0.50752,0.17568,0.01464,-0.02928,-0.03904
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0.23912,0.36112,0.09272,0.01464,-0.00488,-0.01952
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,0.18056,0.27816,0.06344,0.04392,0.00488,0
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0.14152,0.19032,0.05368,0.0488,0.01464,0
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.11712,0.10248,0.03904,0.0488,0.02928,0.01952
-0.05856,0.01952,0.01952,0.0488,0.07808,-0.06832,0.11224,0.08296,0.04392,0.03904,0.0244,0.01464
-0.06832,0.0244,0.01952,0.05368,0.08784,-0.07808,0.10736,0.07808,0.02928,0.04392,0.0244,0.01464
-0.05368,0.02196,0.00976,0.0366,0.06344,-0.05856,0.09272,0.06344,0.01952,0.04392,0.0244,0.01464
-0.04392,0.01708,0.00976,0.03172,0.05368,-0.0488,0.08296,0.03904,0.01464,0.04392,0.0244,0.01464
-0.03904,0.00732,0.0244,0.04392,0.06344,-0.05124,0.08296,0.0244,0.01464,0.03904,0.0244,0.01952
-0.03904,0.00732,0.0244,0.04392,0.06344,-0.05124,0.08296,0.00976,0.00488,0.03416,0.01952,0.00976
-0.04392,0.0122,0.01952,0.04148,0.06344,-0.05368,0.0732,0.01952,-0.00488,0.02928,0.0244,0.01464
-0.03904,0.00732,0.0244,0.04392,0.06344,-0.05124,0.06832,0.0244,-0.00976,0.02928,0.02928,0.01464
-0.0488,0.01708,0.01464,0.03904,0.06344,-0.05612,0.06344,0.02928,0,0.03416,0.0244,0.01464
-0.05856,0.02196,0.01464,0.04392,0.0732,-0.06588,0.06344,0.0244,0,0.02928,0.0244,0.01464
-0.05856,0.01708,0.0244,0.05368,0.08296,-0.07076,0.0732,0.01952,0,0.03416,0.0244,0.00976
-0.05856,0.01464,0.02928,0.05856,0.08784,-0.0732,0.0732,0.01952,-0.00488,0.02928,0.0244,0.00976
-0.05856,0.02196,0.01464,0.04392,0.0732,-0.06588,0.06344,0.00976,-0.00976,0.0244,0.01464,0.00488
-0.05368,0.01952,0.01464,0.04148,0.06832,-0.061,0.06832,-0.00976,-0.00976,0.0244,0.01464,0
-0.05368,0.01464,0.0244,0.05124,0.07808,-0.06588,0.05856,-0.01464,-0.0244,0.01464,0.00976,-0.00488
-0.04392,0.00976,0.0244,0.04636,0.06832,-0.05612,0.05368,-0.02928,-0.0244,0.00976,0.00488,-0.00488
-0.05856,0.01708,0.0244,0.05368,0.08296,-0.07076,0.05368,-0.0244,-0.02928,0,0.00488,-0.00488
-0.0488,0.0122,0.0244,0.0488,0.0732,-0.061,0.0488,-0.0244,-0.03416,0,0.00976,-0.00488
-0.06344,0.0244,0.01464,0.04636,0.07808,-0.07076,0.04392,-0.04392,-0.03416,0.00488,0.00488,-0.01464
-0.06344,0.0244,0.01464,0.04636,0.07808,-0.07076,0.04392,-0.04392,-0.03416,0.00488,0.00488,-0.01464
-0.05368,0.01708,0.01952,0.04636,0.0732,-0.06344,0.05368,-0.03904,-0.03416,0,0.01464,-0.00976
-0.05856,0.01952,0.01952,0.0488,0.07808,-0.06832,0.0488,-0.02928,-0.02928,0.00488,0.01464,0.00488
-0.05856,0.01952,0.01952,0.0488,0.07808,-0.06832,0.0488,-0.02928,-0.03416,0.00488,0.01952,0
-0.05856,0.01708,0.0244,0.05368,0.08296,-0.07076,0.0488,-0.03904,-0.03904,0,0.01464,-0.01464
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0.03416,-0.0488,-0.0488,-0.00976,0.00976,-0.01952
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0.02928,-0.06344,-0.0488,-0.00976,0,-0.01464
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,0.03904,-0.06832,-0.05368,0,0,-0.00976
-0.05368,0.00732,0.03904,0.06588,0.09272,-0.0732,0.03904,-0.05368,-0.05856,0,0.01464,-0.00488
-0.0488,0.00488,0.03904,0.06344,0.08784,-0.06832,0.02928,-0.05856,-0.05856,-0.00976,0.00976,-0.01464
