i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.02928,0.08052,-0.13176,-0.11712,-0.10248,0.0366,-0.0488,-0.17568,-0.2196,-0.20496,-0.11712,-0.06832
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,-0.01464,-0.11224,-0.122,-0.10736,-0.05856,-0.02928
-0.0732,0.05612,-0.03904,-0.00244,0.03416,-0.05368,0.01464,-0.06832,-0.06832,-0.05368,-0.03416,-0.0244
-0.11224,0.07808,-0.04392,0.0122,0.06832,-0.09028,0.0244,-0.03904,-0.02928,-0.00976,-0.01952,-0.00488
-0.09272,0.05856,-0.0244,0.02196,0.06832,-0.08052,0.03416,-0.01952,-0.0244,-0.00976,-0.02928,-0.00488
-0.11224,0.07808,-0.04392,0.0122,0.06832,-0.09028,0.03904,-0.01952,-0.00976,-0.00488,-0.0244,-0.01464
-0.122,0.0732,-0.0244,0.0366,0.0976,-0.1098,0.03904,-0.00976,0.00488,0.01464,-0.01464,-0.00488
-0.122,0.06588,-0.00976,0.05124,0.11224,-0.11712,0.03904,-0.00976,0.00976,0.01464,0.00488,0
-0.11224,0.06344,-0.01464,0.04148,0.0976,-0.10492,0.03904,0.00488,0.00976,0.00976,0.00488,0
-0.11712,0.06344,-0.00976,0.0488,0.10736,-0.11224,0.03416,0.01464,0.0244,0.01952,0.00488,-0.00488
-0.11224,0.061,-0.00976,0.04636,0.10248,-0.10736,0.03416,0.01464,0.03416,0.03416,0.00488,-0.00488
-0.11224,0.05856,-0.00488,0.05124,0.10736,-0.1098,0.04392,0.01952,0.0244,0.02928,0.00976,0.01464
-0.122,0.06832,-0.01464,0.04636,0.10736,-0.11468,0.03904,0.01952,0.0244,0.0244,0.00976,0.01464
-0.10248,0.05612,-0.00976,0.04148,0.09272,-0.0976,0.03904,0.01464,0.03904,0.03416,0.00976,0.01464
-0.0976,0.04636,0.00488,0.05368,0.10248,-0.10004,0.03904,0.01952,0.0488,0.03904,0.01464,0.00976
-0.0976,0.04636,0.00488,0.05368,0.10248,-0.10004,0.03904,0.00976,0.04392,0.03416,0.00976,0.00488
-0.10736,0.05612,-0.00488,0.0488,0.10248,-0.10492,0.03904,0.00976,0.03416,0.03904,0,0.00976
-0.0976,0.05124,-0.00488,0.04392,0.09272,-0.09516,0.03904,0.00976,0.03904,0.03904,0.00976,0.00976
