i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.04392,-0.05124,0.05856,0.0366,0.01464,0.01464,-0.08296,-0.122,-0.05368,0.01952,0.01464,0.0244
0.00976,-0.0122,0.01464,0.00976,0.00488,0.00244,-0.06832,-0.13176,-0.07808,-0.00488,0,0.00976
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.05856,-0.14152,-0.08784,-0.0244,-0.01952,-0.00488
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,-0.02928,-0.12688,-0.08296,-0.0244,-0.0244,-0.01464
-0.06344,0.05124,-0.03904,-0.00732,0.0244,-0.04392,-0.01464,-0.14152,-0.08784,-0.03416,-0.03416,-0.02928
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,-0.01464,-0.14152,-0.0976,-0.04392,-0.0488,-0.03904
-0.08784,0.08052,-0.0732,-0.02928,0.01464,-0.05124,-0.03416,-0.16592,-0.1464,-0.08784,-0.09272,-0.06344
-0.11712,0.10492,-0.09272,-0.03416,0.0244,-0.07076,-0.03416,-0.1708,-0.15616,-0.10248,-0.0976,-0.0732
-0.12688,0.12932,-0.13176,-0.06832,-0.00488,-0.061,-0.04392,-0.18544,-0.1708,-0.11712,-0.11712,-0.08784
-0.11224,0.13664,-0.16104,-0.10492,-0.0488,-0.03172,-0.0488,-0.1952,-0.1708,-0.11712,-0.11712,-0.0976
-0.122,0.11956,-0.11712,-0.05612,0.00488,-0.06344,-0.03904,-0.1952,-0.1708,-0.11712,-0.122,-0.08296
-0.12688,0.10248,-0.07808,-0.01464,0.0488,-0.08784,-0.03904,-0.1952,-0.18056,-0.11712,-0.12688,-0.08784
-0.0976,0.08296,-0.06832,-0.01952,0.02928,-0.06344,-0.03416,-0.18544,-0.16592,-0.10736,-0.11712,-0.08296
-0.09272,0.08052,-0.06832,-0.02196,0.0244,-0.05856,-0.02928,-0.18056,-0.15616,-0.09272,-0.09272,-0.06832
-0.10736,0.10492,-0.10248,-0.0488,0.00488,-0.05612,-0.04392,-0.18056,-0.17568,-0.11224,-0.122,-0.08784
-0.12688,0.122,-0.11712,-0.05368,0.00976,-0.06832,-0.04392,-0.18056,-0.1708,-0.11224,-0.122,-0.08784
-0.13176,0.122,-0.11224,-0.04636,0.01952,-0.07564,-0.05856,-0.19032,-0.18056,-0.11712,-0.122,-0.10248
-0.11224,0.10004,-0.08784,-0.03172,0.0244,-0.06832,-0.06344,-0.20008,-0.18056,-0.11712,-0.11224,-0.10248
-0.11224,0.10248,-0.09272,-0.0366,0.01952,-0.06588,-0.0244,-0.18544,-0.15616,-0.0976,-0.09272,-0.08296
-0.122,0.10736,-0.09272,-0.03172,0.02928,-0.07564,0,-0.1708,-0.14152,-0.08784,-0.09272,-0.06832
-0.12688,0.122,-0.11712,-0.05368,0.00976,-0.06832,-0.0244,-0.18056,-0.1708,-0.10736,-0.122,-0.09272
-0.09272,0.11468,-0.13664,-0.09028,-0.04392,-0.0244,-0.03904,-0.1952,-0.19032,-0.12688,-0.13664,-0.11712
-0.10736,0.1098,-0.11224,-0.05856,-0.00488,-0.05124,-0.01464,-0.17568,-0.1708,-0.11712,-0.122,-0.10248
-0.15616,0.11468,-0.0732,0.00488,0.08296,-0.11956,0,-0.14152,-0.15128,-0.10248,-0.10248,-0.08296
-0.08784,0.061,-0.03416,0.00976,0.05368,-0.07076,0.01464,-0.13664,-0.1464,-0.0976,-0.0976,-0.06344
-0.13664,0.122,-0.10736,-0.03904,0.02928,-0.08296,-0.00488,-0.19032,-0.18544,-0.14152,-0.12688,-0.11712
-0.15616,0.14152,-0.12688,-0.0488,0.02928,-0.09272,-0.0244,-0.244,-0.20984,-0.13664,-0.14152,-0.11712
-0.1952,0.16836,-0.14152,-0.04392,0.05368,-0.12444,-0.02928,-0.31232,-0.23912,-0.13664,-0.15128,-0.14152
-0.14152,0.1586,-0.17568,-0.10492,-0.03416,-0.05368,-0.07808,-0.31232,-0.23912,-0.13664,-0.17568,-0.16592
-0.09272,0.10492,-0.11712,-0.07076,-0.0244,-0.03416,-0.00976,-0.1708,-0.08296,-0.00976,-0.06344,-0.08784
-0.07808,0.10492,-0.13176,-0.09272,-0.05368,-0.0122,0.00488,0.05368,0.13664,0.15128,0.03416,-0.03416
0.03904,0.03416,-0.10736,-0.12688,-0.1464,0.09272,-0.00488,0.30256,0.45872,0.46848,0.24888,0.1464
0.1708,-0.07076,-0.02928,-0.11468,-0.20008,0.18544,-0.03416,0.5612,0.81008,0.80032,0.47824,0.33672
0.42456,-0.25132,0.07808,-0.1342,-0.34648,0.38552,-0.19032,0.58072,0.8784,0.93696,0.61976,0.47336
0.54656,-0.32208,0.0976,-0.17568,-0.44896,0.49776,-0.33184,0.44896,0.5856,0.6344,0.47824,0.40016
0.63928,-0.36844,0.0976,-0.22204,-0.54168,0.59048,-0.38064,0.2196,0.11224,0.07808,0.15128,0.22448
0.30256,-0.10004,-0.10248,-0.25376,-0.40504,0.3538,-0.40504,-0.2928,-0.4148,-0.48312,-0.27328,-0.0488
0.09272,0.00488,-0.10248,-0.14884,-0.1952,0.14396,-0.42944,-1.0736,-1.10288,-1.0248,-0.62952,-0.29768
0.00976,0.061,-0.13176,-0.13664,-0.14152,0.07564,-0.51728,-1.5128,-1.49816,-1.25416,-0.74664,-0.3904
-0.0976,0.16348,-0.22936,-0.18056,-0.13176,0.01708,-0.47824,-1.54208,-1.60064,-1.28344,-0.79056,-0.42944
-0.14152,0.18544,-0.22936,-0.1586,-0.08784,-0.02684,-0.45384,-1.40544,-1.4884,-1.18584,-0.74664,-0.40992
-0.16592,0.17324,-0.18056,-0.0976,-0.01464,-0.07564,-0.4148,-1.25904,-1.30296,-1.03456,-0.66368,-0.38552
-0.20984,0.17812,-0.1464,-0.04148,0.06344,-0.13664,-0.31232,-1.02968,-1.08824,-0.85888,-0.5368,-0.32208
-0.1708,0.16104,-0.15128,-0.06588,0.01952,-0.09516,-0.28304,-0.81984,-0.91256,-0.72224,-0.47824,-0.28304
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,-0.20496,-0.63928,-0.71248,-0.55144,-0.366,-0.1952
-0.11224,0.0854,-0.05856,-0.00244,0.05368,-0.08296,-0.20496,-0.55144,-0.60024,-0.48312,-0.33184,-0.21472
-0.13664,0.09516,-0.05368,0.01464,0.08296,-0.1098,-0.15128,-0.4148,-0.44896,-0.35136,-0.25864,-0.18056
-0.14152,0.06344,0.01464,0.0854,0.15616,-0.14884,-0.10736,-0.26352,-0.30744,-0.244,-0.20984,-0.15616
-0.15128,0.08052,-0.00976,0.06588,0.14152,-0.1464,-0.05856,-0.1952,-0.22936,-0.17568,-0.1708,-0.11712
-0.11224,0.06344,-0.01464,0.04148,0.0976,-0.10492,-0.04392,-0.16592,-0.20008,-0.13664,-0.14152,-0.0976
-0.0732,0.03904,-0.00488,0.03172,0.06832,-0.07076,-0.01952,-0.13664,-0.15128,-0.11224,-0.122,-0.09272
-0.06832,0.05368,-0.03904,-0.00488,0.02928,-0.0488,-0.00488,-0.0976,-0.11224,-0.09272,-0.11224,-0.08784
-0.10248,0.07564,-0.0488,0.00244,0.05368,-0.07808,-0.01464,-0.09272,-0.10736,-0.08296,-0.11712,-0.0976
-0.13664,0.08784,-0.03904,0.02928,0.0976,-0.11712,-0.01464,-0.08784,-0.0976,-0.07808,-0.11712,-0.10248
-0.13664,0.0854,-0.03416,0.03416,0.10248,-0.11956,0,-0.0732,-0.08296,-0.06344,-0.10248,-0.08784
-0.14152,0.09516,-0.0488,0.02196,0.09272,-0.11712,0.00976,-0.0488,-0.0732,-0.04392,-0.08784,-0.07808
-0.12688,0.07564,-0.0244,0.03904,0.10248,-0.11468,0.00976,-0.04392,-0.05856,-0.02928,-0.0732,-0.0732
-0.09272,0.05612,-0.01952,0.02684,0.0732,-0.08296,0,-0.02928,-0.06344,-0.02928,-0.0732,-0.0732
-0.06344,0.04148,-0.01952,0.0122,0.04392,-0.05368,0.01952,-0.02928,-0.03904,-0.02928,-0.06344,-0.06344
