i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0732,0.08052,-0.08784,-0.05124,-0.01464,-0.02928,0.01464,0.05856,0.0488,0.02928,-0.00488,0.00976
-0.08296,0.0854,-0.08784,-0.04636,-0.00488,-0.03904,0.0244,0.0488,0.03904,0.03416,0.00488,0.00488
-0.08784,0.09028,-0.09272,-0.0488,-0.00488,-0.04148,0.02928,0.04392,0.02928,0.0244,0,0
-0.08784,0.09272,-0.0976,-0.05368,-0.00976,-0.03904,0.01952,0.04392,0.02928,0.01464,-0.00976,0.00488
-0.09272,0.09516,-0.0976,-0.05124,-0.00488,-0.04392,0.0244,0.03904,0.0244,0.00976,-0.0244,0.00488
-0.0976,0.0976,-0.0976,-0.0488,0,-0.0488,0.01464,0.03904,0.0244,0,-0.04392,0.01464
-0.0976,0.10004,-0.10248,-0.05368,-0.00488,-0.04636,0.00488,0.03416,0.0244,0,-0.05856,0.01464
-0.09272,0.10004,-0.10736,-0.061,-0.01464,-0.03904,-0.00488,0.03416,0.01464,-0.00488,-0.06832,0.01464
-0.09272,0.10004,-0.10736,-0.061,-0.01464,-0.03904,-0.00488,0.03416,0.01464,-0.01952,-0.06832,0.01464
-0.09272,0.10004,-0.10736,-0.061,-0.01464,-0.03904,0.00488,0.03416,0.01464,-0.0244,-0.06344,0.00488
-0.09272,0.10004,-0.10736,-0.061,-0.01464,-0.03904,0.00488,0.03416,0.01464,-0.0244,-0.06344,-0.00976
-0.10248,0.11224,-0.122,-0.07076,-0.01952,-0.04148,0.02928,0.03904,0.01464,-0.01952,-0.05368,-0.02928
-0.122,0.12932,-0.13664,-0.07564,-0.01464,-0.05368,0.05856,0.05368,0.01464,-0.0244,-0.03904,-0.02928
-0.13176,0.13176,-0.13176,-0.06588,0,-0.06588,0.07808,0.06344,0.03416,-0.00488,-0.01952,-0.02928
-0.13664,0.12688,-0.11712,-0.0488,0.01952,-0.07808,0.10248,0.0976,0.06832,0.0244,0,-0.00976
-0.08296,0.08052,-0.07808,-0.0366,0.00488,-0.04392,0.11712,0.1708,0.11224,0.06344,0.04392,0.02928
0.05368,-0.0122,-0.02928,-0.05612,-0.08296,0.06832,0.12688,0.29768,0.18056,0.14152,0.10736,0.09272
0.29768,-0.183,0.06832,-0.08052,-0.22936,0.26352,0.08296,0.4392,0.25864,0.22936,0.18544,0.17568
0.5856,-0.38064,0.17568,-0.11712,-0.40992,0.49776,-0.03904,0.5124,0.31232,0.31232,0.28792,0.2928
