i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.08784,-0.0854,0.08296,0.03904,-0.00488,0.04636,0.02928,0.35136,0.22448,0.15128,0.22936,0.15128
0.08784,-0.0854,0.08296,0.03904,-0.00488,0.04636,0.02928,0.33672,0.2196,0.15616,0.22936,0.15128
0.09272,-0.08784,0.08296,0.0366,-0.00976,0.05124,0.01952,0.32696,0.20984,0.16592,0.22936,0.15616
0.08784,-0.08296,0.07808,0.03416,-0.00976,0.0488,0.01952,0.30744,0.1952,0.16104,0.22448,0.15128
0.08296,-0.07564,0.06832,0.02684,-0.01464,0.0488,0.01952,0.27816,0.17568,0.15128,0.20008,0.13664
0.0732,-0.06588,0.05856,0.02196,-0.01464,0.04392,0.02928,0.24888,0.16104,0.14152,0.18544,0.122
0.05856,-0.05368,0.0488,0.01952,-0.00976,0.03416,0.02928,0.21472,0.13664,0.12688,0.1708,0.10248
0.0488,-0.04636,0.04392,0.01952,-0.00488,0.02684,0.02928,0.18544,0.11712,0.10248,0.15616,0.08784
0.0488,-0.0366,0.0244,0,-0.0244,0.0366,0.02928,0.16104,0.08784,0.0976,0.12688,0.07808
0.03904,-0.02684,0.01464,-0.00488,-0.0244,0.03172,0.04392,0.14152,0.08296,0.09272,0.10248,0.05856
0.0244,-0.01952,0.01464,0.00244,-0.00976,0.01708,0.0488,0.11224,0.0732,0.06832,0.07808,0.03904
0.00976,-0.00488,0,-0.00488,-0.00976,0.00976,0.05856,0.09272,0.05368,0.05856,0.06832,0.01464
0.00488,0.00732,-0.01952,-0.02196,-0.0244,0.01464,0.06832,0.08784,0.04392,0.05856,0.05368,0.01952
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.0732,0.08296,0.03904,0.05856,0.06344,0.01952
0,0.00976,-0.01952,-0.01952,-0.01952,0.00976,0.07808,0.0732,0.03416,0.05368,0.07808,0.00976
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.07808,0.06344,0.0244,0.05368,0.06344,0.00488
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.08784,0.06344,0.0244,0.05368,0.03904,0.00488
0,0.01464,-0.02928,-0.02928,-0.02928,0.01464,0.09272,0.04392,0.0244,0.0488,0.03904,0.00488
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,0.09272,0.0488,0.02928,0.0488,0.02928,0.00488
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,0.08784,0.03904,0.02928,0.05368,0.03416,0
0.00488,0.01464,-0.03416,-0.0366,-0.03904,0.02196,0.08296,0.02928,0.02928,0.0488,0.01952,-0.00976
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.0732,0.02928,0.02928,0.03904,0.0244,-0.01952
0,0.0122,-0.0244,-0.0244,-0.0244,0.0122,0.06832,0.0244,0.01952,0.04392,0.01464,-0.00976
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.06832,0.0244,0.0244,0.03904,0.00976,0
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.0732,0.03416,0.03416,0.04392,0.01464,0
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.06832,0.03416,0.02928,0.04392,0.01952,0
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.05368,0.01952,0.0244,0.04392,0.01952,0
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.05856,0.02928,0.02928,0.05856,0.0244,0
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.0732,0.0244,0.02928,0.06344,0.03416,0.00976
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.06832,0.02928,0.02928,0.06832,0.02928,0.00976
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.0732,0.01952,0.01952,0.06832,0.04392,0.00488
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.06344,0.01952,0.0244,0.0732,0.04392,0.00488
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,0.05368,0.02928,0.03416,0.0732,0.05368,0.01952
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.05368,0.02928,0.03416,0.0732,0.04392,0.01952
-0.01464,0.0244,-0.03416,-0.02684,-0.01952,0.00244,0.0488,0.01952,0.03416,0.0732,0.03904,0.00976
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,0.05856,0.0244,0.03416,0.06344,0.03904,0.00488
