i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.08296,0.04392,-0.03904,-0.11712,-0.07808,-0.05368
-0.03904,0.0488,-0.05856,-0.03904,-0.01952,-0.00976,0.07808,0.04392,-0.03904,-0.11712,-0.07808,-0.05368
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,0.08784,0.0488,-0.02928,-0.10736,-0.0732,-0.05368
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,0.08784,0.06344,-0.01952,-0.0976,-0.0732,-0.0488
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.08784,0.06344,-0.01464,-0.09272,-0.0732,-0.0488
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.08784,0.06344,-0.01464,-0.09272,-0.0732,-0.0488
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.0976,0.07808,-0.00488,-0.08784,-0.06832,-0.0488
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.0976,0.08296,0,-0.08296,-0.06832,-0.04392
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,0.08784,0.08296,0,-0.08296,-0.06832,-0.04392
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.08784,0.08296,0.00976,-0.08296,-0.06832,-0.04392
-0.0244,0.04636,-0.06832,-0.05612,-0.04392,0.00976,0.08784,0.08296,0.0244,-0.08296,-0.06344,-0.04392
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,0.0976,0.09272,0.02928,-0.0732,-0.05856,-0.03904
-0.00488,0.01708,-0.02928,-0.02684,-0.0244,0.00976,0.0976,0.0976,0.0244,-0.06832,-0.05856,-0.03904
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.09272,0.10248,0.0244,-0.06832,-0.05856,-0.03904
-0.00976,0.03416,-0.05856,-0.05368,-0.0488,0.01952,0.09272,0.11224,0.02928,-0.06832,-0.05856,-0.03904
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0.0976,0.122,0.03416,-0.06832,-0.05368,-0.03416
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.0976,0.122,0.02928,-0.0732,-0.0488,-0.02928
-0.00976,0.02928,-0.0488,-0.04392,-0.03904,0.01464,0.09272,0.13176,0.05368,-0.0488,-0.03416,-0.0244
-0.00976,0.04392,-0.07808,-0.0732,-0.06832,0.02928,0.09272,0.14152,0.08784,-0.02928,-0.01464,-0.01952
-0.00976,0.0244,-0.03904,-0.03416,-0.02928,0.00976,0.08784,0.15616,0.08296,-0.02928,-0.02928,-0.01464
0,0,0,0,0,0,0.0732,0.16592,0.08784,-0.03904,-0.03904,-0.00976
0.00488,0.01464,-0.03416,-0.0366,-0.03904,0.02196,0.08784,0.19032,0.11712,-0.00976,-0.01952,0.00488
0.00976,0.03172,-0.0732,-0.07808,-0.08296,0.04636,0.10736,0.22448,0.15616,0.00976,0.00488,0.01464
0.00976,0.01464,-0.03904,-0.04392,-0.0488,0.02928,0.08784,0.22448,0.15616,0.00976,-0.00976,0.00976
0.01952,-0.00976,0,-0.00976,-0.01952,0.01952,0.06832,0.22448,0.1464,0.01464,-0.01464,0.00488
0.01952,0.00244,-0.0244,-0.03416,-0.04392,0.03172,0.0732,0.23912,0.18544,0.02928,0,0.00976
0.02928,0.0122,-0.05368,-0.06832,-0.08296,0.05612,0.08296,0.26352,0.22448,0.03904,0.01952,0.01464
0.03416,-0.00488,-0.0244,-0.04148,-0.05856,0.04636,0.08784,0.29768,0.23912,0.05368,0.02928,0.0244
0.03904,-0.02196,0.00488,-0.01464,-0.03416,0.0366,0.08784,0.32208,0.24888,0.0732,0.04392,0.03416
0.05368,-0.01952,-0.01464,-0.04148,-0.06832,0.061,0.08784,0.34648,0.29768,0.10248,0.05856,0.05368
0.05856,-0.00976,-0.03904,-0.06832,-0.0976,0.07808,0.0976,0.37576,0.3416,0.12688,0.06832,0.06832
0.06832,-0.03416,0,-0.03416,-0.06832,0.06832,0.07808,0.40016,0.34648,0.122,0.0732,0.06832
0.07808,-0.05856,0.03904,0,-0.03904,0.05856,0.05368,0.41968,0.35624,0.12688,0.07808,0.0732
