i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,0.00976,0.01952,-0.0976,-0.09272,0.06344,0.06344
-0.03416,0.00488,0.0244,0.04148,0.05856,-0.04636,-0.00976,0.00976,-0.10248,-0.0976,0.06344,0.06344
-0.02928,0,0.02928,0.04392,0.05856,-0.04392,-0.0244,0.00976,-0.10248,-0.10248,0.06832,0.06344
-0.0244,-0.00732,0.03904,0.05124,0.06344,-0.04392,-0.03416,0,-0.10248,-0.10248,0.06832,0.06344
-0.01952,-0.01708,0.05368,0.06344,0.0732,-0.04636,-0.03904,-0.00488,-0.10248,-0.0976,0.0732,0.05856
-0.01952,-0.02684,0.0732,0.08296,0.09272,-0.05612,-0.0488,-0.0244,-0.11224,-0.10248,0.06832,0.05856
-0.0244,-0.02928,0.08296,0.09516,0.10736,-0.06588,-0.05368,-0.03904,-0.122,-0.10736,0.06344,0.05368
-0.0244,-0.03172,0.08784,0.10004,0.11224,-0.06832,-0.05856,-0.03904,-0.122,-0.10248,0.0732,0.06344
-0.0244,-0.0366,0.0976,0.1098,0.122,-0.0732,-0.05856,-0.03416,-0.11224,-0.0976,0.07808,0.0732
-0.01464,-0.04148,0.0976,0.10492,0.11224,-0.06344,-0.05856,-0.02928,-0.10248,-0.09272,0.07808,0.07808
-0.01464,-0.0366,0.08784,0.09516,0.10248,-0.05856,-0.05368,-0.0244,-0.10248,-0.08784,0.08784,0.08784
-0.01464,-0.02928,0.0732,0.08052,0.08784,-0.05124,-0.05368,-0.01952,-0.10248,-0.08784,0.08784,0.08784
-0.01952,-0.01708,0.05368,0.06344,0.0732,-0.04636,-0.05368,-0.01952,-0.10736,-0.09272,0.08296,0.08296
-0.03416,-0.00488,0.04392,0.061,0.07808,-0.05612,-0.0488,-0.01464,-0.10736,-0.0976,0.07808,0.07808
-0.05368,0.00976,0.03416,0.061,0.08784,-0.07076,-0.03904,-0.00488,-0.10248,-0.0976,0.07808,0.0732
-0.04392,0.01708,0.00976,0.03172,0.05368,-0.0488,-0.02928,-0.00488,-0.10248,-0.10248,0.06832,0.06344
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.02928,-0.00488,-0.10736,-0.11224,0.05368,0.05368
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.0244,0,-0.10736,-0.11224,0.05368,0.0488
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,-0.0244,0,-0.11224,-0.11224,0.0488,0.0488
-0.02928,0.04148,-0.05368,-0.03904,-0.0244,-0.00244,-0.01952,0.00488,-0.11224,-0.11712,0.0488,0.03416
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,-0.01464,0.00488,-0.11224,-0.122,0.0488,0.03416
-0.03904,0.05124,-0.06344,-0.04392,-0.0244,-0.00732,-0.01464,0,-0.11224,-0.122,0.0488,0.02928
-0.0488,0.05856,-0.06832,-0.04392,-0.01952,-0.01464,-0.00976,0,-0.11224,-0.122,0.0488,0.0244
-0.0488,0.05856,-0.06832,-0.04392,-0.01952,-0.01464,-0.00976,0,-0.11712,-0.12688,0.03904,0.0244
-0.03416,0.05124,-0.06832,-0.05124,-0.03416,0,-0.00976,0,-0.122,-0.12688,0.03416,0.01952
-0.03416,0.05612,-0.07808,-0.061,-0.04392,0.00488,-0.01464,0,-0.122,-0.12688,0.02928,0.01464
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,-0.00976,0.00976,-0.11224,-0.13176,0.0244,0.00488
0.0732,-0.05368,0.03416,-0.00244,-0.03904,0.05612,-0.06344,-0.04392,-0.16592,-0.20496,-0.06344,-0.08784
0.20008,-0.17324,0.1464,0.04636,-0.05368,0.12688,-0.122,-0.08784,-0.20984,-0.28304,-0.15616,-0.19032
0.06832,-0.04148,0.01464,-0.01952,-0.05368,0.061,-0.01952,0.01464,-0.10736,-0.19032,-0.06832,-0.122
-0.06344,0.07564,-0.08784,-0.05612,-0.0244,-0.01952,0.06344,0.09272,-0.0244,-0.0976,0.0244,-0.03416
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,0.0488,0.09272,-0.00488,-0.03904,0.06344,0.00488
0.01464,0.00488,-0.0244,-0.03172,-0.03904,0.02684,0.03904,0.13664,0.10736,0.14152,0.20496,0.11224
0.05368,-0.05368,0.05368,0.02684,0,0.02684,0,0.16592,0.25376,0.38064,0.38552,0.25864
0.11224,-0.16348,0.21472,0.1586,0.10248,0.00488,-0.0732,0.15616,0.38552,0.6832,0.63928,0.47824
0.17568,-0.2928,0.40992,0.32208,0.23424,-0.02928,-0.16104,0.0976,0.4148,0.98576,0.91744,0.74664
0.22448,-0.42212,0.61976,0.50752,0.39528,-0.0854,-0.366,-0.0732,0.27328,1.18096,1.13216,0.97112
0.25864,-0.47336,0.68808,0.55876,0.42944,-0.0854,-0.53192,-0.2196,0.0732,1.18096,1.21512,1.08824
0.23912,-0.33916,0.4392,0.31964,0.20008,0.01952,-0.53192,-0.2196,-0.122,0.8784,1.01992,0.98088
0.18056,-0.13176,0.08296,-0.00732,-0.0976,0.13908,-0.4636,-0.2196,-0.41968,0.22936,0.57096,0.6832
0.11712,-0.0122,-0.09272,-0.15128,-0.20984,0.16348,-0.488,-0.3172,-0.77104,-0.46848,0.05856,0.33672
0.04392,0.05612,-0.15616,-0.17812,-0.20008,0.122,-0.488,-0.35136,-0.91256,-0.77592,-0.244,0.08296
0.0244,0.06832,-0.16104,-0.17324,-0.18544,0.10492,-0.44408,-0.29768,-0.82472,-0.71248,-0.25864,0.00976
0.01952,0.08784,-0.1952,-0.20496,-0.21472,0.11712,-0.35136,-0.18056,-0.6588,-0.5856,-0.2196,-0.01464
0.0244,0.10004,-0.22448,-0.23668,-0.24888,0.13664,-0.28304,-0.09272,-0.5368,-0.49288,-0.19032,-0.03904
0.00488,0.10736,-0.2196,-0.22204,-0.22448,0.11468,-0.23912,-0.0488,-0.45872,-0.43432,-0.16592,-0.05368
0.00488,0.0976,-0.20008,-0.20252,-0.20496,0.10492,-0.19032,0.00488,-0.35624,-0.34648,-0.11224,-0.05368
0,0.08296,-0.16592,-0.16592,-0.16592,0.08296,-0.12688,0.06344,-0.22936,-0.23912,-0.0488,-0.02928
-0.00976,0.0732,-0.13664,-0.13176,-0.12688,0.05856,-0.06832,0.11712,-0.13664,-0.16104,-0.00488,-0.00488
-0.01464,0.06588,-0.11712,-0.1098,-0.10248,0.04392,-0.03416,0.13176,-0.06344,-0.10248,0.02928,0.01464
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,-0.0244,0.11224,-0.04392,-0.07808,0.0488,0.01952
-0.01464,0.0488,-0.08296,-0.07564,-0.06832,0.02684,-0.0244,0.0976,-0.03416,-0.05368,0.0488,0.0244
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,-0.01952,0.07808,-0.0244,-0.04392,0.05368,0.0244
-0.01464,0.04392,-0.0732,-0.06588,-0.05856,0.02196,-0.01952,0.06344,-0.0244,-0.03904,0.05856,0.0244
-0.00976,0.04148,-0.0732,-0.06832,-0.06344,0.02684,-0.0244,0.06344,-0.01464,-0.02928,0.05856,0.0244
-0.01952,0.04636,-0.0732,-0.06344,-0.05368,0.01708,-0.0244,0.06344,-0.00976,-0.0244,0.06344,0.03416
-0.01952,0.04392,-0.06832,-0.05856,-0.0488,0.01464,-0.01952,0.05856,-0.00976,-0.01464,0.06832,0.03416
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,-0.01952,0.0488,0,-0.00488,0.06832,0.03416
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,-0.01464,0.04392,0.00488,0,0.0732,0.03416
-0.02928,0.04636,-0.06344,-0.0488,-0.03416,0.00244,-0.01952,0.0488,0,0,0.0732,0.03904
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,-0.0244,0.0488,0,0.01464,0.0732,0.03904
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,-0.0244,0.0488,0.00976,0.01464,0.0732,0.03904
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,-0.0244,0.04392,0.00976,0.01464,0.06832,0.03904
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,-0.01952,0.04392,0.00976,0.0244,0.0732,0.04392
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,-0.01952,0.0488,0.01464,0.02928,0.07808,0.0488
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,-0.01952,0.04392,0.0244,0.04392,0.08296,0.05856
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,-0.01952,0.04392,0.02928,0.0488,0.08784,0.0488
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,-0.0244,0.04392,0.03416,0.05368,0.08784,0.0488
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,-0.02928,0.04392,0.03904,0.05856,0.08784,0.05368
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,-0.02928,0.0488,0.03904,0.06832,0.08784,0.05368
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,-0.02928,0.0488,0.03904,0.0732,0.09272,0.05368
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,-0.02928,0.0488,0.0488,0.07808,0.09272,0.0488
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,-0.02928,0.0488,0.05856,0.08784,0.10736,0.0488
