i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.07808,0.29768,-0.67344,-0.71248,-0.75152,0.4148,0.32208,0.42944,-0.00976,-0.25376,-0.40016,-0.40992
0.06832,0.29524,-0.6588,-0.69296,-0.72712,0.39772,0.30744,0.40016,0,-0.23424,-0.366,-0.3904
0.05856,0.2928,-0.64416,-0.67344,-0.70272,0.38064,0.2928,0.37088,0.00976,-0.21472,-0.33184,-0.37088
0.0488,0.2806,-0.61,-0.6344,-0.6588,0.3538,0.27328,0.34648,0.01464,-0.19032,-0.31232,-0.35624
0.03904,0.2684,-0.57584,-0.59536,-0.61488,0.32696,0.25376,0.32208,0.01952,-0.16592,-0.2928,-0.3416
0.03904,0.23424,-0.50752,-0.52704,-0.54656,0.2928,0.23912,0.30256,0.03416,-0.13664,-0.244,-0.29768
0.03904,0.20008,-0.4392,-0.45872,-0.47824,0.25864,0.22448,0.28304,0.0488,-0.10736,-0.1952,-0.25376
0.0244,0.18544,-0.39528,-0.40748,-0.41968,0.22204,0.20496,0.25376,0.05368,-0.07808,-0.1708,-0.23424
0.00976,0.1708,-0.35136,-0.35624,-0.36112,0.18544,0.18544,0.22448,0.05856,-0.0488,-0.1464,-0.21472
0.00976,0.14884,-0.30744,-0.31232,-0.3172,0.16348,0.16104,0.19032,0.05856,-0.0244,-0.0976,-0.18544
0.00976,0.12688,-0.26352,-0.2684,-0.27328,0.14152,0.13664,0.15616,0.05856,0,-0.0488,-0.15616
0.00976,0.10248,-0.21472,-0.2196,-0.22448,0.11712,0.11712,0.13176,0.05856,0.01464,-0.01952,-0.12688
0.00976,0.07808,-0.16592,-0.1708,-0.17568,0.09272,0.0976,0.10736,0.05856,0.02928,0.00976,-0.0976
0.00976,0.06588,-0.14152,-0.1464,-0.15128,0.08052,0.0732,0.07808,0.05368,0.04392,0.02928,-0.08784
0.00976,0.05368,-0.11712,-0.122,-0.12688,0.06832,0.0488,0.0488,0.0488,0.05856,0.0488,-0.07808
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,0.04392,0.03904,0.0488,0.0732,0.07808,-0.05856
-0.03904,0.05856,-0.07808,-0.05856,-0.03904,0,0.03904,0.02928,0.0488,0.08784,0.10736,-0.03904
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,0.0244,0.00488,0.03904,0.08784,0.10736,-0.03904
-0.03904,0.0488,-0.05856,-0.03904,-0.01952,-0.00976,0.00976,-0.01952,0.02928,0.08784,0.10736,-0.03904
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0,-0.02928,0.01952,0.0976,0.122,-0.02928
-0.03904,0.0244,-0.00976,0.00976,0.02928,-0.03416,-0.00976,-0.03904,0.00976,0.10736,0.13664,-0.01952
-0.0488,0.02684,-0.00488,0.01952,0.04392,-0.04636,-0.01952,-0.04392,0.00976,0.10736,0.13664,-0.01464
-0.05856,0.02928,0,0.02928,0.05856,-0.05856,-0.02928,-0.0488,0.00976,0.10736,0.13664,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03416,-0.05856,0.00976,0.10736,0.1464,-0.00488
-0.03904,0.00976,0.01952,0.03904,0.05856,-0.0488,-0.03904,-0.06832,0.00976,0.10736,0.15616,0
-0.03904,0.00488,0.02928,0.0488,0.06832,-0.05368,-0.03904,-0.06832,0.00976,0.11224,0.15616,0.00488
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.03904,-0.06832,0.00976,0.11712,0.15616,0.00976
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.04392,-0.06832,0,0.11712,0.15616,0.00976
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.0488,-0.06832,-0.00976,0.11712,0.15616,0.00976
-0.03904,-0.00488,0.0488,0.06832,0.08784,-0.06344,-0.05368,-0.0732,-0.00976,0.11712,0.16592,0.00976
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,-0.05856,-0.07808,-0.00976,0.11712,0.17568,0.00976
-0.05368,0.00244,0.0488,0.07564,0.10248,-0.07808,-0.05856,-0.08296,-0.00976,0.11712,0.17568,0.00976
-0.06832,0.01464,0.03904,0.0732,0.10736,-0.08784,-0.05856,-0.08784,-0.00976,0.11712,0.17568,0.00976
-0.05368,0.00732,0.03904,0.06588,0.09272,-0.0732,-0.05856,-0.09272,-0.01464,0.10736,0.1708,0.00488
-0.03904,0,0.03904,0.05856,0.07808,-0.05856,-0.05856,-0.0976,-0.01952,0.0976,0.16592,0
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,-0.05856,-0.10248,-0.01952,0.0976,0.16592,0
-0.03904,-0.01952,0.07808,0.0976,0.11712,-0.07808,-0.05856,-0.10736,-0.01952,0.0976,0.16592,0
-0.03904,-0.01464,0.06832,0.08784,0.10736,-0.0732,-0.05856,-0.10736,-0.01952,0.0976,0.16104,-0.00488
-0.03904,-0.00976,0.05856,0.07808,0.0976,-0.06832,-0.05856,-0.10736,-0.01952,0.0976,0.15616,-0.00976
