i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.13176,0.08052,-0.02928,0.0366,0.10248,-0.11712,0.0976,0.04392,0.0732,0.06344,0.03904,0
-0.13664,0.09516,-0.05368,0.01464,0.08296,-0.1098,0.0976,0.0488,0.08296,0.08296,0.03904,-0.00488
-0.14152,0.11224,-0.08296,-0.0122,0.05856,-0.10004,0.10248,0.0488,0.08784,0.07808,0.0488,0
-0.14152,0.10004,-0.05856,0.0122,0.08296,-0.11224,0.0976,0.04392,0.0732,0.0732,0.02928,-0.00488
-0.14152,0.08052,-0.01952,0.05124,0.122,-0.13176,0.07808,0.03416,0.06344,0.05368,0.00976,-0.01952
-0.122,0.06344,-0.00488,0.05612,0.11712,-0.11956,0.06832,0.02928,0.05368,0.0488,0.00976,-0.02928
-0.122,0.06832,-0.01464,0.04636,0.10736,-0.11468,0.06832,0.01952,0.05368,0.05368,0.01464,-0.0244
-0.11712,0.07808,-0.03904,0.01952,0.07808,-0.0976,0.0732,0.02928,0.06344,0.05368,0.01952,-0.01464
-0.122,0.08052,-0.03904,0.02196,0.08296,-0.10248,0.07808,0.0244,0.06344,0.0488,0.01952,-0.01952
-0.13176,0.07076,-0.00976,0.05612,0.122,-0.12688,0.09272,0.02928,0.0732,0.05368,0.01464,-0.0244
-0.13176,0.07808,-0.0244,0.04148,0.10736,-0.11956,0.09272,0.03416,0.0732,0.05368,0.01464,-0.0244
-0.1464,0.0854,-0.0244,0.0488,0.122,-0.1342,0.0976,0.04392,0.08296,0.0732,0.0244,-0.01464
-0.16592,0.09028,-0.01464,0.06832,0.15128,-0.1586,0.10248,0.05856,0.08784,0.07808,0.03904,-0.00976
-0.1708,0.09028,-0.00976,0.07564,0.16104,-0.16592,0.09272,0.06832,0.08784,0.0732,0.03416,-0.01464
-0.1708,0.0976,-0.0244,0.061,0.1464,-0.1586,0.0976,0.07808,0.08784,0.0732,0.02928,0
-0.15128,0.10736,-0.06344,0.0122,0.08784,-0.11956,0.11224,0.0732,0.09272,0.0732,0.0488,0
-0.15128,0.11956,-0.08784,-0.0122,0.06344,-0.10736,0.11224,0.0732,0.09272,0.08296,0.03904,-0.00976
-0.15128,0.12688,-0.10248,-0.02684,0.0488,-0.10004,0.11224,0.0732,0.08296,0.08296,0.03416,-0.01464
-0.14152,0.10248,-0.06344,0.00732,0.07808,-0.1098,0.11224,0.06832,0.07808,0.07808,0.0244,-0.01952
-0.12688,0.09028,-0.05368,0.00976,0.0732,-0.10004,0.10736,0.04392,0.06832,0.06832,0.01952,-0.0244
-0.0976,0.07564,-0.05368,-0.00488,0.04392,-0.07076,0.0976,0.0244,0.0732,0.05856,0.00976,-0.03416
-0.10248,0.06832,-0.03416,0.01708,0.06832,-0.0854,0.10248,0.01464,0.06832,0.06344,0.00488,-0.03416
-0.122,0.08784,-0.05368,0.00732,0.06832,-0.09516,0.11224,0.01464,0.08296,0.0732,0.01464,-0.03416
-0.16592,0.10004,-0.03416,0.0488,0.13176,-0.14884,0.122,0.05856,0.0976,0.08784,0.03904,-0.01952
-0.19032,0.0976,-0.00488,0.09028,0.18544,-0.18788,0.13176,0.08784,0.11712,0.10736,0.05368,0
-0.20496,0.1098,-0.01464,0.08784,0.19032,-0.19764,0.13664,0.11712,0.122,0.11712,0.06832,0.00976
-0.22448,0.13908,-0.05368,0.05856,0.1708,-0.19764,0.1464,0.15616,0.14152,0.12688,0.07808,0.01952
-0.20496,0.1342,-0.06344,0.03904,0.14152,-0.17324,0.13176,0.13176,0.122,0.11712,0.06344,-0.00488
-0.19032,0.13176,-0.0732,0.02196,0.11712,-0.15372,0.13664,0.13664,0.12688,0.11224,0.06344,0.00488
-0.1708,0.1098,-0.0488,0.0366,0.122,-0.1464,0.13664,0.12688,0.12688,0.10736,0.06832,0.00488
-0.18544,0.11224,-0.03904,0.05368,0.1464,-0.16592,0.13664,0.11712,0.13176,0.11224,0.06832,0.00488
-0.1952,0.11224,-0.02928,0.06832,0.16592,-0.18056,0.13664,0.10736,0.13176,0.10736,0.06832,0
