i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.18056,-0.12444,0.06832,-0.02196,-0.11224,0.1464,-0.25864,-0.4148,-0.15616,0.47336,0.60024,0.57584
0.1708,-0.02928,-0.11224,-0.19764,-0.28304,0.22692,-0.38064,-0.35136,-0.44408,0.13176,0.25864,0.37088
0.13664,0,-0.13664,-0.20496,-0.27328,0.20496,-0.4148,-0.34648,-0.57584,-0.05368,0.08784,0.24888
0.0976,0.02196,-0.14152,-0.19032,-0.23912,0.16836,-0.40504,-0.30256,-0.55632,-0.18544,-0.08784,0.122
0.0488,0.02684,-0.10248,-0.12688,-0.15128,0.10004,-0.366,-0.24888,-0.50264,-0.2196,-0.1464,0.06344
-0.01952,0.05368,-0.08784,-0.07808,-0.06832,0.0244,-0.244,-0.13176,-0.47336,-0.2928,-0.22936,-0.0244
-0.06832,0.07808,-0.08784,-0.05368,-0.01952,-0.0244,-0.13176,-0.08296,-0.50752,-0.40016,-0.28792,-0.09272
-0.06344,0.08784,-0.11224,-0.08052,-0.0488,-0.00732,-0.0732,-0.00976,-0.38064,-0.33184,-0.26352,-0.10248
-0.06832,0.08784,-0.10736,-0.0732,-0.03904,-0.01464,-0.0732,0,-0.28792,-0.24888,-0.20984,-0.09272
-0.10248,0.10492,-0.10736,-0.05612,-0.00488,-0.0488,-0.0488,-0.0244,-0.244,-0.20008,-0.17568,-0.07808
-0.11224,0.11956,-0.12688,-0.07076,-0.01464,-0.0488,0.00488,0.01464,-0.17568,-0.17568,-0.16104,-0.08784
-0.11712,0.12444,-0.13176,-0.0732,-0.01464,-0.05124,0.0244,0.01464,-0.15128,-0.18056,-0.16592,-0.0976
-0.122,0.13176,-0.14152,-0.08052,-0.01952,-0.05124,0.01952,0.00488,-0.15616,-0.18056,-0.1708,-0.122
-0.13176,0.14152,-0.15128,-0.0854,-0.01952,-0.05612,0.01952,0.00488,-0.16592,-0.19032,-0.18056,-0.12688
-0.13176,0.14152,-0.15128,-0.0854,-0.01952,-0.05612,0.0244,0.00976,-0.16104,-0.18056,-0.1708,-0.122
-0.13176,0.14396,-0.15616,-0.09028,-0.0244,-0.05368,0.02928,0.01464,-0.1464,-0.18056,-0.16104,-0.11224
-0.13176,0.14884,-0.16592,-0.10004,-0.03416,-0.0488,0.02928,0.01464,-0.1464,-0.18056,-0.16104,-0.122
