i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.11224,-0.19032,0.2684,0.21228,0.15616,-0.02196,-0.0488,0.11712,0.19032,0.366,0.39528,0.34648
0.07808,-0.1708,0.26352,0.22448,0.18544,-0.05368,-0.03904,0.122,0.22448,0.37576,0.4148,0.37088
0.0976,-0.20252,0.30744,0.25864,0.20984,-0.05612,-0.05368,0.11712,0.19032,0.36112,0.40016,0.366
0.10248,-0.2074,0.31232,0.26108,0.20984,-0.05368,-0.05856,0.122,0.21472,0.37576,0.41968,0.37576
0.10736,-0.20496,0.30256,0.24888,0.1952,-0.04392,-0.05856,0.10736,0.20984,0.37576,0.42456,0.37576
0.10248,-0.20496,0.30744,0.2562,0.20496,-0.05124,-0.04392,0.11224,0.21472,0.366,0.42456,0.37576
0.08784,-0.18544,0.28304,0.23912,0.1952,-0.05368,-0.04392,0.13176,0.20008,0.35624,0.39528,0.35136
0.11712,-0.20496,0.2928,0.23424,0.17568,-0.02928,-0.05368,0.07808,0.16104,0.28792,0.3172,0.28304
0.10736,-0.18056,0.25376,0.20008,0.1464,-0.01952,-0.06344,0.04392,0.13176,0.244,0.25864,0.23912
0.07808,-0.1464,0.21472,0.17568,0.13664,-0.02928,-0.02928,0.0732,0.1464,0.23912,0.244,0.21472
0.07808,-0.10736,0.13664,0.0976,0.05856,0.00976,0.00488,0.10248,0.12688,0.20984,0.20496,0.17568
0.04392,-0.07808,0.11224,0.09028,0.06832,-0.0122,0.03904,0.0732,0.122,0.18056,0.15128,0.14152
0.0244,-0.07076,0.11712,0.10492,0.09272,-0.03416,0.04392,0.0732,0.11712,0.15616,0.122,0.122
-0.00976,-0.00732,0.0244,0.02928,0.03416,-0.02196,0.05368,0.08296,0.10248,0.1464,0.0976,0.10248
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.06344,0.07808,0.0976,0.12688,0.08296,0.09272
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.05856,0.06832,0.08296,0.08784,0.03904,0.05368
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.04392,0.06832,0.05368,0.06344,0.01464,0.0244
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.01464,0.05856,0.01464,0.02928,-0.0244,-0.01464
-0.05368,0.01708,0.01952,0.04636,0.0732,-0.06344,0.00488,0.05856,0.00488,0.01952,-0.03416,-0.01952
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.00976,0.06832,0.00976,0.01952,-0.03416,-0.02928
-0.03416,0.05612,-0.07808,-0.061,-0.04392,0.00488,0.03416,0.08296,0.02928,0.0244,-0.03416,-0.03416
-0.06344,0.07564,-0.08784,-0.05612,-0.0244,-0.01952,0.04392,0.03416,0,0.00976,-0.05368,-0.0488
-0.0976,0.08784,-0.07808,-0.02928,0.01952,-0.05856,0.0488,0.00976,-0.00488,0,-0.05368,-0.0488
-0.09272,0.09028,-0.08784,-0.04148,0.00488,-0.0488,0.03904,0,-0.01952,-0.0244,-0.0732,-0.05856
-0.07808,0.06344,-0.0488,-0.00976,0.02928,-0.05368,0.00488,-0.01952,-0.05368,-0.05856,-0.11224,-0.07808
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.01464,-0.01464,-0.03904,-0.04392,-0.10248,-0.0732
