i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.08784,-0.18788,0.28792,0.244,0.20008,-0.05612,-0.1464,-0.3904,-0.6832,-0.14152,-0.00976,0.15128
-0.13176,0.0244,0.08296,0.14884,0.21472,-0.17324,-0.04392,-0.56608,-1.02968,-0.57096,-0.41968,-0.18056
-0.1952,0.21228,-0.22936,-0.13176,-0.03416,-0.08052,-0.00976,-0.5856,-1.31272,-0.91744,-0.732,-0.43432
-0.20984,0.28304,-0.35624,-0.25132,-0.1464,-0.03172,0.01464,-0.5856,-1.35664,-1.02968,-0.84424,-0.54168
-0.2196,0.31964,-0.41968,-0.30988,-0.20008,-0.00976,0.02928,-0.57096,-1.2688,-1.01016,-0.84912,-0.56608
-0.23912,0.35624,-0.47336,-0.3538,-0.23424,-0.00244,0.0976,-0.40992,-1.05896,-0.93696,-0.80032,-0.56608
-0.22936,0.305,-0.38064,-0.26596,-0.15128,-0.03904,0.07808,-0.27328,-0.79056,-0.72712,-0.62952,-0.45384
-0.21472,0.22448,-0.23424,-0.12688,-0.01952,-0.0976,0.0244,-0.2196,-0.58072,-0.488,-0.43432,-0.3172
-0.20984,0.15372,-0.0976,0.00732,0.11224,-0.16104,-0.01952,-0.244,-0.44408,-0.32208,-0.28304,-0.2196
-0.1952,0.1098,-0.0244,0.0732,0.1708,-0.183,-0.0244,-0.2196,-0.32696,-0.23424,-0.20496,-0.1464
-0.17568,0.10248,-0.02928,0.05856,0.1464,-0.16104,-0.00976,-0.1464,-0.20008,-0.16592,-0.15128,-0.10736
-0.13176,0.06344,0.00488,0.07076,0.13664,-0.1342,0.00488,-0.08784,-0.11224,-0.06832,-0.08296,-0.06344
-0.0976,0.04392,0.00976,0.05856,0.10736,-0.10248,0.00976,-0.05368,-0.07808,-0.02928,-0.0244,-0.04392
-0.05856,0.02196,0.01464,0.04392,0.0732,-0.06588,0.00488,-0.04392,-0.05856,-0.02928,-0.03904,-0.04392
-0.06832,0.03416,0,0.03416,0.06832,-0.06832,0.0244,-0.01952,-0.00488,-0.0244,-0.0244,-0.0244
-0.0488,0.0244,0,0.0244,0.0488,-0.0488,0.00488,0.00976,0.0244,0.00976,-0.00976,-0.02928
-0.0488,0.02684,-0.00488,0.01952,0.04392,-0.04636,0.01464,0.00976,0.01464,0.01464,0,-0.0244
-0.05368,0.02928,-0.00488,0.02196,0.0488,-0.05124,0.01464,0.00488,0.01464,0.01464,0,-0.0244
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.0244,0.00976,0.0244,0.01464,-0.00488,-0.01464
-0.05856,0.0366,-0.01464,0.01464,0.04392,-0.05124,0.01952,0.01464,0.0244,0.01464,-0.00488,-0.01464
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.01952,0.02928,0.03904,0.0244,0.00488,-0.01952
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.0244,0.02928,0.04392,0.02928,0.00976,-0.01952
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.01464,0.02928,0.04392,0.03416,0.00976,-0.01952
-0.03416,0.02196,-0.00976,0.00732,0.0244,-0.02928,0.01464,0.02928,0.0488,0.02928,0.00976,-0.01952
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01464,0.0244,0.04392,0.02928,0.01464,-0.01952
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01464,0.0244,0.04392,0.03416,0.01464,-0.01952
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01464,0.0244,0.04392,0.03904,0.0244,-0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.00976,0.0244,0.04392,0.04392,0.0244,-0.00488
