i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0488,0.0854,-0.122,-0.0976,-0.0732,0.0122,0.1952,0.36112,0.08784,-0.06832,-0.11712,-0.11224
-0.0488,0.0854,-0.122,-0.0976,-0.0732,0.0122,0.19032,0.37088,0.09272,-0.06832,-0.122,-0.122
-0.0488,0.09028,-0.13176,-0.10736,-0.08296,0.01708,0.19032,0.37088,0.08784,-0.08784,-0.14152,-0.11712
-0.0488,0.09028,-0.13176,-0.10736,-0.08296,0.01708,0.20008,0.3904,0.08784,-0.09272,-0.14152,-0.11712
-0.0488,0.0976,-0.1464,-0.122,-0.0976,0.0244,0.20008,0.40016,0.08784,-0.09272,-0.14152,-0.11712
-0.0488,0.0976,-0.1464,-0.122,-0.0976,0.0244,0.22448,0.4148,0.08296,-0.0976,-0.1464,-0.11712
-0.05368,0.10492,-0.15616,-0.12932,-0.10248,0.0244,0.21472,0.4148,0.07808,-0.10736,-0.16592,-0.13664
-0.05368,0.10736,-0.16104,-0.1342,-0.10736,0.02684,0.2196,0.42456,0.0732,-0.122,-0.17568,-0.14152
-0.05368,0.10248,-0.15128,-0.12444,-0.0976,0.02196,0.22448,0.43432,0.06832,-0.14152,-0.19032,-0.16104
-0.05368,0.0976,-0.14152,-0.11468,-0.08784,0.01708,0.22936,0.44408,0.05856,-0.16104,-0.20496,-0.1708
-0.0488,0.10248,-0.15616,-0.13176,-0.10736,0.02928,0.244,0.44408,0.0488,-0.15616,-0.20496,-0.1708
-0.0488,0.10248,-0.15616,-0.13176,-0.10736,0.02928,0.25376,0.44896,0.03904,-0.16104,-0.21472,-0.17568
-0.0488,0.1098,-0.1708,-0.1464,-0.122,0.0366,0.2684,0.44896,0.04392,-0.16592,-0.20984,-0.16592
-0.0488,0.1098,-0.1708,-0.1464,-0.122,0.0366,0.27816,0.44896,0.03904,-0.17568,-0.22448,-0.17568
-0.0488,0.11224,-0.17568,-0.15128,-0.12688,0.03904,0.27816,0.44896,0.01952,-0.20496,-0.244,-0.17568
-0.0488,0.11468,-0.18056,-0.15616,-0.13176,0.04148,0.27816,0.44408,0,-0.22448,-0.25376,-0.18544
-0.0488,0.11468,-0.18056,-0.15616,-0.13176,0.04148,0.27328,0.4392,-0.01464,-0.244,-0.2684,-0.17568
-0.0488,0.11712,-0.18544,-0.16104,-0.13664,0.04392,0.27328,0.43432,-0.0244,-0.25376,-0.28304,-0.18056
-0.06344,0.122,-0.18056,-0.14884,-0.11712,0.02684,0.27328,0.43432,-0.04392,-0.25376,-0.28792,-0.18544
-0.05856,0.11956,-0.18056,-0.15128,-0.122,0.03172,0.2684,0.42456,-0.0488,-0.25864,-0.28792,-0.18544
-0.05856,0.12444,-0.19032,-0.16104,-0.13176,0.0366,0.26352,0.40504,-0.05856,-0.2684,-0.30256,-0.19032
-0.05368,0.11956,-0.18544,-0.1586,-0.13176,0.03904,0.27328,0.40504,-0.06344,-0.2684,-0.30744,-0.19032
-0.05368,0.11468,-0.17568,-0.14884,-0.122,0.03416,0.25864,0.38064,-0.0732,-0.27816,-0.30744,-0.19032
-0.05368,0.11468,-0.17568,-0.14884,-0.122,0.03416,0.23912,0.36112,-0.08296,-0.27816,-0.31232,-0.17568
-0.0488,0.10736,-0.16592,-0.14152,-0.11712,0.03416,0.23424,0.38552,-0.07808,-0.26352,-0.30256,-0.16592
-0.03904,0.10004,-0.16104,-0.14152,-0.122,0.04148,0.22936,0.40504,-0.0732,-0.23912,-0.28304,-0.15128
-0.02928,0.09028,-0.15128,-0.13664,-0.122,0.04636,0.2196,0.48312,-0.06832,-0.21472,-0.25864,-0.12688
-0.0244,0.08296,-0.14152,-0.12932,-0.11712,0.04636,0.20496,0.54168,-0.05856,-0.19032,-0.23424,-0.11224
-0.01952,0.08052,-0.14152,-0.13176,-0.122,0.05124,0.18056,0.488,-0.04392,-0.15616,-0.1952,-0.08784
-0.01464,0.0732,-0.13176,-0.12444,-0.11712,0.05124,0.16592,0.44896,-0.03416,-0.12688,-0.16592,-0.06832
-0.01464,0.06344,-0.11224,-0.10492,-0.0976,0.04148,0.16104,0.42456,-0.0244,-0.11712,-0.15616,-0.06832
-0.01464,0.061,-0.10736,-0.10004,-0.09272,0.03904,0.16592,0.40016,-0.01464,-0.10248,-0.13176,-0.05856
-0.01952,0.06344,-0.10736,-0.0976,-0.08784,0.03416,0.17568,0.366,-0.00488,-0.10248,-0.11224,-0.03904
-0.01952,0.05856,-0.0976,-0.08784,-0.07808,0.02928,0.17568,0.33672,-0.00488,-0.08784,-0.0976,-0.02928
-0.01952,0.05856,-0.0976,-0.08784,-0.07808,0.02928,0.16104,0.30256,0.00488,-0.06832,-0.06832,-0.01464
-0.01952,0.061,-0.10248,-0.09272,-0.08296,0.03172,0.15128,0.28304,0.01464,-0.05368,-0.0488,-0.00976
-0.02928,0.05856,-0.08784,-0.0732,-0.05856,0.01464,0.15128,0.28304,0.01952,-0.05368,-0.05856,-0.01464
-0.02928,0.05612,-0.08296,-0.06832,-0.05368,0.0122,0.16104,0.2684,0.02928,-0.0488,-0.05368,-0.01464
-0.03416,0.05612,-0.07808,-0.061,-0.04392,0.00488,0.15128,0.23912,0.03904,-0.0244,-0.02928,0
-0.03904,0.05856,-0.07808,-0.05856,-0.03904,0,0.14152,0.20984,0.0488,0,-0.00976,0.00488
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.14152,0.22936,0.05856,0.00976,-0.00976,0.01952
-0.03416,0.05368,-0.0732,-0.05612,-0.03904,0.00244,0.14152,0.23424,0.06344,0.00976,-0.00976,0.01464
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,0.15128,0.2196,0.05856,0,-0.01464,0.00488
-0.04392,0.05856,-0.0732,-0.05124,-0.02928,-0.00732,0.1708,0.2196,0.05856,-0.00976,-0.01952,-0.00488
-0.04392,0.05856,-0.0732,-0.05124,-0.02928,-0.00732,0.17568,0.21472,0.05368,-0.01952,-0.03416,-0.01464
-0.04392,0.061,-0.07808,-0.05612,-0.03416,-0.00488,0.18544,0.22448,0.03904,-0.02928,-0.03904,-0.01952
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.18544,0.2196,0.03904,-0.02928,-0.02928,-0.01952
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.18544,0.2196,0.04392,-0.03416,-0.02928,-0.0244
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.19032,0.20984,0.03904,-0.0244,-0.02928,-0.01464
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.20496,0.20496,0.03904,-0.03416,-0.01952,0
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.20496,0.21472,0.03904,-0.0244,-0.00488,0
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,0.21472,0.2196,0.03904,-0.01464,-0.00488,0.01952
-0.06832,0.07076,-0.0732,-0.03904,-0.00488,-0.03172,0.20496,0.20008,0.05368,-0.01464,-0.01464,-0.00488
-0.06832,0.06832,-0.06832,-0.03416,0,-0.03416,0.20496,0.1952,0.05368,-0.01464,-0.01464,-0.01464
-0.05856,0.05856,-0.05856,-0.02928,0,-0.02928,0.20008,0.18544,0.06344,-0.00488,-0.01464,-0.00488
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.1952,0.17568,0.06344,-0.00488,-0.01464,-0.00488
-0.05856,0.061,-0.06344,-0.03416,-0.00488,-0.02684,0.1952,0.17568,0.0732,0.00488,-0.00488,0.01464
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.1952,0.17568,0.0732,0.00488,0,0.0244
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.20008,0.1708,0.06344,0,-0.00488,0.01952
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.1952,0.1708,0.06344,0,-0.00976,0.01464
-0.0488,0.05856,-0.06832,-0.04392,-0.01952,-0.01464,0.20984,0.1708,0.06344,0.00488,0.00488,0.0244
-0.0488,0.061,-0.0732,-0.0488,-0.0244,-0.0122,0.20984,0.16592,0.06832,0.00488,0.00488,0.0244
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.1952,0.16592,0.05856,-0.00488,-0.00488,0.01952
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.19032,0.16104,0.05856,-0.00488,-0.00488,0.01464
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.18056,0.16104,0.05368,-0.00488,-0.00488,0.00488
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,0.1708,0.16592,0.05856,0,0,0.00488
-0.06344,0.06344,-0.06344,-0.03172,0,-0.03172,0.19032,0.1464,0.05368,0,0,0.00976
-0.06832,0.06588,-0.06344,-0.02928,0.00488,-0.0366,0.20008,0.15616,0.05368,0,0,0.00976
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.20984,0.14152,0.04392,-0.00976,-0.00488,0.01464
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.20984,0.13664,0.03904,-0.01464,-0.00488,0.00976
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.19032,0.15128,0.04392,-0.01464,0.00488,0.01464
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.1952,0.1464,0.04392,-0.00976,0,0.01464
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,0.20496,0.13664,0.03416,-0.01952,-0.00976,0.01464
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,0.1952,0.13664,0.02928,-0.01952,-0.00976,0.01464
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.1952,0.12688,0.02928,-0.03416,-0.0244,0.00488
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.1952,0.12688,0.02928,-0.04392,-0.03904,0.00488
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.19032,0.122,0.0244,-0.03416,-0.01952,0.01464
-0.05368,0.061,-0.06832,-0.04148,-0.01464,-0.01952,0.18056,0.122,0.0244,-0.03416,-0.01464,0.01464
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,0.1708,0.11712,0.02928,-0.0244,-0.00976,0.00976
-0.06832,0.07564,-0.08296,-0.0488,-0.01464,-0.02684,0.18056,0.11712,0.0244,-0.01952,-0.00976,0.01464
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.1708,0.10736,0.00976,-0.02928,-0.01952,0
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.15616,0.11224,0.00976,-0.03416,-0.02928,-0.01464
-0.05856,0.05612,-0.05368,-0.0244,0.00488,-0.03172,0.1952,0.10736,0.00976,-0.04392,-0.0244,-0.00976
-0.05856,0.05124,-0.04392,-0.01464,0.01464,-0.0366,0.22936,0.11224,0.0244,-0.0244,-0.00488,0.00976
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.22936,0.11712,0.02928,-0.02928,0,0.0244
-0.06344,0.05612,-0.0488,-0.01708,0.01464,-0.03904,0.2196,0.11712,0.02928,-0.02928,0,0.01464
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.20984,0.12688,0.03904,-0.02928,0.00976,0.0244
-0.05856,0.03904,-0.01952,0.00976,0.03904,-0.0488,0.1952,0.10248,0.03904,-0.02928,0.00488,0.02928
-0.05856,0.0366,-0.01464,0.01464,0.04392,-0.05124,0.18056,0.10248,0.03416,-0.01952,0.01464,0.02928
