i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,0.00488,0.00488,0.05856,0.98088,-0.06832,0.01952
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.00488,0.00488,0.03904,0.96624,-0.08784,0.00976
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,0.00488,0,0.01952,0.94184,-0.10248,0
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,0.00488,-0.00976,0.01464,0.93696,-0.11224,-0.00976
-0.01464,0.00732,0,0.00732,0.01464,-0.01464,0.00488,-0.00976,0.01464,0.92232,-0.11712,-0.01464
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,0.00488,-0.01464,0.01464,0.9028,-0.122,-0.01952
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00488,-0.01952,0.00976,0.89304,-0.13176,-0.01952
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00976,-0.01952,0.00488,0.89304,-0.13176,-0.01952
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00976,-0.01952,0.00488,0.89304,-0.13176,-0.01952
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.00976,-0.0244,0.00488,0.89792,-0.11224,-0.01952
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,0.00976,-0.0244,0.00488,0.89792,-0.10248,-0.0244
-0.05368,0.03172,-0.00976,0.01708,0.04392,-0.0488,0.00488,-0.0244,0,0.89304,-0.11224,-0.02928
-0.0732,0.05124,-0.02928,0.00732,0.04392,-0.05856,0,-0.02928,-0.00488,0.88816,-0.11712,-0.03416
-0.06344,0.04636,-0.02928,0.00244,0.03416,-0.0488,0,-0.02928,-0.00976,0.88816,-0.11712,-0.04392
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0,-0.02928,-0.01464,0.88816,-0.122,-0.04392
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0,-0.0244,-0.01464,0.9028,-0.11712,-0.03904
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.00488,-0.01952,-0.01464,0.91256,-0.10736,-0.02928
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.00488,-0.01464,-0.01464,0.92232,-0.0976,-0.02928
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.00488,-0.01464,-0.01952,0.92232,-0.08784,-0.02928
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.00488,-0.0244,-0.01952,0.91744,-0.08784,-0.01952
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0,-0.0244,-0.01952,0.91744,-0.08784,-0.01952
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00488,-0.0244,-0.0244,0.91744,-0.08296,-0.01952
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.00976,-0.01952,-0.0244,0.92232,-0.07808,-0.02928
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.00976,-0.0244,-0.02928,0.92232,-0.07808,-0.02928
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.00488,-0.02928,-0.03416,0.92232,-0.07808,-0.02928
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,-0.00488,-0.02928,-0.03416,0.9272,-0.05856,-0.0244
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,-0.00976,-0.02928,-0.0244,0.93696,-0.0488,-0.0244
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,-0.00976,-0.02928,-0.03416,0.95648,-0.05368,-0.0244
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,-0.00976,-0.03416,-0.03416,0.97112,-0.05368,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.01464,-0.03904,-0.03904,0.96136,-0.04392,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.01464,-0.03904,-0.03904,0.96624,-0.02928,-0.01952
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,-0.00976,-0.02928,-0.03416,0.97112,-0.01952,-0.01464
-0.01952,0.00488,0.00976,0.01952,0.02928,-0.0244,-0.00976,-0.02928,-0.03416,0.98088,-0.00976,-0.01464
-0.01952,0.00488,0.00976,0.01952,0.02928,-0.0244,-0.00488,-0.02928,-0.03416,0.99552,-0.00976,-0.01464
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,-0.00488,-0.02928,-0.03416,0.99064,-0.01464,-0.01464
-0.01952,0.00732,0.00488,0.01464,0.0244,-0.02196,-0.00976,-0.04392,-0.03416,0.99064,-0.01464,-0.01464
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.00976,-0.0488,-0.04392,0.99552,-0.00976,-0.0244
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00976,-0.03904,-0.03904,1.00528,-0.00976,-0.0244
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00976,-0.03904,-0.03416,1.01016,-0.00976,-0.01952
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.00976,-0.02928,-0.03904,1.01504,0,-0.01464
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.00976,-0.01952,-0.03904,1.0248,0.00976,-0.01464
-0.03416,0.01464,0.00488,0.02196,0.03904,-0.0366,-0.00488,-0.01952,-0.03416,1.03456,0.00976,-0.01464
-0.04392,0.01708,0.00976,0.03172,0.05368,-0.0488,0,-0.01952,-0.02928,1.03944,0.01464,-0.01464
-0.03416,0.01464,0.00488,0.02196,0.03904,-0.0366,-0.00488,-0.01952,-0.02928,1.03944,0.01464,-0.01464
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,-0.00488,-0.01952,-0.02928,1.03456,0.01464,-0.01464
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,-0.00488,-0.0244,-0.02928,1.03456,0.01464,-0.01952
-0.03904,0.0244,-0.00976,0.00976,0.02928,-0.03416,0,-0.03416,-0.02928,1.03944,0.00976,-0.02928
-0.03416,0.02196,-0.00976,0.00732,0.0244,-0.02928,-0.00488,-0.03416,-0.03416,1.03944,0.01464,-0.02928
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,-0.00976,-0.03416,-0.03904,1.03944,0.01952,-0.02928
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,-0.00976,-0.03416,-0.03904,1.03456,0.00976,-0.03416
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,-0.00976,-0.03416,-0.03904,1.03456,0.00976,-0.03416
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00488,-0.03416,-0.03416,1.03456,0.01464,-0.02928
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0,-0.03416,-0.02928,1.03456,0.01464,-0.02928
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,0.00488,-0.02928,-0.0244,1.03944,0.01464,-0.02928
-0.03904,0.02196,-0.00488,0.01464,0.03416,-0.0366,0.00976,-0.0244,-0.01952,1.04432,0.01952,-0.0244
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.00976,-0.02928,-0.01952,1.04432,0.01952,-0.0244
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.00976,-0.0244,-0.0244,1.04432,0.01952,-0.0244
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0.00976,-0.0244,-0.01952,1.03944,0.01952,-0.01464
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.00976,-0.0244,-0.01464,1.03944,0.01952,-0.01952
-0.04392,0.02684,-0.00976,0.0122,0.03416,-0.03904,0.00976,-0.0244,-0.01464,1.02968,0.01952,-0.01952
-0.04392,0.02684,-0.00976,0.0122,0.03416,-0.03904,0.00488,-0.01952,-0.01464,1.0248,0.0244,-0.01952
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.00488,-0.01952,-0.01464,1.0248,0.0244,-0.0244
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,0.00976,-0.01464,-0.00976,1.0248,0.0244,-0.03416
-0.03904,0.03416,-0.02928,-0.00976,0.00976,-0.0244,0.01464,-0.01464,-0.00976,1.01992,0.0244,-0.03416
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.01952,-0.01464,-0.00976,1.01016,0.01952,-0.03416
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.01952,-0.01952,-0.00976,1.01016,0.01952,-0.03416
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,0.01952,-0.01952,-0.00976,1.01016,0.01952,-0.03416
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.0244,-0.01464,0,1.01016,0.0244,-0.0244
-0.05368,0.03904,-0.0244,0.00244,0.02928,-0.04148,0.03416,-0.00976,0.00976,1.0004,0.0244,-0.03904
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.03416,-0.00488,0.00976,0.99552,0.0244,-0.03416
-0.05856,0.04148,-0.0244,0.00488,0.03416,-0.04636,0.03904,0,0.00976,0.99064,0.0244,-0.02928
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.03416,0,0.00976,0.98576,0.0244,-0.02928
-0.05368,0.03416,-0.01464,0.0122,0.03904,-0.04636,0.02928,0,0.00976,0.98088,0.0244,-0.03416
-0.05368,0.0366,-0.01952,0.00732,0.03416,-0.04392,0.02928,0,0.00976,0.98088,0.0244,-0.03416
-0.05368,0.03904,-0.0244,0.00244,0.02928,-0.04148,0.02928,-0.00488,0.00976,0.976,0.0244,-0.03416
-0.0488,0.0366,-0.0244,0,0.0244,-0.0366,0.02928,-0.00488,0.01464,0.96624,0.0244,-0.03416
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.02928,-0.00488,0.01952,0.95648,0.0244,-0.03416
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.03416,-0.00488,0.0244,0.95648,0.0244,-0.03416
-0.0488,0.03904,-0.02928,-0.00488,0.01952,-0.03416,0.03904,-0.00488,0.0244,0.9516,0.0244,-0.03416
-0.0488,0.04148,-0.03416,-0.00976,0.01464,-0.03172,0.03904,0,0.0244,0.9516,0.02928,-0.02928
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.04392,0.00976,0.02928,0.9516,0.02928,-0.01952
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.04392,0.00976,0.03416,0.94184,0.0244,-0.01952
-0.04392,0.04148,-0.03904,-0.01708,0.00488,-0.0244,0.04392,0.00976,0.03904,0.93696,0.0244,-0.01952
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.0488,0.00488,0.03904,0.93208,0.01952,-0.01952
-0.06344,0.0488,-0.03416,-0.00244,0.02928,-0.04636,0.05368,0.00488,0.03416,0.92232,0.01952,-0.01952
-0.06344,0.05124,-0.03904,-0.00732,0.0244,-0.04392,0.05368,0.00976,0.03416,0.91256,0.01952,-0.01952
-0.06344,0.05368,-0.04392,-0.0122,0.01952,-0.04148,0.05368,0.00976,0.03416,0.9028,0.01464,-0.01952
