i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0,0.00976,-0.01952,-0.01952,-0.01952,0.00976,-0.00488,-0.06832,-0.15128,-0.1464,-0.20008,-0.16104
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0,-0.07808,-0.16592,-0.16104,-0.20984,-0.16592
-0.00488,0.01708,-0.02928,-0.02684,-0.0244,0.00976,0,-0.08296,-0.17568,-0.16592,-0.20984,-0.16592
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,0,-0.08784,-0.18056,-0.1708,-0.21472,-0.1708
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,0,-0.09272,-0.19032,-0.18056,-0.2196,-0.1708
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,0,-0.0976,-0.19032,-0.18056,-0.2196,-0.1708
-0.01464,0.03172,-0.0488,-0.04148,-0.03416,0.00976,0,-0.10248,-0.20008,-0.18056,-0.2196,-0.1708
-0.01464,0.03172,-0.0488,-0.04148,-0.03416,0.00976,0,-0.10248,-0.20008,-0.18544,-0.22448,-0.1708
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0,-0.10248,-0.20008,-0.18544,-0.22936,-0.1708
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0,-0.0976,-0.20496,-0.19032,-0.22936,-0.17568
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0,-0.10248,-0.20984,-0.19032,-0.22936,-0.18056
-0.01952,0.0366,-0.05368,-0.04392,-0.03416,0.00732,0.00488,-0.10248,-0.20984,-0.19032,-0.22936,-0.18056
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,0.00976,-0.10248,-0.20496,-0.19032,-0.22936,-0.18544
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.00976,-0.10248,-0.20984,-0.1952,-0.22936,-0.18544
-0.0244,0.04148,-0.05856,-0.04636,-0.03416,0.00488,0.00976,-0.10248,-0.21472,-0.1952,-0.23424,-0.19032
-0.0244,0.04392,-0.06344,-0.05124,-0.03904,0.00732,0.00976,-0.10248,-0.21472,-0.20008,-0.244,-0.19032
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.01464,-0.0976,-0.21472,-0.20496,-0.244,-0.19032
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.01464,-0.09272,-0.20984,-0.20008,-0.244,-0.18544
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.01464,-0.09272,-0.20984,-0.20008,-0.23912,-0.18544
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,0.0244,-0.09272,-0.20496,-0.1952,-0.23912,-0.18544
-0.04392,0.05612,-0.06832,-0.04636,-0.0244,-0.00976,0.03416,-0.08784,-0.20496,-0.19032,-0.23912,-0.18544
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.03416,-0.08784,-0.20496,-0.19032,-0.23912,-0.18544
-0.04392,0.05368,-0.06344,-0.04148,-0.01952,-0.0122,0.03904,-0.08296,-0.20008,-0.18544,-0.23912,-0.18544
-0.04392,0.05856,-0.0732,-0.05124,-0.02928,-0.00732,0.03904,-0.07808,-0.1952,-0.18056,-0.23912,-0.18056
-0.04392,0.061,-0.07808,-0.05612,-0.03416,-0.00488,0.04392,-0.06832,-0.19032,-0.18056,-0.23912,-0.18056
-0.03904,0.05612,-0.0732,-0.05368,-0.03416,-0.00244,0.0488,-0.06832,-0.19032,-0.18056,-0.23424,-0.18056
-0.03904,0.05612,-0.0732,-0.05368,-0.03416,-0.00244,0.05368,-0.06344,-0.18544,-0.17568,-0.23424,-0.18056
-0.03904,0.05612,-0.0732,-0.05368,-0.03416,-0.00244,0.05856,-0.05856,-0.18056,-0.17568,-0.22936,-0.18056
-0.03416,0.05124,-0.06832,-0.05124,-0.03416,0,0.05856,-0.05368,-0.17568,-0.17568,-0.22936,-0.17568
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.06344,-0.0488,-0.16592,-0.16592,-0.21472,-0.1708
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.06832,-0.0488,-0.15616,-0.15616,-0.20496,-0.16592
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.06832,-0.04392,-0.15616,-0.15616,-0.20496,-0.16592
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.06832,-0.03904,-0.15616,-0.15616,-0.20496,-0.16592
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.06832,-0.03904,-0.15616,-0.15128,-0.20496,-0.16104
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.06832,-0.03904,-0.15616,-0.1464,-0.20008,-0.15616
-0.02928,0.05368,-0.07808,-0.06344,-0.0488,0.00976,0.06832,-0.03904,-0.15616,-0.1464,-0.1952,-0.15616
-0.0244,0.05124,-0.07808,-0.06588,-0.05368,0.01464,0.06832,-0.03904,-0.15616,-0.1464,-0.1952,-0.15616
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.06832,-0.03904,-0.15128,-0.1464,-0.19032,-0.15128
-0.03416,0.05124,-0.06832,-0.05124,-0.03416,0,0.06832,-0.03904,-0.15128,-0.1464,-0.18544,-0.15128
-0.02928,0.05124,-0.0732,-0.05856,-0.04392,0.00732,0.06832,-0.03416,-0.1464,-0.14152,-0.18544,-0.14152
-0.0244,0.04636,-0.06832,-0.05612,-0.04392,0.00976,0.06832,-0.03416,-0.14152,-0.13176,-0.17568,-0.14152
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.08784,-0.0244,-0.12688,-0.12688,-0.16592,-0.122
-0.03416,0.03904,-0.04392,-0.02684,-0.00976,-0.0122,0.0976,-0.01464,-0.11712,-0.11712,-0.16104,-0.11224
-0.0244,0.02928,-0.03416,-0.02196,-0.00976,-0.00732,0.0976,-0.01464,-0.11712,-0.11224,-0.15616,-0.10248
-0.00976,0.02196,-0.03416,-0.02928,-0.0244,0.00732,0.0976,-0.00976,-0.11712,-0.11224,-0.15616,-0.10248
-0.00976,0.02196,-0.03416,-0.02928,-0.0244,0.00732,0.0976,0,-0.11712,-0.11224,-0.15616,-0.10248
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.0976,-0.00488,-0.11712,-0.10736,-0.15128,-0.10248
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,0.0732,-0.02928,-0.122,-0.10736,-0.1464,-0.0976
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,0.03904,-0.06344,-0.13176,-0.10736,-0.14152,-0.09272
0.00976,-0.01952,0.02928,0.0244,0.01952,-0.00488,0.01464,-0.07808,-0.13176,-0.10736,-0.13664,-0.08296
0.0244,-0.02684,0.02928,0.01708,0.00488,0.00976,0.00488,-0.08784,-0.13176,-0.10736,-0.13176,-0.08296
0.03904,-0.03416,0.02928,0.00976,-0.00976,0.0244,-0.00976,-0.09272,-0.14152,-0.10736,-0.13664,-0.07808
0.04392,-0.0366,0.02928,0.00732,-0.01464,0.02928,-0.01464,-0.09272,-0.14152,-0.10736,-0.14152,-0.07808
0.05368,-0.0366,0.01952,-0.00732,-0.03416,0.04392,-0.01464,-0.07808,-0.14152,-0.10248,-0.14152,-0.06344
0.05368,-0.03172,0.00976,-0.01708,-0.04392,0.0488,-0.00488,-0.0732,-0.14152,-0.0976,-0.14152,-0.05856
0.05856,-0.03172,0.00488,-0.0244,-0.05368,0.05612,-0.00488,-0.06832,-0.13664,-0.0976,-0.13664,-0.05856
0.05856,-0.02928,0,-0.02928,-0.05856,0.05856,0.00488,-0.05856,-0.13664,-0.0976,-0.13176,-0.05856
0.04392,-0.01464,-0.01464,-0.0366,-0.05856,0.05124,0.0244,-0.03904,-0.122,-0.0976,-0.12688,-0.05368
0.00976,0.02196,-0.05368,-0.05856,-0.06344,0.0366,0.0488,-0.03416,-0.13176,-0.11224,-0.13664,-0.06832
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.06344,-0.03416,-0.14152,-0.12688,-0.15616,-0.09272
-0.0244,0.05856,-0.09272,-0.08052,-0.06832,0.02196,0.06832,-0.04392,-0.15128,-0.13664,-0.16592,-0.0976
-0.02928,0.06832,-0.10736,-0.09272,-0.07808,0.0244,0.06832,-0.04392,-0.16592,-0.1464,-0.18056,-0.11224
-0.02928,0.0732,-0.11712,-0.10248,-0.08784,0.02928,0.06832,-0.03904,-0.16592,-0.15616,-0.19032,-0.122
-0.02928,0.0732,-0.11712,-0.10248,-0.08784,0.02928,0.06832,-0.03904,-0.1708,-0.15616,-0.19032,-0.12688
-0.02928,0.07808,-0.12688,-0.11224,-0.0976,0.03416,0.06832,-0.03904,-0.1708,-0.16104,-0.19032,-0.12688
-0.02928,0.07808,-0.12688,-0.11224,-0.0976,0.03416,0.07808,-0.02928,-0.1708,-0.16104,-0.19032,-0.12688
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.1708,-0.16104,-0.1952,-0.12688
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.1708,-0.16104,-0.1952,-0.13176
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.1708,-0.16104,-0.1952,-0.13176
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.17568,-0.16104,-0.1952,-0.13176
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.18056,-0.16104,-0.1952,-0.13176
-0.03416,0.08296,-0.13176,-0.11468,-0.0976,0.03172,0.08296,-0.0244,-0.18056,-0.16104,-0.20008,-0.13176
-0.03416,0.0854,-0.13664,-0.11956,-0.10248,0.03416,0.08296,-0.0244,-0.18056,-0.16104,-0.20008,-0.13176
-0.03416,0.0854,-0.13664,-0.11956,-0.10248,0.03416,0.08296,-0.03416,-0.18056,-0.16104,-0.1952,-0.12688
