i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0,-0.03172,0.06344,0.06344,0.06344,-0.03172,-0.02928,1.08824,0.55144,0.244,0.15616,0.01464
-0.00488,-0.0244,0.05368,0.05612,0.05856,-0.03172,-0.02928,1.0736,0.54168,0.23424,0.1464,0.00976
-0.01464,-0.01464,0.04392,0.05124,0.05856,-0.0366,-0.03416,1.06872,0.53192,0.23912,0.14152,0.00488
-0.0244,-0.00488,0.03416,0.04636,0.05856,-0.04148,-0.03416,1.0492,0.52216,0.22448,0.14152,0
-0.0244,-0.00244,0.02928,0.04148,0.05368,-0.03904,-0.03416,1.03944,0.52216,0.22448,0.13664,-0.00488
-0.02928,0.00244,0.0244,0.03904,0.05368,-0.04148,-0.03416,1.03456,0.5124,0.2196,0.13176,-0.00488
-0.03416,0.00488,0.0244,0.04148,0.05856,-0.04636,-0.03904,1.03456,0.5124,0.2196,0.13176,-0.00488
-0.03416,0.00732,0.01952,0.0366,0.05368,-0.04392,-0.03904,1.02968,0.5124,0.21472,0.12688,-0.00976
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,-0.03904,1.0248,0.5124,0.21472,0.12688,-0.00976
-0.03416,0.00976,0.01464,0.03172,0.0488,-0.04148,-0.03904,1.01992,0.5124,0.21472,0.122,-0.00976
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,-0.03904,1.01504,0.51728,0.21472,0.122,-0.00976
-0.04392,0.01708,0.00976,0.03172,0.05368,-0.0488,-0.03904,1.01016,0.51728,0.21472,0.122,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03904,1.01016,0.51728,0.21472,0.122,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03904,1.00528,0.51728,0.2196,0.122,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03904,1.0004,0.51728,0.22448,0.122,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03904,0.99552,0.51728,0.22448,0.12688,-0.00976
-0.0488,0.01952,0.00976,0.03416,0.05856,-0.05368,-0.03904,0.99552,0.51728,0.22448,0.12688,-0.00976
-0.04392,0.01708,0.00976,0.03172,0.05368,-0.0488,-0.03904,0.99064,0.51728,0.22448,0.12688,-0.00976
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,-0.03904,0.99064,0.51728,0.22448,0.13176,-0.00976
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,-0.03904,0.99064,0.5124,0.22448,0.13176,-0.00976
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,-0.03904,0.99064,0.5124,0.22448,0.13176,-0.00976
-0.03416,0.01464,0.00488,0.02196,0.03904,-0.0366,-0.03904,0.98088,0.50752,0.22448,0.13176,-0.00488
-0.03416,0.01708,0,0.01708,0.03416,-0.03416,-0.03904,0.976,0.50264,0.22936,0.13176,-0.00488
-0.03416,0.01708,0,0.01708,0.03416,-0.03416,-0.03904,0.976,0.50264,0.22936,0.12688,-0.00488
-0.03416,0.01708,0,0.01708,0.03416,-0.03416,-0.03904,0.976,0.50264,0.22936,0.12688,-0.00488
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,-0.03904,0.976,0.50752,0.2196,0.12688,-0.00488
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,-0.03904,0.976,0.5124,0.22936,0.12688,-0.00488
-0.03416,0.01952,-0.00488,0.0122,0.02928,-0.03172,-0.03904,0.97112,0.5124,0.22936,0.13176,-0.00488
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.03904,0.97112,0.5124,0.22936,0.13664,-0.00488
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.03416,0.97112,0.50752,0.23424,0.13176,-0.00488
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,-0.03416,0.97112,0.50752,0.23912,0.13176,-0.00488
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.03416,0.97112,0.50752,0.23912,0.13176,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.03416,0.96624,0.50752,0.23912,0.13176,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.02928,0.96624,0.50752,0.23424,0.13176,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.02928,0.96136,0.5124,0.23424,0.13176,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.02928,0.95648,0.5124,0.23424,0.13176,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.02928,0.9516,0.5124,0.23424,0.13176,-0.00488
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.02928,0.9516,0.5124,0.23912,0.12688,-0.00488
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.02928,0.9516,0.5124,0.244,0.12688,-0.00488
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.02928,0.94672,0.50752,0.244,0.12688,-0.00488
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.02928,0.94184,0.50752,0.244,0.12688,-0.00488
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.02928,0.94184,0.50752,0.23912,0.12688,-0.00488
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,-0.02928,0.94184,0.50752,0.23912,0.12688,-0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.02928,0.93696,0.50264,0.23912,0.122,-0.00488
-0.02928,0.01464,0,0.01464,0.02928,-0.02928,-0.0244,0.93696,0.50264,0.23912,0.122,-0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.0244,0.93208,0.50264,0.23912,0.122,-0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,-0.0244,0.9272,0.50264,0.23912,0.122,-0.00488
-0.0244,0.01464,-0.00488,0.00732,0.01952,-0.02196,-0.0244,0.92232,0.50264,0.23912,0.11712,-0.00976
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.91744,0.50264,0.244,0.11712,-0.01464
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.91256,0.50264,0.244,0.11712,-0.01464
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.91256,0.50752,0.244,0.11712,-0.01464
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.90768,0.50264,0.244,0.11712,-0.01952
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.9028,0.50264,0.244,0.11712,-0.01952
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.89792,0.50264,0.23912,0.11224,-0.01952
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.0244,0.89304,0.50264,0.244,0.11224,-0.01952
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,-0.01952,0.88816,0.49776,0.23912,0.11224,-0.01952
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01952,0.88328,0.49776,0.23912,0.11224,-0.01464
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01952,0.88328,0.49288,0.22936,0.10736,-0.01464
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01952,0.8784,0.49288,0.22936,0.10736,-0.01952
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01952,0.87352,0.488,0.22936,0.10736,-0.01952
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01464,0.86864,0.48312,0.23424,0.10736,-0.01464
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01464,0.86376,0.48312,0.23424,0.11224,-0.01464
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,-0.01464,0.85888,0.48312,0.23912,0.11224,-0.01464
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01464,0.85888,0.48312,0.23912,0.11224,-0.0244
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.01464,0.86376,0.488,0.23912,0.11224,-0.01464
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.01464,0.84424,0.48312,0.22936,0.10736,-0.01464
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01952,0.8296,0.47824,0.22448,0.10736,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.01464,0.8296,0.47824,0.22448,0.10736,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00976,0.8296,0.47824,0.22448,0.10736,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00976,0.8296,0.47824,0.22448,0.10248,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00976,0.82472,0.47824,0.22448,0.0976,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00976,0.82472,0.47824,0.22448,0.0976,-0.01952
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,-0.01464,0.81984,0.47824,0.22448,0.0976,-0.01952
-0.00488,0,0.00488,0.00732,0.00976,-0.00732,-0.00976,0.81984,0.47824,0.22448,0.10736,-0.01952
0.00488,-0.0122,0.01952,0.01708,0.01464,-0.00488,0.00488,0.8296,0.488,0.23912,0.11712,-0.00976
0.00976,-0.0244,0.03904,0.03416,0.02928,-0.00976,0.01952,0.83936,0.50264,0.24888,0.11712,-0.00488
0.01464,-0.03172,0.0488,0.04148,0.03416,-0.00976,0.04392,0.84912,0.5124,0.25864,0.12688,0.00488
0.01952,-0.0366,0.05368,0.04392,0.03416,-0.00732,0.0488,0.84912,0.5124,0.26352,0.12688,0.00488
0.01952,-0.03904,0.05856,0.0488,0.03904,-0.00976,0.05856,0.84912,0.51728,0.26352,0.12688,0.00976
0.01952,-0.03904,0.05856,0.0488,0.03904,-0.00976,0.06344,0.854,0.51728,0.26352,0.12688,0.00976
0.02928,-0.04636,0.06344,0.0488,0.03416,-0.00244,0.0732,0.854,0.52704,0.27328,0.14152,0.01952
