i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03416,0.07564,-0.11712,-0.10004,-0.08296,0.0244,0.0488,-0.06344,-0.08784,-0.08296,-0.07808,-0.05856
-0.03416,0.06588,-0.0976,-0.08052,-0.06344,0.01464,0.04392,-0.06832,-0.0976,-0.09272,-0.09272,-0.06832
-0.03904,0.05368,-0.06832,-0.0488,-0.02928,-0.00488,0.03904,-0.0732,-0.0976,-0.09272,-0.08784,-0.06832
-0.03904,0.03904,-0.03904,-0.01952,0,-0.01952,0.0244,-0.07808,-0.08784,-0.08296,-0.0732,-0.06344
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.0244,-0.09272,-0.0732,-0.05856,-0.05368,-0.05368
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.02928,-0.08296,-0.0488,-0.01952,-0.00488,-0.0244
0.00976,-0.00976,0.00976,0.00488,0,0.00488,-0.00976,-0.10248,-0.06344,0.00976,0.03904,0
0.05856,-0.04148,0.0244,-0.00488,-0.03416,0.04636,-0.06344,-0.13176,-0.122,0.01464,0.09272,0.02928
0.15128,-0.07564,0,-0.07564,-0.15128,0.15128,-0.13664,-0.1708,-0.2196,0,0.14152,0.06344
0.28792,-0.11712,-0.05368,-0.19764,-0.3416,0.31476,-0.22448,-0.2196,-0.38552,-0.06344,0.19032,0.122
0.47336,-0.18056,-0.11224,-0.34892,-0.5856,0.52948,-0.32696,-0.28304,-0.64904,-0.20496,0.1952,0.1708
0.68808,-0.25864,-0.1708,-0.51484,-0.85888,0.77348,-0.4148,-0.32696,-0.96624,-0.41968,0.13176,0.20984
0.89304,-0.3294,-0.23424,-0.68076,-1.12728,1.01016,-0.49776,-0.3416,-1.28344,-0.6832,0.01952,0.20984
1.04432,-0.38064,-0.28304,-0.8052,-1.32736,1.18584,-0.51728,-0.31232,-1.49328,-0.89304,-0.13176,0.17568
1.12728,-0.39772,-0.33184,-0.89548,-1.45912,1.2932,-0.49288,-0.22448,-1.57136,-1.06384,-0.32696,0.08296
1.10776,-0.35624,-0.39528,-0.94916,-1.50304,1.3054,-0.40992,-0.10248,-1.55672,-1.16632,-0.53192,-0.06344
1.02968,-0.28548,-0.45872,-0.97356,-1.4884,1.25904,-0.30256,-0.00488,-1.46888,-1.19072,-0.68808,-0.20008
0.90768,-0.21472,-0.47824,-0.93208,-1.38592,1.1468,-0.22448,0.06344,-1.35176,-1.17608,-0.79056,-0.3416
0.79544,-0.183,-0.42944,-0.82716,-1.22488,1.01016,-0.18056,0.06344,-1.1956,-1.08336,-0.78568,-0.3904
0.6832,-0.15616,-0.37088,-0.71248,-1.05408,0.86864,-0.1464,0.06832,-0.99064,-0.91744,-0.7076,-0.38552
0.57584,-0.13664,-0.30256,-0.59048,-0.8784,0.72712,-0.12688,0.03904,-0.79056,-0.75152,-0.5856,-0.3416
0.45384,-0.10736,-0.23912,-0.46604,-0.69296,0.5734,-0.10736,0.00488,-0.59536,-0.5612,-0.45384,-0.2684
0.32208,-0.06588,-0.19032,-0.35136,-0.5124,0.41724,-0.0732,-0.03416,-0.40504,-0.38552,-0.30256,-0.1708
0.1952,-0.0244,-0.1464,-0.244,-0.3416,0.2684,-0.04392,-0.05368,-0.27328,-0.26352,-0.20984,-0.122
0.0976,0.01464,-0.12688,-0.17568,-0.22448,0.16104,0.00976,-0.05368,-0.1708,-0.16592,-0.14152,-0.07808
0.02928,0.04392,-0.11712,-0.13176,-0.1464,0.08784,0.02928,-0.0488,-0.122,-0.122,-0.11224,-0.0732
-0.00488,0.05612,-0.10736,-0.10492,-0.10248,0.0488,0.03416,-0.04392,-0.08784,-0.10736,-0.09272,-0.06832
-0.01464,0.05612,-0.0976,-0.09028,-0.08296,0.03416,0.03904,-0.04392,-0.07808,-0.0976,-0.09272,-0.06832
-0.01464,0.05368,-0.09272,-0.0854,-0.07808,0.03172,0.03904,-0.04392,-0.06344,-0.08784,-0.07808,-0.06832
-0.01952,0.04636,-0.0732,-0.06344,-0.05368,0.01708,0.03904,-0.0488,-0.06344,-0.08296,-0.07808,-0.06344
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.02928,-0.06344,-0.06832,-0.08296,-0.08296,-0.07808
-0.03904,0.01464,0.00976,0.02928,0.0488,-0.04392,0.01952,-0.0732,-0.07808,-0.09272,-0.08296,-0.08784
-0.0488,0.0244,0,0.0244,0.0488,-0.0488,0.00976,-0.0732,-0.08784,-0.0976,-0.08296,-0.09272
-0.05856,0.02928,0,0.02928,0.05856,-0.05856,0.00976,-0.06832,-0.08296,-0.0976,-0.08296,-0.08784
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.02928,-0.05856,-0.06832,-0.08296,-0.0732,-0.07808
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.03904,-0.0488,-0.05368,-0.0732,-0.06344,-0.06832
-0.05856,0.06344,-0.06832,-0.03904,-0.00976,-0.0244,0.0488,-0.03416,-0.0488,-0.06344,-0.05368,-0.05368
-0.05856,0.06832,-0.07808,-0.0488,-0.01952,-0.01952,0.04392,-0.02928,-0.03904,-0.06344,-0.05368,-0.05368
-0.05856,0.0732,-0.08784,-0.05856,-0.02928,-0.01464,0.04392,-0.01952,-0.03416,-0.05368,-0.04392,-0.04392
-0.05856,0.07564,-0.09272,-0.06344,-0.03416,-0.0122,0.0488,-0.01952,-0.02928,-0.05368,-0.04392,-0.04392
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.03904,-0.02928,-0.03904,-0.05368,-0.0488,-0.03904
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.03904,-0.0244,-0.03416,-0.05368,-0.04392,-0.03904
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.02928,-0.03416,-0.03416,-0.05368,-0.0488,-0.0488
