i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.08784,0.07564,-0.06344,-0.01952,0.0244,-0.05612,0.02928,-0.11224,-0.1464,-0.122,-0.10736,-0.08784
-0.08296,0.07076,-0.05856,-0.01708,0.0244,-0.05368,0.01464,-0.11224,-0.14152,-0.122,-0.0976,-0.08784
-0.06832,0.06344,-0.05856,-0.0244,0.00976,-0.03904,0.00976,-0.11224,-0.13176,-0.122,-0.09272,-0.08784
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.01952,-0.122,-0.13664,-0.122,-0.10248,-0.08784
-0.0732,0.06588,-0.05856,-0.02196,0.01464,-0.04392,0.01952,-0.11712,-0.13664,-0.122,-0.10736,-0.08784
-0.08296,0.07076,-0.05856,-0.01708,0.0244,-0.05368,0.01464,-0.11224,-0.14152,-0.11712,-0.10736,-0.08784
-0.09272,0.07564,-0.05856,-0.0122,0.03416,-0.06344,0.01464,-0.11224,-0.14152,-0.122,-0.10248,-0.08784
-0.09272,0.07564,-0.05856,-0.0122,0.03416,-0.06344,0.00488,-0.11224,-0.14152,-0.122,-0.10736,-0.08784
-0.08784,0.07076,-0.05368,-0.00976,0.03416,-0.061,-0.00976,-0.11224,-0.13664,-0.122,-0.10736,-0.08296
-0.0976,0.08052,-0.06344,-0.01464,0.03416,-0.06588,0,-0.11224,-0.12688,-0.11712,-0.0976,-0.08784
-0.10248,0.0854,-0.06832,-0.01708,0.03416,-0.06832,0.01464,-0.11712,-0.13176,-0.122,-0.0976,-0.09272
-0.07808,0.06832,-0.05856,-0.01952,0.01952,-0.0488,0.0488,-0.11712,-0.13176,-0.10736,-0.0976,-0.08296
-0.07808,0.06588,-0.05368,-0.01464,0.0244,-0.05124,0.03904,-0.11712,-0.13176,-0.11224,-0.0976,-0.07808
-0.07808,0.061,-0.04392,-0.00488,0.03416,-0.05612,0.03416,-0.11712,-0.13664,-0.12688,-0.10736,-0.08784
