i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.06344,0.0366,-0.00976,0.02196,0.05368,-0.05856,0.00976,0,0,-0.02928,-0.0244,-0.02928
-0.05856,0.03172,-0.00488,0.0244,0.05368,-0.05612,0,0.00488,0.00488,-0.02928,-0.01952,-0.0244
-0.04392,0.01952,0.00488,0.02684,0.0488,-0.04636,-0.00488,0.00488,0.01952,-0.00976,-0.01464,-0.0244
-0.03904,0.01708,0.00488,0.0244,0.04392,-0.04148,0,0,0.03416,-0.00976,-0.00976,-0.03416
-0.0488,0.0244,0,0.0244,0.0488,-0.0488,0.00488,0,0.0244,-0.0244,-0.01464,-0.0244
-0.0488,0.02928,-0.00976,0.01464,0.03904,-0.04392,-0.00488,0,0,-0.0488,-0.02928,-0.02928
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,-0.0244,0.00488,0,-0.04392,-0.02928,-0.02928
-0.03416,0.01464,0.00488,0.02196,0.03904,-0.0366,-0.05856,-0.00488,0.01464,-0.03416,-0.01952,-0.01464
-0.03416,0.00244,0.02928,0.04636,0.06344,-0.0488,-0.0732,-0.01952,0.00488,-0.03416,-0.00488,0
-0.0244,0,0.0244,0.0366,0.0488,-0.0366,-0.07808,-0.03904,-0.00488,-0.04392,-0.01464,-0.00976
-0.03416,0.0122,0.00976,0.02684,0.04392,-0.03904,-0.07808,-0.05368,-0.01952,-0.05856,-0.01952,-0.01464
-0.02928,0.0122,0.00488,0.01952,0.03416,-0.03172,-0.08296,-0.05368,-0.01952,-0.05368,-0.01952,-0.01464
-0.01464,0.00244,0.00976,0.01708,0.0244,-0.01952,-0.09272,-0.06344,-0.02928,-0.06344,-0.01952,-0.01464
-0.01464,0.00732,0,0.00732,0.01464,-0.01464,-0.08784,-0.06344,-0.03416,-0.06344,-0.02928,-0.01952
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.08784,-0.06344,-0.04392,-0.0732,-0.03904,-0.03416
-0.03904,0.04392,-0.0488,-0.02928,-0.00976,-0.01464,-0.07808,-0.06344,-0.05856,-0.08784,-0.0488,-0.0488
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,-0.06832,-0.0732,-0.05856,-0.0976,-0.05856,-0.03904
-0.04392,0.04392,-0.04392,-0.02196,0,-0.02196,-0.05856,-0.06832,-0.04392,-0.08784,-0.05856,-0.03416
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,-0.05368,-0.05368,-0.05368,-0.08784,-0.0488,-0.04392
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,-0.0488,-0.05368,-0.05368,-0.08784,-0.05368,-0.04392
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,-0.05368,-0.04392,-0.04392,-0.08784,-0.05368,-0.03904
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,-0.0488,-0.0488,-0.04392,-0.09272,-0.06344,-0.05368
-0.06832,0.07076,-0.0732,-0.03904,-0.00488,-0.03172,-0.03904,-0.0488,-0.05368,-0.10248,-0.0732,-0.06344
-0.07808,0.08052,-0.08296,-0.04392,-0.00488,-0.0366,-0.03904,-0.0488,-0.05368,-0.10248,-0.07808,-0.06344
-0.08296,0.08296,-0.08296,-0.04148,0,-0.04148,-0.03416,-0.0488,-0.05368,-0.11712,-0.07808,-0.0732
-0.08784,0.0854,-0.08296,-0.03904,0.00488,-0.04636,-0.03416,-0.0488,-0.05856,-0.11712,-0.08296,-0.07808
-0.08784,0.0854,-0.08296,-0.03904,0.00488,-0.04636,-0.0244,-0.0488,-0.04392,-0.0976,-0.0732,-0.06832
-0.0976,0.09028,-0.08296,-0.03416,0.01464,-0.05612,-0.0244,-0.0488,-0.03416,-0.09272,-0.06344,-0.06344
-0.08784,0.08296,-0.07808,-0.03416,0.00976,-0.0488,-0.02928,-0.0488,-0.0488,-0.10248,-0.07808,-0.05856
-0.08784,0.08296,-0.07808,-0.03416,0.00976,-0.0488,-0.02928,-0.0488,-0.05368,-0.11224,-0.07808,-0.06344
-0.08784,0.09272,-0.0976,-0.05368,-0.00976,-0.03904,-0.01464,-0.04392,-0.0488,-0.10248,-0.08296,-0.07808
-0.0976,0.10248,-0.10736,-0.05856,-0.00976,-0.04392,-0.01464,-0.04392,-0.02928,-0.10248,-0.07808,-0.07808
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,-0.00976,-0.04392,-0.02928,-0.09272,-0.07808,-0.06832
-0.11712,0.10736,-0.0976,-0.03904,0.01952,-0.06832,-0.00488,-0.04392,-0.02928,-0.09272,-0.07808,-0.06344
-0.11712,0.1098,-0.10248,-0.04392,0.01464,-0.06588,0.00488,-0.04392,-0.03416,-0.10248,-0.07808,-0.06344
-0.11712,0.10736,-0.0976,-0.03904,0.01952,-0.06832,0.00488,-0.04392,-0.03416,-0.10736,-0.08296,-0.0732
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,-0.00488,-0.05368,-0.04392,-0.122,-0.09272,-0.08296
-0.10736,0.10492,-0.10248,-0.0488,0.00488,-0.05612,0,-0.05856,-0.05368,-0.13176,-0.0976,-0.08784
-0.10736,0.10248,-0.0976,-0.04392,0.00976,-0.05856,0,-0.0488,-0.03904,-0.11224,-0.08296,-0.08296
-0.10736,0.10004,-0.09272,-0.03904,0.01464,-0.061,0.00488,-0.04392,-0.03416,-0.10248,-0.08296,-0.0732
-0.10248,0.09516,-0.08784,-0.0366,0.01464,-0.05856,0.01464,-0.04392,-0.05856,-0.122,-0.10248,-0.0732
-0.11224,0.10492,-0.0976,-0.04148,0.01464,-0.06344,0.01952,-0.04392,-0.0488,-0.13176,-0.10736,-0.07808
-0.15128,0.12932,-0.10736,-0.03172,0.04392,-0.0976,0.06832,0.01952,0.01464,-0.0976,-0.09272,-0.08784
-0.20008,0.14396,-0.08784,0.0122,0.11224,-0.15616,0.14152,0.08784,0.08784,-0.0488,-0.0732,-0.08784
-0.19032,0.12932,-0.06832,0.02684,0.122,-0.15616,0.15128,0.13664,0.12688,-0.01952,-0.0488,-0.0732
-0.122,0.07076,-0.01952,0.04148,0.10248,-0.11224,0.12688,0.1464,0.15128,0.0244,-0.00976,-0.03416
-0.01464,0,0.01464,0.02196,0.02928,-0.02196,0.0732,0.18056,0.20496,0.10736,0.0732,0.03904
0.16592,-0.10736,0.0488,-0.03416,-0.11712,0.14152,-0.01464,0.22448,0.22936,0.16592,0.17568,0.13176
0.39528,-0.23912,0.08296,-0.11468,-0.31232,0.3538,-0.12688,0.27328,0.28304,0.28792,0.28792,0.23912
0.6832,-0.44896,0.21472,-0.12688,-0.46848,0.57584,-0.28304,0.40016,0.38552,0.45872,0.48312,0.41968
0.9272,-0.66856,0.40992,-0.05368,-0.51728,0.72224,-0.4636,0.33184,0.51728,0.69296,0.73688,0.67344
1.12728,-0.82228,0.51728,-0.04636,-0.61,0.86864,-0.64416,0.11712,0.4636,0.75152,0.87352,0.81984
1.098,-0.7564,0.4148,-0.1342,-0.6832,0.8906,-0.65392,-0.0488,0.24888,0.53192,0.69296,0.69784
0.86864,-0.5978,0.32696,-0.10736,-0.54168,0.70516,-0.5368,-0.16104,0.06832,0.26352,0.4148,0.49776
0.60512,-0.43188,0.25864,-0.04392,-0.34648,0.4758,-0.41968,-0.29768,-0.08784,0.06344,0.22448,0.3416
0.34648,-0.2684,0.19032,0.01708,-0.15616,0.25132,-0.24888,-0.3172,-0.18056,-0.06832,0.10736,0.23424
