i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.08784,-0.09272,0.0976,0.05368,0.00976,0.03904,-0.00488,0.40992,0.36112,0.16104,0.05368,-0.02928
0.09272,-0.09272,0.09272,0.04636,0,0.04636,-0.00488,0.40504,0.366,0.15616,0.05856,-0.0244
0.09272,-0.09028,0.08784,0.04148,-0.00488,0.0488,-0.01464,0.40016,0.37088,0.1464,0.0488,-0.02928
0.09272,-0.09272,0.09272,0.04636,0,0.04636,-0.01952,0.40016,0.35624,0.1464,0.0488,-0.02928
0.08784,-0.09516,0.10248,0.05856,0.01464,0.0366,-0.01952,0.39528,0.366,0.14152,0.05368,-0.0244
0.09272,-0.10004,0.10736,0.061,0.01464,0.03904,-0.02928,0.39528,0.35624,0.14152,0.05368,-0.0244
0.09272,-0.10736,0.122,0.07564,0.02928,0.03172,-0.04392,0.37576,0.33672,0.12688,0.0488,-0.02928
0.08784,-0.10736,0.12688,0.08296,0.03904,0.0244,-0.0488,0.36112,0.3172,0.12688,0.04392,-0.0244
0.08784,-0.11468,0.14152,0.0976,0.05368,0.01708,-0.05856,0.34648,0.28792,0.09272,0.0244,-0.02928
0.08296,-0.11224,0.14152,0.10004,0.05856,0.0122,-0.06832,0.30256,0.2684,0.08296,0.01952,-0.02928
0.0732,-0.10004,0.12688,0.09028,0.05368,0.00976,-0.06832,0.2928,0.2684,0.08296,0.02928,-0.02928
0.05856,-0.09272,0.12688,0.0976,0.06832,-0.00488,-0.07808,0.25864,0.23424,0.08296,0.01952,-0.03416
0.04392,-0.07808,0.11224,0.09028,0.06832,-0.0122,-0.08784,0.22448,0.21472,0.0732,0.01464,-0.03416
0.03416,-0.0732,0.11224,0.09516,0.07808,-0.02196,-0.09272,0.20008,0.18056,0.06344,0.00976,-0.03904
0.0244,-0.06832,0.11224,0.10004,0.08784,-0.03172,-0.09272,0.17568,0.16592,0.05368,-0.00976,-0.0488
0.00976,-0.05612,0.10248,0.0976,0.09272,-0.04148,-0.10248,0.15128,0.12688,0.03416,-0.01952,-0.05368
0,-0.05124,0.10248,0.10248,0.10248,-0.05124,-0.11224,0.122,0.10248,0.00976,-0.02928,-0.06344
0,-0.0488,0.0976,0.0976,0.0976,-0.0488,-0.11224,0.10248,0.09272,0.00488,-0.03416,-0.06832
-0.01952,-0.0366,0.09272,0.10248,0.11224,-0.06588,-0.11712,0.07808,0.07808,0,-0.04392,-0.06344
-0.0244,-0.03416,0.09272,0.10492,0.11712,-0.07076,-0.11712,0.0732,0.06832,-0.00976,-0.05368,-0.0732
-0.03416,-0.03416,0.10248,0.11956,0.13664,-0.0854,-0.122,0.04392,0.04392,-0.02928,-0.05856,-0.09272
-0.03416,-0.0366,0.10736,0.12444,0.14152,-0.08784,-0.122,0.03416,0.03416,-0.03416,-0.0732,-0.0976
-0.03904,-0.02196,0.08296,0.10248,0.122,-0.08052,-0.11712,0.02928,0.03416,-0.02928,-0.06832,-0.09272
-0.04392,-0.00488,0.05368,0.07564,0.0976,-0.07076,-0.11224,0.03416,0.0244,-0.03416,-0.06832,-0.08784
-0.0488,0.00732,0.03416,0.05856,0.08296,-0.06588,-0.11224,0.02928,0.00976,-0.0488,-0.06832,-0.08784
-0.05368,0.00488,0.04392,0.07076,0.0976,-0.07564,-0.11224,0.0244,0.00976,-0.05856,-0.06832,-0.09272
-0.0488,0,0.0488,0.0732,0.0976,-0.0732,-0.122,0.00488,0.00488,-0.06344,-0.07808,-0.0976
-0.04392,-0.00488,0.05368,0.07564,0.0976,-0.07076,-0.122,0.00976,-0.00976,-0.05856,-0.08296,-0.10736
-0.04392,-0.00976,0.06344,0.0854,0.10736,-0.07564,-0.122,-0.00488,-0.01952,-0.0488,-0.0732,-0.11712
-0.04392,-0.00976,0.06344,0.0854,0.10736,-0.07564,-0.122,0.00488,-0.01952,-0.0488,-0.07808,-0.11224
-0.03416,-0.00976,0.05368,0.07076,0.08784,-0.061,-0.122,0.00976,-0.02928,-0.05856,-0.08296,-0.10736
-0.03416,-0.0122,0.05856,0.07564,0.09272,-0.06344,-0.12688,0.00488,-0.03416,-0.06832,-0.08784,-0.11224
-0.03416,-0.0122,0.05856,0.07564,0.09272,-0.06344,-0.11712,0,-0.02928,-0.06344,-0.08784,-0.10248
-0.03416,-0.00976,0.05368,0.07076,0.08784,-0.061,-0.11712,0.00976,-0.02928,-0.06832,-0.08784,-0.0976
-0.02928,-0.01708,0.06344,0.07808,0.09272,-0.061,-0.12688,0.01464,-0.03904,-0.06344,-0.08784,-0.10736
-0.02928,-0.01708,0.06344,0.07808,0.09272,-0.061,-0.122,0.01952,-0.03904,-0.06832,-0.08784,-0.10736
-0.03416,-0.00732,0.0488,0.06588,0.08296,-0.05856,-0.122,0.01464,-0.03904,-0.05856,-0.08784,-0.10736
-0.03416,-0.00976,0.05368,0.07076,0.08784,-0.061,-0.122,0.01464,-0.03904,-0.05856,-0.08784,-0.10736
-0.03416,-0.01464,0.06344,0.08052,0.0976,-0.06588,-0.122,0.01464,-0.03904,-0.05856,-0.09272,-0.10248
-0.03416,-0.01952,0.0732,0.09028,0.10736,-0.07076,-0.122,0.01464,-0.04392,-0.05856,-0.08784,-0.10248
-0.04392,-0.00976,0.06344,0.0854,0.10736,-0.07564,-0.11224,0.0244,-0.03904,-0.05368,-0.08784,-0.10248
-0.04392,-0.00976,0.06344,0.0854,0.10736,-0.07564,-0.11224,0.0244,-0.03416,-0.05368,-0.08296,-0.10248
-0.03416,0,0.03416,0.05124,0.06832,-0.05124,-0.10736,0.02928,-0.03904,-0.05368,-0.08296,-0.10736
-0.03904,-0.00244,0.04392,0.06344,0.08296,-0.061,-0.11224,0.02928,-0.03904,-0.05368,-0.08784,-0.10736
-0.03904,-0.00244,0.04392,0.06344,0.08296,-0.061,-0.10736,0.0244,-0.03904,-0.06344,-0.08784,-0.0976
-0.03416,-0.00732,0.0488,0.06588,0.08296,-0.05856,-0.10248,0.01952,-0.03904,-0.05856,-0.08296,-0.0976
-0.02928,-0.01464,0.05856,0.0732,0.08784,-0.05856,-0.122,0.01464,-0.03904,-0.06832,-0.09272,-0.10736
-0.0244,-0.02684,0.07808,0.09028,0.10248,-0.06344,-0.122,0.00976,-0.0488,-0.06832,-0.0976,-0.10736
-0.0244,-0.0244,0.0732,0.0854,0.0976,-0.061,-0.10736,0.01952,-0.03904,-0.0488,-0.08784,-0.10736
