i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.08784,-0.0976,0.10736,0.06344,0.01952,0.03416,-0.03904,0.22448,0.25864,0.16104,0.13664,0.11712
0.0976,-0.09516,0.09272,0.04392,-0.00488,0.05124,-0.02928,0.23424,0.27816,0.17568,0.15616,0.13176
0.10248,-0.09516,0.08784,0.0366,-0.01464,0.05856,-0.03904,0.25376,0.2928,0.18544,0.16592,0.14152
0.11224,-0.10492,0.0976,0.04148,-0.01464,0.06344,-0.05368,0.26352,0.30256,0.1952,0.17568,0.15128
0.11712,-0.11468,0.11224,0.05368,-0.00488,0.061,-0.05856,0.2684,0.30744,0.21472,0.1952,0.16592
0.11712,-0.122,0.12688,0.06832,0.00976,0.05368,-0.06344,0.27328,0.3172,0.22936,0.20008,0.16592
0.12688,-0.1342,0.14152,0.07808,0.01464,0.05612,-0.06832,0.2684,0.33184,0.23912,0.20984,0.17568
0.12688,-0.13664,0.1464,0.08296,0.01952,0.05368,-0.07808,0.27328,0.3416,0.244,0.21472,0.1952
0.13664,-0.14152,0.1464,0.07808,0.00976,0.06344,-0.0732,0.2684,0.35136,0.25864,0.22936,0.20984
0.13664,-0.1342,0.13176,0.06344,-0.00488,0.07076,-0.07808,0.27816,0.35136,0.25376,0.244,0.21472
0.1464,-0.1464,0.1464,0.0732,0,0.0732,-0.08296,0.2684,0.35136,0.25376,0.244,0.22448
0.13664,-0.1464,0.15616,0.08784,0.01952,0.05856,-0.09272,0.26352,0.35624,0.25864,0.25376,0.22448
0.14152,-0.14884,0.15616,0.0854,0.01464,0.06344,-0.09272,0.26352,0.35624,0.2684,0.25376,0.2196
0.15616,-0.16348,0.1708,0.09272,0.01464,0.07076,-0.11224,0.25376,0.35136,0.2684,0.24888,0.22936
0.15128,-0.15616,0.16104,0.0854,0.00976,0.07076,-0.10736,0.25376,0.35136,0.2684,0.25376,0.23424
0.15616,-0.16348,0.1708,0.09272,0.01464,0.07076,-0.10736,0.25864,0.35136,0.2684,0.24888,0.22936
0.16592,-0.17324,0.18056,0.0976,0.01464,0.07564,-0.11224,0.244,0.35136,0.2684,0.24888,0.22936
0.15616,-0.17324,0.19032,0.11224,0.03416,0.061,-0.11712,0.22448,0.34648,0.26352,0.244,0.2196
0.15616,-0.16836,0.18056,0.10248,0.0244,0.06588,-0.11712,0.2196,0.3416,0.25864,0.23912,0.22448
0.1464,-0.15128,0.15616,0.08296,0.00976,0.06832,-0.10736,0.22448,0.33672,0.26352,0.24888,0.22936
0.1464,-0.1464,0.1464,0.0732,0,0.0732,-0.10736,0.20496,0.32208,0.25376,0.23424,0.2196
0.1464,-0.1342,0.122,0.0488,-0.0244,0.0854,-0.0976,0.19032,0.32208,0.25376,0.22936,0.22448
0.13664,-0.12444,0.11224,0.04392,-0.0244,0.08052,-0.09272,0.1708,0.29768,0.244,0.2196,0.20984
0.122,-0.11956,0.11712,0.05612,-0.00488,0.06344,-0.0976,0.16104,0.28304,0.22936,0.20008,0.19032
0.10736,-0.10736,0.10736,0.05368,0,0.05368,-0.09272,0.1464,0.25864,0.22448,0.18544,0.18056
0.10736,-0.10004,0.09272,0.03904,-0.01464,0.061,-0.08784,0.13176,0.24888,0.21472,0.18056,0.16592
0.0976,-0.09516,0.09272,0.04392,-0.00488,0.05124,-0.08784,0.11224,0.2196,0.18544,0.16104,0.14152
0.0732,-0.07564,0.07808,0.04148,0.00488,0.03416,-0.08296,0.09272,0.18544,0.1708,0.14152,0.12688
0.06832,-0.06832,0.06832,0.03416,0,0.03416,-0.07808,0.07808,0.15616,0.15128,0.13176,0.11712
0.06344,-0.05856,0.05368,0.02196,-0.00976,0.0366,-0.06344,0.06344,0.15128,0.14152,0.11224,0.0976
0.0488,-0.0488,0.0488,0.0244,0,0.0244,-0.06344,0.0488,0.122,0.122,0.0976,0.08296
0.04392,-0.0366,0.02928,0.00732,-0.01464,0.02928,-0.05368,0.02928,0.10736,0.0976,0.08784,0.06832
0.03416,-0.02684,0.01952,0.00244,-0.01464,0.0244,-0.0488,0.0244,0.08784,0.09272,0.06832,0.06344
0.0244,-0.02196,0.01952,0.00732,-0.00488,0.01464,-0.05856,0.01464,0.06344,0.0732,0.04392,0.0488
0.01952,-0.02928,0.03904,0.02928,0.01952,0,-0.05368,0.00488,0.05856,0.06344,0.03904,0.03904
0.01464,-0.0122,0.00976,0.00244,-0.00488,0.00976,-0.03416,0.01464,0.06344,0.06344,0.05368,0.0488
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,-0.01952,0.01952,0.06832,0.06344,0.0488,0.0488
-0.00976,0.01952,-0.02928,-0.0244,-0.01952,0.00488,-0.01952,0.01464,0.0488,0.05368,0.04392,0.03416
