i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.85888,-0.92476,0.99064,0.5612,0.13176,0.36356,-0.60024,-0.55144,0.36112,0.91744,1.1224,1.1224
0.82472,-0.99552,1.16632,0.75396,0.3416,0.24156,-0.70272,-0.86376,0.28304,1.01504,1.3176,1.342
0.5124,-0.87108,1.22976,0.97356,0.71736,-0.10248,-0.6832,-1.2932,0.06344,0.87352,1.26392,1.2932
0.23424,-0.52704,0.81984,0.70272,0.5856,-0.17568,-0.58072,-1.464,-0.41968,0.20984,0.68808,0.79544
0.09272,-0.25132,0.40992,0.36356,0.3172,-0.11224,-0.488,-1.28832,-0.76616,-0.40016,0.10736,0.2928
0.0244,-0.10736,0.19032,0.17812,0.16592,-0.07076,-0.40016,-0.90768,-0.57096,-0.35136,-0.00488,0.122
0,-0.03172,0.06344,0.06344,0.06344,-0.03172,-0.29768,-0.60024,-0.42456,-0.2928,-0.05368,0.0244
-0.03904,-0.00732,0.05368,0.0732,0.09272,-0.06588,-0.18544,-0.39528,-0.26352,-0.1952,-0.04392,0
-0.04392,0.00732,0.02928,0.05124,0.0732,-0.05856,-0.122,-0.28304,-0.20496,-0.18056,-0.0732,-0.03904
-0.09272,0.08052,-0.06832,-0.02196,0.0244,-0.05856,-0.0488,-0.16104,-0.1464,-0.16592,-0.0732,-0.06832
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0,-0.05856,-0.08784,-0.11712,-0.07808,-0.05856
-0.02928,0.0366,-0.04392,-0.02928,-0.01464,-0.00732,0.0244,-0.02928,-0.05368,-0.11224,-0.06832,-0.05368
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.03416,-0.0244,-0.05856,-0.10248,-0.06832,-0.06832
-0.06832,0.06344,-0.05856,-0.0244,0.00976,-0.03904,0.03904,-0.00488,-0.05368,-0.11224,-0.08296,-0.0976
-0.05856,0.05856,-0.05856,-0.02928,0,-0.02928,0.04392,0.01464,-0.04392,-0.11712,-0.07808,-0.09272
-0.06344,0.06588,-0.06832,-0.0366,-0.00488,-0.02928,0.0488,0.01464,-0.0488,-0.11224,-0.08296,-0.09272
-0.07808,0.08296,-0.08784,-0.0488,-0.00976,-0.03416,0.0488,0.01464,-0.0488,-0.11224,-0.08784,-0.10248
-0.06832,0.07808,-0.08784,-0.05368,-0.01952,-0.0244,0.06344,0.03904,-0.04392,-0.10248,-0.08784,-0.10248
-0.0732,0.08296,-0.09272,-0.05612,-0.01952,-0.02684,0.06344,0.03904,-0.04392,-0.10248,-0.09272,-0.10736
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.06832,0.03904,-0.03416,-0.10248,-0.07808,-0.09272
-0.06344,0.07808,-0.09272,-0.061,-0.02928,-0.01708,0.06832,0.03904,-0.03416,-0.0976,-0.07808,-0.08784
-0.05368,0.06832,-0.08296,-0.05612,-0.02928,-0.0122,0.06344,0.0488,-0.0244,-0.09272,-0.08296,-0.10736
-0.05368,0.06588,-0.07808,-0.05124,-0.0244,-0.01464,0.06344,0.05368,-0.0244,-0.0976,-0.08296,-0.10248
-0.0488,0.061,-0.0732,-0.0488,-0.0244,-0.0122,0.06344,0.05368,-0.01952,-0.08296,-0.07808,-0.09272
-0.0488,0.061,-0.0732,-0.0488,-0.0244,-0.0122,0.05856,0.05368,-0.01952,-0.08296,-0.07808,-0.09272
-0.0488,0.06344,-0.07808,-0.05368,-0.02928,-0.00976,0.06344,0.0488,-0.01952,-0.09272,-0.0732,-0.09272
-0.06344,0.0732,-0.08296,-0.05124,-0.01952,-0.02196,0.06832,0.05368,-0.01952,-0.09272,-0.07808,-0.09272
-0.06832,0.07808,-0.08784,-0.05368,-0.01952,-0.0244,0.06832,0.05368,-0.0244,-0.08784,-0.08784,-0.0976
-0.07808,0.08296,-0.08784,-0.0488,-0.00976,-0.03416,0.05856,0.05368,-0.01952,-0.08296,-0.08296,-0.10248
-0.05368,0.06344,-0.0732,-0.04636,-0.01952,-0.01708,0.0732,0.05856,-0.00976,-0.0732,-0.07808,-0.09272
-0.02928,0.04392,-0.05856,-0.04392,-0.02928,0,0.0732,0.06344,-0.00976,-0.06832,-0.06344,-0.08296
-0.03904,0.05124,-0.06344,-0.04392,-0.0244,-0.00732,0.06344,0.06344,-0.00488,-0.08784,-0.06832,-0.08296
-0.0488,0.05856,-0.06832,-0.04392,-0.01952,-0.01464,0.06344,0.05856,-0.00488,-0.0732,-0.0732,-0.08296
-0.06344,0.06832,-0.0732,-0.04148,-0.00976,-0.02684,0.0488,0.06344,-0.00488,-0.07808,-0.06832,-0.08784
-0.0732,0.08296,-0.09272,-0.05612,-0.01952,-0.02684,0.0488,0.06344,-0.00488,-0.07808,-0.06832,-0.08784
-0.0732,0.08052,-0.08784,-0.05124,-0.01464,-0.02928,0.05856,0.07808,0,-0.06832,-0.06832,-0.08296
-0.06344,0.0732,-0.08296,-0.05124,-0.01952,-0.02196,0.05368,0.08296,0,-0.06344,-0.06832,-0.08296
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,0.05856,0.07808,0.00488,-0.06344,-0.06344,-0.07808
-0.0488,0.05612,-0.06344,-0.03904,-0.01464,-0.01708,0.05368,0.07808,0.00488,-0.06344,-0.06344,-0.07808
-0.04392,0.05124,-0.05856,-0.0366,-0.01464,-0.01464,0.05368,0.09272,0.01464,-0.05856,-0.06344,-0.06832
-0.05856,0.06588,-0.0732,-0.04392,-0.01464,-0.02196,0.05856,0.10248,0.01464,-0.05368,-0.05856,-0.06832
-0.0488,0.05612,-0.06344,-0.03904,-0.01464,-0.01708,0.0488,0.09272,0.01952,-0.0488,-0.05368,-0.0732
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.05368,0.0976,0.01952,-0.04392,-0.05368,-0.0732
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.06344,0.11224,0.0244,-0.02928,-0.04392,-0.06344
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0.05856,0.122,0.02928,-0.03416,-0.04392,-0.06344
