i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
0.06344,0.04392,-0.15128,-0.183,-0.21472,0.13908,0.21472,0.35136,-0.03904,-0.23912,-0.24888,-0.25864
0.05856,-0.00244,-0.05368,-0.08296,-0.11224,0.0854,0.1952,0.34648,0.122,-0.03416,-0.10248,-0.15128
0.0732,-0.08052,0.08784,0.05124,0.01464,0.02928,0.15616,0.4392,0.37088,0.33672,0.18544,0.06344
0.10248,-0.2196,0.33672,0.28548,0.23424,-0.06588,0.0244,0.34648,0.732,0.96136,0.61976,0.38064
0.16104,-0.3782,0.59536,0.51484,0.43432,-0.13664,-0.16592,0.05856,1.06872,1.6104,1.10776,0.74176
0.30744,-0.53924,0.77104,0.61732,0.4636,-0.07808,-0.44408,-0.3172,1.22488,2.15208,1.55672,1.10288
0.28792,-0.61732,0.94672,0.80276,0.6588,-0.18544,-0.63928,-0.69784,1.22,2.3912,1.86904,1.4152
0.22448,-0.59292,0.96136,0.84912,0.73688,-0.2562,-0.8296,-1.53232,0.75152,1.89344,1.7568,1.46888
0.13664,-0.42212,0.7076,0.63928,0.57096,-0.21716,-0.78568,-1.89832,-0.00488,0.69784,1.15168,1.18584
0.19032,-0.2928,0.39528,0.30012,0.20496,-0.00732,-0.69296,-1.69824,-0.48312,-0.07808,0.6344,0.86376
0.07808,-0.20252,0.32696,0.28792,0.24888,-0.0854,-0.55632,-1.29808,-0.43432,-0.11712,0.51728,0.76616
0.02928,-0.15128,0.27328,0.25864,0.244,-0.10736,-0.40504,-0.92232,-0.3172,-0.09272,0.40504,0.63928
-0.01952,-0.0976,0.21472,0.22448,0.23424,-0.12688,-0.25864,-0.5856,-0.22448,-0.10736,0.23912,0.40504
-0.03416,-0.03904,0.11224,0.12932,0.1464,-0.09028,-0.122,-0.3172,-0.15616,-0.10736,0.122,0.23912
-0.03416,-0.01952,0.0732,0.09028,0.10736,-0.07076,-0.01464,-0.13664,-0.08784,-0.11224,0.03904,0.10736
-0.02928,-0.00244,0.03416,0.0488,0.06344,-0.04636,0.03904,-0.04392,-0.03904,-0.09272,0.00488,0.03416
0.0244,-0.01952,0.01464,0.00244,-0.00976,0.01708,0.06832,0.05368,-0.00976,-0.05368,-0.00976,-0.01464
0.02928,-0.0122,-0.00488,-0.01952,-0.03416,0.03172,0.08296,0.11224,-0.02928,-0.0488,-0.0244,-0.04392
0.02928,0,-0.02928,-0.04392,-0.05856,0.04392,0.0976,0.11224,-0.00488,-0.06832,-0.04392,-0.05368
0.0244,0.00976,-0.04392,-0.05612,-0.06832,0.04636,0.10248,0.11224,-0.00488,-0.0732,-0.05368,-0.06344
0.01464,0.00976,-0.03416,-0.04148,-0.0488,0.03172,0.09272,0.11224,-0.01464,-0.0732,-0.05856,-0.06832
0.01952,0.00732,-0.03416,-0.04392,-0.05368,0.0366,0.0976,0.122,-0.01464,-0.07808,-0.05856,-0.06832
0.01952,0.00976,-0.03904,-0.0488,-0.05856,0.03904,0.10248,0.12688,-0.00976,-0.07808,-0.0732,-0.0732
0.01952,0.0122,-0.04392,-0.05368,-0.06344,0.04148,0.10248,0.13664,-0.00976,-0.08296,-0.07808,-0.0732
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,0.09272,0.13664,-0.00976,-0.07808,-0.06344,-0.08784
0.03904,-0.00488,-0.02928,-0.0488,-0.06832,0.05368,0.09272,0.1464,-0.01464,-0.07808,-0.06344,-0.08784
0.03904,0.00732,-0.05368,-0.0732,-0.09272,0.06588,0.10736,0.13664,-0.01464,-0.08784,-0.0732,-0.08784
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,0.10736,0.14152,-0.01464,-0.08784,-0.0732,-0.0976
0.03904,0.0122,-0.06344,-0.08296,-0.10248,0.07076,0.0976,0.14152,-0.01464,-0.07808,-0.06832,-0.08296
0.0488,-0.00244,-0.04392,-0.06832,-0.09272,0.07076,0.0976,0.1464,-0.01464,-0.06832,-0.06344,-0.07808
0.04392,0.00244,-0.0488,-0.07076,-0.09272,0.06832,0.10248,0.15128,-0.01464,-0.07808,-0.06344,-0.07808
0.03904,0.00732,-0.05368,-0.0732,-0.09272,0.06588,0.0976,0.15128,-0.01464,-0.08784,-0.07808,-0.08296
0.05856,0.00244,-0.06344,-0.09272,-0.122,0.09028,0.10248,0.16104,-0.01952,-0.09272,-0.08296,-0.09272
0.06344,0.00244,-0.06832,-0.10004,-0.13176,0.0976,0.10248,0.15616,-0.01952,-0.09272,-0.08296,-0.0976
0.0488,0.00488,-0.05856,-0.08296,-0.10736,0.07808,0.10248,0.1708,-0.01952,-0.10248,-0.08784,-0.08784
0.0488,0,-0.0488,-0.0732,-0.0976,0.0732,0.10248,0.1708,-0.0244,-0.10248,-0.08784,-0.09272
0.03904,0.00488,-0.0488,-0.06832,-0.08784,0.06344,0.10736,0.17568,-0.01464,-0.08784,-0.07808,-0.08296
0.03416,0.0122,-0.05856,-0.07564,-0.09272,0.06344,0.10736,0.18056,-0.01464,-0.08784,-0.0732,-0.08296
0.0488,0.00244,-0.05368,-0.07808,-0.10248,0.07564,0.10248,0.19032,-0.02928,-0.08784,-0.08784,-0.08784
0.05368,0,-0.05368,-0.08052,-0.10736,0.08052,0.10736,0.19032,-0.0244,-0.08784,-0.08296,-0.08784
0.04392,0.00976,-0.06344,-0.0854,-0.10736,0.07564,0.0976,0.18544,-0.01952,-0.09272,-0.07808,-0.09272
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,0.0976,0.19032,-0.01952,-0.09272,-0.07808,-0.0976
0.03904,0.0122,-0.06344,-0.08296,-0.10248,0.07076,0.11224,0.20496,-0.01952,-0.08296,-0.07808,-0.10736
0.03416,0.01464,-0.06344,-0.08052,-0.0976,0.06588,0.10736,0.20496,-0.0244,-0.08296,-0.07808,-0.10736
0.03416,0.00976,-0.05368,-0.07076,-0.08784,0.061,0.10736,0.21472,-0.03416,-0.07808,-0.08296,-0.10736
0.02928,0.0122,-0.05368,-0.06832,-0.08296,0.05612,0.10248,0.21472,-0.03416,-0.07808,-0.08296,-0.10736
0.02928,0.01708,-0.06344,-0.07808,-0.09272,0.061,0.0976,0.22448,-0.03416,-0.07808,-0.08784,-0.10248
0.02928,0.01708,-0.06344,-0.07808,-0.09272,0.061,0.0976,0.23424,-0.02928,-0.06832,-0.08784,-0.10248
0.01952,0.02928,-0.07808,-0.08784,-0.0976,0.05856,0.10736,0.23912,-0.02928,-0.05856,-0.07808,-0.11224
0.01952,0.0244,-0.06832,-0.07808,-0.08784,0.05368,0.11224,0.24888,-0.02928,-0.05856,-0.07808,-0.11224
0.03416,0.01708,-0.06832,-0.0854,-0.10248,0.06832,0.10248,0.25864,-0.0244,-0.06832,-0.08296,-0.11224
0.02928,0.02196,-0.0732,-0.08784,-0.10248,0.06588,0.10248,0.2684,-0.0244,-0.06832,-0.08784,-0.10248
0.04392,0.0122,-0.06832,-0.09028,-0.11224,0.07808,0.10736,0.28792,-0.0244,-0.05856,-0.09272,-0.0976
0.04392,0.00488,-0.05368,-0.07564,-0.0976,0.07076,0.10736,0.2928,-0.0244,-0.05368,-0.08784,-0.09272
0.0488,-0.00732,-0.03416,-0.05856,-0.08296,0.06588,0.10248,0.30744,-0.01464,-0.05368,-0.0732,-0.09272
0.0488,-0.00976,-0.02928,-0.05368,-0.07808,0.06344,0.0976,0.31232,-0.01464,-0.0488,-0.0732,-0.08784
0.05856,-0.01708,-0.0244,-0.05368,-0.08296,0.07076,0.0976,0.32208,-0.01464,-0.03904,-0.0732,-0.08784
0.0732,-0.0244,-0.0244,-0.061,-0.0976,0.0854,0.09272,0.32208,-0.0244,-0.03904,-0.0732,-0.07808
0.0732,-0.0244,-0.0244,-0.061,-0.0976,0.0854,0.0976,0.33672,-0.01952,-0.01952,-0.05368,-0.05856
0.07808,-0.0244,-0.02928,-0.06832,-0.10736,0.09272,0.0976,0.35136,-0.01952,-0.01952,-0.04392,-0.05368
0.06832,-0.02196,-0.0244,-0.05856,-0.09272,0.08052,0.08784,0.35624,-0.01952,-0.00976,-0.0488,-0.05856
0.0732,-0.02684,-0.01952,-0.05612,-0.09272,0.08296,0.08296,0.35624,-0.01464,-0.00488,-0.03416,-0.04392
0.07808,-0.0366,-0.00488,-0.04392,-0.08296,0.08052,0.08296,0.366,0,0.01464,-0.01952,-0.0244
0.0732,-0.03416,-0.00488,-0.04148,-0.07808,0.07564,0.07808,0.366,0.00488,0.02928,-0.00488,-0.00976
0.09272,-0.05612,0.01952,-0.02684,-0.0732,0.08296,0.0732,0.36112,0.00488,0.03904,0,-0.00976
0.09272,-0.06588,0.03904,-0.00732,-0.05368,0.0732,0.06344,0.36112,0,0.0488,0.00976,0.00488
0.08784,-0.06588,0.04392,0,-0.04392,0.06588,0.06344,0.36112,0.00488,0.05856,0.0244,0.01952
0.08784,-0.07076,0.05368,0.00976,-0.03416,0.061,0.06344,0.35624,0.01464,0.06832,0.04392,0.03904
0.09272,-0.07808,0.06344,0.01708,-0.02928,0.061,0.05856,0.35624,0.01952,0.09272,0.06344,0.05856
0.0976,-0.08784,0.07808,0.02928,-0.01952,0.05856,0.05368,0.35624,0.04392,0.11224,0.08296,0.06832
0.10736,-0.08784,0.06832,0.01464,-0.03904,0.0732,0.0488,0.33672,0.0488,0.122,0.08784,0.0732
0.0976,-0.0854,0.0732,0.0244,-0.0244,0.061,0.0488,0.32696,0.0488,0.122,0.10248,0.0732
0.0976,-0.0854,0.0732,0.0244,-0.0244,0.061,0.03904,0.29768,0.04392,0.13664,0.10736,0.07808
0.08784,-0.08052,0.0732,0.02928,-0.01464,0.05124,0.03904,0.28792,0.04392,0.13664,0.10736,0.08296
0.06832,-0.07564,0.08296,0.0488,0.01464,0.02684,0.04392,0.26352,0.05856,0.13176,0.11224,0.0732
0.07808,-0.0854,0.09272,0.05368,0.01464,0.03172,0.06344,0.22936,0.05368,0.122,0.10248,0.07808
0.09272,-0.09516,0.0976,0.05124,0.00488,0.04392,0.06344,0.21472,0.03904,0.10248,0.09272,0.0732
0.0976,-0.08784,0.07808,0.02928,-0.01952,0.05856,0.05856,0.18544,0.03904,0.09272,0.07808,0.06832
0.08784,-0.07808,0.06832,0.0244,-0.01952,0.05368,0.06344,0.16592,0.04392,0.08296,0.07808,0.05856
0.06344,-0.061,0.05856,0.02684,-0.00488,0.03416,0.05856,0.13664,0.03904,0.07808,0.05856,0.04392
0.05368,-0.06344,0.0732,0.04636,0.01952,0.01708,0.0732,0.11712,0.03416,0.05368,0.04392,0.03416
0.05856,-0.05612,0.05368,0.0244,-0.00488,0.03172,0.07808,0.10248,0.02928,0.0488,0.02928,0.02928
0.06344,-0.05368,0.04392,0.0122,-0.01952,0.04148,0.06832,0.09272,0.0244,0.0244,0.00976,0.00976
0.06344,-0.05124,0.03904,0.00732,-0.0244,0.04392,0.07808,0.07808,0.01952,0.01464,0.00488,0.00976
0.05368,-0.04148,0.02928,0.00244,-0.0244,0.03904,0.0732,0.06344,0.00976,0.01464,-0.01464,-0.00976
0.05368,-0.03904,0.0244,-0.00244,-0.02928,0.04148,0.0732,0.0488,0,0.00488,-0.01952,-0.00976
0.06344,-0.03904,0.01464,-0.01708,-0.0488,0.05612,0.08296,0.04392,-0.00976,-0.00976,-0.00976,-0.00488
0.06832,-0.03904,0.00976,-0.0244,-0.05856,0.06344,0.08296,0.04392,-0.01464,-0.00976,-0.01464,-0.00488
0.06344,-0.03904,0.01464,-0.01708,-0.0488,0.05612,0.07808,0.03904,-0.01464,-0.01464,-0.02928,-0.01952
0.06344,-0.03904,0.01464,-0.01708,-0.0488,0.05612,0.07808,0.03416,-0.00488,-0.01464,-0.02928,-0.0244
0.05368,-0.03172,0.00976,-0.01708,-0.04392,0.0488,0.0732,0.03416,0,-0.01464,-0.02928,-0.01464
