i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.03904,0.05856,-0.07808,-0.05856,-0.03904,0,0.01952,-0.01464,-0.03904,-0.07808,-0.0976,0.52216
-0.03416,0.05368,-0.0732,-0.05612,-0.03904,0.00244,0.01464,-0.00976,-0.0488,-0.0732,-0.10736,0.52216
-0.01464,0.03172,-0.0488,-0.04148,-0.03416,0.00976,0.01464,-0.00488,-0.0488,-0.0732,-0.0976,0.55144
-0.01464,0.0244,-0.03416,-0.02684,-0.01952,0.00244,0.00976,-0.01464,-0.04392,-0.08296,-0.08296,0.57096
-0.03904,0.04392,-0.0488,-0.02928,-0.00976,-0.01464,0.00488,-0.00488,-0.03416,-0.06832,-0.07808,0.5612
-0.03904,0.0488,-0.05856,-0.03904,-0.01952,-0.00976,0.00488,-0.01464,-0.03904,-0.06344,-0.07808,0.58072
-0.03904,0.04636,-0.05368,-0.03416,-0.01464,-0.0122,0.00488,-0.00976,-0.02928,-0.05368,-0.06832,0.60024
-0.02928,0.03904,-0.0488,-0.03416,-0.01952,-0.00488,0,-0.00976,-0.03904,-0.05368,-0.06832,0.61
-0.00488,0.02196,-0.03904,-0.0366,-0.03416,0.01464,-0.01464,-0.01952,-0.04392,-0.06344,-0.07808,0.59536
0,0.01708,-0.03416,-0.03416,-0.03416,0.01708,0,-0.00976,-0.03416,-0.05368,-0.0732,0.61
-0.00976,0.01708,-0.0244,-0.01952,-0.01464,0.00244,0.00976,0,-0.00976,-0.03416,-0.05856,0.61488
0.00488,0.00732,-0.01952,-0.02196,-0.0244,0.01464,0.00488,-0.00488,0,-0.02928,-0.04392,0.62464
0.00488,0.00732,-0.01952,-0.02196,-0.0244,0.01464,0.00976,0,-0.00976,-0.0244,-0.03904,0.63928
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,-0.00488,-0.00976,-0.01464,-0.01952,-0.02928,0.66368
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,-0.00488,0,0,-0.01464,-0.01952,0.67344
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.00488,0.00976,-0.00488,-0.00976,-0.01464,0.6832
-0.04392,0.03172,-0.01952,0.00244,0.0244,-0.03416,-0.00488,0,-0.00488,-0.00976,-0.01952,0.68808
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0,0.00976,0,-0.01464,-0.00976,0.70272
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.00488,0.00488,0.00976,-0.00488,-0.01464,0.70272
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.00976,0,0.00976,-0.00488,-0.01952,0.7076
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.00488,-0.00976,0,-0.00976,-0.01464,0.7076
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,-0.00488,-0.00976,0.00976,-0.01952,-0.01952,0.72224
-0.01464,0,0.01464,0.02196,0.02928,-0.02196,0,-0.00976,0.00976,-0.00976,-0.01464,0.72712
-0.01952,-0.00732,0.03416,0.04392,0.05368,-0.0366,0.02928,0.00976,0.03416,0.00488,0.00976,0.73688
-0.01952,-0.00732,0.03416,0.04392,0.05368,-0.0366,0.0488,0.03416,0.04392,0.02928,0.01952,0.76128
