i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01952,0.02928,-0.03904,-0.02928,-0.01952,0,0.02928,-0.00976,-0.08296,-0.09272,-0.12688,-0.0976
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.03904,-0.00976,-0.08296,-0.09272,-0.12688,-0.0976
-0.00976,0.02684,-0.04392,-0.03904,-0.03416,0.0122,0.03904,-0.00488,-0.08296,-0.09272,-0.13176,-0.0976
-0.01952,0.0488,-0.07808,-0.06832,-0.05856,0.01952,0.0488,0.00488,-0.0732,-0.08784,-0.11712,-0.0976
-0.0244,0.061,-0.0976,-0.0854,-0.0732,0.0244,0.06344,0.00976,-0.05856,-0.0732,-0.10736,-0.0976
-0.0244,0.05612,-0.08784,-0.07564,-0.06344,0.01952,0.05368,0.00976,-0.06344,-0.07808,-0.11712,-0.0976
-0.0244,0.061,-0.0976,-0.0854,-0.0732,0.0244,0.05856,0.00976,-0.06344,-0.0732,-0.11712,-0.0976
-0.01464,0.03416,-0.05368,-0.04636,-0.03904,0.0122,0.04392,-0.00488,-0.08296,-0.08296,-0.12688,-0.11224
-0.01464,0.0244,-0.03416,-0.02684,-0.01952,0.00244,0.04392,-0.00488,-0.07808,-0.09272,-0.12688,-0.11224
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,0.0488,-0.00976,-0.0732,-0.09272,-0.13176,-0.11224
-0.00976,0.01952,-0.02928,-0.0244,-0.01952,0.00488,0.0488,-0.01464,-0.0732,-0.09272,-0.13176,-0.10736
-0.01952,0.03904,-0.05856,-0.0488,-0.03904,0.00976,0.06344,0.00976,-0.06832,-0.07808,-0.11224,-0.09272
-0.01952,0.03416,-0.0488,-0.03904,-0.02928,0.00488,0.05856,0,-0.06832,-0.07808,-0.11712,-0.09272
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,0.05856,0.00976,-0.06832,-0.08784,-0.10736,-0.0976
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,0.06832,0.01952,-0.06344,-0.08784,-0.10736,-0.10248
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.07808,0.03904,-0.06344,-0.10248,-0.1464,-0.14152
-0.08296,0.05124,-0.01952,0.02196,0.06344,-0.0732,0.122,0.0732,-0.04392,-0.10248,-0.18544,-0.20984
-0.0976,0.07808,-0.05856,-0.00976,0.03904,-0.06832,0.15128,0.13176,0,-0.09272,-0.2196,-0.27328
-0.10736,0.07564,-0.04392,0.00976,0.06344,-0.0854,0.16104,0.15616,0.03904,-0.08296,-0.23912,-0.25864
-0.07808,0.04636,-0.01464,0.0244,0.06344,-0.07076,0.1464,0.18544,0.0976,-0.03416,-0.16592,-0.19032
-0.02928,0.00488,0.01952,0.03416,0.0488,-0.03904,0.12688,0.20008,0.2196,0.13664,0.03416,0.02928
0.0732,-0.1098,0.1464,0.1098,0.0732,0,0.0488,0.17568,0.29768,0.2928,0.25376,0.27816
0.244,-0.27816,0.31232,0.19032,0.06832,0.08784,-0.10736,0.05368,0.34648,0.44408,0.54656,0.61976
0.45872,-0.4758,0.49288,0.26352,0.03416,0.21228,-0.30744,-0.12688,0.36112,0.64904,0.98088,1.10288
0.61976,-0.53436,0.44896,0.13908,-0.1708,0.39528,-0.42944,-0.27328,0.19032,0.71736,1.28832,1.45424
0.74176,-0.59048,0.4392,0.06832,-0.30256,0.52216,-0.57584,-0.52216,-0.04392,0.66368,1.4396,1.63968
0.78568,-0.46116,0.13664,-0.2562,-0.64904,0.71736,-0.55632,-0.5368,-0.37576,0.35624,1.18096,1.2932
0.66856,-0.2196,-0.22936,-0.56364,-0.89792,0.78324,-0.42456,-0.49776,-0.64904,-0.03904,0.69784,0.79056
0.33184,-0.0366,-0.25864,-0.42456,-0.59048,0.46116,-0.25376,-0.45872,-0.6344,-0.2196,0.28792,0.38552
0.0976,0.11712,-0.33184,-0.38064,-0.42944,0.26352,-0.08296,-0.366,-0.64904,-0.49288,-0.28792,-0.20984
-0.03416,0.21228,-0.3904,-0.37332,-0.35624,0.16104,0.05368,-0.18544,-0.61,-0.58072,-0.5368,-0.488
-0.00976,0.17568,-0.3416,-0.33672,-0.33184,0.16104,0.0976,-0.04392,-0.45384,-0.44408,-0.38064,-0.3416
-0.00976,0.10736,-0.20496,-0.20008,-0.1952,0.09272,0.06344,0.02928,-0.30256,-0.29768,-0.26352,-0.24888
-0.00976,0.04636,-0.08296,-0.07808,-0.0732,0.03172,0.03416,0.01952,-0.1952,-0.20496,-0.20496,-0.18544
-0.01952,0.03172,-0.04392,-0.03416,-0.0244,0.00244,0.04392,0.01952,-0.13664,-0.1464,-0.16104,-0.1708
-0.02928,0.0488,-0.06832,-0.05368,-0.03904,0.00488,0.07808,0.05856,-0.0976,-0.10736,-0.11712,-0.13664
-0.03416,0.04636,-0.05856,-0.04148,-0.0244,-0.00488,0.08296,0.0488,-0.05856,-0.0976,-0.11712,-0.1464
-0.03904,0.05612,-0.0732,-0.05368,-0.03416,-0.00244,0.08296,0.05368,-0.02928,-0.05856,-0.08784,-0.11224
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.07808,0.03416,-0.00488,-0.05368,-0.08784,-0.10248
-0.05368,0.04392,-0.03416,-0.00732,0.01952,-0.0366,0.07808,0.01464,-0.01464,-0.06344,-0.10248,-0.11224
-0.05368,0.04148,-0.02928,-0.00244,0.0244,-0.03904,0.08784,0.0244,-0.0244,-0.0732,-0.11712,-0.122
-0.0488,0.0366,-0.0244,0,0.0244,-0.0366,0.08296,0.01464,-0.02928,-0.06832,-0.12688,-0.122
-0.05368,0.02928,-0.00488,0.02196,0.0488,-0.05124,0.06832,0.00976,-0.01952,-0.06832,-0.13176,-0.122
-0.05856,0.02928,0,0.02928,0.05856,-0.05856,0.06832,0.00488,-0.01464,-0.06832,-0.13176,-0.12688
-0.06344,0.03416,-0.00488,0.02684,0.05856,-0.061,0.06832,0.00976,-0.01464,-0.06832,-0.11712,-0.12688
-0.06344,0.0366,-0.00976,0.02196,0.05368,-0.05856,0.07808,0.01952,-0.01464,-0.06832,-0.10736,-0.122
-0.06344,0.04636,-0.02928,0.00244,0.03416,-0.0488,0.08296,0.01464,-0.00976,-0.06832,-0.10248,-0.11224
-0.05856,0.0488,-0.03904,-0.00976,0.01952,-0.03904,0.0732,0.00976,-0.00488,-0.05856,-0.10248,-0.10736
-0.05856,0.04392,-0.02928,0,0.02928,-0.04392,0.06832,0.00488,-0.00488,-0.05856,-0.10248,-0.10736
-0.06832,0.04392,-0.01952,0.01464,0.0488,-0.05856,0.05856,0.00976,-0.01952,-0.06344,-0.11224,-0.11224
-0.06832,0.03904,-0.00976,0.0244,0.05856,-0.06344,0.05856,0.00976,-0.01952,-0.06832,-0.11224,-0.11224
-0.06344,0.04148,-0.01952,0.0122,0.04392,-0.05368,0.06832,0.0244,-0.00488,-0.06344,-0.09272,-0.0976
-0.06344,0.04392,-0.0244,0.00732,0.03904,-0.05124,0.06832,0.0244,0.00488,-0.05856,-0.08784,-0.08784
-0.06344,0.04392,-0.0244,0.00732,0.03904,-0.05124,0.06344,0.01464,0.00488,-0.05856,-0.09272,-0.09272
-0.06344,0.04148,-0.01952,0.0122,0.04392,-0.05368,0.06344,0.01464,0.00488,-0.05368,-0.09272,-0.09272
